Part,MajorNo,Major,Sub,Theory,Theorists,OldMajor,Source
ART,4,Music & Sound Studies,A. Sociology & Politics of Music,Political Economy of Music,David Hesmondhalgh,IV. Music,CSV
ART,4,Music & Sound Studies,A. Sociology & Politics of Music,Music and Power Theory,Jacques Attali,IV. Music,CSV
ART,4,Music & Sound Studies,A. Sociology & Politics of Music,Cognitive Musicology,"Diana Deutsch, Fred Lerdahl",IV. Music,CSV
ART,4,Music & Sound Studies,A. Sociology & Politics of Music,Theory of Musical Affect,"Leonard B. Meyer, Stephen Davies",IV. Music,CSV
ART,5,Literature & Literary Theory,B. Historicism & Society,New Historicism (Literature),Stephen Greenblatt,V. Literature & Society (Literary Theory),CSV
ART,5,Literature & Literary Theory,A. Critical & Materialist Criticism,Cultural Materialism (Literature),Raymond Williams,V. Literature,CSV
ART,5,Literature & Literary Theory,A. Critical & Materialist Criticism,Feminist Literary Criticism,"Elaine Showalter, Sandra Gilbert",V. Literature,CSV
ART,5,Literature & Literary Theory,A. Critical & Materialist Criticism,Queer Literary Theory,"Judith Butler, Eve Kosofsky Sedgwick",V. Literature,CSV
ART,5,Literature & Literary Theory,A. Critical & Materialist Criticism,Postcolonial Literary Theory,"Edward Said, Homi K. Bhabha",V. Literature,CSV
ART,5,Literature & Literary Theory,A. Critical & Materialist Criticism,Psychoanalytic Literary Criticism,"Sigmund Freud (applied to literature), Jacques Lacan",V. Literature,CSV
ART,5,Literature & Literary Theory,A. Critical & Materialist Criticism,Archetypal Literary Criticism,"Carl Jung (applied to literature), Northrop Frye",V. Literature,CSV
ART,6,Sport & Physical Culture,A. Sociology & Politics of Sport,Sociology of Sport,"Harry Edwards, Jay Coakley",VI. Sports & Physical Culture,CSV
ART,6,Sport & Physical Culture,A. Sociology & Politics of Sport,Sport and Nationalism Theory,N/A (Common critical concept),VI. Sports,CSV
ART,6,Sport & Physical Culture,A. Sociology & Politics of Sport,Commodification of Sport,Richard Gruneau,VI. Sports,CSV
ART,6,Sport & Physical Culture,A. Sociology & Politics of Sport,Sociology of the Body (Sport),Shilling,VI. Sports,CSV
ART,6,Sport & Physical Culture,A. Sociology & Politics of Sport,Performance Enhancement (Ethics/Sociology),N/A (Ethical/sociological debate),VI. Sports,CSV
ART,6,Sport & Physical Culture,A. Sociology & Politics of Sport,Fan Culture Theory (Sport),Pierre Bourdieu (applied to fans),VI. Sports,CSV
ART,7,Visual Culture & Media Studies,A. Visual Culture & Spectacle,Visual Culture Theory (Art),"W.J.T. Mitchell, Nicholas Mirzoeff",VII. Cultural Studies of Art & Media (Applied),CSV
ART,7,Visual Culture & Media Studies,A. Visual Culture & Spectacle,Spectacle (Art/Media),Guy Debord (Situationists),VII. Cultural Studies of Art & Media (Applied),CSV
ART,7,Visual Culture & Media Studies,A. Visual Culture & Spectacle,Media Ecology Theory (Art/Media),Marshall McLuhan,VII. Cultural Studies of Art & Media (Applied),CSV
ART,7,Visual Culture & Media Studies,A. Visual Culture & Spectacle,Digital Art Theory,Lev Manovich,VII. Cultural Studies of Art & Media (Applied),CSV
ART,7,Visual Culture & Media Studies,A. Visual Culture & Spectacle,New Media Art Theory,Christiane Paul,VII. Cultural Studies of Art & Media (Applied),CSV
ART,9,Anthropology & Sociology of Art,A. Anthropology of Art & Ritual,Anthropology of Art,"Franz Boas, Claude Lévi-Strauss",VIII. Anthropology of Art & Culture,CSV
ART,9,Anthropology & Sociology of Art,A. Anthropology of Art & Ritual,Art and Ritual (Anthropological),Alfred Gell,VIII. Anthropology of Art,CSV
ART,9,Anthropology & Sociology of Art,A. Anthropology of Art & Ritual,Cultural Production Theory (Art),Raymond Williams,VIII. Anthropology of Art,CSV
ART,8,Posthumanism & Environmental Arts,A. Posthuman & Bio Art,Ecocriticism (Arts),N/A (Interdisciplinary field),IX. Posthumanism & Environmental Arts,CSV
ART,8,Posthumanism & Environmental Arts,A. Posthuman & Bio Art,Art and Anthropocene Theory,Donna Haraway (related to concept),IX. Posthumanism,CSV
ART,8,Posthumanism & Environmental Arts,A. Posthuman & Bio Art,Posthuman Art Theory,Rosi Braidotti,IX. Posthumanism,CSV
ART,8,Posthumanism & Environmental Arts,A. Posthuman & Bio Art,Bio Art Theory,Eduardo Kac,IX. Posthumanism,CSV
ART,10,"Race, Gender & Postcolonial Critique of Art",B. Postcolonial & Decolonial Art,Decolonizing Art Theory,Linda Tuhiwai Smith,X. Critical Race & Postcolonial Approaches to Art,CSV
ART,10,"Race, Gender & Postcolonial Critique of Art",A. Critical Race & Representation,Postcolonial Art Theory,N/A (Applied field),X. Critical Race,CSV
ART,10,"Race, Gender & Postcolonial Critique of Art",A. Critical Race & Representation,Race and Representation in Art Theory,Stuart Hall,X. Critical Race,CSV
ART,10,"Race, Gender & Postcolonial Critique of Art",C. Feminist & Queer Art,Feminist Art Criticism,"Linda Nochlin, Griselda Pollock",XI. Feminist & Queer Approaches to Art,CSV
ART,10,"Race, Gender & Postcolonial Critique of Art",C. Feminist & Queer Art,Queer Art Theory,N/A (Applied field),XI. Feminist,CSV
ART,9,Anthropology & Sociology of Art,C. Art Markets & Institutions,Art Market Theory,Raymonde Moulin,XII. Cultural Production & Institutions,CSV
ART,9,Anthropology & Sociology of Art,B. Cultural Industries & Production,Cultural Industries Theory (Arts),David Hesmondhalgh,XII. Cultural Production,CSV
ART,9,Anthropology & Sociology of Art,B. Cultural Industries & Production,Cultural Policy Theory (Arts),N/A (Policy field),XII. Cultural Production,CSV
ART,15,"Arts in Health, Therapy & Wellbeing",A. Art Therapy & Psychology of Art,Art Therapy Theory,"Adrian Hill, Margaret Naumburg",XIII. Art & Psychology (Applied),CSV
ART,15,"Arts in Health, Therapy & Wellbeing",A. Art Therapy & Psychology of Art,Psychology of Aesthetics,"Gustav Fechner (early), Daniel Berlyne",XIII. Art & Psychology (Applied),CSV
ART,15,"Arts in Health, Therapy & Wellbeing","C. Art, Memory, Trauma & Witness",Art and Collective Memory Theory,Maurice Halbwachs (applied to art),XIV. Art & Memory,CSV
ART,15,"Arts in Health, Therapy & Wellbeing","C. Art, Memory, Trauma & Witness",Trauma and Art Theory,Cathy Caruth (applied to art),XIV. Art & Memory,CSV
ART,3,Performance Studies & Theatre,C. Everyday & Restored Behavior,Body Art Theory,"N/A (Art movement, theorized)",XV. Performance Art & Body,CSV
ART,3,Performance Studies & Theatre,C. Everyday & Restored Behavior,Performance as Research,N/A (Methodological concept),XV. Performance Art & Body,CSV
ART,7,Visual Culture & Media Studies,C. Public Art & Spatial Practice,Public Art Theory,"Rosalyn Deutsche, Miwon Kwon",XVI. Public Art & Urban Space,CSV
ART,7,Visual Culture & Media Studies,C. Public Art & Spatial Practice,Street Art Theory,"N/A (Art movement, theorized)",XVI. Public Art,CSV
ART,7,Visual Culture & Media Studies,B. Photography & the Image,Theory of Photography,"Roland Barthes (Camera Lucida), Susan Sontag (On Photography)",XVII. Photography & Society,CSV
ART,7,Visual Culture & Media Studies,B. Photography & the Image,Photographic Gaze Theory,Laura Mulvey (applied to photography),XVII. Photography,CSV
ART,11,"Digital, New Media & AI Arts",B. Interactive & Immersive Media,Interactive Art Theory,Roy Ascott,XVIII. Digital Arts & Interactive Media,CSV
ART,11,"Digital, New Media & AI Arts",A. Algorithmic & Generative Art,Algorithmic Art Theory,Philip Galanter,XVIII. Digital Arts,CSV
ART,14,Dance & Embodiment Studies,A. Embodiment & Sociology of Dance,Sociology of Dance,Joann Kealiinohomoku,XIX. Dance Studies & Embodiment,CSV
ART,14,Dance & Embodiment Studies,A. Embodiment & Sociology of Dance,Embodiment in Dance Theory,Susan Foster,XIX. Dance Studies,CSV
ART,12,Architecture & the Built Environment,"B. Architecture, Society & Power",Architecture as Social Space Theory,"Henri Lefebvre, Michel Foucault (heterotopias)",XX. Architecture & Society,CSV
ART,12,Architecture & the Built Environment,A. Theory & Phenomenology of Space,Genius Loci (Spirit of Place),Christian Norberg-Schulz,XX. Architecture,CSV
ART,13,Fashion & Dress Studies,"A. Dress, Identity & Fashion Systems",Fashion Theory,"Georg Simmel, Roland Barthes, Fred Davis",XXI. Fashion & Culture,CSV
ART,13,Fashion & Dress Studies,"A. Dress, Identity & Fashion Systems",Dress & Identity Theory,Joanne Entwistle,XXI. Fashion,CSV
ART,11,"Digital, New Media & AI Arts",C. AI & Computational Creativity,Digital Art History,N/A (Emerging field),XXII. Digital Humanities (Arts Focus),CSV
ART,11,"Digital, New Media & AI Arts",C. AI & Computational Creativity,Digital Musicology,N/A (Emerging field),XXII. Digital Humanities (Arts Focus),CSV
ART,9,Anthropology & Sociology of Art,B. Cultural Industries & Production,Critical Arts Education Theory,Paolo Freire (applied to arts education),XXIII. Critical Pedagogy in Arts Education,CSV
ART,15,"Arts in Health, Therapy & Wellbeing","C. Art, Memory, Trauma & Witness",Art as Witness Theory,James E. Young,XXIV. Art and Trauma,CSV
ART,4,Music & Sound Studies,A. Sociology & Politics of Music,Music and Emotion Theory,"Eduard Hanslick, Susanne Langer",XXV. Philosophy of Music,CSV
ART,4,Music & Sound Studies,A. Sociology & Politics of Music,Music and Social Class Theory,Pierre Bourdieu,XXVI. Sociology of Music,CSV
ART,3,Performance Studies & Theatre,C. Everyday & Restored Behavior,Performance Art Theory,RoseLee Goldberg,XXVII. History of Performance Art,CSV
ART,15,"Arts in Health, Therapy & Wellbeing","C. Art, Memory, Trauma & Witness",Art as Human Rights Advocacy Theory,N/A (Applied field),XXVIII. Art and Human Rights,CSV
ART,6,Sport & Physical Culture,"B. Body, Health & Sport Psychology",Biomechanics of Sport Theory,N/A (Scientific field),XXIX. Sports (Body & Health),CSV
ART,6,Sport & Physical Culture,"B. Body, Health & Sport Psychology",Sports Psychology,"Bruce Ogilvie, Thomas Tutko",XXIX. Sports (Body & Health),CSV
ART,1,Aesthetics & Philosophy of Art,B. Everyday & Environmental Aesthetics,Everyday Aesthetics Theory,Yuriko Saito,XXX. Aesthetics of the Everyday,CSV
ART,8,Posthumanism & Environmental Arts,B. Eco-Art & Ecological Aesthetics,Eco-Art Theory,Lucy R. Lippard,XXXI. Art and Ecology (Deep Dive),CSV
ART,2,Art History & Historiography,C. Global & Postcolonial Art History,Computational Art History Theory,N/A (Emerging field),XXXII. Digital Art History (Advanced),CSV
ART,4,Music & Sound Studies,A. Sociology & Politics of Music,Music as Propaganda Theory,N/A (Common critical concept),XXXIII. Music and Politics (Advanced),CSV
ART,6,Sport & Physical Culture,"C. Gender, Race & Identity in Sport",Gender and Sport Theory,Nancy Theberge,XXXIV. Sports (Gender & Race),CSV
ART,6,Sport & Physical Culture,"C. Gender, Race & Identity in Sport",Race and Sport Theory,Richard Lapchick,XXXIV. Sports (Gender & Race),CSV
ART,11,"Digital, New Media & AI Arts",B. Interactive & Immersive Media,Human-Computer Interaction (HCI) in Art Theory,Bill Verplank,XXXV. Art and Technology (Interaction),CSV
ART,12,Architecture & the Built Environment,"B. Architecture, Society & Power",Sociology of Architecture,Pierre Bourdieu (related to space),XXXVI. Architecture (Sociology),CSV
ART,13,Fashion & Dress Studies,"A. Dress, Identity & Fashion Systems",Social Psychology of Fashion Theory,N/A (Applied field),XXXVII. Fashion (Social Psychology),CSV
ART,7,Visual Culture & Media Studies,C. Public Art & Spatial Practice,Relational Aesthetics Theory,Nicolas Bourriaud,XXXVIII. Public Art (Engagement),CSV
ART,9,Anthropology & Sociology of Art,C. Art Markets & Institutions,Museology Theory,Eilean Hooper-Greenhill,XXXIX. Museum Studies (Cultural),CSV
ART,9,Anthropology & Sociology of Art,C. Art Markets & Institutions,Conservation Ethics Theory (Art),Cesare Brandi,XL. Conservation Ethics (Art),CSV
ART,14,Dance & Embodiment Studies,"B. Dance, Politics & Society",Dance and Politics Theory,André Lepecki,XLI. Dance (Politics),CSV
ART,7,Visual Culture & Media Studies,A. Visual Culture & Spectacle,Spectatorship Theory (Visual Culture),"Laura Mulvey, Christian Metz",XLII. Visual Culture (Advanced),CSV
ART,4,Music & Sound Studies,C. Music Therapy & Healing,Music Therapy Theory,Kenneth Bruscia,XLIII. Music (Therapy),CSV
ART,6,Sport & Physical Culture,A. Sociology & Politics of Sport,Sports Ethics Theory,William J. Morgan,XLIV. Sports (Ethics),CSV
ART,12,Architecture & the Built Environment,C. Sustainable & Behavioral Architecture,Behavioral Architecture Theory,Robert Sommer,XLV. Architecture (Behavioral),CSV
ART,13,Fashion & Dress Studies,C. Sustainable & Ethical Fashion,Sustainable Fashion Theory,Kate Fletcher,XLVI. Fashion (Sustainability),CSV
ART,15,"Arts in Health, Therapy & Wellbeing",B. Arts in Health & Healthcare,Arts in Health Theory,Jill Sonke,XLVII. Arts and Health,CSV
ART,11,"Digital, New Media & AI Arts",B. Interactive & Immersive Media,Participatory Art Theory (Digital),Claire Bishop,XLVIII. Digital Arts (Participatory),CSV
ART,4,Music & Sound Studies,B. Ethnomusicology & Globalization,Ethnomusicology,"Alan Merriam, John Blacking",XLIX. Music (Global),CSV
ART,6,Sport & Physical Culture,"C. Gender, Race & Identity in Sport",Racial Stacking Theory (Sport),John W. Loy,L. Sports (Race & Ethnicity),CSV
ART,1,Aesthetics & Philosophy of Art,C. Cognitive & Neuro Aesthetics,Evolutionary Aesthetics (Arts),"Denis Dutton, Geoffrey Miller",LI. Aesthetics (Evolutionary),CSV
ART,2,Art History & Historiography,C. Global & Postcolonial Art History,Postcolonial Curating Theory,Gayatri Chakravorty Spivak (related to subaltern),LII. Art History (Postcolonial),CSV
ART,3,Performance Studies & Theatre,B. Performance & Politics,Performance and Politics Theory,Diana Taylor,LIII. Performance Studies (Politics),CSV
ART,4,Music & Sound Studies,C. Music Therapy & Healing,Neurologic Music Therapy (NMT) Theory,Michael Thaut,LIV. Music (Therapy - Advanced),CSV
ART,6,Sport & Physical Culture,A. Sociology & Politics of Sport,Media and Sport Theory,"Raymond Boyle, Richard Haynes",LV. Sports (Media),CSV
ART,12,Architecture & the Built Environment,C. Sustainable & Behavioral Architecture,Sustainable Architecture Theory,Ken Yeang,LVI. Architecture (Sustainability),CSV
ART,13,Fashion & Dress Studies,C. Sustainable & Ethical Fashion,Ethical Fashion Theory,N/A (Applied ethics),LVII. Fashion (Ethical),CSV
ART,15,"Arts in Health, Therapy & Wellbeing",A. Art Therapy & Psychology of Art,Psychodynamic Art Therapy Theory,Elinor Ulman,LVIII. Art Therapy (Specifics),CSV
ART,8,Posthumanism & Environmental Arts,B. Eco-Art & Ecological Aesthetics,Art and Ecology Theory,N/A (Interdisciplinary field),LIX. Art and Human Ecology,CSV
ART,4,Music & Sound Studies,A. Sociology & Politics of Music,Digital Musicology Theory,N/A (Emerging field),LX. Music (Digital),CSV
ART,6,Sport & Physical Culture,"C. Gender, Race & Identity in Sport",Racialized Bodies in Sport Theory,Ben Carrington,LXI. Sports (Sociology of Race),CSV
ART,1,Aesthetics & Philosophy of Art,C. Cognitive & Neuro Aesthetics,Sensory Aesthetics (Art),Constance Classen,LXII. Aesthetics (Sensory),CSV
ART,7,Visual Culture & Media Studies,C. Public Art & Spatial Practice,Public Art Controversy Theory,Erika Doss,LXIII. Public Art (Controversy),CSV
ART,7,Visual Culture & Media Studies,B. Photography & the Image,Photographic Ethics Theory,Fred Ritchin,LXIV. Photography (Ethics),CSV
ART,14,Dance & Embodiment Studies,C. Dance/Movement Therapy,Dance/Movement Therapy Theory,Marian Chace,LXV. Dance (Therapy),CSV
ART,12,Architecture & the Built Environment,A. Theory & Phenomenology of Space,Phenomenological Architecture Theory,Juhani Pallasmaa,LXVI. Architecture (Experience),CSV
ART,13,Fashion & Dress Studies,B. Fashion as Performance & Spectacle,Fashion as Performance Theory,"Joanne Entwistle, Judith Butler (applied to fashion)",LXVII. Fashion (Performance),CSV
ART,15,"Arts in Health, Therapy & Wellbeing",B. Arts in Health & Healthcare,Arts in Healthcare Environments Theory,N/A (Applied field),LXVIII. Arts and Healing,CSV
ART,11,"Digital, New Media & AI Arts",B. Interactive & Immersive Media,Immersive Art Theory,Oliver Grau,LXIX. Digital Arts (Immersive),CSV
ART,4,Music & Sound Studies,A. Sociology & Politics of Music,Politics of Sound (Music) Theory,"Jacques Attali, Jonathan Sterne",LXX. Music (Politics of Sound),CSV
ART,6,Sport & Physical Culture,"B. Body, Health & Sport Psychology",Psychology of Sport Fans Theory,Daniel Wann,LXXI. Sports (Fan Behavior),CSV
ART,1,Aesthetics & Philosophy of Art,B. Everyday & Environmental Aesthetics,Environmental Aesthetics Theory,Arnold Berleant,LXXII. Aesthetics (Environmental),CSV
ART,2,Art History & Historiography,C. Global & Postcolonial Art History,Global Art History Theory,Hans Belting,LXXIII. Art History (Global),CSV
ART,3,Performance Studies & Theatre,C. Everyday & Restored Behavior,Everyday Performance Theory,"Erving Goffman, Richard Schechner",LXXIV. Performance Studies (Everyday),CSV
ART,4,Music & Sound Studies,B. Ethnomusicology & Globalization,Music and Globalization Theory,Simon Frith,LXXV. Music (Cultural Exchange),CSV
ART,6,Sport & Physical Culture,A. Sociology & Politics of Sport,Ethics of Competition Theory (Sport),James Keating,LXXVI. Sports (Ethics of Competition),CSV
ART,12,Architecture & the Built Environment,C. Sustainable & Behavioral Architecture,Behavioral Architecture Theory,N/A (Applied field),LXXVII. Architecture (Behavioral Economics),CSV
ART,13,Fashion & Dress Studies,"A. Dress, Identity & Fashion Systems",Fashion System Theory,Roland Barthes,LXXVIII. Fashion (Cultural Production),CSV
ART,15,"Arts in Health, Therapy & Wellbeing",A. Art Therapy & Psychology of Art,Trauma-Informed Art Therapy Theory,Lisa Hinz,LXXIX. Art Therapy (Specific Populations),CSV
ART,11,"Digital, New Media & AI Arts",C. AI & Computational Creativity,AI Art Theory,N/A (Emerging field),LXXX. Digital Arts (AI & Creativity),CSV
ART,4,Music & Sound Studies,C. Music Therapy & Healing,Music and Healing Theory,Oliver Sacks,LXXXI. Music (Therapeutic Use),CSV
ART,6,Sport & Physical Culture,"C. Gender, Race & Identity in Sport",Sport and Identity Theory,N/A (Sociological concept),LXXXII. Sports (Identity),CSV
ART,1,Aesthetics & Philosophy of Art,C. Cognitive & Neuro Aesthetics,Neuroaesthetics (Arts),Semir Zeki,LXXXIII. Aesthetics (Neuroscience),CSV
ART,2,Art History & Historiography,B. Critical & Feminist Art Historiography,Gender and Art History Theory,Linda Nochlin,LXXXIV. Art History (Gender),CSV
ART,3,Performance Studies & Theatre,B. Performance & Politics,Ethics of Performance Theory,Philip Auslander,LXXXV. Performance Studies (Ethics),CSV
ART,4,Music & Sound Studies,B. Ethnomusicology & Globalization,Music Heritage Theory,N/A (Applied field),LXXXVI. Music (Cultural Heritage),CSV
ART,6,Sport & Physical Culture,A. Sociology & Politics of Sport,Global Sport Theory,Richard Giulianotti,LXXXVII. Sports (Global),CSV
ART,12,Architecture & the Built Environment,"B. Architecture, Society & Power",Architecture and Power Theory,Michel Foucault (Discipline and Punish),LXXXVIII. Architecture (Politics),CSV
ART,13,Fashion & Dress Studies,C. Sustainable & Ethical Fashion,Circular Fashion Theory,Ellen MacArthur Foundation,LXXXIX. Fashion (Sustainability),CSV
ART,15,"Arts in Health, Therapy & Wellbeing",A. Art Therapy & Psychology of Art,Developmental Art Therapy Theory,Judith A. Rubin,XC. Art Therapy (Developmental),CSV
ART,11,"Digital, New Media & AI Arts",A. Algorithmic & Generative Art,Generative Art Theory,Philip Galanter,XCI. Digital Arts (Generative),CSV
ART,4,Music & Sound Studies,C. Music Therapy & Healing,Community Music Therapy Theory,Brynjulf Stige,XCII. Music (Therapy - Social),CSV
ART,6,Sport & Physical Culture,"B. Body, Health & Sport Psychology",Flow Theory (Sport),Mihaly Csikszentmihalyi,XCIII. Sports (Psychology of Performance),CSV
ART,1,Aesthetics & Philosophy of Art,B. Everyday & Environmental Aesthetics,Micro-Aesthetics Theory,N/A (Emerging concept),XCIV. Aesthetics (Everyday - Advanced),CSV
ART,2,Art History & Historiography,B. Critical & Feminist Art Historiography,Materiality of Art Theory,Caroline Jones,XCV. Art History (Materiality),CSV
ART,3,Performance Studies & Theatre,C. Everyday & Restored Behavior,Restored Behavior Theory (Performance),Richard Schechner,XCVI. Performance Studies (Restoration),CSV
ART,4,Music & Sound Studies,A. Sociology & Politics of Music,Musical Development Theory,Howard Gardner,XCVII. Music (Cognitive Development),CSV
ART,6,Sport & Physical Culture,A. Sociology & Politics of Sport,Fair Play Theory (Sport),N/A (Ethical principle),XCVIII. Sports (Ethics of Fair Play),CSV
ART,12,Architecture & the Built Environment,C. Sustainable & Behavioral Architecture,Environmental Psychology in Architecture Theory,Robert Sommer,XCIX. Architecture (Human Factors),CSV
ART,13,Fashion & Dress Studies,"A. Dress, Identity & Fashion Systems",Fashion and the Body Theory,Joanne Entwistle,C. Fashion (Body),CSV
MANAGEMENT,1,Organizational Behavior & Work Psychology,A. Motivation & Job Design,Hierarchy of Needs (Management),Abraham Maslow,I. Organizational Behavior & Management,CSV
MANAGEMENT,1,Organizational Behavior & Work Psychology,A. Motivation & Job Design,Two-Factor Theory (Motivation-Hygiene Theory),Frederick Herzberg,I. Organizational Behavior & Management,CSV
MANAGEMENT,1,Organizational Behavior & Work Psychology,A. Motivation & Job Design,Expectancy Theory (Motivation),Victor Vroom,I. Organizational Behavior & Management,CSV
MANAGEMENT,1,Organizational Behavior & Work Psychology,A. Motivation & Job Design,Equity Theory (Motivation),J. Stacy Adams,I. Organizational Behavior & Management,CSV
MANAGEMENT,1,Organizational Behavior & Work Psychology,A. Motivation & Job Design,Goal-Setting Theory,"Edwin Locke, Gary Latham",I. Organizational Behavior & Management,CSV
MANAGEMENT,1,Organizational Behavior & Work Psychology,A. Motivation & Job Design,Trait Theory of Leadership,Ralph Stogdill,I. Organizational Behavior & Management,CSV
MANAGEMENT,1,Organizational Behavior & Work Psychology,A. Motivation & Job Design,Behavioral Theories of Leadership,"Ohio State Studies, University of Michigan Studies",I. Organizational Behavior & Management,CSV
MANAGEMENT,1,Organizational Behavior & Work Psychology,A. Motivation & Job Design,Situational Leadership Theory,"Paul Hersey, Ken Blanchard",I. Organizational Behavior & Management,CSV
MANAGEMENT,1,Organizational Behavior & Work Psychology,A. Motivation & Job Design,Contingency Theory of Leadership (Fiedler),Fred Fiedler,I. Organizational Behavior & Management,CSV
MANAGEMENT,1,Organizational Behavior & Work Psychology,A. Motivation & Job Design,Transformational Leadership Theory,"James MacGregor Burns, Bernard M. Bass",I. Organizational Behavior & Management,CSV
MANAGEMENT,1,Organizational Behavior & Work Psychology,A. Motivation & Job Design,Transactional Leadership Theory,Bernard M. Bass,I. Organizational Behavior & Management,CSV
MANAGEMENT,1,Organizational Behavior & Work Psychology,A. Motivation & Job Design,Bureaucracy Theory (Management),Max Weber,I. Organizational Behavior & Management,CSV
MANAGEMENT,1,Organizational Behavior & Work Psychology,A. Motivation & Job Design,Contingency Theory of Organization,"Joan Woodward, Paul Lawrence, Jay Lorsch",I. Organizational Behavior & Management,CSV
MANAGEMENT,1,Organizational Behavior & Work Psychology,A. Motivation & Job Design,Scientific Management Theory,Frederick Winslow Taylor,I. Organizational Behavior & Management,CSV
MANAGEMENT,1,Organizational Behavior & Work Psychology,A. Motivation & Job Design,Human Relations Movement,Elton Mayo (Hawthorne Studies),I. Organizational Behavior & Management,CSV
MANAGEMENT,1,Organizational Behavior & Work Psychology,A. Motivation & Job Design,Social Loafing (Management),Max Ringelmann,I. Organizational Behavior & Management,CSV
MANAGEMENT,1,Organizational Behavior & Work Psychology,A. Motivation & Job Design,Groupthink (Management),Irving L. Janis,I. Organizational Behavior & Management,CSV
MANAGEMENT,1,Organizational Behavior & Work Psychology,A. Motivation & Job Design,Team Development Stages (Tuckman),Bruce Tuckman,I. Organizational Behavior & Management,CSV
MANAGEMENT,1,Organizational Behavior & Work Psychology,A. Motivation & Job Design,Social Identity Theory (Management),"Henri Tajfel, John Turner (applied to OB)",I. Organizational Behavior & Management,CSV
MANAGEMENT,1,Organizational Behavior & Work Psychology,A. Motivation & Job Design,Organizational Culture Theory (Schein),Edgar Schein,I. Organizational Behavior & Management,CSV
MANAGEMENT,1,Organizational Behavior & Work Psychology,A. Motivation & Job Design,Competing Values Framework,"Robert Quinn, Kim Cameron",I. Organizational Behavior & Management,CSV
MANAGEMENT,2,Strategic Management & Competitive Advantage,A. Competitive Positioning & Resources,Five Forces Framework,Michael Porter,II. Strategic Management,CSV
