name,country,birth_year,group,comparable_to,key_films,status
Anthony Chen,sg,1984,G5,Edward Yang,Ilo Ilo (2013); Wet Season (2019); The Breaking Ice (2023),Singapore's first Cannes Caméra d'Or; family dramas
Boo Junfeng,sg,1983,G5,Alan J. Pakula,Sandcastle (2010); Apprentice (2016),Singaporean; sensitive national topics; penal system
Amanda Nell Eu,my,1980,G5,Apichatpong Weerasethakul,Tiger Stripes (2023),First Malaysian female to win Cannes Critics' Week Grand Prize
Kamila Andini,id,1986,G5,Naomi Kawase,The Seen and Unseen (2017); Yuni (2021); Before Now & Then (2022),Indonesian poetic art-house; womanhood/history
Joko Anwar,id,1976,G5,James Wan,Satan's Slaves (2017); Impetigore (2019),Leading Indonesian genre/horror; cult following
Cyril Schäublin,ch,1984,G5,Roy Andersson,Those Who Are Fine (2017); Unrest (2022),Swiss; deadpan; Berlin directing prize; labor/capitalism
Srdan Golubović,rs,1972,G5,Cristian Mungiu,The Trap (2007); Circles (2013); Father (2020),Serbian; morally complex Balkan-war social dramas
Dalibor Matanić,hr,1975,G5,Krzysztof Kieślowski,The High Sun (2015),Croatian; Cannes UCR Jury Prize; inter-ethnic love
Šarūnas Bartas,lt,1964,G5,Béla Tarr,Frost (2017); In the Dusk (2019),Lithuania's renowned auteur; bleak existential
Teona Strugar Mitevska,mk,1974,G5,Andrea Arnold,God Exists Her Name Is Petrunya (2019); The Happiest Man in the World (2022),North Macedonia; feminist; Berlin competition
Amjad Abu Alala,sd,1985,G5,Abderrahmane Sissako,You Will Die at Twenty (2019),Sudan's first Oscar submission; Venice Lion of the Future
Haifaa al-Mansour,sa,1974,G5,Nadine Labaki,Wadjda (2012); The Perfect Candidate (2019),검토필요: director_grades_source에서는 G2 — 충돌 정리 필요
Wanuri Kahiu,ke,1980,G5,Dee Rees,Rafiki (2018),Kenyan; co-founded Afrobubblegum; banned queer love story
Akin Omotoso,ng,1974,G5,Spike Lee,Vaya (2016); Rise (2022),Nigerian/diaspora; home + international (Disney+)
