film_title,film_year,film_wikidata,tmdb_id,n_director_refs,director_slugs,rep_types,source
"4 Months, 3 Weeks and 2 Days",2007,,,1,auteur-cristian-mungiu,defining,film_auteur
Black Friday,2007,Q621690,,1,auteur-anurag-kashyap,defining,film_auteur
Boy A,2007,,,1,auteur-john-crowley,defining,film_auteur
Caramel,2007,Q544992,,1,auteur-nadine-labaki,defining,film_auteur
Egg,2007,,,1,auteur-semih-kaplanoglu,defining,film_auteur
Garage,2007,,,1,auteur-lenny-abrahamson,defining,film_auteur
Secret Sunshine,2007,Q496752,,1,auteur-lee-chang-dong,defining,film_auteur
The Edge of Heaven,2007,,,1,auteur-fatih-akin,defining,film_auteur
The Trap,2007,,,1,auteur-srdan-golubovic,defining,film_auteur
There Will Be Blood,2007,Q244315,,1,auteur-paul-thomas-anderson,defining,film_auteur
You the Living,2007,Q387727,,1,auteur-roy-andersson,defining,film_auteur
Gomorrah,2008,,,1,auteur-matteo-garrone,defining,film_auteur
Hunger,2008,,,1,auteur-steve-mcqueen,defining,film_auteur
Il Divo,2008,,,1,auteur-paolo-sorrentino,defining,film_auteur
In Bruges,2008,,,1,auteur-martin-mcdonagh,defining,film_auteur
Serbis,2008,Q3479121,,1,auteur-brillante-mendoza,defining,film_auteur
Snow,2008,,,1,auteur-aida-begic,defining,film_auteur
Still Walking,2008,Q874074,,1,auteur-hirokazu-kore-eda,defining,film_auteur
The Headless Woman,2008,Q2636960,,1,auteur-lucrecia-martel,defining,film_auteur
Tobruk,2008,,,1,auteur-vaclav-marhoul,defining,film_auteur
Tokyo Sonata,2008,Q1368350,,1,auteur-kiyoshi-kurosawa,defining,film_auteur
Waltz with Bashir,2008,Q160793,,1,auteur-ari-folman,defining,film_auteur
A Prophet,2009,,,1,auteur-jacques-audiard,defining,film_auteur
About Elly,2009,Q1311890,,1,auteur-asghar-farhadi,defining,film_auteur
Dev.D,2009,Q3506295,,1,auteur-anurag-kashyap,defining,film_auteur
Dogtooth,2009,Q1075918,,1,auteur-yorgos-lanthimos,defining,film_auteur
Everyone Else,2009,,,1,auteur-maren-ade,defining,film_auteur
Fish Tank,2009,,,1,auteur-andrea-arnold,defining,film_auteur
I Killed My Mother,2009,Q2354576,,1,auteur-xavier-dolan,defining,film_auteur
Kinatay,2009,Q1627903,,1,auteur-brillante-mendoza,defining,film_auteur
Lebanon,2009,,,1,auteur-samuel-maoz,defining,film_auteur
Lourdes,2009,,,1,auteur-jessica-hausner,defining,film_auteur
Mother,2009,Q483761,,1,auteur-bong-joon-ho,defining,film_auteur
The Time That Remains,2009,Q3227617,,1,auteur-elia-suleiman,defining,film_auteur
The White Ribbon,2009,,,1,auteur-michael-haneke,defining,film_auteur
To Die Like a Man,2009,,,1,auteur-joao-pedro-rodrigues,defining,film_auteur
Attenberg,2010,,,1,auteur-athina-rachel-tsangari,defining,film_auteur
Aurora,2010,,,1,auteur-cristi-puiu,defining,film_auteur
Brownian Movement,2010,,,1,auteur-nanouk-leopold,both,film_auteur
Honey,2010,,,1,auteur-semih-kaplanoglu,defining,film_auteur
Incendies,2010,Q1212650,,1,auteur-denis-villeneuve,defining,film_auteur
Limbo,2010,,,1,auteur-maria-sodahl,both,film_auteur
My Joy,2010,,,1,auteur-sergei-loznitsa,defining,film_auteur
Poetry,2010,Q486803,,1,auteur-lee-chang-dong,both,film_auteur
Sandcastle,2010,,,1,auteur-boo-junfeng,both,film_auteur
The Fourth Portrait,2010,Q19849458,,1,auteur-chung-mong-hong,defining,film_auteur
Uncle Boonmee Who Can Recall His Past Lives,2010,Q553901,,1,auteur-apichatpong-weerasethakul,both,film_auteur
A Separation,2011,Q640561,,1,auteur-asghar-farhadi,both,film_auteur
Beauty,2011,Q2270848,,1,auteur-oliver-hermanus,both,film_auteur
Drive,2011,Q732960,,1,auteur-nicolas-winding-refn,both,film_auteur
In Darkness,2011,,,1,auteur-agnieszka-holland,defining,film_auteur
Le Havre,2011,,,1,auteur-aki-kaurismaki,defining,film_auteur
Melancholia,2011,Q165699,,1,auteur-lars-von-trier,defining,film_auteur
Once Upon a Time in Anatolia,2011,,,1,auteur-nuri-bilge-ceylan,defining,film_auteur
"Oslo, August 31st",2011,Q401566,,1,auteur-joachim-trier,defining,film_auteur
Porfirio,2011,,,1,auteur-alejandro-landes,both,film_auteur
Shame,2011,,,1,auteur-steve-mcqueen,both,film_auteur
Snowtown,2011,Q2133240,,1,auteur-justin-kurzel,defining,film_auteur
Still Life,2011,,,1,auteur-sebastian-meise,both,film_auteur
Suicide Room,2011,,,1,auteur-jan-komasa,defining,film_auteur
This Is Not a Film,2011,Q627471,,1,auteur-jafar-panahi,both,film_auteur
Tomboy,2011,,,1,auteur-celine-sciamma,defining,film_auteur
Where Do We Go Now?,2011,Q1766235,,1,auteur-nadine-labaki,both,film_auteur
Amour,2012,,,1,auteur-michael-haneke,both,film_auteur
Barbara,2012,,,1,auteur-christian-petzold,defining,film_auteur
Beyond the Hills,2012,,,1,auteur-cristian-mungiu,defining,film_auteur
Children of Sarajevo,2012,,,1,auteur-aida-begic,both,film_auteur
Gangs of Wasseypur,2012,Q21001632,,1,auteur-anurag-kashyap,both,film_auteur
Hemel,2012,,,1,auteur-sacha-polak,both,film_auteur
Horses of God,2012,Q5274248,,1,auteur-nabil-ayouch,both,film_auteur
In the Fog,2012,,,1,auteur-sergei-loznitsa,defining,film_auteur
Laurence Anyways,2012,,,1,auteur-xavier-dolan,defining,film_auteur
Neighbouring Sounds,2012,Q4414346,,1,auteur-kleber-mendonca-filho,defining,film_auteur
No,2012,Q2620241,,1,auteur-pablo-larrain,defining,film_auteur
Reality,2012,,,1,auteur-matteo-garrone,defining,film_auteur
Rust and Bone,2012,,,1,auteur-jacques-audiard,defining,film_auteur
Tabu,2012,,,1,auteur-miguel-gomes,defining,film_auteur
Tey,2012,,,1,auteur-alain-gomis,both,film_auteur
The Attack,2012,,,1,auteur-ziad-doueiri,both,film_auteur
The Hunt,2012,Q32303,,1,auteur-thomas-vinterberg,defining,film_auteur
The Master,2012,Q283586,,1,auteur-paul-thomas-anderson,defining,film_auteur
Wadjda,2012,Q5474120,,1,auteur-haifaa-al-mansour,both,film_auteur
'Til Madness Do Us Part,2013,Q19952772,,1,auteur-wang-bing,defining,film_auteur
12 Years a Slave,2013,,,1,auteur-steve-mcqueen,both,film_auteur
A Touch of Sin,2013,Q13218237,,1,auteur-jia-zhangke,both,film_auteur
An Episode in the Life of an Iron Picker,2013,,,1,auteur-danis-tanovic,recent,film_auteur
Borgman,2013,,,1,auteur-alex-van-warmerdam,both,film_auteur
Circles,2013,,,1,auteur-srdan-golubovic,both,film_auteur
Gloria,2013,Q5013909,,1,auteur-sebastian-lelio,defining,film_auteur
Gravity,2013,Q2579784,,1,auteur-alfonso-cuaron,defining,film_auteur
Harmony Lessons,2013,,,1,auteur-emir-baigazin,both,film_auteur
Ida,2013,,,1,auteur-pawel-pawlikowski,defining,film_auteur
Ilo Ilo,2013,,,1,auteur-anthony-chen,both,film_auteur
In Bloom,2013,,,1,auteur-nana-ekvtimishvili,both,film_auteur
"Mary Is Happy, Mary Is Happy",2013,,,1,auteur-nawapol-thamrongrattanarit,both,film_auteur
"Norte, the End of History",2013,Q13099348,,1,auteur-lav-diaz,both,film_auteur
Of Horses and Men,2013,,,1,auteur-benedikt-erlingsson,both,film_auteur
Omar,2013,Q13475554,,1,auteur-hany-abu-assad,recent,film_auteur
On the Job,2013,,,1,auteur-erik-matti,both,film_auteur
Pee Mak,2013,,,1,auteur-banjong-pisanthanakun,both,film_auteur
Soul,2013,Q15040712,,1,auteur-chung-mong-hong,defining,film_auteur
Story of My Death,2013,,,1,auteur-albert-serra,defining,film_auteur
Stray Dogs,2013,Q12144835,,1,auteur-tsai-ming-liang,both,film_auteur
The Congress,2013,Q3520383,,1,auteur-ari-folman,recent,film_auteur
The Great Beauty,2013,,,1,auteur-paolo-sorrentino,both,film_auteur
Under the Skin,2013,,,1,auteur-jonathan-glazer,defining,film_auteur
A Pigeon Sat on a Branch Reflecting on Existence,2014,Q10483256,,1,auteur-roy-andersson,both,film_auteur
Amour Fou,2014,,,1,auteur-jessica-hausner,defining,film_auteur
Birdman,2014,Q13255497,,1,auteur-alejandro-gonzalez-inarritu,both,film_auteur
Blind,2014,Q15648873,,1,auteur-eskil-vogt,defining,film_auteur
Force Majeure,2014,Q10706553,,1,auteur-ruben-ostlund,defining,film_auteur
Frank,2014,,,1,auteur-lenny-abrahamson,defining,film_auteur
From What Is Before,2014,Q17986904,,1,auteur-lav-diaz,recent,film_auteur
Futuro Beach,2014,Q16938850,,1,auteur-karim-ainouz,defining,film_auteur
Girlhood,2014,,,1,auteur-celine-sciamma,defining,film_auteur
Horse Money,2014,,,1,auteur-pedro-costa,both,film_auteur
Leviathan,2014,Q15972383,,1,auteur-andrey-zvyagintsev,both,film_auteur
Maidan,2014,,,1,auteur-sergei-loznitsa,recent,film_auteur
Mommy,2014,Q16395232,,1,auteur-xavier-dolan,both,film_auteur
Phoenix,2014,,,1,auteur-christian-petzold,defining,film_auteur
The Babadook,2014,Q16011764,,1,auteur-jennifer-kent,defining,film_auteur
The Kindergarten Teacher,2014,Q18214949,,1,auteur-nadav-lapid,both,film_auteur
The Owners,2014,Q18129067,,1,auteur-adilkhan-yerzhanov,defining,film_auteur
The Tribe,2014,,,1,auteur-myroslav-slaboshpytskyi,defining,film_auteur
The Wonders,2014,,,1,auteur-alice-rohrwacher,defining,film_auteur
Whiplash,2014,Q15648198,,1,auteur-damien-chazelle,defining,film_auteur
White God,2014,,,1,auteur-kornel-mundruczo,both,film_auteur
Wild Tales,2014,Q16672466,,1,auteur-damian-szifron,both,film_auteur
Winter Sleep,2014,,,1,auteur-nuri-bilge-ceylan,both,film_auteur
Aferim!,2015,,,1,auteur-radu-jude,defining,film_auteur
Arabian Nights,2015,,,1,auteur-miguel-gomes,defining,film_auteur
As I Open My Eyes,2015,,,1,auteur-leyla-bouzid,both,film_auteur
Brooklyn,2015,,,1,auteur-john-crowley,both,film_auteur
Chevalier,2015,,,1,auteur-athina-rachel-tsangari,defining,film_auteur
Dheepan,2015,,,1,auteur-jacques-audiard,both,film_auteur
Embrace of the Serpent,2015,Q19824642,,1,auteur-ciro-guerra,both,film_auteur
Happy Hour,2015,Q28682695,,1,auteur-ryusuke-hamaguchi,defining,film_auteur
Heart Attack,2015,,,1,auteur-nawapol-thamrongrattanarit,both,film_auteur
Honor Thy Father,2015,,,1,auteur-erik-matti,both,film_auteur
Ixcanul,2015,Q18702255,,1,auteur-jayro-bustamante,both,film_auteur
Kaili Blues,2015,Q20687830,,1,auteur-bi-gan,both,film_auteur
Macbeth,2015,Q15934383,,1,auteur-justin-kurzel,defining,film_auteur
Much Loved,2015,Q19894499,,1,auteur-nabil-ayouch,recent,film_auteur
Mustang,2015,,,1,auteur-deniz-gamze-erguven,both,film_auteur
Paulina,2015,,,1,auteur-santiago-mitre,both,film_auteur
Room,2015,,,1,auteur-lenny-abrahamson,both,film_auteur
Son of Saul,2015,Q19816400,,1,auteur-laszlo-nemes,defining,film_auteur
Taxi,2015,Q18844625,,1,auteur-jafar-panahi,both,film_auteur
The Assassin,2015,Q15831713,,1,auteur-hou-hsiao-hsien,both,film_auteur
The Club,2015,Q18959440,,1,auteur-pablo-larrain,defining,film_auteur
The High Sun,2015,,,1,auteur-dalibor-matanic,both,film_auteur
The Revenant,2015,Q18002795,,1,auteur-alejandro-gonzalez-inarritu,recent,film_auteur
American Honey,2016,,,1,auteur-andrea-arnold,both,film_auteur
Apprentice,2016,,,1,auteur-boo-junfeng,both,film_auteur
Aquarius,2016,Q23833608,,1,auteur-kleber-mendonca-filho,defining,film_auteur
Arrival,2016,Q20382729,,1,auteur-denis-villeneuve,both,film_auteur
Clash,2016,,,1,auteur-mohamed-diab,both,film_auteur
Graduation,2016,,,1,auteur-cristian-mungiu,recent,film_auteur
Jackie,2016,Q22350767,,1,auteur-pablo-larrain,recent,film_auteur
La La Land,2016,Q20856802,,1,auteur-damien-chazelle,both,film_auteur
Ma' Rosa,2016,Q23834520,,1,auteur-brillante-mendoza,both,film_auteur
Moonlight,2016,Q21527875,,1,auteur-barry-jenkins,both,film_auteur
Personal Affairs,2016,,,1,auteur-maha-haj,both,film_auteur
Raw,2016,,,1,auteur-julia-ducournau,defining,film_auteur
Sieranevada,2016,,,1,auteur-cristi-puiu,recent,film_auteur
The Death of Louis XIV,2016,,,1,auteur-albert-serra,defining,film_auteur
The Handmaiden,2016,Q20444585,,1,auteur-park-chan-wook,both,film_auteur
The Happiest Day in the Life of Olli Mäki,2016,Q23838435,,1,auteur-juho-kuosmanen,defining,film_auteur
The Neon Demon,2016,Q19750881,,1,auteur-nicolas-winding-refn,both,film_auteur
The Ornithologist,2016,,,1,auteur-joao-pedro-rodrigues,both,film_auteur
The Salesman,2016,Q22344480,,1,auteur-asghar-farhadi,both,film_auteur
The Student,2016,,,1,auteur-kirill-serebrennikov,defining,film_auteur
The Woman Who Left,2016,Q26158148,,1,auteur-lav-diaz,both,film_auteur
Toni Erdmann,2016,,,1,auteur-maren-ade,both,film_auteur
Vaya,2016,,,1,auteur-akin-omotoso,both,film_auteur
A Fantastic Woman,2017,Q28127580,,1,auteur-sebastian-lelio,both,film_auteur
A Man of Integrity,2017,Q29401467,,1,auteur-mohammad-rasoulof,both,film_auteur
Beauty and the Dogs,2017,Q29413105,,1,auteur-kaouther-ben-hania,both,film_auteur
Blade Runner 2049,2017,Q21500755,,1,auteur-denis-villeneuve,recent,film_auteur
Closeness,2017,,,1,auteur-kantemir-balagov,defining,film_auteur
Foxtrot,2017,,,1,auteur-samuel-maoz,both,film_auteur
Frost,2017,,,1,auteur-sarunas-bartas,both,film_auteur
Félicité,2017,,,1,auteur-alain-gomis,both,film_auteur
In the Fade,2017,,,1,auteur-fatih-akin,recent,film_auteur
Killing Jesus,2017,,,1,auteur-laura-mora-ortega,both,film_auteur
Let the Summer Never Come Again,2017,,,1,auteur-alexandre-koberidze,both,film_auteur
Loveless,2017,,,1,auteur-andrey-zvyagintsev,both,film_auteur
My Happy Family,2017,,,1,auteur-nana-ekvtimishvili,both,film_auteur
On Body and Soul,2017,,,1,auteur-ildiko-enyedi,both,film_auteur
Phantom Thread,2017,Q28840386,,1,auteur-paul-thomas-anderson,defining,film_auteur
Satan's Slaves,2017,,,1,auteur-joko-anwar,both,film_auteur
Summer 1993,2017,,,1,auteur-carla-simon,defining,film_auteur
The Insult,2017,,,1,auteur-ziad-doueiri,both,film_auteur
The Seen and Unseen,2017,,,1,auteur-kamila-andini,both,film_auteur
The Shape of Water,2017,Q26698156,,1,auteur-guillermo-del-toro,both,film_auteur
The Square,2017,Q27237522,,1,auteur-ruben-ostlund,both,film_auteur
The Summit,2017,,,1,auteur-santiago-mitre,both,film_auteur
The Wound,2017,,,1,auteur-john-trengove,both,film_auteur
Those Who Are Fine,2017,,,1,auteur-cyril-schaublin,both,film_auteur
Three Billboards Outside Ebbing Missouri,2017,,,1,auteur-martin-mcdonagh,both,film_auteur
Until the Birds Return,2017,,,1,auteur-karim-moussaoui,both,film_auteur
Village Rockstars,2017,,,1,auteur-rima-das,both,film_auteur
Winter Brothers,2017,,,1,auteur-hlynur-palmason,both,film_auteur
Zama,2017,Q22931120,,1,auteur-lucrecia-martel,recent,film_auteur
Asako I & II,2018,Q51800443,,1,auteur-ryusuke-hamaguchi,recent,film_auteur
Birds of Passage,2018,Q51998716,,1,auteur-ciro-guerra,recent,film_auteur
Border,2018,Q53736577,,1,auteur-ali-abbasi,both,film_auteur
Bulbul Can Sing,2018,,,1,auteur-rima-das,both,film_auteur
Burning,2018,Q27964354,,1,auteur-lee-chang-dong,recent,film_auteur
Capernaum,2018,Q51803319,,1,auteur-nadine-labaki,both,film_auteur
Cobain,2018,,,1,auteur-nanouk-leopold,both,film_auteur
Cold War,2018,,,1,auteur-pawel-pawlikowski,both,film_auteur
Dogman,2018,,,1,auteur-matteo-garrone,recent,film_auteur
Donbass,2018,,,1,auteur-sergei-loznitsa,recent,film_auteur
Girl,2018,,,1,auteur-lukas-dhont,defining,film_auteur
Happy as Lazzaro,2018,,,1,auteur-alice-rohrwacher,both,film_auteur
If Beale Street Could Talk,2018,Q38685547,,1,auteur-barry-jenkins,recent,film_auteur
Leto,2018,,,1,auteur-kirill-serebrennikov,both,film_auteur
Long Day's Journey into Night,2018,Q51879925,,1,auteur-bi-gan,both,film_auteur
Rafiki,2018,,,1,auteur-wanuri-kahiu,both,film_auteur
Roma,2018,Q27959455,,1,auteur-alfonso-cuaron,both,film_auteur
Shoplifters,2018,Q48765577,,1,auteur-hirokazu-kore-eda,both,film_auteur
Sunset,2018,,,1,auteur-laszlo-nemes,recent,film_auteur
The Favourite,2018,,,1,auteur-yorgos-lanthimos,defining,film_auteur
The Nightingale,2018,Q29262902,,1,auteur-jennifer-kent,recent,film_auteur
The River,2018,,,1,auteur-emir-baigazin,both,film_auteur
The Third Wife,2018,,,1,auteur-ash-mayfair,both,film_auteur
Transit,2018,,,1,auteur-christian-petzold,recent,film_auteur
Woman at War,2018,,,1,auteur-benedikt-erlingsson,both,film_auteur
A Dark Dark Man,2019,Q98546087,,1,auteur-adilkhan-yerzhanov,recent,film_auteur
A Sun,2019,Q69400860,,1,auteur-chung-mong-hong,both,film_auteur
A White White Day,2019,,,1,auteur-hlynur-palmason,both,film_auteur
Adam,2019,,,1,auteur-maryam-touzani,both,film_auteur
Atlantics,2019,Q63212985,,1,auteur-mati-diop,both,film_auteur
Bacurau,2019,Q63246555,,2,auteur-juliano-dornelles;auteur-kleber-mendonca-filho,both,film_auteur
Beanpole,2019,,,1,auteur-kantemir-balagov,both,film_auteur
Corpus Christi,2019,,,1,auteur-jan-komasa,both,film_auteur
Dirty God,2019,,,1,auteur-sacha-polak,both,film_auteur
Ghost Tropic,2019,,,1,auteur-bas-devos,both,film_auteur
God Exists Her Name Is Petrunya,2019,,,1,auteur-teona-strugar-mitevska,both,film_auteur
Hope,2019,,,1,auteur-maria-sodahl,both,film_auteur
Impetigore,2019,,,1,auteur-joko-anwar,both,film_auteur
In the Dusk,2019,,,1,auteur-sarunas-bartas,both,film_auteur
Invisible Life,2019,Q64166529,,1,auteur-karim-ainouz,recent,film_auteur
It Must Be Heaven,2019,Q63226387,,1,auteur-elia-suleiman,recent,film_auteur
La Llorona,2019,Q66813625,,1,auteur-jayro-bustamante,recent,film_auteur
Little Joe,2019,,,1,auteur-jessica-hausner,both,film_auteur
Moffie,2019,Q72697912,,1,auteur-oliver-hermanus,recent,film_auteur
Monos,2019,,,1,auteur-alejandro-landes,both,film_auteur
Our Mothers,2019,,,1,auteur-cesar-diaz,both,film_auteur
Pain and Glory,2019,,,1,auteur-pedro-almodovar,recent,film_auteur
Parasite,2019,Q61448040,,1,auteur-bong-joon-ho,both,film_auteur
Portrait of a Lady on Fire,2019,,,1,auteur-celine-sciamma,both,film_auteur
Synonyms,2019,Q61672685,,1,auteur-nadav-lapid,both,film_auteur
Temblores,2019,Q60583022,,1,auteur-jayro-bustamante,recent,film_auteur
The Painted Bird,2019,,,1,auteur-vaclav-marhoul,both,film_auteur
The Perfect Candidate,2019,Q65954726,,1,auteur-haifaa-al-mansour,recent,film_auteur
Vitalina Varela,2019,,,1,auteur-pedro-costa,recent,film_auteur
Wet Season,2019,,,1,auteur-anthony-chen,both,film_auteur
You Will Die at Twenty,2019,,,1,auteur-amjad-abu-alala,both,film_auteur
Another Round,2020,Q69303989,,1,auteur-thomas-vinterberg,both,film_auteur
Apples,2020,,,1,auteur-christos-nikou,both,film_auteur
Beginning,2020,,,1,auteur-dea-kulumbegashvili,both,film_auteur
Father,2020,,,1,auteur-srdan-golubovic,both,film_auteur
Pieces of a Woman,2020,,,1,auteur-kornel-mundruczo,both,film_auteur
"Quo Vadis, Aida?",2020,Q97765712,,1,auteur-jasmila-zbanic,both,film_auteur
The Earth Is Blue as an Orange,2020,,,1,auteur-iryna-tsilyk,both,film_auteur
The Hater,2020,,,1,auteur-jan-komasa,recent,film_auteur
The Man Who Sold His Skin,2020,Q88465322,,1,auteur-kaouther-ben-hania,recent,film_auteur
The Mole Agent,2020,,,1,auteur-maite-alberdi,both,film_auteur
There Is No Evil,2020,Q84321441,,1,auteur-mohammad-rasoulof,both,film_auteur
Wife of a Spy,2020,Q97768272,,1,auteur-kiyoshi-kurosawa,recent,film_auteur
Yellow Cat,2020,Q98690237,,1,auteur-adilkhan-yerzhanov,recent,film_auteur
A Night of Knowing Nothing,2021,Q108613403,,1,auteur-payal-kapadia,recent,film_auteur
A Tale of Love and Desire,2021,,,1,auteur-leyla-bouzid,both,film_auteur
Ahed's Knee,2021,Q107089450,,1,auteur-nadav-lapid,recent,film_auteur
Amira,2021,,,1,auteur-mohamed-diab,both,film_auteur
Bad Luck Banging or Loony Porn,2021,,,1,auteur-radu-jude,both,film_auteur
Casablanca Beats,2021,Q107096526,,1,auteur-nabil-ayouch,recent,film_auteur
Compartment No. 6,2021,Q107092356,,1,auteur-juho-kuosmanen,both,film_auteur
Drive My Car,2021,Q107107865,,1,auteur-ryusuke-hamaguchi,both,film_auteur
Dune,2021,Q60834962,,1,auteur-denis-villeneuve,recent,film_auteur
Great Freedom,2021,,,1,auteur-sebastian-meise,both,film_auteur
Hive,2021,,,1,auteur-blerta-basholli,both,film_auteur
Lamb,2021,,,1,auteur-valdimar-johannsson,both,film_auteur
Nitram,2021,Q106462638,,1,auteur-justin-kurzel,recent,film_auteur
Petite Maman,2021,,,1,auteur-celine-sciamma,recent,film_auteur
Petrov's Flu,2021,,,1,auteur-kirill-serebrennikov,recent,film_auteur
The Hand of God,2021,,,1,auteur-paolo-sorrentino,recent,film_auteur
The Innocents,2021,Q107112059,,1,auteur-eskil-vogt,both,film_auteur
The Medium,2021,,,1,auteur-banjong-pisanthanakun,both,film_auteur
The Power of the Dog,2021,Q85323337,,1,auteur-jane-campion,both,film_auteur
The Story of My Wife,2021,,,1,auteur-ildiko-enyedi,recent,film_auteur
The Worst Person in the World,2021,Q107089587,,1,auteur-joachim-trier,both,film_auteur
Titane,2021,,,1,auteur-julia-ducournau,both,film_auteur
What Do We See When We Look at the Sky?,2021,,,1,auteur-alexandre-koberidze,both,film_auteur
Yuni,2021,,,1,auteur-kamila-andini,both,film_auteur
Alcarràs,2022,,,1,auteur-carla-simon,both,film_auteur
Argentina 1985,2022,,,1,auteur-santiago-mitre,both,film_auteur
Before Now & Then,2022,,,1,auteur-kamila-andini,both,film_auteur
Close,2022,,,1,auteur-lukas-dhont,both,film_auteur
Decision to Leave,2022,Q100889636,,1,auteur-park-chan-wook,both,film_auteur
Fast & Feel Love,2022,,,1,auteur-nawapol-thamrongrattanarit,both,film_auteur
Godland,2022,,,1,auteur-hlynur-palmason,both,film_auteur
Hatching,2022,,,1,auteur-hanna-bergholm,both,film_auteur
Holy Spider,2022,Q111600223,,1,auteur-ali-abbasi,recent,film_auteur
Living,2022,Q107304169,,1,auteur-oliver-hermanus,recent,film_auteur
Mediterranean Fever,2022,,,1,auteur-maha-haj,both,film_auteur
No Bears,2022,Q113151425,,1,auteur-jafar-panahi,recent,film_auteur
