name,type,article,issue,context
Caetlin Benson-Allott,theorist,"Seeing Things: A Conversation with Kartik Nair","Page Views, 2024-03 (77.3)","niche audiences and new media shape film culture's future"
materialist film historiography,concept,"Seeing Things: A Conversation with Kartik Nair","Page Views, 2024-03 (77.3)","charting off-screen networks of labor, energy, finance behind images"
body genres,concept,"Seeing Things: A Conversation with Kartik Nair","Page Views, 2024-03 (77.3)","Williams's genres that move viewer via overt bodily display"
body horror,concept,"Seeing Things: A Conversation with Kartik Nair","Page Views, 2024-03 (77.3)","bodies undergoing impossible transformations, showcasing makeup craft"
cinema of interruptions,concept,"Seeing Things: A Conversation with Kartik Nair","Page Views, 2024-03 (77.3)","Gopalan's account of masala form interrupting genres"
spectral materialities,concept,"Seeing Things: A Conversation with Kartik Nair","Page Views, 2024-03 (77.3)","book subtitle; materiality of filmic image as historical index"
indexicality,concept,"Seeing Things: A Conversation with Kartik Nair","Page Views, 2024-03 (77.3)","film failures and marks as indexical entries into production history"
Ramzi Fawaz,theorist,"You're My People: Accounting for the Us in The Last of Us","Web exclusive/Column, 2024-05 (77.4)","columnist arguing the game enacts Arendtian representative thinking"
Hannah Arendt,theorist,"You're My People: Accounting for the Us in The Last of Us","Web exclusive/Column, 2024-05 (77.4)","representative thinking, judgment, promising, forgiveness, banality of evil"
Judith Butler,theorist,"You're My People: Accounting for the Us in The Last of Us","Web exclusive/Column, 2024-05 (77.4)","grief exposes constitutive sociality of the self"
Naomi Klein,theorist,"You're My People: Accounting for the Us in The Last of Us","Web exclusive/Column, 2024-05 (77.4)","doppelganger politics and mirror world of contemporary politics"
Neil Druckmann,theorist,"You're My People: Accounting for the Us in The Last of Us","Web exclusive/Column, 2024-05 (77.4)","director quoted on intended player allegiance shift to Abby"
representative thinking,concept,"You're My People: Accounting for the Us in The Last of Us","Web exclusive/Column, 2024-05 (77.4)","Arendt: considering an issue from absent others' standpoints"
doppelganger politics,concept,"You're My People: Accounting for the Us in The Last of Us","Web exclusive/Column, 2024-05 (77.4)","Klein: rivals perversely replicate each other's worst aspects"
banality of evil,concept,"You're My People: Accounting for the Us in The Last of Us","Web exclusive/Column, 2024-05 (77.4)","Arendt on choosing the lesser evil and forgetting one chose evil"
radical forgiveness,concept,"You're My People: Accounting for the Us in The Last of Us","Web exclusive/Column, 2024-05 (77.4)","Arendt: practice freeing people from unforeseen outcomes of actions"
promising,concept,"You're My People: Accounting for the Us in The Last of Us","Web exclusive/Column, 2024-05 (77.4)","Arendt: islands of certainty in an ocean of uncertainty"
cognitive mapping,concept,"You're My People: Accounting for the Us in The Last of Us","Web exclusive/Column, 2024-05 (77.4)","game as cognitive map of affective terrain of a traumatic world"
trauma,concept,"You're My People: Accounting for the Us in The Last of Us","Web exclusive/Column, 2024-05 (77.4)","paralyzing psychic experience fragmenting sense of linear time"
female masculinity,concept,"You're My People: Accounting for the Us in The Last of Us","Web exclusive/Column, 2024-05 (77.4)","Abby as female masculinity usurping male warrior archetype"
Emma Wilson,theorist,"Alice Rohrwacher's Cinema of Poetry","Feature web essay, 2024-05 (77.4)","essay author theorizing Rohrwacher's antipatriarchal cinema of poetry"
Pier Paolo Pasolini,theorist,"Alice Rohrwacher's Cinema of Poetry","Feature web essay, 2024-05 (77.4)","cinema of poetry concept critical for reading Rohrwacher"
Erika Balsom,theorist,"Alice Rohrwacher's Cinema of Poetry","Feature web essay, 2024-05 (77.4)","feminist worldmaking and the moving image terms echoed"
Hila Peleg,theorist,"Alice Rohrwacher's Cinema of Poetry","Feature web essay, 2024-05 (77.4)","co-author of Feminist Worldmaking and the Moving Image"
Goffredo Fofi,theorist,"Alice Rohrwacher's Cinema of Poetry","Feature web essay, 2024-05 (77.4)","Italian critic sourcing phantom kingdom of masculinity"
cinema of poetry,concept,"Alice Rohrwacher's Cinema of Poetry","Feature web essay, 2024-05 (77.4)","Pasolini-derived term for move beyond realism, re-enchantment"
antipatriarchal worldmaking,concept,"Alice Rohrwacher's Cinema of Poetry","Feature web essay, 2024-05 (77.4)","vision of social and gender relations transcending patriarchy"
feminist worldmaking,concept,"Alice Rohrwacher's Cinema of Poetry","Feature web essay, 2024-05 (77.4)","Balsom and Peleg: works inventing new languages for gendered experience"
women's cinema (cinema delle donne),concept,"Alice Rohrwacher's Cinema of Poetry","Feature web essay, 2024-05 (77.4)","gendered labeling Rohrwacher resists throughout her career"
phantom kingdom of masculinity,concept,"Alice Rohrwacher's Cinema of Poetry","Feature web essay, 2024-05 (77.4)","Rohrwacher's regno fantasma for masculinity in crisis"
Eros and Thanatos,concept,"Alice Rohrwacher's Cinema of Poetry","Feature web essay, 2024-05 (77.4)","fundamental drives read through Romanticism in La Chimera"
opacity,concept,"Alice Rohrwacher's Cinema of Poetry","Feature web essay, 2024-05 (77.4)","Benson-Allott on Louvart honoring heroines' opacity"
bell hooks,theorist,"Sisters Are Doin' It for Themselves: The Contextual Labor of Black Women","Quorum, 2024-02","extended conversation with Julie Dash on Black cinema reception"
Claudia Tate,theorist,"Sisters Are Doin' It for Themselves: The Contextual Labor of Black Women","Quorum, 2024-02","editor of Black Women Writers at Work, contextual interview model"
Toni Cade Bambara,theorist,"Sisters Are Doin' It for Themselves: The Contextual Labor of Black Women","Quorum, 2024-02","wrote introductory essay to Dash's Daughters of the Dust book"
Samantha Sheppard,theorist,"Sisters Are Doin' It for Themselves: The Contextual Labor of Black Women","Quorum, 2024-02","profile of New Negress Film Society collective"
Yasmina Price,theorist,"Sisters Are Doin' It for Themselves: The Contextual Labor of Black Women","Quorum, 2024-02","recent contextual essay on Cauleen Smith's Drylongso"
contextual labor,concept,"Sisters Are Doin' It for Themselves: The Contextual Labor of Black Women","Quorum, 2024-02","explanatory work disproportionately falling to Black women"
auteurism privileging text over context,concept,"Sisters Are Doin' It for Themselves: The Contextual Labor of Black Women","Quorum, 2024-02","how canon evaluation disadvantages marginalized filmmakers"
One Black Writer idea,concept,"Sisters Are Doin' It for Themselves: The Contextual Labor of Black Women","Quorum, 2024-02","media spotlighting only one Black author at a time"
speculative fiction,concept,"Sisters Are Doin' It for Themselves: The Contextual Labor of Black Women","Quorum, 2024-02","Dash's framing of Daughters of the Dust against ethnography"
teaching-learning viewing position,concept,"Sisters Are Doin' It for Themselves: The Contextual Labor of Black Women","Quorum, 2024-02","audience expectation of pedagogical accuracy from Black cinema"
Amy Herzog,theorist,"Proximities of Violence: The Zone of Interest","Feature web essay, 2024-03 (77.3)","essay author building sensate-criticism reading of the film"
Gillian Rose,theorist,"Proximities of Violence: The Zone of Interest","Feature web essay, 2024-03 (77.3)","Holocaust piety, Holocaust ethnography, fascism of representation"
Theodor W. Adorno,theorist,"Proximities of Violence: The Zone of Interest","Feature web essay, 2024-03 (77.3)","poetry after Auschwitz is barbaric and its misreading"
Terri Ginsberg,theorist,"Proximities of Violence: The Zone of Interest","Feature web essay, 2024-03 (77.3)","coined the Adorno taboo on formal analysis of Holocaust films"
Margaret Olin,theorist,"Proximities of Violence: The Zone of Interest","Feature web essay, 2024-03 (77.3)","topography of the Holocaust film; soil implicated in murder"
Laura Marks,theorist,"Proximities of Violence: The Zone of Interest","Feature web essay, 2024-03 (77.3)","theories of hapticity and haptic cinema"
Fiona Jenkins,theorist,"Proximities of Violence: The Zone of Interest","Feature web essay, 2024-03 (77.3)","sensate criticism and the difficult zone of the image"
administrative massacre,concept,"Proximities of Violence: The Zone of Interest","Feature web essay, 2024-03 (77.3)","Arendt's term for bureaucratized genocide"
the Adorno taboo,concept,"Proximities of Violence: The Zone of Interest","Feature web essay, 2024-03 (77.3)","Ginsberg's term; prohibition on formal Holocaust-film analysis"
Holocaust piety,concept,"Proximities of Violence: The Zone of Interest","Feature web essay, 2024-03 (77.3)","Rose's term; protects against knowledge and self-reflection"
Holocaust ethnography,concept,"Proximities of Violence: The Zone of Interest","Feature web essay, 2024-03 (77.3)","Rose's proposed alternative to Holocaust piety"
the fascism of representation,concept,"Proximities of Violence: The Zone of Interest","Feature web essay, 2024-03 (77.3)","Rose; manipulations offering a false moral high ground"
topography of the Holocaust film,concept,"Proximities of Violence: The Zone of Interest","Feature web essay, 2024-03 (77.3)","Olin's term for landscape and soil implicated in atrocity"
hapticity,concept,"Proximities of Violence: The Zone of Interest","Feature web essay, 2024-03 (77.3)","Marks; response to failure of visual capture"
frames of war / grievability,concept,"Proximities of Violence: The Zone of Interest","Feature web essay, 2024-03 (77.3)","Butler; which lives are apprehended and grievable"
sensate criticism,concept,"Proximities of Violence: The Zone of Interest","Feature web essay, 2024-03 (77.3)","Jenkins's model; image pressing back against capture by thought"
blood and soil (Blut und Boden),concept,"Proximities of Violence: The Zone of Interest","Feature web essay, 2024-03 (77.3)","agrarian romanticism masking a genocidal land grab"
slow cinema,concept,"Proximities of Violence: The Zone of Interest","Feature web essay, 2024-03 (77.3)","named tradition the film's use of duration is distinguished from"
Chris Berry,theorist,"Pema Tseden (1969-2023): A Tribute","Feature web essay, 2024-03 (77.3)","essay author; argues Pema's early films are road movies"
Kamila Hladikova,theorist,"Pema Tseden (1969-2023): A Tribute","Feature web essay, 2024-03 (77.3)","reads the films as Shangri-la deconstructed"
Dan Smyer Yu,theorist,"Pema Tseden (1969-2023): A Tribute","Feature web essay, 2024-03 (77.3)","everyday religious custom central to traditional practice"
Anup Grewal,theorist,"Pema Tseden (1969-2023): A Tribute","Feature web essay, 2024-03 (77.3)","films resist homogenizing/exoticizing perspective; look again"
Yang Li,theorist,"Pema Tseden (1969-2023): A Tribute","Feature web essay, 2024-03 (77.3)","women silent and subject to visual exclusion"
Francoise Robin,theorist,"Pema Tseden (1969-2023): A Tribute","Feature web essay, 2024-03 (77.3)","names Pema's uneasy relationship with women"
Robert Barnett,theorist,"Pema Tseden (1969-2023): A Tribute","Feature web essay, 2024-03 (77.3)","Pema's fame inspired young Tibetans to make videos"
Shangri-la deconstructed,concept,"Pema Tseden (1969-2023): A Tribute","Feature web essay, 2024-03 (77.3)","Hladikova's term countering exotic Tibet imagery"
look again,concept,"Pema Tseden (1969-2023): A Tribute","Feature web essay, 2024-03 (77.3)","technique making audiences question rather than accept"
open narrative,concept,"Pema Tseden (1969-2023): A Tribute","Feature web essay, 2024-03 (77.3)","silent woman creating narrative openness"
road movie,concept,"Pema Tseden (1969-2023): A Tribute","Feature web essay, 2024-03 (77.3)","Berry's reading of Pema's early films"
realist aesthetic,concept,"Pema Tseden (1969-2023): A Tribute","Feature web essay, 2024-03 (77.3)","reflecting multiple spoken languages of the Tibetan realm"
visual exclusion,concept,"Pema Tseden (1969-2023): A Tribute","Feature web essay, 2024-03 (77.3)","Yang Li's term for treatment of women"
Tibetan New Wave,concept,"Pema Tseden (1969-2023): A Tribute","Feature web essay, 2024-03 (77.3)","movement Pema pioneered"
Buddhist mode of reflexivity,concept,"Pema Tseden (1969-2023): A Tribute","Feature web essay, 2024-03 (77.3)","Kwai-Cheung Lo's reading of Pema's films"
