theorist,covered,match
Maurice Merleau-Ponty,Y,exact
Maxim Morel,N,
Mette Hjort,N,
Michaël Foessel,N,
Michael Rothberg,Y,exact
Michael Warner,Y,exact
Michel Chion,Y,exact
Michel Foucault,Y,exact
Michel Foucault  and Thomas Mathiesen,N,
Mikhail Bakhtin,Y,exact
Miranda Fricker,Y,exact
mode theory,N,
multimodal social semiotics),N,
national cinema),N,
Neue Marx-Lektüre,N,
new materialist criticism,N,
Ngũgĩ wa Thiong'o,N,
Nicholas Mirzoeff,Y,exact
Nicole Brenez,N,
Nils Bubandt,N,
Nino Dzandzava,N,
Noel Carroll,N,
Olivier Marboeuf,N,
Patrick Vonderau,N,
Patrick Wolfe,Y,exact
Paul Schroeder Rodríguez,N,
Peter Brooks,Y,exact
Peter Fonagy,N,
Pier Paolo Pasolini,N,
(postcolonial,N,
Postcolonial canon critique,N,
(presenter-led,N,
queer theory,N,
R. Murray Schafer,Y,exact
Ramon Lobato,N,
Ranjani Mazumdar,N,
Raúl Prebisch,N,
Raymond Williams,Y,exact
(recherche-création,N,
Richard C. Schwartz,Y,exact
Richard Dyer,Y,exact
Richard Wollheim,N,
Rob Nixon,N,
Robert E. Weems,N,
Robert L. Allen,N,
Robert Pfaller,N,
Roberto Esposito,Y,exact
Robin van den Akker,N,
Roger Caillois,Y,exact
Romit Dasgupta,N,
Rosalind Gill,Y,exact
Rosalind Krauss,N,
Ruth Millikan  and Putnam-style externalism,N,
Saidiya Hartman,Y,exact
Sara Ahmed,Y,exact
Sara Protasi,N,
Sarah Banet-Weiser,Y,exact
Sarah Maldoror,N,
Sarah Thomas,N,
Scott MacDonald),N,
Sebastian Scholz,N,
Sergei Eisenstein,N,
Shannon Sullivan,N,
Shu-mei Shih,N,
Shu-mei Shih; Bill Nichols,N,
Sianne Ngai,Y,exact
Siegfried Kracauer,N,
Sigmund Freud,Y,exact
Slavoj Žižek,Y,exact
Solanas,N,
Song Hwee Lim,N,
Soren Kierkegaard,N,
Stacy Alaimo,Y,exact
Stanley Cavell,Y,exact
Stephen Best and Sharon Marcus,N,
Stevie K. Seibert Desjarlais,N,
Susan Leigh Star,N,
Susan Stryker,Y,exact
T.M. Scanlon,N,
Tanya Horeck,N,
Tarleton Gillespie,Y,exact
Teshome Gabriel,N,
testimony theory),N,
Theodor Adorno,Y,exact
theory of mind,N,
Thomas Elsaesser,Y,exact
Thomas Lamarre,N,
Thomas Poell,Y,exact
Timotheus Vermeulen,N,
Timothy Morton,Y,exact
Tina-Louise Smith,N,
trace),N,
transnational cinema studies,N,
Transnational cinema theory,N,
trauma studies,N,
Trinh T. Minh-ha,N,
Ukrainian poetic cinema tradition,N,
Umberto Eco,Y,exact
Ursula Biemann,N,
V. Y. Mudimbe,N,
Val Plumwood,N,
Victor Turner,Y,exact
Vinzenz Hediger,N,
(visual culture,N,
Vivian Sobchack,Y,exact
(VR documentary empathy debate,N,
Walter Benjamin,Y,exact
Whit Pow,N,
Will Higbee,N,
(witnessing,N,
Yasmina Price,N,
