name,type,article,issue,context
intimate citizenship,concept,"Live, Laugh, Luminol: Feminized Fandom at CrimeCon",78.3,"Dominant structure for thinking about/solving societal problems through feeling and personal action"
carceral feminism,concept,"Live, Laugh, Luminol: Feminized Fandom at CrimeCon",78.3,"Fusing feminist rhetoric with demand for carceral/punitive justice (Nancy Grace example)"
biopolitics,concept,"Live, Laugh, Luminol: Feminized Fandom at CrimeCon",78.3,"Intimate citizenship mobilized for biopolitical forms of crime control"
Donna Campbell,theorist,"Edith Wharton on Film",78.3,"Bitter Tastes; Wharton's generation using evolutionary biology to question Victorian orthodoxies; sentimentality and women's fiction"
R. W. B. Lewis,theorist,"Edith Wharton on Film",78.3,"Wharton biographer; debate over whether she ever saw a movie"
Shari Benstock,theorist,"Edith Wharton on Film",78.3,"No Gifts from Chance; revised account of Wharton's filmgoing"
sentimentality,concept,"Edith Wharton on Film",78.3,"Dominant mode associated with women's fiction; Wharton's lifelong battle against it and against ""ice-cream soda"" films"
Yiman Wang,theorist,"Anna May Wong's Labor and Performance: An Interview with Yiman Wang",78.3,"Author of To Be an Actress; performer-worker studies and ""Oriental"" (dis)play; paradoxical agency"
Eve Sedgwick,theorist,"Anna May Wong's Labor and Performance: An Interview with Yiman Wang",78.3,"""Reparative reading"" applied to Wong's films and gender-race stereotypes"
Tony Bennett,theorist,"Anna May Wong's Labor and Performance: An Interview with Yiman Wang",78.3,"Politicizing texts by repositioning them"
Jose Esteban Munoz,theorist,"Anna May Wong's Labor and Performance: An Interview with Yiman Wang",78.3,"""Disidentification""; affective understanding of the experience of racialization"
Kandice Chuh,theorist,"Anna May Wong's Labor and Performance: An Interview with Yiman Wang",78.3,"Imagine Otherwise; ""subjectless"" Asian Americanist critique; categorical flux"
Saidiya Hartman,theorist,"Anna May Wong's Labor and Performance: An Interview with Yiman Wang",78.3,"Concept of ""critical fabulation"" for engaging archival gaps/absences"
Allyson Nadia Field,theorist,"Anna May Wong's Labor and Performance: An Interview with Yiman Wang",78.3,"Method of ""looking and thinking adjacently"" to absent/lost films"
Sianne Ngai,theorist,"Anna May Wong's Labor and Performance: An Interview with Yiman Wang",78.3,"Ugly Feelings; Orientalized bodies marked by pathos/emotional suppression vs excess"
Denise Khor,theorist,"Anna May Wong's Labor and Performance: An Interview with Yiman Wang",78.3,"Interviewer; Transpacific Convergences; race, migration and Japanese American film culture"
performer-worker studies,concept,"Anna May Wong's Labor and Performance: An Interview with Yiman Wang",78.3,"Wang's critical mode foregrounding invisibilized, gendered, nonwhite performative labor behind white stardom"
Oriental (dis)play,concept,"Anna May Wong's Labor and Performance: An Interview with Yiman Wang",78.3,"Wong's signature ironic hyper-performances that display and dis-play Orientalist femininity"
reparative reading,concept,"Anna May Wong's Labor and Performance: An Interview with Yiman Wang",78.3,"Sedgwickian reading strategy applied to Wong's films"
disidentification,concept,"Anna May Wong's Labor and Performance: An Interview with Yiman Wang",78.3,"Munozian critical position; Wong's neither-American-nor-Chinese position"
critical fabulation,concept,"Anna May Wong's Labor and Performance: An Interview with Yiman Wang",78.3,"Hartman's method activating archival gaps as potential exits/alternative histories"
paradoxical agency,concept,"Anna May Wong's Labor and Performance: An Interview with Yiman Wang",78.3,"Wong's subaltern, non-individualistic, cumulative and collaborative authorship/agency"
intersti-racial comic melancholia,concept,"Anna May Wong's Labor and Performance: An Interview with Yiman Wang",78.3,"Wang's term for Wong's racialized bodily humor that is neither Asian nor Black"
J. M. Tyree,theorist,"Editor's Notebook (on historical fiction)",78.3,"Argues for the value of speculative historical fiction (Blitz, Vermiglio, The Brutalist) over mere fact"
historical fiction,concept,"Editor's Notebook (on historical fiction)",78.3,"Speculative storytelling about the present/future as much as the past; What Ifs of history"
Blitz Spirit,concept,"Editor's Notebook (on historical fiction)",78.3,"WWII mythology of cross-class/ethnic British togetherness, interrogated via McQueen's Blitz"
Laura Mulvey,theorist,"Reassessing the Butt Shot: Feminism Versus Spectacle in The Substance and Anora",78.4,"""Visual Pleasure and Narrative Cinema""; theory of the male gaze underpinning the butt shot"
Carol Clover,theorist,"Reassessing the Butt Shot: Feminism Versus Spectacle in The Substance and Anora",78.4,"Men, Women, and Chain Saws; horror's victim-identification reconciled with Mulvey"
the male gaze,concept,"Reassessing the Butt Shot: Feminism Versus Spectacle in The Substance and Anora",78.4,"Spectatorial dynamics of objectification organizing the ""butt shot"""
reappropriation/reclamation of a trope,concept,"Reassessing the Butt Shot: Feminism Versus Spectacle in The Substance and Anora",78.4,"Acknowledging a trope's derogatory history and imbuing it with affirmative energy"
visual pleasure,concept,"Reassessing the Butt Shot: Feminism Versus Spectacle in The Substance and Anora",78.4,"Mulveyan organization of visual pleasure under sexual/racial imbalance"
misogynoir,concept,"Reassessing the Butt Shot: Feminism Versus Spectacle in The Substance and Anora",78.4,"Fetishizing of Black women's bodies / blanched color correction of white butt shots"
Alfred Hitchcock,theorist,"The Art and History of Movie Novelizations",78.4,"Hitchcock's dictum: hard to make a good film from a great book, easy from a bad one (inverted for novelizations)"
medium specificity,concept,"The Art and History of Movie Novelizations",78.4,"Novelizations put ""medium specificity theories of art"" to the test (what books vs films can do)"
franchise lore,concept,"The Art and History of Movie Novelizations",78.4,"Novelizations as repositories of back-story/""lore"" in synergistic franchise marketing"
Ramzi Fawaz,theorist,"Defying Tyranny: Achieving Political Escape Velocity with Wicked",78.4,"Argues Wicked's appeal lies in critiquing the need for approval from false authorities"
Richard Dyer,theorist,"Defying Tyranny: Achieving Political Escape Velocity with Wicked",78.4,"Only Entertainment; entertainment as utopian feeling responding to unmet social needs"
Jane Feuer,theorist,"Defying Tyranny: Achieving Political Escape Velocity with Wicked",78.4,"The Hollywood Musical; contradiction captured in the musical form itself"
Fredric Jameson,theorist,"Defying Tyranny: Achieving Political Escape Velocity with Wicked",78.4,"Concept of the utopian/""fantasy bribe"" of easy ideological resolution"
Lauren Berlant,theorist,"Defying Tyranny: Achieving Political Escape Velocity with Wicked",78.4,"""Cruel optimism"": attachment to compromised conditions of possibility"
Richard Seymour,theorist,"Defying Tyranny: Achieving Political Escape Velocity with Wicked",78.4,"Political theorist; concept of ""disaster nationalism"""
Musa al-Gharbi,theorist,"Defying Tyranny: Achieving Political Escape Velocity with Wicked",78.4,"Sociologist; term ""symbolic capitalists"" (We Have Never Been Woke)"
cruel optimism,concept,"Defying Tyranny: Achieving Political Escape Velocity with Wicked",78.4,"Berlantian attachment to things that hurt us; Wicked as road map to cut such ties"
fantasy bribe,concept,"Defying Tyranny: Achieving Political Escape Velocity with Wicked",78.4,"Jamesonian utopian bribe of easy ideological resolution that Wicked resists"
disaster nationalism,concept,"Defying Tyranny: Achieving Political Escape Velocity with Wicked",78.4,"Seymour's term; xenophobia/demonization amid ""liquidation of social distinction"""
symbolic capitalists,concept,"Defying Tyranny: Achieving Political Escape Velocity with Wicked",78.4,"al-Gharbi's term for the middle/ruling-class managers of symbols"
culture-industry thesis,concept,"Defying Tyranny: Achieving Political Escape Velocity with Wicked",78.4,"Frankfurt-School thesis Fawaz argues against in reading entertainment's utopian potential"
utopian entertainment,concept,"Defying Tyranny: Achieving Political Escape Velocity with Wicked",78.4,"Dyer-derived account of entertainment as aspirational, revised by Fawaz"
Leena Manimekalai,theorist,"Censorship, A Hurt Story: Hindutva and Populism in Post-Economic Liberalization India",78.4,"Filmmaker whose work centers the disenfranchised and challenges censorial restrictions (case study/lens)"
Hindutva,concept,"Censorship, A Hurt Story: Hindutva and Populism in Post-Economic Liberalization India",78.4,"Right-wing Hindu-nationalist ideology intertwined with populism in the analysis"
populism,concept,"Censorship, A Hurt Story: Hindutva and Populism in Post-Economic Liberalization India",78.4,"Trajectory analyzed alongside Hindutva in post-liberalization India"
hurt sentiments / culture of hurt,concept,"Censorship, A Hurt Story: Hindutva and Populism in Post-Economic Liberalization India",78.4,"State censorship fostering a culture of ""hurt"" co-opted by right-wing ideologues"
intersectionality,concept,"Of Lesbians and Werewolves: The Queer Intersectionality of Good Manners",78.4,"""Intersectional cinema""; reading race, gender, class, sexuality through genre hybridity"
genre hybridity,concept,"Of Lesbians and Werewolves: The Queer Intersectionality of Good Manners",78.4,"Melodrama/horror blend weaponized to expose patriarchal and heteronormative structures"
Barbara Loden,theorist,"Wanda and Beyond",78.4,"Filmmaker of Wanda (1970) read for nascent feminist force and aesthetic of exposure"
Elena Gorfinkel,theorist,"Wanda and Beyond",78.4,"Author; experimental essay on Wanda's time-shifting, descriptive aesthetic of exposure"
descriptive aesthetic of exposure,concept,"Wanda and Beyond",78.4,"Gorfinkel's framing of Wanda's nascent feminist force resident in exposure"
