Film_TMDB_ID,Film_Title,Film_Director_Name
,The Cranes Are Flying,Mikhail Kalatozov
,The Discreet Charm of the Bourgeoisie,Luis Bunuel
,The Graduate,Mike Nichols
,The Leopard,Luchino Visconti
,The Marriage of Maria Braun,Rainer Werner Fassbinder
,The Night of the Hunter,Charles Laughton
,The Spirit of the Beehive,Victor Erice
,The Umbrellas of Cherbourg,Jacques Demy
,The Wages of Fear,Henri-Georges Clouzot
,The Wild Bunch,Sam Peckinpah
,Ugetsu,Kenji Mizoguchi
,Viridiana,Luis Bunuel
,A Complete Unknown,James Mangold
,A Real Pain,Jesse Eisenberg
,About Dry Grasses,Nuri Bilge Ceylan
,All About My Mother,Pedro Almodovar
,Beanpole,Kantemir Balagov
,Bird,Andrea Arnold
,Blue Moon,Richard Linklater
,Bugonia,Yorgos Lanthimos
,Challengers,Luca Guadagnino
,Civil War,Alex Garland
,Corsage,Marie Kreutzer
,Dreams,Dag Johan Haugerud
,Emilia Perez,Jacques Audiard
,Father Mother Sister Brother,Jim Jarmusch
,Frankenstein,Guillermo del Toro
,Godland,Hlynur Palmason
,Great Freedom,Sebastian Meise
,Hamnet,Chloe Zhao
,Hard Truths,Mike Leigh
,Marty Supreme,Josh Safdie
,Nobody Knows,Hirokazu Kore-eda
,Pacifiction,Albert Serra
,Pain and Glory,Pedro Almodovar
,Parallel Mothers,Pedro Almodovar
,Plan 75,Chie Hayakawa
,Sick of Myself,Kristoffer Borgli
,Sing Sing,Greg Kwedar
,Sirat,Oliver Laxe
,Sound of Falling,Mascha Schilinski
,Still Walking,Hirokazu Kore-eda
,The Eight Mountains,Felix van Groeningen
,The Girl with the Needle,Magnus von Horn
,The Innocents,Eskil Vogt
,The Iron Claw,Sean Durkin
,The Mastermind,Kelly Reichardt
,The Quiet Girl,Colm Bairead
,The Room Next Door,Pedro Almodovar
,The Secret Agent,Kleber Mendonca Filho
,The Smashing Machine,Benny Safdie
,The Souvenir,Joanna Hogg
,The Taste of Things,Tran Anh Hung
,The Voice of Hind Rajab,Kaouther Ben Hania
,Train Dreams,Clint Bentley
,Volver,Pedro Almodovar
,Aladdin,Ron Clements
,Castle in the Sky,Hayao Miyazaki
,Encanto,Jared Bush
,Fantasia,James Algar
,Fantastic Planet,Rene Laloux
,Flee,Jonas Poher Rasmussen
,Grizzly Man,Werner Herzog
,Hoop Dreams,Steve James
,Howl's Moving Castle,Hayao Miyazaki
,I Saw the TV Glow,Jane Schoenbrun
,Kiki's Delivery Service,Hayao Miyazaki
,Millennium Actress,Satoshi Kon
,Moana,Ron Clements
,"Monsters, Inc.",Pete Docter
,Mulan,Tony Bancroft
,Night and Fog,Alain Resnais
,Only Yesterday,Isao Takahata
,Paprika,Satoshi Kon
,Pinocchio,Ben Sharpsteen
,Ponyo,Hayao Miyazaki
,Porco Rosso,Hayao Miyazaki
,Sans Soleil,Chris Marker
,Shoah,Claude Lanzmann
,Snow White and the Seven Dwarfs,David Hand
,Soul,Pete Docter
,The Act of Killing,Joshua Oppenheimer
,The Iron Giant,Brad Bird
,The Tale of the Princess Kaguya,Isao Takahata
,The Triplets of Belleville,Sylvain Chomet
,The Wind Rises,Hayao Miyazaki
,Tokyo Godfathers,Satoshi Kon
,Toy Story 2,John Lasseter
,Toy Story 3,Lee Unkrich
,Watership Down,Martin Rosen
,Wolfwalkers,Tomm Moore
,Zootopia,Byron Howard
,2046,Wong Kar-wai
,A Brighter Summer Day,Edward Yang
,A Matter of Life and Death,Michael Powell
,An Autumn Afternoon,Yasujiro Ozu
,Aparajito,Satyajit Ray
,Army of Shadows,Jean-Pierre Melville
,Black Girl,Ousmane Sembene
,"Black God, White Devil",Glauber Rocha
,Black Narcissus,Michael Powell
,Cries and Whispers,Ingmar Bergman
,Days of Being Wild,Wong Kar-wai
,Fallen Angels,Wong Kar-wai
,Fanny and Alexander,Ingmar Bergman
,Floating Weeds,Yasujiro Ozu
,Flowers of Shanghai,Hou Hsiao-hsien
,Happy Together,Wong Kar-wai
,High and Low,Akira Kurosawa
,Ju Dou,Zhang Yimou
,Kwaidan,Masaki Kobayashi
,L'Atalante,Jean Vigo
,Le Cercle Rouge,Jean-Pierre Melville
,Le Samourai,Jean-Pierre Melville
,Lolita,Stanley Kubrick
,Memories of Underdevelopment,Tomas Gutierrez Alea
,Mon Oncle,Jacques Tati
,Once Upon a Time in the West,Sergio Leone
,Onibaba,Kaneto Shindo
,Ordet,Carl Theodor Dreyer
,Out of the Past,Jacques Tourneur
,Paths of Glory,Stanley Kubrick
,Pixote,Hector Babenco
,Platform,Jia Zhangke
,Playtime,Jacques Tati
,Ran,Akira Kurosawa
,Scenes from a Marriage,Ingmar Bergman
,Sweet Smell of Success,Alexander Mackendrick
,The Assassin,Hou Hsiao-hsien
,The Earrings of Madame de...,Max Ophuls
,"The Good, the Bad and the Ugly",Sergio Leone
,The Hidden Fortress,Akira Kurosawa
,The Lady from Shanghai,Orson Welles
,The Life of Oharu,Kenji Mizoguchi
,The Music Room,Satyajit Ray
,The Official Story,Luis Puenzo
,The Red Shoes,Michael Powell
,The World of Apu,Satyajit Ray
,Throne of Blood,Akira Kurosawa
,To Live,Zhang Yimou
,Touki Bouki,Djibril Diop Mambety
,Wild Strawberries,Ingmar Bergman
,Xala,Ousmane Sembene
,Yeelen,Souleymane Cisse
,Yi Yi,Edward Yang
,Yojimbo,Akira Kurosawa
,20th Century Women,Mike Mills
,A Different Man,Aaron Schimberg
,A Hidden Life,Terrence Malick
,A Sun,Chung Mong-hong
,After Yang,Kogonada
,All Dirt Roads Taste of Salt,Raven Jackson
,An Elephant Sitting Still,Hu Bo
,Athena,Romain Gavras
,C'mon C'mon,Mike Mills
,Cairo Conspiracy,Tarik Saleh
,Climax,Gaspar Noe
,Columbus,Kogonada
,Dahomey,Mati Diop
,Do Not Expect Too Much from the End of the World,Radu Jude
,Enter the Void,Gaspar Noe
,Four Daughters,Kaouther Ben Hania
,His House,Remi Weekes
,Holy Spider,Ali Abbasi
,How to Have Sex,Molly Manning Walker
,Janet Planet,Annie Baker
,"Like Father, Like Son",Hirokazu Kore-eda
,Living,Oliver Hermanus
,Long Day's Journey Into Night,Bi Gan
,Memoir of a Snail,Adam Elliot
,No Bears,Jafar Panahi
,Nope,Jordan Peele
,Our Little Sister,Hirokazu Kore-eda
,Passages,Ira Sachs
,Pieces of a Woman,Kornel Mundruczo
,"Quo Vadis, Aida?",Jasmila Zbanic
,Robot Dreams,Pablo Berger
,"So Long, My Son",Wang Xiaoshuai
,Society of the Snow,J.A. Bayona
,Sound of Metal,Darius Marder
,The Apprentice,Ali Abbasi
,The Blue Caftan,Maryam Touzani
,The Father,Florian Zeller
,The Settlers,Felipe Galvez
,The Teachers' Lounge,Ilker Catak
,The Wild Goose Lake,Diao Yinan
,The Wonder,Sebastian Lelio
,Totem,Lila Aviles
,Vortex,Gaspar Noe
,Women Talking,Sarah Polley
,A Silent Voice,Naoko Yamada
,Belle,Mamoru Hosoda
,Blazing Saddles,Mel Brooks
,Borat,Larry Charles
,Citizenfour,Laura Poitras
,Enter the Dragon,Robert Clouse
,F for Fake,Orson Welles
,Free Solo,Elizabeth Chai Vasarhelyi
,Hard Boiled,John Woo
,Hero,Zhang Yimou
,House of Flying Daggers,Zhang Yimou
,Inside Out 2,Kelsey Mann
,Ip Man,Wilson Yip
,Labyrinth,Jim Henson
,Life of Brian,Terry Jones
,Man on Wire,James Marsh
,Monty Python and the Holy Grail,Terry Gilliam
,O.J.: Made in America,Ezra Edelman
,Police Story,Jackie Chan
,Searching for Sugar Man,Malik Bendjelloul
,Senna,Asif Kapadia
,Shaun of the Dead,Edgar Wright
,Stand by Me,Rob Reiner
,Stories We Tell,Sarah Polley
,Summer of Soul,Questlove
,Suzume,Makoto Shinkai
,The Blues Brothers,John Landis
,The Killer,John Woo
,The NeverEnding Story,Wolfgang Petersen
,The Thin Blue Line,Errol Morris
,The Wild Robot,Chris Sanders
,Time Bandits,Terry Gilliam
,Weathering with You,Makoto Shinkai
,Willy Wonka & the Chocolate Factory,Mel Stuart
,Wolf Children,Mamoru Hosoda
,Young Frankenstein,Mel Brooks
