Rank,Wave,Bucket,Film_Title,Film_Director_Name,Year,Country,Demand,Density,Priority
108,1,Popular/genre depth,Black Panther: Wakanda Forever,Ryan Coogler,2022,USA,5,3,17
109,1,Contemporary curation,Glass Onion: A Knives Out Mystery,Rian Johnson,2022,USA,5,3,17
110,1,Popular/genre depth,No Time to Die,Cary Joji Fukunaga,2021,UK,5,3,17
111,1,Popular/genre depth,Shang-Chi and the Legend of the Ten Rings,Destin Daniel Cretton,2021,USA,5,3,17
112,1,Popular/genre depth,Spider-Man: No Way Home,Jon Watts,2021,USA,5,3,17
113,1,Popular/genre depth,The Suicide Squad,James Gunn,2021,USA,5,3,17
114,1,Popular/genre depth,Demon Slayer: Mugen Train,Haruo Sotozaki,2020,Japan,5,3,17
115,1,Popular/genre depth,Captain Marvel,Anna Boden,2019,USA,5,3,17
116,1,Popular/genre depth,Frozen II,Chris Buck,2019,USA,5,3,17
117,1,Popular/genre depth,John Wick: Chapter 3 - Parabellum,Chad Stahelski,2019,USA,5,3,17
118,1,Popular/genre depth,Terminator: Dark Fate,Tim Miller,2019,USA,5,3,17
119,1,Popular/genre depth,Toy Story 4,Josh Cooley,2019,USA,5,3,17
120,1,Popular/genre depth,Aquaman,James Wan,2018,USA,5,3,17
121,1,Popular/genre depth,Creed II,Steven Caple Jr.,2018,USA,5,3,17
122,1,Popular/genre depth,Incredibles 2,Brad Bird,2018,USA,5,3,17
123,1,Popular/genre depth,Mission: Impossible - Fallout,Christopher McQuarrie,2018,USA,5,3,17
124,1,Contemporary curation,First Reformed,Paul Schrader,2017,USA,3,5,16
125,1,Contemporary curation,Good Time,Benny Safdie,2017,USA,3,5,16
126,1,Popular/genre depth,I Am Not Your Negro,Raoul Peck,2016,USA,3,5,16
127,1,Contemporary curation,"I, Daniel Blake",Ken Loach,2016,UK,3,5,16
128,1,Popular/genre depth,In This Corner of the World,Sunao Katabuchi,2016,Japan,3,5,16
129,1,Canon backfill,Arabian Nights,Miguel Gomes,2015,Portugal,3,5,16
130,1,Canon backfill,A Pigeon Sat on a Branch Reflecting on Existence,Roy Andersson,2014,Sweden,3,5,16
131,1,Canon backfill,Leviathan,Andrey Zvyagintsev,2014,Russia,3,5,16
132,1,Canon backfill,The Kindergarten Teacher,Nadav Lapid,2014,Israel,3,5,16
133,1,Canon backfill,Borgman,Alex van Warmerdam,2013,Netherlands,3,5,16
134,1,Canon backfill,Omar,Hany Abu-Assad,2013,Palestine,3,5,16
135,1,Canon backfill,Stray Dogs,Tsai Ming-liang,2013,Taiwan,3,5,16
136,1,Canon backfill,Pieta,Kim Ki-duk,2012,South Korea,3,5,16
137,1,Canon backfill,Tabu,Miguel Gomes,2012,Portugal,3,5,16
138,1,Canon backfill,Wadjda,Haifaa al-Mansour,2012,Saudi Arabia,3,5,16
139,1,Canon backfill,Attenberg,Athina Rachel Tsangari,2010,Greece,3,5,16
140,1,Canon backfill,Nostalgia for the Light,Patricio Guzman,2010,Chile,3,5,16
141,1,Canon backfill,Antichrist,Lars von Trier,2009,Denmark,3,5,16
142,1,Canon backfill,Dogtooth,Yorgos Lanthimos,2009,Greece,3,5,16
143,1,Canon backfill,24 City,Jia Zhangke,2008,China,3,5,16
144,1,Canon backfill,Reprise,Joachim Trier,2006,Norway,3,5,16
145,1,Canon backfill,Cache,Michael Haneke,2005,France,3,5,16
146,1,Canon backfill,Manderlay,Lars von Trier,2005,Denmark,3,5,16
147,1,Canon backfill,Three Times,Hou Hsiao-hsien,2005,Taiwan,3,5,16
148,1,Canon backfill,The World,Jia Zhangke,2004,China,3,5,16
149,1,Contemporary curation,Elephant,Gus Van Sant,2003,USA,3,5,16
150,1,Canon backfill,Time of the Wolf,Michael Haneke,2003,France,3,5,16
151,1,Contemporary curation,25th Hour,Spike Lee,2002,USA,3,5,16
152,1,Contemporary curation,Far from Heaven,Todd Haynes,2002,USA,3,5,16
153,1,Contemporary curation,Punch-Drunk Love,Paul Thomas Anderson,2002,USA,3,5,16
154,1,Canon backfill,Ten,Abbas Kiarostami,2002,Iran,3,5,16
155,1,Canon backfill,Unknown Pleasures,Jia Zhangke,2002,China,3,5,16
156,1,Canon backfill,Millennium Mambo,Hou Hsiao-hsien,2001,Taiwan,3,5,16
157,1,Canon backfill,The Piano Teacher,Michael Haneke,2001,Austria,3,5,16
158,1,Canon backfill,Barking Dogs Never Bite,Bong Joon Ho,2000,South Korea,3,5,16
159,1,Popular/genre depth,Dancer in the Dark,Lars von Trier,2000,Denmark,3,5,16
160,1,Canon backfill,Not One Less,Zhang Yimou,1999,China,3,5,16
161,1,Canon backfill,Peppermint Candy,Lee Chang-dong,1999,South Korea,3,5,16
162,1,Canon backfill,The Road Home,Zhang Yimou,1999,China,3,5,16
163,1,Canon backfill,The Wind Will Carry Us,Abbas Kiarostami,1999,Iran,3,5,16
164,1,Canon backfill,The Idiots,Lars von Trier,1998,Denmark,3,5,16
165,1,Canon backfill,Green Fish,Lee Chang-dong,1997,South Korea,3,5,16
166,1,Contemporary curation,Lost Highway,David Lynch,1997,USA,3,5,16
167,1,Contemporary curation,Crash,David Cronenberg,1996,Canada,3,5,16
168,1,Contemporary curation,Dead Man,Jim Jarmusch,1995,USA,3,5,16
169,1,Canon backfill,Maborosi,Hirokazu Kore-eda,1995,Japan,3,5,16
170,1,Contemporary curation,Safe,Todd Haynes,1995,USA,3,5,16
171,1,Canon backfill,Ashes of Time,Wong Kar-wai,1994,Hong Kong,3,5,16
172,1,Canon backfill,Lessons of Darkness,Werner Herzog,1992,Germany,3,5,16
173,1,Canon backfill,The Story of Qiu Ju,Zhang Yimou,1992,China,3,5,16
174,1,Canon backfill,Europa,Lars von Trier,1991,Denmark,3,5,16
175,1,Contemporary curation,My Own Private Idaho,Gus Van Sant,1991,USA,3,5,16
176,1,Canon backfill,The Double Life of Veronique,Krzysztof Kieslowski,1991,France,3,5,16
177,1,Canon backfill,Until the End of the World,Wim Wenders,1991,Germany,3,5,16
178,1,Canon backfill,Close-Up,Abbas Kiarostami,1990,Iran,3,5,16
179,1,Canon backfill,Dekalog,Krzysztof Kieslowski,1989,Poland,3,5,16
180,1,Canon backfill,The Seventh Continent,Michael Haneke,1989,Austria,3,5,16
181,1,Canon backfill,A Short Film About Killing,Krzysztof Kieslowski,1988,Poland,3,5,16
182,1,Canon backfill,As Tears Go By,Wong Kar-wai,1988,Hong Kong,3,5,16
183,1,Canon backfill,Red Sorghum,Zhang Yimou,1987,China,3,5,16
184,1,Canon backfill,Where Is the Friend's House?,Abbas Kiarostami,1987,Iran,3,5,16
185,1,Canon backfill,Dust in the Wind,Hou Hsiao-hsien,1986,Taiwan,3,5,16
186,1,Canon backfill,A Time to Live and a Time to Die,Hou Hsiao-hsien,1985,Taiwan,3,5,16
187,1,Contemporary curation,Stranger Than Paradise,Jim Jarmusch,1984,USA,3,5,16
188,1,Canon backfill,The Element of Crime,Lars von Trier,1984,Denmark,3,5,16
189,1,Canon backfill,L'Argent,Robert Bresson,1983,France,3,5,16
190,1,Contemporary curation,The King of Comedy,Martin Scorsese,1982,USA,3,5,16
191,1,Canon backfill,Veronika Voss,Rainer Werner Fassbinder,1982,Germany,3,5,16
192,1,Canon backfill,Berlin Alexanderplatz,Rainer Werner Fassbinder,1980,Germany,3,5,16
193,1,Canon backfill,Kagemusha,Akira Kurosawa,1980,Japan,3,5,16
194,1,Canon backfill,The Last Metro,Francois Truffaut,1980,France,3,5,16
195,1,Canon backfill,Nosferatu the Vampyre,Werner Herzog,1979,Germany,3,5,16
196,1,Canon backfill,Autumn Sonata,Ingmar Bergman,1978,Sweden,3,5,16
197,1,Canon backfill,In a Year of 13 Moons,Rainer Werner Fassbinder,1978,Germany,3,5,16
198,1,Canon backfill,Stroszek,Werner Herzog,1977,Germany,3,5,16
199,1,Canon backfill,That Obscure Object of Desire,Luis Bunuel,1977,France,3,5,16
200,1,Canon backfill,The American Friend,Wim Wenders,1977,Germany,3,5,16
201,1,Canon backfill,Heart of Glass,Werner Herzog,1976,Germany,3,5,16
202,1,Canon backfill,Kings of the Road,Wim Wenders,1976,Germany,3,5,16
203,1,Canon backfill,Dersu Uzala,Akira Kurosawa,1975,USSR/Japan,3,5,16
204,1,Canon backfill,Fox and His Friends,Rainer Werner Fassbinder,1975,Germany,3,5,16
205,1,Canon backfill,The Passenger,Michelangelo Antonioni,1975,Italy,3,5,16
206,1,Canon backfill,The Story of Adele H.,Francois Truffaut,1975,France,3,5,16
207,1,Canon backfill,Alice in the Cities,Wim Wenders,1974,Germany,3,5,16
208,1,Canon backfill,Effi Briest,Rainer Werner Fassbinder,1974,Germany,3,5,16
209,1,Canon backfill,Lancelot du Lac,Robert Bresson,1974,France,3,5,16
210,1,Canon backfill,The Enigma of Kaspar Hauser,Werner Herzog,1974,Germany,3,5,16
211,1,Canon backfill,The Phantom of Liberty,Luis Bunuel,1974,France,3,5,16
212,1,Canon backfill,Amarcord,Federico Fellini,1973,Italy,3,5,16
213,1,Canon backfill,Day for Night,Francois Truffaut,1973,France,3,5,16
214,1,Canon backfill,World on a Wire,Rainer Werner Fassbinder,1973,Germany,3,5,16
215,1,Canon backfill,Frenzy,Alfred Hitchcock,1972,UK,3,5,16
216,1,Canon backfill,The Bitter Tears of Petra von Kant,Rainer Werner Fassbinder,1972,Germany,3,5,16
217,1,Canon backfill,Even Dwarfs Started Small,Werner Herzog,1970,Germany,3,5,16
218,1,Canon backfill,The Wild Child,Francois Truffaut,1970,France,3,5,16
219,1,Canon backfill,Tristana,Luis Bunuel,1970,Spain,3,5,16
220,1,Canon backfill,Zabriskie Point,Michelangelo Antonioni,1970,USA,3,5,16
221,1,Canon backfill,Satyricon,Federico Fellini,1969,Italy,3,5,16
222,1,Canon backfill,Hour of the Wolf,Ingmar Bergman,1968,Sweden,3,5,16
223,1,Canon backfill,Shame,Ingmar Bergman,1968,Sweden,3,5,16
224,1,Canon backfill,Stolen Kisses,Francois Truffaut,1968,France,3,5,16
225,1,Canon backfill,La Chinoise,Jean-Luc Godard,1967,France,3,5,16
226,1,Canon backfill,Mouchette,Robert Bresson,1967,France,3,5,16
227,1,Canon backfill,Weekend,Jean-Luc Godard,1967,France,3,5,16
228,1,Canon backfill,Masculin Feminin,Jean-Luc Godard,1966,France,3,5,16
229,1,Canon backfill,Alphaville,Jean-Luc Godard,1965,France,3,5,16
230,1,Canon backfill,Juliet of the Spirits,Federico Fellini,1965,Italy,3,5,16
231,1,Canon backfill,Red Beard,Akira Kurosawa,1965,Japan,3,5,16
232,1,Canon backfill,Simon of the Desert,Luis Bunuel,1965,Mexico,3,5,16
233,1,Canon backfill,Marnie,Alfred Hitchcock,1964,USA,3,5,16
234,1,Canon backfill,Sanjuro,Akira Kurosawa,1962,Japan,3,5,16
235,1,Canon backfill,The Exterminating Angel,Luis Bunuel,1962,Mexico,3,5,16
236,1,Canon backfill,Vivre sa vie,Jean-Luc Godard,1962,France,3,5,16
237,1,Canon backfill,La Notte,Michelangelo Antonioni,1961,Italy,3,5,16
238,1,Canon backfill,Une Femme est une Femme,Jean-Luc Godard,1961,France,3,5,16
239,1,Canon backfill,Shoot the Piano Player,Francois Truffaut,1960,France,3,5,16
240,1,Canon backfill,The Bad Sleep Well,Akira Kurosawa,1960,Japan,3,5,16
241,1,Canon backfill,The Virgin Spring,Ingmar Bergman,1960,Sweden,3,5,16
242,1,Canon backfill,Good Morning,Yasujiro Ozu,1959,Japan,3,5,16
243,1,Canon backfill,Nazarin,Luis Bunuel,1959,Mexico,3,5,16
244,1,Canon backfill,Equinox Flower,Yasujiro Ozu,1958,Japan,3,5,16
245,1,Canon backfill,The Magician,Ingmar Bergman,1958,Sweden,3,5,16
246,1,Canon backfill,Il Grido,Michelangelo Antonioni,1957,Italy,3,5,16
247,1,Canon backfill,Tokyo Twilight,Yasujiro Ozu,1957,Japan,3,5,16
248,1,Canon backfill,A Man Escaped,Robert Bresson,1956,France,3,5,16
249,1,Canon backfill,The Killing,Stanley Kubrick,1956,USA,3,5,16
250,1,Canon backfill,The Man Who Knew Too Much,Alfred Hitchcock,1956,USA,3,5,16
251,2,Canon backfill,To Catch a Thief,Alfred Hitchcock,1955,USA,3,5,16
252,2,Canon backfill,Dial M for Murder,Alfred Hitchcock,1954,USA,3,5,16
253,2,Canon backfill,I Vitelloni,Federico Fellini,1953,Italy,3,5,16
254,2,Canon backfill,Summer with Monika,Ingmar Bergman,1953,Sweden,3,5,16
255,2,Canon backfill,Diary of a Country Priest,Robert Bresson,1951,France,3,5,16
256,2,Canon backfill,Early Summer,Yasujiro Ozu,1951,Japan,3,5,16
257,2,Canon backfill,Strangers on a Train,Alfred Hitchcock,1951,USA,3,5,16
258,2,Canon backfill,Los Olvidados,Luis Bunuel,1950,Mexico,3,5,16
259,2,Canon backfill,Stray Dog,Akira Kurosawa,1949,Japan,3,5,16
260,2,Canon backfill,Drunken Angel,Akira Kurosawa,1948,Japan,3,5,16
261,2,Canon backfill,Rope,Alfred Hitchcock,1948,USA,3,5,16
262,2,Canon backfill,Notorious,Alfred Hitchcock,1946,USA,3,5,16
263,2,Canon backfill,Spellbound,Alfred Hitchcock,1945,USA,3,5,16
264,2,Canon backfill,Lifeboat,Alfred Hitchcock,1944,USA,3,5,16
265,2,Canon backfill,Shadow of a Doubt,Alfred Hitchcock,1943,USA,3,5,16
266,2,Canon backfill,There Was a Father,Yasujiro Ozu,1942,Japan,3,5,16
267,2,Canon backfill,Suspicion,Alfred Hitchcock,1941,USA,3,5,16
268,2,Canon backfill,Foreign Correspondent,Alfred Hitchcock,1940,USA,3,5,16
269,2,Canon backfill,Rebecca,Alfred Hitchcock,1940,USA,3,5,16
270,2,Canon backfill,The Lady Vanishes,Alfred Hitchcock,1938,UK,3,5,16
271,2,Canon backfill,Sabotage,Alfred Hitchcock,1936,UK,3,5,16
272,2,Canon backfill,The 39 Steps,Alfred Hitchcock,1935,UK,3,5,16
273,2,Canon backfill,"I Was Born, But...",Yasujiro Ozu,1932,Japan,3,5,16
274,2,Canon backfill,L'Age d'Or,Luis Bunuel,1930,France,3,5,16
275,2,Popular/genre depth,The Chaser,Na Hong-jin,2008,South Korea,4,4,16
276,2,Popular/genre depth,Once,John Carney,2007,Ireland,4,4,16
277,2,Popular/genre depth,Sunshine,Danny Boyle,2007,UK,4,4,16
278,2,Popular/genre depth,Mystic River,Clint Eastwood,2003,USA,4,4,16
279,2,Popular/genre depth,Lagaan,Ashutosh Gowariker,2001,India,4,4,16
280,2,Popular/genre depth,Contact,Robert Zemeckis,1997,USA,4,4,16
281,2,Popular/genre depth,Whisper of the Heart,Yoshifumi Kondo,1995,Japan,4,4,16
282,2,Canon backfill,Cinema Paradiso,Giuseppe Tornatore,1988,Italy,4,4,16
283,2,Popular/genre depth,Evil Dead II,Sam Raimi,1987,USA,4,4,16
284,2,Popular/genre depth,Carrie,Brian De Palma,1976,USA,4,4,16
285,2,Popular/genre depth,The Omen,Richard Donner,1976,USA,4,4,16
286,2,Popular/genre depth,Alien: Covenant,Ridley Scott,2017,USA,5,3,16
287,2,Popular/genre depth,Baahubali 2: The Conclusion,S.S. Rajamouli,2017,India,5,3,16
288,2,Popular/genre depth,Guardians of the Galaxy Vol. 2,James Gunn,2017,USA,5,3,16
289,2,Popular/genre depth,John Wick: Chapter 2,Chad Stahelski,2017,USA,5,3,16
290,2,Popular/genre depth,Spider-Man: Homecoming,Jon Watts,2017,USA,5,3,16
291,2,Popular/genre depth,Thor: Ragnarok,Taika Waititi,2017,USA,5,3,16
292,2,Popular/genre depth,Captain America: Civil War,Anthony Russo,2016,USA,5,3,16
293,2,Popular/genre depth,Dangal,Nitesh Tiwari,2016,India,5,3,16
294,2,Popular/genre depth,Fantastic Beasts and Where to Find Them,David Yates,2016,UK,5,3,16
295,2,Popular/genre depth,Finding Dory,Andrew Stanton,2016,USA,5,3,16
296,2,Popular/genre depth,Rogue One: A Star Wars Story,Gareth Edwards,2016,USA,5,3,16
297,2,Popular/genre depth,Baahubali: The Beginning,S.S. Rajamouli,2015,India,5,3,16
298,2,Popular/genre depth,Jurassic World,Colin Trevorrow,2015,USA,5,3,16
299,2,Popular/genre depth,Mission: Impossible - Rogue Nation,Christopher McQuarrie,2015,USA,5,3,16
300,2,Popular/genre depth,Spectre,Sam Mendes,2015,UK,5,3,16
301,2,Popular/genre depth,Star Wars: The Force Awakens,J.J. Abrams,2015,USA,5,3,16
302,2,Popular/genre depth,Man of Steel,Zack Snyder,2013,USA,5,3,16
303,2,Popular/genre depth,Monsters University,Dan Scanlon,2013,USA,5,3,16
304,2,Popular/genre depth,The Hobbit: The Desolation of Smaug,Peter Jackson,2013,NZ/USA,5,3,16
305,2,Popular/genre depth,The Hobbit: An Unexpected Journey,Peter Jackson,2012,NZ/USA,5,3,16
306,2,Popular/genre depth,Fast Five,Justin Lin,2011,USA,5,3,16
307,2,Popular/genre depth,Harry Potter and the Deathly Hallows: Part 2,David Yates,2011,UK,5,3,16
308,2,Popular/genre depth,The Lost World: Jurassic Park,Steven Spielberg,1997,USA,5,3,16
309,2,Canon backfill,Everyone Else,Maren Ade,2009,Germany,3,5,15
310,2,Canon backfill,The Time That Remains,Elia Suleiman,2009,Palestine,3,5,15
311,2,Canon backfill,Gomorrah,Matteo Garrone,2008,Italy,3,5,15
312,2,Canon backfill,Il Divo,Paolo Sorrentino,2008,Italy,3,5,15
313,2,Canon backfill,Love Exposure,Sion Sono,2008,Japan,3,5,15
314,2,Canon backfill,Tokyo Sonata,Kiyoshi Kurosawa,2008,Japan,3,5,15
315,2,Contemporary curation,The Assassination of Jesse James by the Coward Robert Ford,Andrew Dominik,2007,USA,3,5,15
316,2,Canon backfill,The Edge of Heaven,Fatih Akin,2007,Germany,3,5,15
317,2,Canon backfill,Yella,Christian Petzold,2007,Germany,3,5,15
318,2,Canon backfill,"You, the Living",Roy Andersson,2007,Sweden,3,5,15
319,2,Canon backfill,Colossal Youth,Pedro Costa,2006,Portugal,3,5,15
320,2,Canon backfill,Offside,Jafar Panahi,2006,Iran,3,5,15
321,2,Canon backfill,Summer Palace,Lou Ye,2006,China,3,5,15
322,2,Canon backfill,Paradise Now,Hany Abu-Assad,2005,Palestine,3,5,15
323,2,Canon backfill,3-Iron,Kim Ki-duk,2004,South Korea,3,5,15
324,2,Canon backfill,Head-On,Fatih Akin,2004,Germany,3,5,15
325,2,Popular/genre depth,Mind Game,Masaaki Yuasa,2004,Japan,3,5,15
326,2,Canon backfill,Moolaade,Ousmane Sembene,2004,Senegal,3,5,15
327,2,Canon backfill,Turtles Can Fly,Bahman Ghobadi,2004,Iran,3,5,15
328,2,Canon backfill,"Goodbye, Dragon Inn",Tsai Ming-liang,2003,Taiwan,3,5,15
