id,type,outlet,critic,year,language,tier,title,comment,verdict_le10,verbatim_verified,dek_lead,url
16,criticism,kino-zeit,Joachim Kurz,2012,de,title-eval,Fremd im eigenen Land,Fremd im eigenen Land,,false,,https://www.kino-zeit.de/film-kritiken-trailer-streaming/barbara-2012
17,criticism,Filmgazette,Andreas Thomas,2012,de,title-eval,Hoss is the Boss,Hoss is the Boss,,false,,https://filmgazette.de/2017/07/10/barbara/
18,criticism,ray Filmmagazin,Pamela Jahn,2012,de,title-eval,Eine Frage der Perspektive,Eine Frage der Perspektive,,false,,https://ray-magazin.at/barbara-eine-frage-der-perspektive/
19,criticism,Critikat,unknown,2012,fr,title,Critique : Barbara,Critique : Barbara,,false,,https://www.critikat.com/actualite-cine/critique/barbara/
20,criticism,Débordements,Florent Le Demazel,2012,fr,title-eval,"Barbara, Christian Petzold — Anatomie d'un rapport","Barbara, Christian Petzold — Anatomie d'un rapport",,false,,https://debordements.fr/barbara-christian-petzold/
21,criticism,OtrosCines,Diego Lerer,2012,es,title,"Bárbara (Barbara, Alemania/2012)","Bárbara (Barbara, Alemania/2012)",,false,,https://www.otroscines.com/nota-16813-el-cine-de-christian-petzold-nueve-criticas-de-su-filmo
22,criticism,Sentieri Selvaggi,unknown,2012,it,title,"La scelta di Barbara, di Christian Petzold","La scelta di Barbara, di Christian Petzold",,false,,https://www.sentieriselvaggi.it/la-scelta-di-barbara-di-christian-petzold/
23,criticism,Quinlan,unknown,2012,it,verdict,La scelta di Barbara (2012) di Christian Petzold,tralascia nuovamente la profondità di scrittura e di messa in scena,tralascia nuovamente la profondità di scrittura e di messa in scena,true,Petzold racconta i dissidi tra l'Est e l'Ovest … ma con La scelta di Barbara tralascia nuovamente la profondità di scrittura e di messa in scena.,https://quinlan.it/2012/01/26/la-scelta-di-barbara/
24,criticism,Cinética,Filipe Furtado,2012,pt,title-eval,"Barbara, de Christian Petzold (Alemanha, 2012) — Vive-se aqui","Barbara, de Christian Petzold (Alemanha, 2012) — Vive-se aqui",,false,부제: Vive-se aqui,http://www.revistacinetica.com.br/barbara.htm
25,criticism,Filmkrant,Dana Linssen,2012,nl,verdict,Barbara — Besmet door het systeem,De uitgebeende Stasi-thriller,De uitgebeende Stasi-thriller,true,De uitgebeende Stasi-thriller Barbara toont een samenleving waarin iedereen door het systeem besmet lijkt.,https://filmkrant.nl/recensies/barbara/
26,criticism,Montages,Sveinung Wålengen,2012,no,verdict,Briljanse og bevegelighet i Barbara,like fullt er den en kunstnerisk triumf,like fullt er den en kunstnerisk triumf,true,Barbara er et kjølig og presist filmverk … like fullt er den en kunstnerisk triumf.,https://montages.no/2012/09/briljans-og-bevegelighet-i-barbara/
27,criticism,Ekko,Christian Braad Thomsen,2012,da,verdict,Barbara,lige så fremragende som De andres liv,lige så fremragende som De andres liv,true,"Barbara er en forfrossen kærlighedshistorie fra DDR-tiden, der er mindre publikumsvenlig, men lige så fremragende som De andres liv.",https://www.ekkofilm.dk/anmeldelser/barbara/
28,criticism,Iskusstvo Kino,unknown,2012,ru,title-eval,"Жизнь бывших. «Барбара», режиссер Кристиан Петцольд","Жизнь бывших. «Барбара», режиссер Кристиан Петцольд",,false,,https://old.kinoart.ru/archive/2012/03/zhizn-byvshikh-barbara-rezhisser-kristian-pettsold
29,academic,Quarterly Review of Film and Video,Christina Gerhardt,2016,,verdict,Looking East: Christian Petzold's Barbara (2012),German cinema is again turning heads at international film festivals,German cinema is again turning heads at international film festivals,true,In a manner not seen since the heyday of New German Cinema … German cinema is again turning heads at international film festivals.,https://doi.org/10.1080/10509208.2015.1135679
30,academic,Studies in European Cinema,Katharina Bonzel,2021,,verdict,"The Uncanny Heimat: longing for home in Barbara (Petzold, 2012)",the German-German border remains somewhat of a mystery,the German-German border remains somewhat of a mystery,true,In Christian Petzold's 2012 film Barbara … the German-German border remains somewhat of a mystery.,https://doi.org/10.1080/17411548.2021.1939593
31,academic,"East, West and Centre (Edinburgh University Press)",Nick Hodgin,2014,,title,"East Germany Revisited, Reimagined, Repositioned: Representing the GDR in Dominik Graf's Der rote Kakadu (2005) and Christian Petzold's Barbara (2012)","East Germany Revisited, Reimagined, Repositioned: Representing the GDR in Dominik Graf's Der rote Kakadu (2005) and Christian Petzold's Barbara (2012)",,false,초록 없음(저서 챕터),https://doi.org/10.1515/9780748694167-019
32,academic,Histoire Politique (OpenEdition),Martine Floch,2023,,verdict,"Barbara, Stasi et Ratatouille. À propos du film Barbara du cinéaste allemand Christian Petzold (2012)","Personne, à quelques exceptions près, ne regrette la RDA","Personne, à quelques exceptions près, ne regrette la RDA",true,"Personne, à quelques exceptions près, ne regrette la RDA : … elle continue d'aimanter la conscience politique.",https://doi.org/10.4000/histoirepolitique.16157
33,academic,La RDA et la société postsocialiste dans le cinéma allemand après 1989 (Presses universitaires du Septentrion),Valérie Carré,2018,,verdict,"Barbara de Christian Petzold : Émotions, sentiments, corps et raison",un récit dont l'action se déroule à une époque révolue,un récit dont l'action se déroule à une époque révolue,true,"… un réalisateur s'aventure dans un récit dont l'action se déroule à une époque révolue, en l'occurrence la RDA.",https://doi.org/10.4000/books.septentrion.32599
34,academic,Cinépassion – The Sequel (Psychosozial-Verlag),Ulrich Bahrke,2016,,title,"Gesunde Paranoia - Barbara, Christian Petzold, D 2012","Gesunde Paranoia - Barbara, Christian Petzold, D 2012",,false,초록 없음,https://doi.org/10.30820/9783837972009-147
35,academic,My Affair with Art House Cinema (Columbia University Press),Phillip Lopate,2024,,title,Chapter Thirty-Nine Christian Petzold: Barbara,Chapter Thirty-Nine Christian Petzold: Barbara,,false,초록 없음(에세이 챕터),https://doi.org/10.7312/lopa21640-040
36,academic,Christian Petzold (University Press of Mississippi),Cristina Nord,2023,,title,I Wanted for the GDR to Have Colors,I Wanted for the GDR to Have Colors,,false,초록 없음(인터뷰),https://doi.org/10.2307/jj.4256578.28
37,academic,Zeitschrift für Deutsche Sprache und Literatur,Yun Jong Uk,2018,ko,verdict,Die Historienfilme von Christian Petzold - Analyse von <Barbara> und <Phoenix>,인물 간의 이분법적인 대립구도를 피하고,인물 간의 이분법적인 대립구도를 피하고,true,"… 이들 영화는 인물 간의 이분법적인 대립구도를 피하고, 세분화된 관점에서 인물을 제시한다.",https://doi.org/10.30947/zfdsl.2018..79.125
38,academic,Deutsche Sprache und Literatur (한국독일언어문학회),Lee No-eun,2021,ko,verdict,브로흐의 노벨레 「바르바라」와 페촐트의 영화 <바바라> - 주인공의 선택과 초점화 방식 비교,서로 다른 서술방식을 통해 서로 다른 관심사와 주제의식을 드러내고 있다,서로 다른 서술방식을 통해 서로 다른 관심사와 주제의식을 드러내고 있다,true,두 작품은 서로 다른 서술방식을 통해 서로 다른 관심사와 주제의식을 드러내고 있다.,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002692423
39,academic,Contemporary Film Studies (현대영화연구),Lee Joo-bong,2024,ko,verdict,<바바라>(Barbara)에 나타난 고고학적 태도와 크리스티안 페촐트의 영화적 지향,이전 작품과 다른 영화적 태도를 보여준다,이전 작품과 다른 영화적 태도를 보여준다,true,"<바바라>에서는 페촐트 특유의 영상미가 여전히 돋보이면서도, 이전 작품과 다른 영화적 태도를 보여준다.",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003092362
