id,type,outlet,critic,year,language,comment_or_title,url,note
28,criticism,Iskusstvo Kino,unknown,2012,ru,"Жизнь бывших. «Барбара», режиссер Кристиан Петцольд",https://old.kinoart.ru/archive/2012/03/zhizn-byvshikh-barbara-rezhisser-kristian-pettsold,"Russian; Iskusstvo Kino no. 3, 2012; no byline on archived page"
29,academic,Quarterly Review of Film and Video,Christina Gerhardt,2016,,Looking East: Christian Petzold's Barbara (2012),https://doi.org/10.1080/10509208.2015.1135679,Reads the film as a counter-Ostalgie look back at GDR life.
30,academic,Studies in European Cinema,Katharina Bonzel,2021,,"The Uncanny Heimat: longing for home in Barbara (Petzold, 2012)",https://doi.org/10.1080/17411548.2021.1939593,Home becomes uncanny under GDR surveillance and confinement.
31,academic,"East, West and Centre (Edinburgh University Press)",Nick Hodgin,2014,,"East Germany Revisited, Reimagined, Repositioned: Representing the GDR in Dominik Graf's Der rote Kakadu (2005) and Christian Petzold's Barbara (2012)",https://doi.org/10.1515/9780748694167-019,Compares two post-Wall films reimagining the East German past.
32,academic,Histoire Politique (OpenEdition),Martine Floch,2023,,"Barbara, Stasi et Ratatouille. À propos du film Barbara du cinéaste allemand Christian Petzold (2012)",https://doi.org/10.4000/histoirepolitique.16157,Examines Stasi pressure and everyday resistance in the film.
33,academic,La RDA et la société postsocialiste dans le cinéma allemand après 1989 (Presses universitaires du Septentrion),Valérie Carré,2018,,"Barbara de Christian Petzold : Émotions, sentiments, corps et raison",https://doi.org/10.4000/books.septentrion.32599,"Reads bodies, emotion and reason against GDR repression."
34,academic,Cinépassion – The Sequel (Psychosozial-Verlag),Ulrich Bahrke,2016,,"Gesunde Paranoia - Barbara, Christian Petzold, D 2012",https://doi.org/10.30820/9783837972009-147,Psychoanalytic reading of justified paranoia under Stasi surveillance.
35,academic,My Affair with Art House Cinema (Columbia University Press),Phillip Lopate,2024,,Chapter Thirty-Nine Christian Petzold: Barbara,https://doi.org/10.7312/lopa21640-040,Cinephile appreciation of Petzold's restrained East German drama.
36,academic,Christian Petzold (University Press of Mississippi),Cristina Nord,2023,,I Wanted for the GDR to Have Colors,https://doi.org/10.2307/jj.4256578.28,Interview where Petzold explains Barbara's GDR color and aesthetics.
37,academic,Zeitschrift für Deutsche Sprache und Literatur,Yun Jong Uk,2018,,Die Historienfilme von Christian Petzold - Analyse von <Barbara> und <Phoenix>,https://doi.org/10.30947/zfdsl.2018..79.125,Melodrama softens Berlin School style in Petzold's historical films.
38,academic,Deutsche Sprache und Literatur (한국독일언어문학회),Lee No-eun,2021,ko,브로흐의 노벨레 「바르바라」와 페촐트의 영화 <바바라> - 주인공의 선택과 초점화 방식 비교,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002692423,Compares focalization and choice in Broch's novella and Petzold's film.
39,academic,Contemporary Film Studies (현대영화연구),Lee Joo-bong,2024,ko,<바바라>(Barbara)에 나타난 고고학적 태도와 크리스티안 페촐트의 영화적 지향,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003092362,Reads Barbara through an archaeological approach to everyday reality.
