id,name,publisher,country,language,homepage_url,archive_url,rss_url,sitemap_url,article_url_pattern,render_mode,content_types,cadence,est_archive_size,paywall,robots_url,robots_ai_stance,robots_crawl_delay,api_available,license_terms_url,trust_tier,ingest_recommendation,editorial_note,evidence_urls
17,In Review Online,In Review Online,United States,en,https://inreviewonline.com,https://inreviewonline.com/tag/2026-film/,https://inreviewonline.com/feed/,https://inreviewonline.com/sitemap_index.xml,/{year}/{month}/{day}/{slug}/,static,reviews;essays;interviews;festival-reports,daily,unknown,none,https://inreviewonline.com/robots.txt,allows,none,RSS-only,unknown,3,RSS-incremental,Prolific independent reviews/essays site with a 'Kicking the Canon' retrospective strand and festival coverage; companion Substack.,https://inreviewonline.com/robots.txt;https://inreviewonline.com/sitemap_index.xml;https://inreviewonline.com/feed/
18,Positif,Nouvelles Éditions Opta / Institut Lumière-Actes Sud,France,fr,https://www.revue-positif.net/,unknown,unknown,https://www.revue-positif.net/sitemap_index.xml,unknown,unknown,reviews;essays;interviews,monthly,unknown,print-only,https://www.revue-positif.net/robots.txt,disallows,none,RSS-only,unknown,1,permission-needed,"Revue mensuelle de référence fondée en 1952; rivale historique des Cahiers, ligne cinéphile classique (Ado Kyrou, Michel Ciment). robots Cloudflare-managed bloque GPTBot/CCBot/ClaudeBot/Google-Extended/meta + Content-Signal ai-train=no. Homepage vide au fetch simple (render unknown). Site = vitrine/boutique, revue papier.",https://www.revue-positif.net/robots.txt;https://fr.wikipedia.org/wiki/Positif_(revue)
19,Critikat,Association Critikat.com,France,fr,https://www.critikat.com/,unknown,unknown,unknown,/{slug}/,static,reviews;essays;interviews;festival-reports,weekly,unknown,none,https://www.critikat.com/robots.txt,allows,none,RSS-only,https://www.critikat.com/legal/,2,permission-needed,"Revue en ligne gratuite et indépendante fondée en 2004, association loi 1901 (Pantin). Réd. en chef Josué Morel; ~12000 articles, bénévoles. Homepage rendue statique (contenu en HTML). robots.txt et sous-pages renvoient vide au fetcher simple (robots non vérifié -> unknown).",https://www.critikat.com/;https://www.critikat.com/qui-sommes-nous/;https://annuaire-entreprises.data.gouv.fr/entreprise/critikat-com-921839122;https://www.critikat.com/robots.txt
20,Débordements,Association Débordements,France,fr,https://debordements.fr/,unknown,unknown,https://debordements.fr/wp-sitemap.xml,/{slug}/,static,reviews;essays;interviews;research;podcast,weekly,unknown,none,https://debordements.fr/robots.txt,allows,none,RSS-only,https://debordements.fr/mentions-legales/,2,RSS-incremental,"Revue de cinéma exigeante (critique, recherche, création), WordPress 6.4.8. Articles longs + revue papier/pdf. robots ne bloque que /wp-admin/. Forte ligne théorique/politique.",https://debordements.fr/robots.txt;https://debordements.fr/la-redaction/;https://debordements.fr/mentions-legales/
21,Trois Couleurs,mk2,France,fr,https://www.troiscouleurs.fr/,unknown,unknown,https://www.troiscouleurs.fr/sitemap_index.xml,/cinema/{slug}/,static,reviews;essays;interviews;news,weekly,unknown,none,https://www.troiscouleurs.fr/robots.txt,allows,none,RSS-only,https://www.troiscouleurs.fr/mentions-legales-et-cgu/,2,permission-needed,"Magazine du réseau de cinémas mk2 (gratuit en salle + web), critiques, entretiens, dossiers. WordPress statique. Plateforme commerciale (mk2) -> permission préalable conseillée. Contacts via mk2pro.com.",https://www.troiscouleurs.fr/robots.txt;https://www.troiscouleurs.fr/mentions-legales-et-cgu/
22,La Septième Obsession,Éditions AEDON (Aedon Productions),France,fr,https://www.laseptiemeobsession.com/,unknown,unknown,https://www.laseptiemeobsession.com/sitemap.xml,/journal/{slug},static,reviews;essays;interviews,bimonthly,unknown,none,https://www.laseptiemeobsession.com/robots.txt,allows,none,RSS-only,https://www.laseptiemeobsession.com/mentions-legales,2,permission-needed,Revue bimestrielle indépendante de cinéma (kiosque/librairies) + blog 'Journal' gratuit en ligne. Squarespace statique. robots Squarespace liste les bots IA mais ne leur applique que les blocages fonctionnels (=allows). Coeur = revue papier; web gratuit.,https://www.laseptiemeobsession.com/robots.txt;https://www.laseptiemeobsession.com/qui-sommes-nous
23,Revus & Corrigés,Revus & Corrigés,France,fr,https://revusetcorriges.com/,unknown,unknown,https://revusetcorriges.com/sitemap.xml,/{year}/{month}/{day}/{slug}/,static,reviews;essays;interviews;podcast,quarterly,unknown,none,https://revusetcorriges.com/robots.txt,allows,none,RSS-only,https://revusetcorriges.com/mentions-legales/,3,RSS-incremental,"Trimestriel papier 'Films classiques, regards modernes' + chroniques/critiques/entretiens gratuits en ligne, podcasts, ciné-club itinérant (distribution). WordPress/Elementor, WooCommerce (boutique). robots bloque seulement panier/wp-admin.",https://revusetcorriges.com/robots.txt;https://revusetcorriges.com/qui-sommes-nous/;https://revusetcorriges.com/mentions-legales/
24,Bref (Brefcinema),L'Agence du court métrage,France,fr,https://www.brefcinema.com/,unknown,unknown,none,/films/{slug}/,static,reviews;news;festival-reports,irregular,unknown,hard,https://www.brefcinema.com/robots.txt,allows,none,none,https://www.brefcinema.com/cgu--cgv/,2,permission-needed,"Revue de référence du court métrage (depuis 1989) + plateforme VOD par abonnement (Opixido CMS). Films derrière paywall dur (3,99 EUR/mois); actus du court gratuites; revue annuelle papier 168p. Éditée par l'Agence du court métrage, soutien CNC.",https://www.brefcinema.com/robots.txt;https://www.brefcinema.com/qui-sommes-nous/;https://fr.wikipedia.org/wiki/Bref_(revue)
25,Le Rayon Vert,Le Rayon Vert ASBL,Belgium,fr,https://www.rayonvertcinema.org/,unknown,unknown,unknown,/{slug}/,static,reviews;essays;interviews;festival-reports,weekly,unknown,none,https://www.rayonvertcinema.org/robots.txt,allows,none,RSS-only,https://www.rayonvertcinema.org/mentions-legales-et-copyright/,2,permission-needed,"Revue belge de cinéma en ligne (depuis 2016, Schaerbeek/Bruxelles): critiques, analyses esthétiques et entretiens fouillés, articles relus par les pairs. WordPress statique. Homepage corrigée (rayonvertcinema.org, PAS lerayonvert.be qui est un lieu culturel à Jette). robots.txt en timeout au fetch -> stance unknown.",https://www.rayonvertcinema.org/;https://www.rayonvertcinema.org/le-rayon-vert-histoires-daffects/;https://www.entrevues.org/revues/rayonvert/;https://www.rayonvertcinema.org/robots.txt
26,Format Court,Association Format Court,France,fr,https://www.formatcourt.com/,unknown,unknown,https://www.formatcourt.com/wp-sitemap.xml,/{slug}/,static,reviews;news;interviews;festival-reports;essays,daily,unknown,none,https://www.formatcourt.com/robots.txt,allows,none,RSS-only,unknown,2,RSS-incremental,"Webzine quotidien dédié au court métrage mondial (critiques, fiches, interviews, couvertures festivalières). WordPress statique. Organise aussi le Festival Format Court. robots ne bloque que /wp-admin/. Contact info@formatcourt.com.",https://www.formatcourt.com/robots.txt;https://www.formatcourt.com/qui-sommes-nous/presentation/;https://www.formatcourt.com/contact/
27,Délibéré,Association délibéré,France,fr,https://delibere.fr/,unknown,unknown,unknown,/{slug}/,static,reviews;essays;interviews,irregular,unknown,none,https://delibere.fr/robots.txt,allows,none,RSS-only,https://delibere.fr/mention-legales/,3,RSS-incremental,"Revue culturelle critique indépendante (cinéma, arts plastiques, photo, fictions, chroniques satiriques). WordPress statique. Couverture cinéma présente mais non exclusive -> revue culturelle large. robots ne bloque que /wp-admin/.",https://delibere.fr/robots.txt;https://delibere.fr/qui-sommes-nous/;https://delibere.fr/mention-legales/
28,1895 (revue de l'AFRHC),Association française de recherche sur l'histoire du cinéma (AFRHC) / OpenEdition,France,fr,https://journals.openedition.org/1895/,unknown,unknown,https://journals.openedition.org/?page=sitemap,/1895/{id},static,academic;essays,quarterly,unknown,none,https://journals.openedition.org/robots.txt,allows,none,unknown,unknown,1,permission-needed,"Seule revue française exclusivement consacrée à l'histoire du cinéma (3 livraisons/an), éditée par l'AFRHC, hébergée sur OpenEdition Journals (plateforme académique CNRS/EHESS). Articles de fond référencés. Page d'accueil rendue statique; robots.txt OpenEdition renvoie vide au fetcher -> stance unknown.",https://journals.openedition.org/1895/;https://fr.wikipedia.org/wiki/1895_(revue);https://journals.openedition.org/robots.txt
29,Le Polyester,Le Polyester,France,fr,https://lepolyester.com/,unknown,unknown,https://lepolyester.com/sitemap_index.xml,/critique-{slug}/,static,reviews;interviews;festival-reports;news;dossiers,daily,unknown,none,https://www.lepolyester.com/robots.txt,allows,none,RSS-only,unknown,3,RSS-incremental,"Webzine du cinéma d'auteur et des films hors normes (critiques, festivals, entretiens), créé par Nicolas Bardot et Grégory Coutaut (ex-FilmDeCulte). WordPress statique, Yoast. robots Disallow vide (= allows). Couverture festivalière intense.",https://lepolyester.com/;https://www.lepolyester.com/robots.txt;https://www.filmdeculte.com/cinema/actualite/LE-POLYESTER-un-nouveau-site-cree-par-une-partie-de-lequipe-de-FilmDeCulte-25879.html
30,Caimán Cuadernos de Cine,Caimán Ediciones S.L.,Spain,es,https://www.caimanediciones.es,unknown,unknown,https://www.caimanediciones.es/sitemap_index.xml,unknown,js-required,reviews;essays;interviews;festival-reports,monthly,unknown,unknown,https://www.caimanediciones.es/robots.txt,allows,none,unknown,unknown,1,permission-needed,"Leading Spanish film monthly (founded 2007, ex-Cahiers du Cinéma España); dir. Jara Yáñez. Homepage/robots returned empty body to fetcher (likely JS/anti-bot shell) — robots not verifiable. HOLD.",https://www.caimanediciones.es/;https://www.caimanediciones.es/quienes-somos/;https://www.revistasculturales.com/revistas/143/caiman-cuadernos-de-cine/;https://www.caimanediciones.es/robots.txt
31,Dirigido por…,"Dirigido Por, S.L.",Spain,es,https://www.dirigidopor.com,unknown,unknown,unknown,unknown,js-required,reviews;essays;interviews;festival-reports,monthly,unknown,unknown,https://www.dirigidopor.com/robots.txt,unknown,unknown,unknown,unknown,1,permission-needed,Historic Spanish film monthly (founded Barcelona 1972); dir. Enrique Aragonés Royo. Homepage and robots.txt returned empty bodies repeatedly — unverifiable. HOLD.,https://www.dirigidopor.com/;https://www.revistasculturales.com/revistas/69/dirigido-por/;https://dialnet.unirioja.es/servlet/tesis?codigo=315995
32,A Sala Llena,A Sala Llena (Destino Visual),Argentina,es,https://asalallena.com.ar,unknown,unknown,https://asalallena.com.ar/sitemap_index.xml,/{slug}/,static,reviews;essays;interviews;festival-reports,daily,unknown,none,https://asalallena.com.ar/robots.txt,allows,none,RSS-only,unknown,2,RSS-incremental,"Established Argentine cinephile site; columnists incl. Quintín, Faretta, Porta Fouz. WordPress/Yoast, blocks only wp-admin & WooCommerce paths. Sitemap declared in robots.",https://asalallena.com.ar/robots.txt;https://asalallena.com.ar/contacto;https://asalallena.com.ar/nosotros/
33,OtrosCines,OtrosCines.com (Diego Batlle),Argentina,es,https://www.otroscines.com,unknown,unknown,unknown,/post/{slug},static,reviews;news;interviews;festival-reports;video-essays,daily,unknown,none,https://www.otroscines.com/robots.txt,allows,none,unknown,unknown,2,RSS-incremental,Major Argentine film site (founded 2007) run by critic Diego Batlle; strong criticism + festival coverage. robots allows all (only /cgi-bin/ disallowed); server-rendered.,https://www.otroscines.com/robots.txt;https://www.otroscines.com/contacto;https://www.otroscines.com/
34,La Fuga,laFuga (Corporación La Fuga),Chile,es,https://www.lafuga.cl,https://www.lafuga.cl/categoria/articulos/,unknown,unknown,/{slug}/{id},static,essays;reviews;interviews;academic,irregular,unknown,unknown,https://www.lafuga.cl/robots.txt,allows,none,unknown,unknown,2,permission-needed,"Academic Chilean film-studies review (founded 2005, Santiago); dir. Carolina Urrutia, ed. Iván Pinto Veas. Homepage/robots returned empty body to fetcher — unverifiable. HOLD.",https://lafuga.cl/quienes_somos/;https://lafuga.cl/equipo/;https://lafuga.cl/;https://www.lafuga.cl/robots.txt
35,Mabuse,Mabuse Revista de Cine,Chile,es,https://www.mabuse.cl,https://www.mabuse.cl/ediciones_anteriores.php,unknown,unknown,/columna_semanal.php?id={id},unknown,reviews;essays;interviews;festival-reports,monthly,unknown,unknown,https://www.mabuse.cl/robots.txt,unknown,unknown,unknown,unknown,2,permission-needed,"Chilean film magazine (founded 2002), FIPRESCI member. PHP/static-era site. Homepage/robots returned empty body to fetcher — unverifiable. HOLD.",https://www.mabuse.cl/quienes_somos.php;https://www.mabuse.cl/;https://www.mabuse.cl/ediciones_anteriores.php?id=102
36,Correspondencias,Correspondencias. Cine y pensamiento,Chile,es,http://correspondenciascine.com,unknown,unknown,unknown,/{slug}/,unknown,essays;interviews;video-essays;academic,quarterly,unknown,unknown,http://correspondenciascine.com/robots.txt,unknown,unknown,unknown,unknown,2,permission-needed,"Quarterly Chilean ''cine y pensamiento'' review (dossier-based, audiovisual essays). CORRECTED URL: correspondenciascine.com (task .cl URL is wrong). All fetches timed out — unverifiable. HOLD.",http://correspondenciascine.com/quienes-somos/;https://lafuga.cl/correspondencias-con-laura-u-marks/1035
37,Revista Icónica,Revista Icónica (independiente),Mexico,es,https://revistaiconica.com,unknown,https://revistaiconica.com/feed/rss/,https://revistaiconica.com/wp-sitemap.xml,/?p={id},static,reviews;essays;interviews,irregular,unknown,none,https://revistaiconica.com/robots.txt,allows,none,RSS-only,unknown,2,RSS-incremental,"Independent Mexican film-thought review (Mexico City/Puebla; ex-Cineteca Nacional title, indep. since 2015); dir. Abel Muñoz Hénonin. WordPress, blocks only wp-admin; sitemap & RSS present.",https://revistaiconica.com/robots.txt;https://revistaiconica.com/nosotros/;https://revistaiconica.com/
38,Con los ojos abiertos,Con los ojos abiertos,Argentina,es,https://www.conlosojosabiertos.com,https://www.conlosojosabiertos.com/cat/critica/,unknown,unknown,/{slug}/,static,reviews;essays;festival-reports,irregular,unknown,unknown,https://www.conlosojosabiertos.com/robots.txt,allows,none,unknown,unknown,3,permission-needed,"Argentine (Córdoba) cinephile site (since ~2011/2014); criticism + festival chronicles, focus incl. nuevo cine cordobés. All fetches timed out — robots/render unverifiable. HOLD.",https://www.conlosojosabiertos.com/;https://www.conlosojosabiertos.com/revista-de-cine-ano-1-numero-1-2014/;https://www.conlosojosabiertos.com/robots.txt;https://www.conlosojosabiertos.com
39,El Espectador Imaginario,Aula Crítica,Spain,es,https://www.elespectadorimaginario.com,unknown,unknown,https://www.elespectadorimaginario.com/sitemap_index.xml,unknown,static,reviews;essays;interviews,monthly,unknown,unknown,http://www.elespectadorimaginario.com/robots.txt,allows,none,unknown,unknown,3,permission-needed,"Monthly Spanish criticism review (Barcelona, since 2009), tied to Aula Crítica master in film criticism. All fetches timed out — unverifiable. HOLD.",https://www.elespectadorimaginario.com/;https://www.linkedin.com/company/el-espectador-imaginario;http://www.elespectadorimaginario.com/robots.txt;https://www.elespectadorimaginario.com
40,Encadenados,Asociación Cultural Encadenados,Spain,es,https://encadenados.org,https://encadenados.org/monograficos/,unknown,unknown,/{slug}/,static,reviews;essays;interviews,irregular,unknown,unknown,https://encadenados.org/robots.txt,allows,none,unknown,unknown,3,permission-needed,"Long-running Spanish (Valencia) film magazine/cultural association, origins 1980; reviews, director monographs. WordPress. All fetches timed out — robots unverifiable. HOLD.",https://encadenados.org/;https://encadenados.org/legal/aviso-legal/;https://encadenados.org/monograficos/;https://encadenados.org/robots.txt;homepage
41,Cinentransit (Transit),Transit: cine y otros desvíos,Spain,es,https://cinentransit.com,https://cinentransit.com/page/3/,unknown,https://cinentransit.com/wp-sitemap.xml,/{slug}/,unknown,reviews;essays;interviews;video-essays,irregular,unknown,unknown,https://cinentransit.com/robots.txt,allows,none,unknown,unknown,2,permission-needed,"Barcelona-based ''Transit'' (founded 2009); criticism, video-essays, interviews; eds. Carles Matamoros & Covadonga G. Lahera. WordPress. All fetches timed out — unverifiable. HOLD.",https://cinentransit.com/;http://cinentransit.com/transit-2/contacto-2/;http://cinentransit.com/transit-2/editorial/;https://cinentransit.com/robots.txt
42,Fotogramas,Hearst España S.L.,Spain,es,https://www.fotogramas.es,unknown,unknown,unknown,unknown,unknown,reviews;news;interviews,daily,unknown,metered,https://www.fotogramas.es/robots.txt,unknown,unknown,unknown,unknown,2,permission-needed,"Spain's oldest film magazine (founded 1946), published by Hearst España; large commercial outlet, more mainstream/news than auteur-criticism. CDN-protected — all fetches timed out. HOLD.",https://www.fotogramas.es/;https://filasiete.com/noticias/actualidad-del-cine/revistas-de-cine-mejores-espana/
43,Miradas de Cine,Miradas de Cine,Spain,es,https://miradasdecine.es,http://archivo.miradasdecine.es/m/actualidad,unknown,https://miradasdecine.es/sitemap_index.xml,unknown,static,reviews;essays;academic;festival-reports,irregular,unknown,unknown,https://miradasdecine.es/robots.txt,allows,none,unknown,unknown,3,permission-needed,"Spanish analysis/criticism review (ISSN 1699-4930, since 2002). Current site miradasdecine.es; separate static archive 2002-2015 at archivo.miradasdecine.es. All fetches timed out — unverifiable. HOLD.",https://miradasdecine.es/;http://archivo.miradasdecine.es/m/actualidad;https://recursosbiblioteca.usj.es/revista-electronica/miradas-de-cine;https://miradasdecine.es/robots.txt;https://miradasdecine.es
44,El Antepenúltimo Mohicano,El Antepenúltimo Mohicano,Spain,es,https://www.elantepenultimomohicano.com,unknown,unknown,https://www.elantepenultimomohicano.com/sitemap.xml,/{year}/{month}/{slug}.html,static,reviews;essays;festival-reports,irregular,unknown,unknown,https://www.elantepenultimomohicano.com/robots.txt,allows,none,unknown,unknown,3,permission-needed,"Independent Spanish (Cáceres) criticism magazine (ISSN 2386-6373, since 2008); coords. Miguel Muñoz, Víctor Blanes, Emilio Luna. Blogger-hosted. All fetches timed out — robots/render unverifiable. HOLD.",https://www.elantepenultimomohicano.com/p/contacto.html;https://muckrack.com/media-outlet/elantepenultimomohicano;https://es.linkedin.com/company/eamcinema;https://www.elantepenultimomohicano.com/robots.txt;https://www.elantepenultimomohicano.com
45,Filmdienst,PubliKath GmbH (Hg. Katholische Filmkommission für Deutschland),Germany,de,https://www.filmdienst.de,https://www.filmdienst.de/suche/beitraege,https://www.filmdienst.de/rss,https://www.filmdienst.de/news-sitemap.xml,/artikel/{id}/{slug},static,reviews;essays;interviews;news;festival-reports,daily,unknown,metered,https://www.filmdienst.de/robots.txt,allows,none,RSS-only,https://www.filmdienst.de/agb,1,RSS-incremental,"Institutionelles Referenzorgan; führt das 'Lexikon des internationalen Films'. robots erlaubt allgemeines Crawling (Disallow leer), news-sitemap deklariert. Archiv-Recherche hinter FILMDIENST PLUS (24,90 EUR/Jahr) = metered.",https://www.filmdienst.de/robots.txt;https://www.filmdienst.de/impressum;https://www.filmdienst.de/ueber-uns
46,epd Film,Gemeinschaftswerk der Evangelischen Publizistik (GEP) gGmbH,Germany,de,https://www.epd-film.de,https://www.epd-film.de/heftarchiv,unknown,none,unknown,static,reviews;essays;interviews;festival-reports;news,monthly,unknown,metered,https://www.epd-film.de/robots.txt,allows,none,RSS-only,unknown,1,permission-needed,"Renommierte evangelische Filmzeitschrift (GEP Frankfurt); Print-Abo + Heftarchiv mit Login. Homepage server-rendered (Drupal 7, static). robots.txt lieferte leeren Body am Fetcher -> robots_ai_stance nicht verifizierbar (unknown). HOLD: robots per Browser prüfen.",https://www.epd-film.de/impressum;https://www.epd-film.de/leserservice;https://www.epd-film.de/robots.txt;https://www.epd-film.de
