id,name,publisher,country,language,discipline,region,global_south,peer_reviewed,open_access,founded,indexing,homepage_url,scope_note,evidence_url
12,October,MIT Press,United States,English,"art, theory, film/apparatus",North America,no,yes,hybrid,1976,Scopus; Arts & Humanities Citation Index,https://direct.mit.edu/octo,Postmodern art and apparatus-theory venue with strong film roots.,https://en.wikipedia.org/wiki/October_(journal)
13,The Velvet Light Trap,University of Texas Press,United States,English,film & media history/theory,North America,no,yes,no,1971,Scopus; MLA; JSTOR,https://utpress.utexas.edu/journals/the-velvet-light-trap/,"Graduate-edited journal of film, television and new media history.",https://en.wikipedia.org/wiki/The_Velvet_Light_Trap
14,Film History: An International Journal,Indiana University Press,United States,English,film historiography,North America / International,no,yes,no,1987,Scopus; Arts & Humanities Citation Index; MLA,https://iupress.org/journals/filmhistory/,Original research on the international history of cinema.,https://muse.jhu.edu/journal/285
15,The Moving Image,University of Minnesota Press (for AMIA),United States,English,"archives, preservation, moving-image studies",North America,no,yes,no,2001,MLA; JSTOR,https://www.upress.umn.edu/journals/the-moving-image/,"Archival theory and history of film, video and digital media.",https://www.jstor.org/journal/movingimage
16,Discourse: Journal for Theoretical Studies in Media and Culture,Wayne State University Press,United States,English,theory of media & culture,North America,no,yes,no,1979,MLA; JSTOR,https://wsupress.wayne.edu/journals/discourse/,"Theoretical humanities on film, visual arts and audiovisual media.",https://digitalcommons.wayne.edu/discourse/about.html
17,Framework: The Journal of Cinema and Media,Wayne State University Press,United States,English,cinema & media theory (global),North America / International,no,yes,no,1974,MLA; JSTOR,https://wsupress.wayne.edu/journals/framework/,"Radical, multicultural approaches to world cinema and media.",https://digitalcommons.wayne.edu/framework/aimsandscope.html
18,NECSUS: European Journal of Media Studies,Amsterdam University Press / Open Humanities Press (for NECS),Netherlands,English,European media studies (OA),Europe,no,yes,yes,2012,DOAJ; Scopus; MLA,https://necsus-ejms.org/,"Double-blind multidisciplinary European media studies, gold open access.",https://doaj.org/toc/2213-0217
19,Jump Cut: A Review of Contemporary Media,"Jump Cut Associates (independent, OA)",United States,English,radical/political media criticism (OA),North America,no,yes,yes,1974,MLA; Film & Television Literature Index,https://www.ejumpcut.org/home.html,"Left, feminist, anti-imperialist analysis of film, TV and media.",https://en.wikipedia.org/wiki/Jump_Cut_(journal)
20,Film-Philosophy,Edinburgh University Press,United Kingdom,English,film & philosophy (OA),UK / International,no,yes,yes,1996,DOAJ; Scopus; ERIH PLUS,https://www.euppublishing.com/journal/film,"International journal on the intersection of film studies, philosophy and the moving image; EUP's first fully open-access (Subscribe to Open) title; double-blind peer review.",https://www.euppublishing.com/journal/film
21,Projections: The Journal for Movies and Mind,Berghahn Journals (in association with the Society for Cognitive Studies of the Moving Image),United States,English,cognitive science & psychology of film,North America,no,yes,no,2007,Scopus; Web of Science (ESCI); ERIH PLUS; MLA,https://www.berghahnjournals.com/view/journals/projections/projections-overview.xml,"Interdisciplinary journal integrating media aesthetics with research in perception, cognition and emotion via philosophy of mind, phenomenology, psychology and the cognitive/neurosciences; double-blind peer review.",https://www.berghahnjournals.com/view/journals/projections/projections-overview.xml
22,Cinema: Journal of Philosophy and the Moving Image,"Nova Institute of Philosophy (IFILNOVA), NOVA University Lisbon",Portugal,English; Portuguese,philosophy of the moving image (OA),Portugal,no,yes,yes,2010,DOAJ; Scopus,https://cinema.fcsh.unl.pt/index.php/revista/index,Refereed international journal on philosophical approaches to the aesthetics of the moving image and to particular works; articles double-blind reviewed; CC BY 4.0.,https://cinema.fcsh.unl.pt/index.php/revista/about
23,Film and Philosophy,Philosophy Documentation Center (for the Society for the Philosophic Study of the Contemporary Visual Arts),United States,English,philosophy & film,North America,no,yes,unknown,1994,Philosopher's Index,https://www.pdcnet.org/filmphil/Film-and-Philosophy,Peer-reviewed journal publishing articles on film as a significant art form expressing philosophical ideas; sponsored by SPSCVA; published annually.,https://www.pdcnet.org/filmphil/Film-and-Philosophy
24,The Journal of Aesthetics and Art Criticism,Oxford University Press (for the American Society for Aesthetics),United States,English,aesthetics (incl. film),North America,no,yes,hybrid,1942,Scopus; Arts & Humanities Citation Index; Philosopher's Index; PhilPapers; MLA,https://academic.oup.com/jaac,Leading aesthetics journal; arts taken in broadest sense explicitly including film; theoretical and interdisciplinary; reviews in aesthetics and philosophy of art. Moved from Wiley to OUP in 2021.,https://academic.oup.com/jaac/pages/about
25,Image [&] Narrative,Katholieke Universiteit Leuven (Faculty of Arts),Belgium,English; French,visual narratology & word-image (OA),Belgium,no,yes,yes,2000,DOAJ; Scopus,https://www.imageandnarrative.be/,Peer-reviewed e-journal on visual narratology and word-and-image studies questioning the mutual shaping of literary and visual cultures; bilingual; no APCs; CC BY-NC-ND.,https://www.imageandnarrative.be/
26,American Imago,Johns Hopkins University Press,United States,English,psychoanalysis & culture (incl. film),North America,no,yes,no,1939,Scopus; Arts & Humanities Citation Index; PsycINFO; MLA,https://www.press.jhu.edu/journals/american-imago,"Leading scholarly journal of psychoanalysis founded by Freud and Sachs; explores Freud's legacy across the humanities, arts and social sciences including film; double-blind peer review.",https://www.press.jhu.edu/journals/american-imago
27,New Review of Film and Television Studies,Routledge (Taylor & Francis),United Kingdom,English,film & TV theory,UK,no,yes,hybrid,2003,Scopus; Web of Science,https://www.tandfonline.com/journals/rfts20,"Peer-reviewed journal publishing research on the theory, history, aesthetics and politics of screen culture; particularly welcomes essays using philosophically inflected critical methods; excludes social-science approaches.",https://www.tandfonline.com/journals/rfts20
28,Cinémas: Revue d'études cinématographiques / Journal of Film Studies,Université de Montréal (Érudit),Canada,French; English,"film theory/aesthetics (FR/EN, OA)",Canada,no,yes,yes,1990,Scopus; Érudit; FIAF,https://www.erudit.org/en/journals/cine/,"Bilingual peer-reviewed journal dedicated to film studies and theoretical/analytical work stimulating reflection from the meeting of approaches including aesthetics, semiotics, history and art history; open access on Érudit.",https://www.erudit.org/en/journals/cine/
29,Third Text,Routledge (Taylor & Francis),United Kingdom,English,postcolonial art & visual culture,UK / International,no,yes,hybrid,1987,Scopus; ESCI; MLA International Bibliography,https://www.tandfonline.com/journals/ctte20,Leading international journal on the critical analysis of contemporary art and film through the lens of postcolonial theory and globalisation.,https://www.tandfonline.com/journals/ctte20/about-this-journal
30,Rethinking Marxism,Routledge (Taylor & Francis),United States,English,Marxist theory (incl. film/ideology),North America,no,yes,hybrid,1988,Scopus; ESCI,https://www.tandfonline.com/journals/rrmx20,"Quarterly journal stimulating debate over Marxian economic, cultural and social analysis, including ideology critique of film and media.",https://www.tandfonline.com/journals/rrmx20/about-this-journal
31,Transnational Screens,Routledge (Taylor & Francis),United Kingdom,English,transnational cinema,UK / International,no,yes,hybrid,2010,Scopus; Web of Science; MLA International Bibliography,https://www.tandfonline.com/journals/rtrc20,Formerly Transnational Cinemas; addresses any aspect of transnational film and screen media beyond national/geographic divisions.,https://www.tandfonline.com/journals/rtrc21/about-this-journal
32,Media Industries,Open Library of Humanities / University of Michigan,United States,English,film/media economy & industry (OA),North America / International,no,yes,yes,2014,DOAJ,https://mediaindustriesjournal.wordpress.com/,"Peer-reviewed open-access journal on media and film industries, institutions and policies worldwide, including political economy and labour.",https://doaj.org/toc/2373-9037
33,Journal of Popular Film and Television,Routledge (Taylor & Francis),United States,English,popular film & TV,North America,no,yes,hybrid,1971,Scopus,https://www.tandfonline.com/journals/vjpf20,Publishes sociocultural analyses of commercial film and television programming; first scholarly film journal to include television in its purview.,https://www.tandfonline.com/journals/vjpf20/about-this-journal
34,"Historical Journal of Film, Radio and Television",Routledge (Taylor & Francis),United Kingdom,English,"media history, politics & propaganda",UK,no,yes,hybrid,1981,Scopus; Web of Science,https://www.tandfonline.com/journals/chjf20,"Interdisciplinary journal on the history of film, radio and television, exploring institutional and ideological contexts of the mass media.",https://www.tandfonline.com/journals/chjf20/about-this-journal
35,Studies in European Cinema,Routledge (Taylor & Francis),United Kingdom,English,European cinema,Europe,no,yes,hybrid,2004,Scopus; ESCI; MLA International Bibliography,https://www.tandfonline.com/journals/rseu20,Interdisciplinary forum for research on European film and film culture positioned within cultural and historical contexts.,https://www.tandfonline.com/journals/rseu20/about-this-journal
36,French Screen Studies,Routledge (Taylor & Francis),United Kingdom,English,French cinema & screen,UK / France,no,yes,hybrid,2001,Scopus; ESCI,https://www.tandfonline.com/journals/rsfc20,Formerly Studies in French Cinema (renamed 2020); only journal devoted exclusively to French and francophone cinema and screen cultures.,https://www.tandfonline.com/journals/rsfc20/about-this-journal
37,Studies in Spanish & Latin American Cinemas,Intellect,United Kingdom,English,Spanish & Latin American cinemas,UK / Iberia-LatAm,no,yes,unknown,2004,Scopus; ESCI,https://www.intellectbooks.com/studies-in-spanish-latin-american-cinemas,"Formerly Studies in Hispanic Cinemas; double-blind peer-reviewed journal on the cinemas of Spain and Latin America, with postcolonial focus.",https://intellectdiscover.com/content/journals/sslac
38,Studies in Russian and Soviet Cinema,Routledge (Taylor & Francis),United Kingdom,English,Russian & Soviet cinema,UK / Russia,no,yes,hybrid,2007,Scopus,https://www.tandfonline.com/journals/rrsc20,"Focuses on Russian and Soviet film and its position between ideology and industry across pre-revolutionary, Soviet and post-Soviet eras.",https://www.tandfonline.com/journals/rrsc20/about-this-journal
39,Eastern European Screen Studies,Routledge (Taylor & Francis),United Kingdom,English,Eastern European screen,UK / E. Europe,no,yes,hybrid,2010,Scopus; ESCI,https://www.tandfonline.com/journals/reec20,Formerly Studies in Eastern European Cinema; platform for scholars of Eastern European film and screen cultures across the region.,https://www.tandfonline.com/journals/reec20/about-this-journal
40,Journal of Chinese Cinemas,Routledge (Taylor & Francis),United Kingdom,English,Chinese-language cinemas,East Asia,no,yes,hybrid,2007,Scopus; ESCI,https://www.tandfonline.com/journals/rjcc20,"Refereed journal on film and media as practiced in Chinese-speaking communities; production, distribution and reception.",https://www.tandfonline.com/journals/rjcc20/about-this-journal
41,Journal of Japanese and Korean Cinema,Routledge (Taylor & Francis),United Kingdom,English,Japanese & Korean cinema,East Asia,no,yes,hybrid,2009,Scopus; ESCI,https://www.tandfonline.com/journals/rjkc20,Refereed forum for scholarship on the cinemas of Japan and Korea and the relations between them.,https://www.tandfonline.com/journals/rjkc20/about-this-journal
42,Studies in Documentary Film,Routledge (Taylor & Francis),United Kingdom,English,documentary studies,UK / International,no,yes,hybrid,2007,Scopus; ESCI,https://www.tandfonline.com/journals/rsdf20,"First refereed scholarly journal devoted to the history, theory, criticism and practice of documentary film.",https://www.tandfonline.com/journals/rsdf20/about-this-journal
43,"Music, Sound, and the Moving Image",Liverpool University Press,United Kingdom,English,film sound & music,UK,no,yes,no,2007,Scopus; Project MUSE; RILM,https://www.liverpooluniversitypress.co.uk/journal/msmi,First international scholarly journal on the interaction of music/sound with moving image media; each issue includes an audiovisual essay. Print ISSN 1753-0768.,https://muse.jhu.edu/journal/465
44,Animation: An Interdisciplinary Journal,SAGE Publications,United Kingdom,English,animation studies,UK / International,no,yes,hybrid,2006,Scopus; SCImago,https://journals.sagepub.com/home/anm,"International peer-reviewed journal uniting animation research across film/media studies, art, design and creative practice. ISSN 1746-8477.",https://journals.sagepub.com/home/anm
45,Moving Image Review & Art Journal (MIRAJ),Intellect,United Kingdom,English,artists' moving image,UK,no,yes,no,2012,Scopus; SCImago,https://www.intellectbooks.com/miraj-the-moving-image-review-art-journal,First international peer-reviewed journal devoted to artists' film and video and its contexts; published with University of the Arts London. ISSN 2045-6298.,https://intellectdiscover.com/content/journals/miraj
46,[in]Transition: Journal of Videographic Film & Moving Image Studies,Open Library of Humanities,United Kingdom,English,videographic criticism (OA),UK / International,no,yes,yes,2014,DOAJ,https://intransition.openlibhums.org/,"First peer-reviewed academic journal of videographic film and moving image studies; owned by SCMS, published by Open Library of Humanities.",https://intransition.openlibhums.org/
47,Frames Cinema Journal,University of St Andrews,United Kingdom,English,film & screen (OA),UK,no,yes,yes,2012,DOAJ,https://framescinemajournal.com/,"Annual peer-reviewed open-access journal run by postgraduate students of the Department of Film Studies, University of St Andrews. ISSN 2053-8812; CC BY 4.0.",https://framescinemajournal.com/
48,"Apparatus: Film, Media and Digital Cultures of Central and Eastern Europe",Freie Universität Berlin,Germany,English; multiple regional languages,"CEE film, media & digital cultures (OA)",Germany / CEE,no,yes,yes,2015,DOAJ,https://www.apparatusjournal.net/,"Bi-annual double-blind peer-reviewed open-access journal on media of Eastern, Central and South-Eastern Europe; DFG-supported, hosted at Freie Universität Berlin. ISSN 2365-7758.",https://www.apparatusjournal.net/index.php/apparatus/about
49,World Records,"Center for Media, Culture, and History, New York University",United States,English,documentary theory & practice (OA),North America,no,yes,yes,2018,unknown,https://worldrecordsjournal.org/,"Journal bringing together scholars, critics, makers and curators offering new perspectives on nonfiction media; published with NYU's CMCH. ISSN 2640-0065.",https://worldrecordsjournal.org/
50,Alphaville: Journal of Film and Screen Media,University College Cork,Ireland,English,film & screen media (OA),Ireland / International,no,yes,yes,2011,DOAJ; Scopus; MLA; ERIH PLUS,https://www.alphavillejournal.com/,Diamond open-access peer-reviewed film and screen media research.,https://doaj.org/toc/2009-4078
