Chen Kaige,Chinese Cinema,Fifth Generation Chinese Cinema (Key figure),Historical Epic,,,,,,
Chloé Zhao,American Independent Cinema,Chinese Diaspora Cinema,Neo-Western,Docufiction (Hybrid Cinema),Neo-Neorealism,,,,
Christian Petzold,German Cinema,Berlin School (Berliner Schule - Key figure),New German Cinema (Contemporary),"Genre Revisionism (Melodrama, Thriller)",Auteur Theory,,,,
Ciro Guerra,Colombian Cinema,Latin American Cinema,Postcolonial Cinema,Ethnographic Cinema,,,,,
Claire Denis,French Cinema,Cinéma du Corps (Cinema of the Body),Postcolonial Cinema,New French Extremity (associated),Auteur Theory,Sensory Cinema,,,
Clio Barnard,British Cinema,Social Realism,Docufiction (Hybrid Cinema),Northern England Cinema (Regional grouping),,,,,
Cristi Puiu,Romanian Cinema,Romanian New Wave (Noul Val Românesc - Key figure),Realism/Observational Cinema,Minimalism,Auteur Theory,,,,
Cristian Mungiu,Romanian Cinema,Romanian New Wave (Noul Val Românesc - Key figure),Realism,Moral/Ethical Drama,Auteur Theory,,,,
Darren Aronofsky,American Independent Cinema,Psychological Thriller,Surrealism,Body Horror (elements of),Auteur Theory,,,,
David Cronenberg,Canadian Cinema,Toronto New Wave,Body Horror (Originator/Key figure),Venereal Horror,Auteur Theory,,,,
David Fincher,American Cinema,Neo-Noir,Procedural Thriller,Digital Cinema Aesthetics,Auteur Theory,,,,
David Lynch,American Cinema,Surrealism,Experimental/Avant-Garde Film,Lynchian (Aesthetic categorization named after him),Postmodern Cinema,American Gothic,Auteur Theory,,
David Michôd,Australian Cinema,Australian New Wave (Contemporary),Crime Genre/Neo-Noir,,,,,,
Debra Granik,American Independent Cinema,Social Realism,Neo-Neorealism,Rural Noir,Ozark Cinema (Regional grouping),,,,
Denis Villeneuve,Canadian Cinema,Quebec Cinema,Transnational Cinema,Science Fiction (Contemporary Auteur),Auteur Theory,,,,
Diao Yinan,Chinese Cinema,Sixth Generation (overlap/influence),Neo-Noir,Independent Chinese Cinema,,,,,
Edward Yang,Taiwanese Cinema,New Taiwanese Cinema (Key figure),Auteur Theory,Urban Cinema/Taipei Stories,Modernist Cinema,,,,
Fatih Akin,German Cinema,Turkish-German Cinema,Transnational Cinema,Cinema of Migration,,,,,
Fernando Meirelles,Brazilian Cinema,Retomada (The revival of Brazilian cinema),Social Realism,Transnational Cinema,,,,,
Florian Henckel von Donnersmarck,German Cinema,Post-Reunification German Cinema,Political Cinema,,,,,,
François Ozon,French Cinema,Post-New Wave French Cinema,Queer Cinema,Genre Pastiche,Auteur Theory,,,,
Gaspar Noé,French Cinema,New French Extremity (Key figure),Cinéma du Corps,Experimental/Psychedelic Cinema,Transgressive Cinema,Cinema of Provocation,Auteur Theory,,
Guillermo del Toro,Mexican Cinema,New Mexican Cinema (Nuevo Cine Mexicano),The Three Amigos of Cinema (Group moniker with Cuarón and Iñárritu),Fantasy Cinema,Horror Genre,Gothic Romance,Auteur Theory,,
Gus Van Sant,American Independent Cinema,New Queer Cinema (Key figure in the early 90s),Portland/Pacific Northwest Scene (Regional grouping),Auteur Theory,Death Trilogy (Thematic grouping/Experimental Slow Cinema),,,,
Hirokazu Kore-eda,Japanese Cinema,Contemporary Japanese Cinema,Shomin-geki (Drama about ordinary people - influence of Ozu),Family Drama,Auteur Theory,Humanism,,,
Hong Sang-soo,South Korean Cinema,Korean New Wave,Minimalism,Auteur Theory,Soju Cinema (Thematic/Stylistic grouping),Self-Reflexive Cinema,Repetition and Variation Structure,,
Hou Hsiao-hsien,Taiwanese Cinema,New Taiwanese Cinema (Key figure),Slow Cinema,Contemplative Cinema,Historical/Memory Cinema,Auteur Theory,,,
Hu Bo,Chinese Cinema,Independent Chinese Cinema,Slow Cinema,Existentialism,,,,,
Ildikó Enyedi,Hungarian Cinema,Post-Communist Hungarian Cinema,Art Cinema,Auteur Theory,,,,,
Jacques Audiard,French Cinema,Post-New Wave French Cinema,Neo-Noir (Polar/Neo-Polar),Genre Revisionism,Auteur Theory,,,,
"Jafar Panahi (also Jafar Panahi, Mojtaba Mirtahmasb)",Iranian Cinema,Iranian New Wave (Second Wave/continuation),Political Cinema (Dissident Cinema/Cinema of Resistance),Meta-cinema,Neo-Neorealism,Guerrilla Filmmaking,Auteur Theory,,
Jane Campion,New Zealand Cinema/Australian Cinema,Feminist Cinema,Female Gaze,Auteur Theory,Postmodern Gothic,,,,
Jang Joon-hwan,South Korean Cinema,Korean New Wave,Genre-Bending Cinema,Cult Cinema,,,,,
Jasmila Žbanić,Bosnian Cinema,Balkan Cinema,Post-Yugoslav Cinema,War Cinema/Trauma Studies,,,,,
"Jean-Pierre Dardenne, Luc Dardenne (The Dardenne Brothers)",Belgian Cinema,European Social Realism,Neo-Neorealism,Naturalism,Dardennesque (Aesthetic influence/grouping),Ethical/Moral Cinema,Auteur Theory,,
Jerzy Skolimowski,Polish Cinema,Polish New Wave (Polska Szkoła Filmowa - influence/continuation),Transnational Cinema,Auteur Theory,,,,,
Jessica Hausner,Austrian Cinema,New Austrian Cinema,Berlin School (aesthetic similarities/association),Stylized Realism,Auteur Theory,,,,
Jia Zhangke,Chinese Cinema,Sixth Generation Chinese Cinema (Key figure),Independent Chinese Cinema,Docufiction/Hybrid Cinema,Social Realism,Auteur Theory,,,
Jim Jarmusch,American Independent Cinema,No Wave Cinema (early association),Deadpan Comedy,Minimalism,Auteur Theory,Transnational/Cosmopolitan Cinema,,,
Joachim Trier,Norwegian Cinema,Nordic Cinema,Oslo Trilogy (Thematic/Geographical grouping),Auteur Theory,,,,,
Joanna Hogg,British Cinema,Contemporary British Art Cinema,Auteur Theory,Upper-Class Realism,Auto-fiction/Personal Cinema,,,,
"Joel Coen, Ethan Coen (The Coen Brothers)",American Independent Cinema,Postmodern Cinema,"Genre Pastiche (Neo-Noir, Screwball Comedy, Western)",Auteur Theory,Coen-esque (Stylistic categorization),,,,
John Michael McDonagh,British Cinema/Irish Cinema,Black Comedy,Postmodern Irish Cinema,,,,,,
Jonathan Glazer,British Cinema,Art Cinema,Genre Revisionism,Visual Auteur,Sensory Cinema,Auteur Theory,,,
Jordan Peele,American Cinema,Black Cinema (Contemporary),Social Thriller,Elevated Horror,Auteur Theory,,,,
Josephine Decker,American Independent Cinema,Experimental Film,Mumblecore (early association/overlap),Sensory Cinema,Feminist/Body-Centric Cinema,,,,
"Josh Safdie, Benny Safdie (The Safdie Brothers)",American Independent Cinema,New York Independent Cinema,Gritty Realism/Street Cinema,Anxiety Cinema,A24 Cinema (Studio/Aesthetic grouping),Auteur Theory,,,
Joshua Oppenheimer,Documentary Cinema,Political Documentary,Performative Documentary,Historical Reckoning,,,,,
Julia Ducournau,French Cinema,Body Horror (Contemporary),New French Extremity (Next Generation/Contemporary iteration),Feminist Cinema,Cinéma du Corps,Auteur Theory,,,
Julio Medem,Spanish Cinema,Basque Cinema,New Spanish Cinema,Magic Realism,Auteur Theory,,,,
Justine Triet,French Cinema,Contemporary French Cinema,Post-New Wave (Next Generation),Legal Drama (revisionist),Auteur Theory,,,,
Kantemir Balagov,Russian Cinema,New Russian Cinema,Caucasus Cinema (Regional grouping),Sokurov's students (Educational lineage),,,,,
Ken Loach,British Cinema,Social Realism (Key figure),Kitchen Sink Realism,Political Cinema (Socialist Cinema),Auteur Theory,,,,
Kim Bora,South Korean Cinema,Korean Independent Cinema,Feminist Cinema,Coming-of-Age Cinema,,,,,
Kim Jee-woon,South Korean Cinema,Korean New Wave,"Genre Filmmaking (Horror, Thriller, Western)",Mise-en-scène focused Cinema,Auteur Theory,,,,
Kim Ki-duk,South Korean Cinema,Korean New Wave,Extreme Asian Cinema,Transgressive Cinema,Auteur Theory,,,,
Kinji Fukasaku,Japanese Cinema,Yakuza Film (Jitsuroku eiga - True account/realistic films),Action Cinema,Post-War Japanese Cinema,,,,,
Kiyoshi Kurosawa,Japanese Cinema,J-Horror (Key figure),Auteur Theory,Genre Revisionism,,,,,
"Kleber Mendonça Filho (also Kleber Mendonça Filho, Juliano Dornelles)",Brazilian Cinema,New Brazilian Cinema,Recife/Pernambuco Scene (Regional grouping),Political Cinema/Social Critique,Genre-Bending Cinema,Auteur Theory,,,
Kornél Mundruczó,Hungarian Cinema,Post-Communist Hungarian Cinema,Art Cinema,,,,,,
Krzysztof Kieślowski,Polish Cinema,Cinema of Moral Anxiety (Kino moralnego niepokoju),Auteur Theory,Transnational/European Cinema,Metaphysical Cinema,Three Colours Trilogy (Thematic grouping),,,
Lars von Trier,Danish Cinema,Dogme 95 (Co-founder and key figure),Transgressive Cinema,Experimental Cinema,Cinema of Provocation,Auteur Theory,Europa Trilogy (Thematic grouping),Golden Heart Trilogy (Thematic grouping),Depression Trilogy (Thematic grouping)
László Nemes,Hungarian Cinema,Historical Cinema (Holocaust Cinema - contemporary approaches),Sensory Cinema,Tarr's students (Educational lineage),Auteur Theory,,,,
Laurent Cantet,French Cinema,Contemporary French Realism,Social/Political Cinema,Docufiction/Hybrid Cinema,,,,,
Lav Diaz,Philippine Cinema,Slow Cinema (Key figure),Third Cinema (influences),Political/Historical Cinema,Durational Cinema,Auteur Theory,,,
Lee Chang-dong,South Korean Cinema,Korean New Wave,Auteur Theory,Poetic Realism,Social Criticism,Literary Cinema,,,
Leos Carax,French Cinema,Cinéma du Look (Key figure of the 80s/90s),Neo-Baroque,Poetic Cinema,Auteur Theory,Postmodern Cinema,,,
Lou Ye,Chinese Cinema,Sixth Generation Chinese Cinema,Independent Chinese Cinema (often unauthorized),Urban Cinema,,,,,
Luca Guadagnino,Italian Cinema,Transnational Cinema,Sensory Cinema,Queer Cinema (themes),Auteur Theory,Desire Trilogy (Thematic grouping),,,
Lucrecia Martel,Argentine Cinema,New Argentine Cinema (Nuevo Cine Argentino - Key figure),Auteur Theory,Sensory Cinema (Sound Design focused),Slow Cinema,Salta Trilogy (Geographical/Thematic grouping),,,
Lukas Dhont,Belgian Cinema,Flemish Cinema,Queer Cinema,Coming-of-Age Cinema,,,,,
Lynne Ramsay,British Cinema,Scottish Cinema,Art Cinema,Poetic Realism,Sensory/Impressionistic Cinema,Auteur Theory,,,
Maren Ade,German Cinema,Berlin School (Berliner Schule - Second Generation/associated),New German Cinema (Contemporary),Auteur Theory,,,,,
Martin McDonagh,British Cinema/Irish Cinema,Black Comedy,Theater-to-Film Auteurs,Postmodern Crime,Auteur Theory,,,,
Mathieu Kassovitz,French Cinema,Cinéma de Banlieue (Cinema of the suburbs),Jeune Cinéma Français (1990s),Political Cinema,,,,,
Mati Diop,French Cinema/Senegalese Cinema,African Diaspora Cinema,Postcolonial Cinema,Magic Realism,Auteur Theory,,,,
Matteo Garrone,Italian Cinema,Contemporary Italian Cinema,Neo-Neorealism (influences),"Genre Revisionism (Crime, Fantasy)",,,,,
Mia Hansen-Løve,French Cinema,Post-New Wave French Cinema,Auteur Theory,Auto-fiction/Personal Cinema,,,,,
Michael Haneke,Austrian Cinema,New Austrian Cinema,Auteur Theory,Glaciation Trilogy (Thematic grouping),Glaciation Aesthetics,Philosophical Cinema,Cinema of Cruelty (influence of Artaud),Modernist Cinema,Media Critique/Violence Studies
Michaël R. Roskam,Belgian Cinema,Flemish Cinema,Crime Genre,Neo-Noir,,,,,
Michel Gondry,French Cinema,Transnational Cinema,Surrealism/Whimsical Aesthetics,Visual Auteur,Music Video Auteurs (background/aesthetic influence),,,,
Miguel Gomes,Portuguese Cinema,New Portuguese Cinema,Docufiction (Hybrid Cinema),Postcolonial Cinema,Experimental Narrative,Auteur Theory,,,
Mike Leigh,British Cinema,Social Realism,Kitchen Sink Realism,Auteur Theory,Improvisational Cinema (Methodology grouping),,,,
Mohammad Rasoulof,Iranian Cinema,Contemporary Iranian Cinema,Political Cinema (Dissident Cinema/Cinema of Resistance),,,,,,
Mohsen Makhmalbaf,Iranian Cinema,Iranian New Wave,Political Cinema,Makhmalbaf Film House (Family/School grouping),,,,,
Na Hong-jin,South Korean Cinema,Korean New Wave,Thriller Genre,Extreme Asian Cinema,,,,,
Nadine Labaki,Lebanese Cinema,Arab Cinema,Social Realism,,,,,,
Nanni Moretti,Italian Cinema,Contemporary Italian Cinema,Auteur Theory,Auto-fiction/Personal Cinema,Political Satire,,,,
Naomi Kawase,Japanese Cinema,Contemporary Japanese Cinema,Auteur Theory,Docufiction/Personal Documentary,Nara Wave (Regional/Aesthetic grouping),,,,
Noah Baumbach,American Independent Cinema,Mumblecore (influence/overlap),New York Intellectual Cinema,Comedy of Manners,Auteur Theory,,,,
Nuri Bilge Ceylan,Turkish Cinema,New Turkish Cinema,Slow Cinema,Contemplative Cinema,Auteur Theory,Photographic Cinema,Provincial Trilogy (Thematic grouping),,
Olivier Assayas,French Cinema,Post-New Wave French Cinema,Jeune Cinéma Français (1990s),Auteur Theory,Meta-cinema,Transnational/Globalized Cinema,,,
Pablo Larraín,Chilean Cinema,New Chilean Cinema,Political Cinema,Historical Revisionism/Anti-Biopic,Auteur Theory,Pinochet Trilogy (Thematic grouping),,,
Paddy Considine,British Cinema,Social Realism,Actor-Director Auteurs,,,,,,
Paolo Sorrentino,Italian Cinema,Contemporary Italian Cinema,Auteur Theory,Baroque Style/Excessive Style,Grotesque,Fellini-esque (Stylistic comparison),,,
Park Chan-wook,South Korean Cinema,Korean New Wave,Vengeance Trilogy (Thematic grouping),Extreme Asian Cinema,Auteur Theory,Genre Filmmaking,,,
Paul Schrader,American Cinema,New Hollywood (1970s - Movie Brats generation),Transcendental Style (as theorist and practitioner),Auteur Theory,Existentialism,Man in a Room films (Thematic grouping),,,
Paul Thomas Anderson (PTA),American Cinema,Indiewood (90s Independent movement),Auteur Theory,New American Epic,San Fernando Valley films (Geographical grouping),Altman-esque (Stylistic comparison/influence),,,
Paweł Pawlikowski,Polish Cinema/British Cinema,Transnational Cinema,Post-Communist Eastern European Cinema,Auteur Theory,,,,,
Pedro Almodóvar,Spanish Cinema,La Movida Madrileña (Post-Franco cultural movement),Auteur Theory,Melodrama,Queer Cinema,Camp,Almodóvarian (Stylistic categorization),,
Quentin Tarantino,American Cinema,Indiewood (90s Independent movement),Postmodern Cinema,Genre Pastiche/Homage Cinema,Auteur Theory,Video Store Generation (Generational grouping),Tarantino-esque (Stylistic categorization),,
Radu Jude,Romanian Cinema,Romanian New Wave (Second Generation/Post-New Wave),Political Cinema,Historical Revisionism,Experimental Narrative/Essay Film,,,,
Richard Linklater,American Independent Cinema,Slacker Cinema (Originator/Key figure),Austin Film Scene (Regional grouping),Auteur Theory,Temporal Cinema (Experiments with time),,,,
Robert Altman,American Cinema,New Hollywood (Key figure of the 1970s),Auteur Theory,Ensemble Cast/Overlapping Dialogue,Naturalism,Genre Revisionism,Altman-esque (Stylistic categorization),,
Robert Eggers,American Independent Cinema,Elevated Horror,Folk Horror,A24 Cinema (Studio/Aesthetic grouping),Historical Cinema (meticulous reconstruction),Auteur Theory,,,
Robin Campillo,French Cinema,Queer Cinema,Political Cinema (Activist Cinema - ACT UP),,,,,,
Roy Andersson,Swedish Cinema,Nordic Cinema,Deadpan Comedy,Absurdism,Tableau Cinema/Static Camera,Auteur Theory,The Living Trilogy (Thematic grouping),,
Ruben Östlund,Swedish Cinema,Nordic Cinema,Social Satire,Cringe Comedy,Cinema of Discomfort,Auteur Theory,,,
Ryusuke Hamaguchi,Japanese Cinema,Contemporary Japanese Cinema,Slow Cinema (elements of),Auteur Theory,Dialogue-driven Cinema,,,,
Samuel Maoz,Israeli Cinema,Political Cinema,War Cinema (Anti-War/Psychological),Chamber Play (Kammerspielfilm - stylistic influence),,,,,
Satoshi Kon,Japanese Cinema,Anime (Auteur),Surrealism,Psychological Thriller,Animation (Adult-oriented),,,,
Sean Baker,American Independent Cinema,Neo-Neorealism,Social Realism/Street Cinema,Guerrilla Filmmaking,"iPhone Cinema (Technological grouping, e.g., *Tangerine*)",,,,
Sebastián Lelio,Chilean Cinema,New Chilean Cinema,Transnational Cinema,Queer Cinema (themes)/Transgender Cinema,,,,,
Sergei Loznitsa,Ukrainian Cinema/Russian Cinema/Belarusian Cinema,Documentary Cinema (Observational/Found Footage),Slow Cinema,Political/Historical Cinema,Post-Soviet Cinema,,,,
Shinji Aoyama,Japanese Cinema,Contemporary Japanese Cinema,Art Cinema,Rikkyo School (Rikkyo Nūberu Bāgu - Educational/Generational grouping),,,,,
Shinya Tsukamoto,Japanese Cinema,Japanese Cyberpunk (Key figure),Body Horror,Experimental Film,Cult Cinema,,,,
Shohei Imamura,Japanese Cinema,Japanese New Wave (Nuberu Bagu - Key figure),Auteur Theory,Ethnographic/Anthropological Cinema,,,,,
Shunji Iwai,Japanese Cinema,Contemporary Japanese Cinema,Youth Cinema/Coming-of-Age,Iwai Aesthetics (Stylistic grouping),,,,,
Sion Sono,Japanese Cinema,Extreme Asian Cinema,Transgressive Cinema,Cult Cinema,Genre-Bending Cinema,Hate Trilogy (Thematic grouping),,,
Spike Jonze,American Independent Cinema,Indiewood,Postmodern Cinema,Surrealism,Music Video Auteurs (background/aesthetic influence),,,,
Steve McQueen,British Cinema,Black British Cinema,Visual Artist-to-Filmmaker/Gallery Film Crossover,Art Cinema,Auteur Theory,Body-centric Cinema,,,
Takashi Miike,Japanese Cinema,Extreme Asian Cinema,Cult Cinema,V-Cinema (Direct-to-video background),Transgressive Cinema,Genre Filmmaking (Prolific and versatile),,,
Takeshi Kitano,Japanese Cinema,Contemporary Japanese Cinema,Yakuza Film (revisionist),Auteur Theory,Minimalism/Deadpan,Kitano Blue (Stylistic categorization),,,
Terrence Malick,American Cinema,New Hollywood (1970s),Auteur Theory,Poetic Cinema,Transcendental Style,Philosophical Cinema,Malickian (Stylistic categorization),,
Theo Angelopoulos,Greek Cinema,New Greek Cinema,Auteur Theory,Slow Cinema,Political Cinema/Historical Epic,Modernist Cinema,Trilogy of History (Thematic grouping),,
Thomas Vinterberg,Danish Cinema,Dogme 95 (Co-founder and key figure),Nordic Cinema,,,,,,
Todd Haynes,American Independent Cinema,New Queer Cinema (Key figure),Auteur Theory,Melodrama (Sirkian influence/revisionism),Postmodern Pastiche,Feminist Cinema,,,
Todd Solondz,American Independent Cinema,Transgressive Cinema,Black Comedy/Satire,Suburban Satire/Suburban Gothic,Indiewood,Cinema of Discomfort,,,
Tran Anh Hung,Vietnamese Cinema/French Cinema,Vietnamese Diaspora Cinema,Sensory Cinema,Poetic Realism,,,,,
Tsai Ming-liang,Taiwanese Cinema,New Taiwanese Cinema (Second Wave),Slow Cinema (Key figure),Minimalism,Urban Alienation,Queer Cinema,Auteur Theory,,
Ulrich Seidl,Austrian Cinema,New Austrian Cinema,Grotesque Realism,Docufiction (Hybrid style),Cinema of Discomfort,Paradise Trilogy (Thematic grouping),,,
"Veronika Franz, Severin Fiala",Austrian Cinema,New Austrian Cinema,Horror Genre/European Arthouse Horror,Psychological Thriller,,,,,
Wes Anderson,American Independent Cinema,Indiewood,Auteur Theory,Twee Aesthetics,Deadpan Comedy,American Eccentric Cinema,Wes Anderson Aesthetic (Stylistic categorization/Symmetrical Composition),,
Wong Kar-wai,Hong Kong Cinema,Hong Kong New Wave (Second Wave),Auteur Theory,Visual Auteur/Aesthetic Cinema,Poetic Cinema,Urban Romance/Memory Cinema,Wong Kar-wai Aesthetic (Stylistic categorization),,
Xavier Beauvois,French Cinema,Post-New Wave French Cinema,Jeune Cinéma Français (1990s),Realism,,,,,
Xavier Dolan,Canadian Cinema,Quebec Cinema,Queer Cinema,Auteur Theory,Melodrama,Stylized/Aesthetic Cinema,,,
Yorgos Lanthimos,Greek Cinema,Greek Weird Wave (Elliniko Diaphoro Kyma - Key figure),Absurdism,Deadpan/Alienation Aesthetics,Transnational Cinema,Auteur Theory,,,
Zhang Yimou,Chinese Cinema,Fifth Generation Chinese Cinema (Key figure),Visual Auteur (Color emphasized),Wuxia (revisionist),Historical Epic,Political Allegory (early work),,,
