Part,Major Category,Sub Category,Theory Title,Theorist
ART,V. Literature & A. Social & Historical Context,Cultural Materialism (Literature),Cultural Materialism (Literature),Raymond Williams
ART,V. Literature & B. Identity & Representation,Feminist Literary Criticism,Feminist Literary Criticism,"Elaine Showalter, Sandra Gilbert"
ART,V. Literature & B. Identity & Representation,Queer Literary Theory,Queer Literary Theory,"Judith Butler, Eve Kosofsky Sedgwick"
ART,V. Literature & B. Identity & Representation,Postcolonial Literary Theory,Postcolonial Literary Theory,"Edward Said, Homi K. Bhabha"
ART,V. Literature & C. Narrative & Psychology,Psychoanalytic Literary Criticism,Psychoanalytic Literary Criticism,"Sigmund Freud (applied to literature), Jacques Lacan"
ART,V. Literature & C. Narrative & Psychology,Archetypal Literary Criticism,Archetypal Literary Criticism,"Carl Jung (applied to literature), Northrop Frye"
ART,VI. Sports & Physical Culture,A. Sport & Society,Sociology of Sport,"Harry Edwards, Jay Coakley"
ART,VI. Sports & A. Sport & Society,Sport and Nationalism Theory,Sport and Nationalism Theory,N/A (Common critical concept)
ART,VI. Sports & A. Sport & Society,Commodification of Sport,Commodification of Sport,Richard Gruneau
ART,VI. Sports & B. Body & Performance,Sociology of the Body (Sport),Sociology of the Body (Sport),Shilling
ART,VI. Sports & B. Body & Performance,Performance Enhancement (Ethics/Sociology),Performance Enhancement (Ethics/Sociology),N/A (Ethical/sociological debate)
ART,VI. Sports & C. Fan Culture,Fan Culture Theory (Sport),Fan Culture Theory (Sport),Pierre Bourdieu (applied to fans)
ART,VII. Cultural Studies of Art & Media (Applied),A. Visual Culture Studies,Visual Culture Theory (Art),"W.J.T. Mitchell, Nicholas Mirzoeff"
ART,VII. Cultural Studies of Art & Media (Applied),A. Visual Culture Studies,Spectacle (Art/Media),Guy Debord (Situationists)
ART,VII. Cultural Studies of Art & Media (Applied),B. Media Ecology (Art),Media Ecology Theory (Art/Media),Marshall McLuhan
ART,VII. Cultural Studies of Art & Media (Applied),C. Digital Arts & Culture,Digital Art Theory,Lev Manovich
ART,VII. Cultural Studies of Art & Media (Applied),C. Digital Arts & Culture,New Media Art Theory,Christiane Paul
ART,VIII. Anthropology of Art & Culture,A. Art & Social Function,Anthropology of Art,"Franz Boas, Claude Lévi-Strauss"
ART,VIII. Anthropology of Art & A. Art & Social Function,Art and Ritual (Anthropological),Art and Ritual (Anthropological),Alfred Gell
ART,VIII. Anthropology of Art & B. Cultural Production,Cultural Production Theory (Art),Cultural Production Theory (Art),Raymond Williams
ART,IX. Posthumanism & Environmental Arts,A. Ecocriticism (Arts),Ecocriticism (Arts),N/A (Interdisciplinary field)
ART,IX. Posthumanism & A. Ecocriticism (Arts),Art and Anthropocene Theory,Art and Anthropocene Theory,Donna Haraway (related to concept)
ART,IX. Posthumanism & B. Posthuman Art,Posthuman Art Theory,Posthuman Art Theory,Rosi Braidotti
ART,IX. Posthumanism & B. Posthuman Art,Bio Art Theory,Bio Art Theory,Eduardo Kac
ART,X. Critical Race & Postcolonial Approaches to Art,A. Decolonizing Art,Decolonizing Art Theory,Linda Tuhiwai Smith
ART,X. Critical Race & A. Decolonizing Art,Postcolonial Art Theory,Postcolonial Art Theory,N/A (Applied field)
ART,X. Critical Race & B. Race & Representation,Race and Representation in Art Theory,Race and Representation in Art Theory,Stuart Hall
ART,XI. Feminist & Queer Approaches to Art,A. Feminist Art Criticism,Feminist Art Criticism,"Linda Nochlin, Griselda Pollock"
ART,XI. Feminist & B. Queer Art Theory,Queer Art Theory,Queer Art Theory,N/A (Applied field)
ART,XII. Cultural Production & Institutions,A. Art Market Theory,Art Market Theory,Raymonde Moulin
ART,XII. Cultural Production & A. Art Market Theory,Cultural Industries Theory (Arts),Cultural Industries Theory (Arts),David Hesmondhalgh
ART,XII. Cultural Production & B. Cultural Policy,Cultural Policy Theory (Arts),Cultural Policy Theory (Arts),N/A (Policy field)
ART,XIII. Art & Psychology (Applied),A. Art Therapy Theory,Art Therapy Theory,"Adrian Hill, Margaret Naumburg"
ART,XIII. Art & Psychology (Applied),A. Art Therapy Theory,Psychology of Aesthetics,"Gustav Fechner (early), Daniel Berlyne"
ART,XIV. Art & Memory,A. Art & Collective Memory,Art and Collective Memory Theory,Maurice Halbwachs (applied to art)
ART,XIV. Art & Memory,A. Art & Collective Memory,Trauma and Art Theory,Cathy Caruth (applied to art)
ART,XV. Performance Art & Body,A. Body Art Theory,Body Art Theory,"N/A (Art movement, theorized)"
ART,XV. Performance Art & Body,A. Body Art Theory,Performance as Research,N/A (Methodological concept)
ART,XVI. Public Art & Urban Space,A. Public Art Theory,Public Art Theory,"Rosalyn Deutsche, Miwon Kwon"
ART,XVI. Public Art & A. Public Art Theory,Street Art Theory,Street Art Theory,"N/A (Art movement, theorized)"
ART,XVII. Photography & Society,A. Theory of Photography,Theory of Photography,"Roland Barthes (Camera Lucida), Susan Sontag (On Photography)"
ART,XVII. Photography & A. Theory of Photography,Photographic Gaze Theory,Photographic Gaze Theory,Laura Mulvey (applied to photography)
ART,XVIII. Digital Arts & Interactive Media,A. Interactive Art Theory,Interactive Art Theory,Roy Ascott
ART,XVIII. Digital Arts & A. Interactive Art Theory,Algorithmic Art Theory,Algorithmic Art Theory,Philip Galanter
ART,XIX. Dance Studies & Embodiment,A. Dance & Society,Sociology of Dance,Joann Kealiinohomoku
ART,XIX. Dance Studies & A. Dance & Society,Embodiment in Dance Theory,Embodiment in Dance Theory,Susan Foster
ART,XX. Architecture & Society,A. Architecture as Social Space,Architecture as Social Space Theory,"Henri Lefebvre, Michel Foucault (heterotopias)"
ART,XX. Architecture & A. Architecture as Social Space,Genius Loci (Spirit of Place),Genius Loci (Spirit of Place),Christian Norberg-Schulz
ART,XXI. Fashion & Culture,A. Fashion Theory,Fashion Theory,"Georg Simmel, Roland Barthes, Fred Davis"
ART,XXI. Fashion & A. Fashion Theory,Dress & Identity Theory,Dress & Identity Theory,Joanne Entwistle
ART,XXII. Digital Humanities (Arts Focus),A. Digital Art History,Digital Art History,N/A (Emerging field)
ART,XXII. Digital Humanities (Arts Focus),A. Digital Art History,Digital Musicology,N/A (Emerging field)
ART,XXIII. Critical Pedagogy in Arts Education,A. Critical Arts Education,Critical Arts Education Theory,Paolo Freire (applied to arts education)
ART,XXIV. Art and Trauma,A. Art as Witness,Art as Witness Theory,James E. Young
ART,XXV. Philosophy of Music,A. Music and Emotion,Music and Emotion Theory,"Eduard Hanslick, Susanne Langer"
ART,XXVI. Sociology of Music,A. Music and Social Class,Music and Social Class Theory,Pierre Bourdieu
ART,XXVII. History of Performance Art,A. Performance Art Theory,Performance Art Theory,RoseLee Goldberg
ART,XXVIII. Art and Human Rights,A. Art as Human Rights Advocacy,Art as Human Rights Advocacy Theory,N/A (Applied field)
ART,XXIX. Sports (Body & Health),A. Biomechanics of Sport,Biomechanics of Sport Theory,N/A (Scientific field)
ART,XXIX. Sports (Body & Health),A. Biomechanics of Sport,Sports Psychology,"Bruce Ogilvie, Thomas Tutko"
ART,XXX. Aesthetics of the Everyday,A. Everyday Aesthetics,Everyday Aesthetics Theory,Yuriko Saito
ART,XXXI. Art and Ecology (Deep Dive),A. Eco-Art Theory,Eco-Art Theory,Lucy R. Lippard
ART,XXXII. Digital Art History (Advanced),A. Computational Art History,Computational Art History Theory,N/A (Emerging field)
ART,XXXIII. Music and Politics (Advanced),A. Music as Propaganda,Music as Propaganda Theory,N/A (Common critical concept)
ART,XXXIV. Sports (Gender & Race),A. Gender and Sport Theory,Gender and Sport Theory,Nancy Theberge
ART,XXXIV. Sports (Gender & Race),A. Gender and Sport Theory,Race and Sport Theory,Richard Lapchick
ART,XXXV. Art and Technology (Interaction),A. Human-Computer Interaction (HCI) in Art,Human-Computer Interaction (HCI) in Art Theory,Bill Verplank
ART,XXXVI. Architecture (Sociology),A. Sociology of Architecture,Sociology of Architecture,Pierre Bourdieu (related to space)
ART,XXXVII. Fashion (Social Psychology),A. Social Psychology of Fashion,Social Psychology of Fashion Theory,N/A (Applied field)
ART,XXXVIII. Public Art (Engagement),A. Relational Aesthetics,Relational Aesthetics Theory,Nicolas Bourriaud
ART,XXXIX. Museum Studies (Cultural),A. Museology Theory,Museology Theory,Eilean Hooper-Greenhill
ART,XL. Conservation Ethics (Art),A. Conservation Ethics Theory,Conservation Ethics Theory (Art),Cesare Brandi
ART,XLI. Dance (Politics),A. Dance and Politics Theory,Dance and Politics Theory,André Lepecki
ART,XLII. Visual Culture (Advanced),A. Spectatorship Theory (Visual Culture),Spectatorship Theory (Visual Culture),"Laura Mulvey, Christian Metz"
ART,XLIII. Music (Therapy),A. Music Therapy Theory,Music Therapy Theory,Kenneth Bruscia
ART,XLIV. Sports (Ethics),A. Sports Ethics Theory,Sports Ethics Theory,William J. Morgan
ART,XLV. Architecture (Behavioral),A. Behavioral Architecture,Behavioral Architecture Theory,Robert Sommer
ART,XLVI. Fashion (Sustainability),A. Sustainable Fashion Theory,Sustainable Fashion Theory,Kate Fletcher
ART,XLVII. Arts and Health,A. Arts in Health Theory,Arts in Health Theory,Jill Sonke
ART,XLVIII. Digital Arts (Participatory),A. Participatory Art Theory (Digital),Participatory Art Theory (Digital),Claire Bishop
ART,XLIX. Music (Global),A. Ethnomusicology,Ethnomusicology,"Alan Merriam, John Blacking"
ART,L. Sports (Race & Ethnicity),A. Racial Stacking (Sport),Racial Stacking Theory (Sport),John W. Loy
ART,LI. Aesthetics (Evolutionary),A. Evolutionary Aesthetics (Arts),Evolutionary Aesthetics (Arts),"Denis Dutton, Geoffrey Miller"
ART,LII. Art History (Postcolonial),A. Postcolonial Curating Theory,Postcolonial Curating Theory,Gayatri Chakravorty Spivak (related to subaltern)
ART,LIII. Performance Studies (Politics),A. Performance and Politics Theory,Performance and Politics Theory,Diana Taylor
ART,LIV. Music (Therapy - Advanced),A. Neurologic Music Therapy (NMT),Neurologic Music Therapy (NMT) Theory,Michael Thaut
ART,LV. Sports (Media),A. Media and Sport Theory,Media and Sport Theory,"Raymond Boyle, Richard Haynes"
ART,LVI. Architecture (Sustainability),A. Sustainable Architecture Theory,Sustainable Architecture Theory,Ken Yeang
ART,LVII. Fashion (Ethical),A. Ethical Fashion Theory,Ethical Fashion Theory,N/A (Applied ethics)
ART,LVIII. Art Therapy (Specifics),A. Psychodynamic Art Therapy,Psychodynamic Art Therapy Theory,Elinor Ulman
ART,LIX. Art and Human Ecology,A. Art and Ecology Theory,Art and Ecology Theory,N/A (Interdisciplinary field)
ART,LX. Music (Digital),A. Digital Musicology,Digital Musicology Theory,N/A (Emerging field)
ART,LXI. Sports (Sociology of Race),A. Racialized Bodies in Sport,Racialized Bodies in Sport Theory,Ben Carrington
ART,LXII. Aesthetics (Sensory),A. Sensory Aesthetics (Art),Sensory Aesthetics (Art),Constance Classen
ART,LXIII. Public Art (Controversy),A. Public Art Controversy Theory,Public Art Controversy Theory,Erika Doss
ART,LXIV. Photography (Ethics),A. Photographic Ethics Theory,Photographic Ethics Theory,Fred Ritchin
ART,LXV. Dance (Therapy),A. Dance/Movement Therapy Theory,Dance/Movement Therapy Theory,Marian Chace
ART,LXVI. Architecture (Experience),A. Phenomenological Architecture,Phenomenological Architecture Theory,Juhani Pallasmaa
ART,LXVII. Fashion (Performance),A. Fashion as Performance,Fashion as Performance Theory,"Joanne Entwistle, Judith Butler (applied to fashion)"
ART,LXVIII. Arts and Healing,A. Arts in Healthcare Environments,Arts in Healthcare Environments Theory,N/A (Applied field)
ART,LXIX. Digital Arts (Immersive),A. Immersive Art Theory,Immersive Art Theory,Oliver Grau
ART,LXX. Music (Politics of Sound),A. Politics of Sound (Music),Politics of Sound (Music) Theory,"Jacques Attali, Jonathan Sterne"
ART,LXXI. Sports (Fan Behavior),A. Psychology of Sport Fans,Psychology of Sport Fans Theory,Daniel Wann
ART,LXXII. Aesthetics (Environmental),A. Environmental Aesthetics,Environmental Aesthetics Theory,Arnold Berleant
ART,LXXIII. Art History (Global),A. Global Art History,Global Art History Theory,Hans Belting
ART,LXXIV. Performance Studies (Everyday),A. Everyday Performance Theory,Everyday Performance Theory,"Erving Goffman, Richard Schechner"
ART,LXXV. Music (Cultural Exchange),A. Music and Globalization,Music and Globalization Theory,Simon Frith
ART,LXXVI. Sports (Ethics of Competition),A. Ethics of Competition,Ethics of Competition Theory (Sport),James Keating
ART,LXXVII. Architecture (Behavioral Economics),A. Behavioral Architecture,Behavioral Architecture Theory,N/A (Applied field)
ART,LXXVIII. Fashion (Cultural Production),A. Fashion System Theory,Fashion System Theory,Roland Barthes
ART,LXXIX. Art Therapy (Specific Populations),A. Trauma-Informed Art Therapy,Trauma-Informed Art Therapy Theory,Lisa Hinz
ART,LXXX. Digital Arts (AI & Creativity),A. AI Art Theory,AI Art Theory,N/A (Emerging field)
ART,LXXXI. Music (Therapeutic Use),A. Music and Healing Theory,Music and Healing Theory,Oliver Sacks
ART,LXXXII. Sports (Identity),A. Sport and Identity Theory,Sport and Identity Theory,N/A (Sociological concept)
ART,LXXXIII. Aesthetics (Neuroscience),A. Neuroaesthetics (Arts),Neuroaesthetics (Arts),Semir Zeki
ART,LXXXIV. Art History (Gender),A. Gender and Art History,Gender and Art History Theory,Linda Nochlin
ART,LXXXV. Performance Studies (Ethics),A. Ethics of Performance,Ethics of Performance Theory,Philip Auslander
ART,LXXXVI. Music (Cultural Heritage),A. Music Heritage Theory,Music Heritage Theory,N/A (Applied field)
ART,LXXXVII. Sports (Global),A. Global Sport Theory,Global Sport Theory,Richard Giulianotti
ART,LXXXVIII. Architecture (Politics),A. Architecture and Power Theory,Architecture and Power Theory,Michel Foucault (Discipline and Punish)
ART,LXXXIX. Fashion (Sustainability),A. Circular Fashion Theory,Circular Fashion Theory,Ellen MacArthur Foundation
ART,XC. Art Therapy (Developmental),A. Developmental Art Therapy,Developmental Art Therapy Theory,Judith A. Rubin
ART,XCI. Digital Arts (Generative),A. Generative Art Theory,Generative Art Theory,Philip Galanter
ART,XCII. Music (Therapy - Social),A. Community Music Therapy,Community Music Therapy Theory,Brynjulf Stige
ART,XCIII. Sports (Psychology of Performance),A. Flow Theory (Sport),Flow Theory (Sport),Mihaly Csikszentmihalyi
ART,XCIV. Aesthetics (Everyday - Advanced),A. Micro-Aesthetics,Micro-Aesthetics Theory,N/A (Emerging concept)
ART,XCV. Art History (Materiality),A. Materiality of Art Theory,Materiality of Art Theory,Caroline Jones
ART,XCVI. Performance Studies (Restoration),A. Restored Behavior,Restored Behavior Theory (Performance),Richard Schechner
ART,XCVII. Music (Cognitive Development),A. Musical Development Theory,Musical Development Theory,Howard Gardner
ART,XCVIII. Sports (Ethics of Fair Play),A. Fair Play Theory,Fair Play Theory (Sport),N/A (Ethical principle)
ART,XCIX. Architecture (Human Factors),A. Environmental Psychology in Architecture,Environmental Psychology in Architecture Theory,Robert Sommer
ART,C. Fashion (Body),A. Fashion and the Body Theory,Fashion and the Body Theory,Joanne Entwistle
MANAGEMENT,I. Organizational Behavior & Management,A. Motivation Theories,Hierarchy of Needs (Management),Abraham Maslow
MANAGEMENT,I. Organizational Behavior & Management,A. Motivation Theories,Two-Factor Theory (Motivation-Hygiene Theory),Frederick Herzberg
MANAGEMENT,I. Organizational Behavior & Management,A. Motivation Theories,Expectancy Theory (Motivation),Victor Vroom
MANAGEMENT,I. Organizational Behavior & Management,A. Motivation Theories,Equity Theory (Motivation),J. Stacy Adams
MANAGEMENT,I. Organizational Behavior & Management,A. Motivation Theories,Goal-Setting Theory,"Edwin Locke, Gary Latham"
MANAGEMENT,I. Organizational Behavior & Management,B. Leadership Theories,Trait Theory of Leadership,Ralph Stogdill
MANAGEMENT,I. Organizational Behavior & Management,B. Leadership Theories,Behavioral Theories of Leadership,"Ohio State Studies, University of Michigan Studies"
MANAGEMENT,I. Organizational Behavior & Management,B. Leadership Theories,Situational Leadership Theory,"Paul Hersey, Ken Blanchard"
MANAGEMENT,I. Organizational Behavior & Management,B. Leadership Theories,Contingency Theory of Leadership (Fiedler),Fred Fiedler
MANAGEMENT,I. Organizational Behavior & Management,B. Leadership Theories,Transformational Leadership Theory,"James MacGregor Burns, Bernard M. Bass"
MANAGEMENT,I. Organizational Behavior & Management,B. Leadership Theories,Transactional Leadership Theory,Bernard M. Bass
MANAGEMENT,I. Organizational Behavior & Management,C. Organizational Structure & Design,Bureaucracy Theory (Management),Max Weber
MANAGEMENT,I. Organizational Behavior & Management,C. Organizational Structure & Design,Contingency Theory of Organization,"Joan Woodward, Paul Lawrence, Jay Lorsch"
MANAGEMENT,I. Organizational Behavior & Management,C. Organizational Structure & Design,Scientific Management Theory,Frederick Winslow Taylor
MANAGEMENT,I. Organizational Behavior & Management,C. Organizational Structure & Design,Human Relations Movement,Elton Mayo (Hawthorne Studies)
MANAGEMENT,I. Organizational Behavior & Management,D. Group Dynamics & Teams,Social Loafing (Management),Max Ringelmann
MANAGEMENT,I. Organizational Behavior & Management,D. Group Dynamics & Teams,Groupthink (Management),Irving L. Janis
MANAGEMENT,I. Organizational Behavior & Management,D. Group Dynamics & Teams,Team Development Stages (Tuckman),Bruce Tuckman
MANAGEMENT,I. Organizational Behavior & Management,D. Group Dynamics & Teams,Social Identity Theory (Management),"Henri Tajfel, John Turner (applied to OB)"
MANAGEMENT,I. Organizational Behavior & Management,E. Organizational Culture,Organizational Culture Theory (Schein),Edgar Schein
MANAGEMENT,I. Organizational Behavior & Management,E. Organizational Culture,Competing Values Framework,"Robert Quinn, Kim Cameron"
MANAGEMENT,II. Strategic Management,A. Industry Analysis,Five Forces Framework,Michael Porter
MANAGEMENT,II. Strategic Management,A. Industry Analysis,Generic Strategies,Michael Porter
MANAGEMENT,II. Strategic Management,B. Firm-Level Advantage,Resource-Based View (RBV),Jay Barney
MANAGEMENT,II. Strategic Management,B. Firm-Level Advantage,Dynamic Capabilities Theory,"David Teece, Gary Pisano, Amy Shuen"
MANAGEMENT,II. Strategic Management,C. Strategic Decision Making,Bounded Rationality (Strategy),Herbert A. Simon
MANAGEMENT,II. Strategic Management,C. Strategic Decision Making,Managerial Biases (Strategy),"Daniel Kahneman, Amos Tversky (applied to strategy)"
MANAGEMENT,III. Marketing,A. Consumer Behavior,Consumer Decision Process,"John Dewey (early ideas), N/A (standard model)"
MANAGEMENT,III. Marketing,A. Consumer Behavior,Theory of Reasoned Action (Marketing),"Martin Fishbein, Icek Ajzen"
MANAGEMENT,III. Marketing,A. Consumer Behavior,Theory of Planned Behavior (Marketing),Icek Ajzen
MANAGEMENT,III. Marketing,B. Brand Management,Brand Equity Theory,"David Aaker, Kevin Lane Keller"
MANAGEMENT,III. Marketing,B. Brand Management,Consumer-Based Brand Equity (CBBE),Kevin Lane Keller
MANAGEMENT,III. Marketing,C. Marketing Communication,Elaboration Likelihood Model (Marketing),"Richard E. Petty, John Cacioppo"
MANAGEMENT,III. Marketing,C. Marketing Communication,Cognitive Dissonance (Marketing),Leon Festinger
MANAGEMENT,IV. Finance,A. Behavioral Finance,Prospect Theory (Finance),"Daniel Kahneman, Amos Tversky"
MANAGEMENT,IV. Finance,A. Behavioral Finance,Efficient Market Hypothesis (Behavioral Critique),"Eugene Fama (EMH core), Richard Thaler (behavioral critique)"
MANAGEMENT,IV. Finance,A. Behavioral Finance,Mental Accounting (Finance),Richard Thaler
MANAGEMENT,IV. Finance,A. Behavioral Finance,Disposition Effect (Finance),"Hersh Shefrin, Meir Statman"
MANAGEMENT,IV. Finance,B. Corporate Finance (Behavioral Aspects),Managerial Overconfidence (Finance),"J. Bradford DeLong, Andrei Shleifer"
MANAGEMENT,IV. Finance,B. Corporate Finance (Behavioral Aspects),Agency Theory (Behavioral Finance),"Michael Jensen, William Meckling (classic), Behavioral extensions by others"
MANAGEMENT,V. Human Resource Management (HRM),A. Recruitment & Selection,Social Capital Theory (HRM),"James S. Coleman, Ronald S. Burt"
MANAGEMENT,V. Human Resource Management (HRM),A. Recruitment & Selection,Signaling Theory (HRM),Michael Spence
MANAGEMENT,V. Human Resource Management (HRM),B. Performance Management,Goal-Setting Theory (HRM),"Edwin Locke, Gary Latham"
MANAGEMENT,V. Human Resource Management (HRM),B. Performance Management,Reinforcement Theory (HRM),B.F. Skinner
MANAGEMENT,V. Human Resource Management (HRM),C. Training & Development,Social Learning Theory (HRM),Albert Bandura
MANAGEMENT,V. Human Resource Management (HRM),D. Compensation & Rewards,Equity Theory (HRM),J. Stacy Adams
MANAGEMENT,V. Human Resource Management (HRM),D. Compensation & Rewards,Expectancy Theory (HRM),Victor Vroom
MANAGEMENT,V. Human Resource Management (HRM),E. Employee Relations,Psychological Contract Theory,Denise Rousseau
MANAGEMENT,V. Human Resource Management (HRM),E. Employee Relations,Organizational Justice Theory,Jerald Greenberg
MANAGEMENT,VI. Operations Management & Supply Chain,A. Decision Making (Behavioral),Behavioral Operations Management,N/A (Emerging field)
MANAGEMENT,VI. Operations Management & Supply Chain,A. Decision Making (Behavioral),Human Factor Theory (Operations),"Frank & Lillian Gilbreth (early ideas), N/A (modern application)"
MANAGEMENT,VII. Innovation & Entrepreneurship,A. Innovation Process,Diffusion of Innovations (Business),Everett Rogers
MANAGEMENT,VII. Innovation & Entrepreneurship,A. Innovation Process,Disruptive Innovation Theory,Clayton Christensen
MANAGEMENT,VII. Innovation & Entrepreneurship,B. Entrepreneurial Behavior,Entrepreneurial Cognition Theory,Robert Baron
MANAGEMENT,VIII. International Business & Globalization,A. Cultural Influence,Cultural Dimensions Theory (Business),Geert Hofstede
MANAGEMENT,VIII. International Business & A. Cultural Influence,Cultural Intelligence Theory,Cultural Intelligence Theory,"Christopher Earley, Soon Ang"
MANAGEMENT,IX. Corporate Social Responsibility (CSR) & Ethics,A. Stakeholder Theory,Stakeholder Theory,R. Edward Freeman
MANAGEMENT,IX. Corporate Social Responsibility (CSR) & Ethics,A. Stakeholder Theory,Carroll's Pyramid of CSR,Archie Carroll
MANAGEMENT,IX. Corporate Social Responsibility (CSR) & B. Ethical Decision Making,Ethical Decision-Making Models (Business),Ethical Decision-Making Models (Business),"James Rest, Lawrence Kohlberg (applied to business)"
MANAGEMENT,X. Organizational Theory & Design,A. Institutional Theory,Institutional Theory (Management),"Paul DiMaggio, Walter Powell"
MANAGEMENT,X. Organizational Theory & Design,A. Institutional Theory,Institutional Isomorphism (Management),"Paul DiMaggio, Walter Powell"
MANAGEMENT,X. Organizational Theory & Design,A. Institutional Theory,Decoupling (Management),"John W. Meyer, Brian Rowan"
MANAGEMENT,X. Organizational Theory & Design,B. Agency Theory,Agency Theory (Organizational),"Michael Jensen, William Meckling"
MANAGEMENT,X. Organizational Theory & Design,B. Agency Theory,Transaction Cost Economics,"Ronald Coase, Oliver Williamson"
MANAGEMENT,X. Organizational Theory & Design,C. Organizational Learning,Organizational Learning Theory,"Chris Argyris, Donald Schön"
MANAGEMENT,X. Organizational Theory & Design,C. Organizational Learning,Single-Loop vs. Double-Loop Learning,"Chris Argyris, Donald Schön"
MANAGEMENT,XI. Knowledge Management,A. Knowledge Creation,SECI Model of Knowledge Creation,"Ikujiro Nonaka, Hirotaka Takeuchi"
MANAGEMENT,XI. Knowledge Management,A. Knowledge Creation,Absorptive Capacity Theory,"Wesley Cohen, Daniel Levinthal"
MANAGEMENT,XII. Crisis Management,A. Crisis Communication,Situational Crisis Communication Theory (SCCT),W. Timothy Coombs
MANAGEMENT,XII. Crisis Management,A. Crisis Communication,Image Repair Theory,William Benoit
MANAGEMENT,XIII. Change Management,A. Lewin's Change Model,Lewin's Change Management Model,Kurt Lewin
MANAGEMENT,XIII. Change Management,A. Lewin's Change Model,Resistance to Change Theory,"Kurt Lewin, John Kotter"
MANAGEMENT,XIV. Entrepreneurship (Advanced),A. Effectuation Theory,Effectuation Theory,Saras Sarasvathy
MANAGEMENT,XIV. Entrepreneurship (Advanced),A. Effectuation Theory,Entrepreneurial Opportunity Recognition,Shane & Venkataraman
MANAGEMENT,XV. Leadership (Advanced),A. Leader-Member Exchange (LMX) Theory,Leader-Member Exchange (LMX) Theory,George Graen
MANAGEMENT,XV. Leadership (Advanced),A. Leader-Member Exchange (LMX) Theory,Authentic Leadership Theory,Bill George
MANAGEMENT,XVI. Human Resource Management (Strategic),A. Strategic Human Resource Management (SHRM),Strategic Human Resource Management (SHRM),David Ulrich
MANAGEMENT,XVII. Organizational Behavior (Advanced),A. Organizational Justice (Advanced),Organizational Justice Theory (Greenberg),Jerald Greenberg
