Film_TMDB_ID,Film_Title,Film_Director_Name,Source,Source_URL,Source_year,Target Object,Film_Title,Film_year,Theory Concept,Application,Application_Guide,Theory Name,Theorist Name,TMDB_Film_ID,Character_Names,Image Search Query,YouTube Search Keyword,Character_Actors,Character_Actor_TMDB_IDs
14,American Beauty,Sam Mendes,"McGowan, Todd. ""The Obsolescence of the Bourgeois World in Sam Mendes's <i>American Beauty</i>."" <i>Cinema Journal</i> 43, no. 3 (2004): 46-66.",https://doi.org/10.1353/cj.2004.0013,2004,Lester Burnham's fantasy about Angela Hayes in the rose petals.,American Beauty,1999,<i>Objet petit a</i> (Object-cause of desire),"McGowan attempts to interpret Lester's fantasy of Angela using the Lacanian concept of <i>objet petit a</i>. According to this interpretation, Angela doesn't represent a person to be possessed, but rather the unattainable object that structures and sustains Lester's desire. His pursuit is not about her, but about the fantasy itself, revealing his desire as a symptom of the crumbling symbolic order of his suburban life.","In psychoanalysis, especially from Jacques Lacan, we don't desire things themselves, but rather an idea of a thing that promises ultimate satisfaction but can never deliver. McGowan argues that Angela is this 'idea' for Lester. She's not just a girl he's attracted to; she represents the missing piece, the 'spark' he thinks will fix his life. Lacan calls this placeholder for desire <i>objet petit a</i>. So, for McGowan, Lester's whole rebellion is not really about Angela. It's about chasing this fantasy she represents. The fantasy is more important than the person, which is why the film's climax, where he rejects the real Angela, makes sense in this framework. His desire was always about the <i>idea</i> of her.",Lacanian Psychoanalysis,Jacques Lacan,14,"Lester Burnham, Angela Hayes",American Beauty Lester Burnham fantasizing about Angela Hayes covered in red rose petals on a white ceiling.,American Beauty rose petal fantasy scene,"Kevin Spacey, Mena Suvari","1979, 786"
14,American Beauty,Sam Mendes,"Brintnall, Kent L. ""Whose ‘American Beauty’? The Function of Gay Male Reading Strategies."" <i>Journal of Popular Film and Television</i> 35, no. 3 (2007): 113-21.",https://doi.org/10.3200/JPFT.35.3.113-121,2007,Colonel Fitts's murder of Lester Burnham.,American Beauty,1999,Homosexual Panic,"Brintnall attempts to interpret Colonel Fitts's murder of Lester using the concept of homosexual panic, as theorized by Eve Kosofsky Sedgwick. According to this interpretation, the murder is the violent culmination of Fitts's repressed desire for Lester, which he misinterprets as Lester's own homosexuality. The act of killing Lester is ultimately revealed to be an attempt to eradicate the homosexual desire Fitts sees reflected back at him, a tragic externalization of his own internal conflict.","The core idea here comes from queer theory, specifically Eve Sedgwick's work. She described ""homosexual panic"" as a state where a person is so terrified of their own same-sex desires that they react with extreme violence when confronted with them. Brintnall applies this to Colonel Fitts. Fitts misinterprets a conversation and kisses Lester, acting on his repressed desire. Lester's gentle rejection forces Fitts to confront this desire head-on. Unable to accept it, he panics. According to Brintnall's reading, killing Lester becomes a desperate, violent act to destroy the 'evidence' of his own homosexuality and restore his rigid, hyper-masculine identity.",Queer Theory,Eve Kosofsky Sedgwick,14,"Colonel Fitts, Lester Burnham",American Beauty Colonel Fitts in the rain looking at Lester Burnham's house.,American Beauty Colonel Fitts kills Lester,"Chris Cooper, Kevin Spacey","1996, 1979"
14,American Beauty,Sam Mendes,"Tyree, J. M. ""Plastic Bags and Red Roses: The Mundane and the Transcendent in American Beauty."" <i>Film Quarterly</i> 59, no. 1 (2005): 20-27.",https://doi.org/10.1525/fq.2005.59.1.20,2005,Ricky Fitts's video of a plastic bag dancing in the wind.,American Beauty,1999,The Sublime,"Tyree attempts to interpret Ricky Fitts's plastic bag video using the philosophical concept of the sublime. According to this interpretation, Ricky’s fascination is not with the bag itself, but with its movement, which points to an ""incredibly benevolent force"" behind the mundane world. The video is ultimately revealed to be a modern, secular search for transcendence, where an ordinary object becomes a vessel for experiencing awe and beauty in a spiritually empty suburban landscape.","The idea of the ""sublime"" comes from philosophers like Immanuel Kant. It describes a feeling of awe and wonder when we encounter something vast or powerful that makes us feel small but also connected to something bigger. Tyree argues that Ricky Fitts finds a modern, small-scale version of the sublime in the plastic bag. In the sterile, boring suburbs, he sees this bag dancing and feels that connection to a larger, beautiful, ""benevolent force."" He's not just a weird kid with a camera; he's a kind of artist or philosopher trying to capture moments of transcendence and prove there's beauty and meaning hidden in the most ordinary, overlooked things. The video is his proof.",Aesthetics / Philosophy of Art,Immanuel Kant,14,"Ricky Fitts, Jane Burnham",American Beauty white plastic bag dancing in the wind against a brick wall.,American Beauty plastic bag scene,"Wes Bentley, Thora Birch","785, 203"
14,American Beauty,Sam Mendes,"Watson, Elwood. ""‘Look closer’: The Right-Wing Backlash in Sam Mendes’s American Beauty."" <i>The Journal of Popular Culture</i> 41, no. 3 (2008): 532-45.",https://doi.org/10.1111/j.1540-5931.2008.00531.x,2008,Lester Burnham's mid-life crisis and rebellion.,American Beauty,1999,Backlash Politics,"Watson attempts to interpret Lester Burnham's rebellion using the concept of backlash politics, particularly against 1960s liberalism and second-wave feminism. According to this interpretation, Lester's journey of 'self-discovery' is not a heroic liberation. It is ultimately revealed to be a reactionary fantasy, a conservative backlash that blames female empowerment and progressive values for the emasculation and unhappiness of the white American male.","The term ""backlash"" was famously used by Susan Faludi to describe a conservative reaction against feminist progress. Watson applies this idea to <i>American Beauty</i>. He argues that instead of seeing Lester as a hero breaking free, we should see him as a symbol of a right-wing complaint. In this view, Lester's problems are caused by his ""empowered"" wife Carolyn and a society that no longer values his traditional masculinity. His rebellion—quitting his job, smoking pot, lusting after a teen—is a retreat into irresponsibility. Watson suggests the film frames this as a noble quest for freedom, but it's actually a critique of the perceived negative consequences of feminism.",Political Critique / Backlash Theory,Susan Faludi,14,"Lester Burnham, Carolyn Burnham",American Beauty Lester Burnham smoking marijuana in his garage while lifting weights.,American Beauty Lester Burnham quits his job,"Kevin Spacey, Annette Bening","1979, 4454"
14,American Beauty,Sam Mendes,"Scudeler, June. ""‘There’s Nothing Worse in Life Than Being Ordinary’: The Unhappy Housewife in Contemporary Film and Television."" <i>Film & History: An Interdisciplinary Journal</i> 45, no. 1 (2015): 27-41.",https://doi.org/10.1353/flm.2015.0016,2015,Carolyn Burnham's obsession with material success and her affair.,American Beauty,1999,Postfeminist Melodrama,"Scudeler attempts to interpret Carolyn Burnham's character through the lens of postfeminist melodrama. According to this interpretation, Carolyn embodies the postfeminist ideal of a woman who ""has it all"" yet remains unfulfilled because these achievements are tied to material perfection and self-regulation. Her affair and breakdown are ultimately revealed to be a melodramatic expression of the immense pressure and psychic cost of maintaining this facade of success within a neoliberal, consumerist framework.","""Postfeminism"" suggests feminist goals have been achieved, but critics argue this creates new pressures on women: to be perfect in career, beauty, and home life. ""Melodrama"" in film focuses on high emotions and domestic suffering. Scudeler combines these to see Carolyn as a tragic figure of postfeminism. Carolyn has internalized the idea that her worth is measured by her success (selling houses) and appearance. She's trapped. Her desperate chanting (""I will sell this house today"") and her affair are melodramatic outbursts showing the failure of this ""you can have it all"" promise. The things meant to define her success are the source of her misery.",Feminist Film Theory / Postfeminism,Angela McRobbie,14,Carolyn Burnham,American Beauty Carolyn Burnham crying in her car with a gun after failing to sell a house.,American Beauty Carolyn Burnham I will sell this house today,Annette Bening,4454
14,American Beauty,Sam Mendes,"Pomerance, Martin. ""The 'American Beauty' of the 'Burbs."" <i>Journal of American & Comparative Cultures</i> 24, no. 3-4 (2001): 1-13.",https://doi.org/10.1111/j.1537-4726.2001.2403_1.x,2001,The film's overall depiction of the suburban landscape and lifestyle.,American Beauty,1999,Hyperreality,"Pomerance attempts to interpret the suburban world of the film using Jean Baudrillard's concept of hyperreality. According to this interpretation, the characters are trapped in a world of surfaces, simulations, and consumerist signifiers of happiness (the perfect house, the sofa, the rose garden) that have replaced genuine emotion and experience. The film's drama is ultimately revealed to be a struggle against this hyperreal condition, where characters desperately seek something ""real.""","Jean Baudrillard, a postmodern thinker, argued that in our media-saturated world, we live in ""hyperreality,"" a world of simulations that seem more real than reality itself. Pomerance applies this to the suburbia of <i>American Beauty</i>. Carolyn's obsession with her sofa and manicured roses are examples. These aren't just objects; they are signs that are supposed to scream ""we are a successful, happy family."" The problem is, it's all a performance, a simulation. There's no real happiness underneath. Lester's rebellion and Ricky's search for beauty in a plastic bag are both attempts to break through this fake, hyperreal surface to find something authentic.",Postmodern Theory,Jean Baudrillard,14,"Carolyn Burnham, Lester Burnham",American Beauty overhead shot of the perfect suburban street with manicured lawns and identical houses.,American Beauty opening scene aerial view,"Annette Bening, Kevin Spacey","4454, 1979"
14,American Beauty,Sam Mendes,"Halfyard, Janet K. ""The Minimalist Musical Style of American Beauty."" <i>Music, Sound, and the Moving Image</i> 1, no. 1 (2007): 25-45.",https://doi.org/10.3828/msmi.1.1.3,2007,Thomas Newman's musical score for the film.,American Beauty,1999,Nondiegetic Affect,"Halfyard attempts to interpret Thomas Newman's minimalist score using the concept of nondiegetic affect, where music operates outside the story world to guide the audience's emotional response. According to this interpretation, the score's repetitive, percussion-heavy nature creates a feeling of detached observation and latent tension that mirrors the characters' suburban ennui. The music is ultimately revealed to be a key narrator, shaping our perception of the film's satirical tone and underlying melancholy.","""Nondiegetic"" means the sound isn't part of the film's world (the characters can't hear the score). ""Affect"" refers to the emotion produced. Halfyard's analysis focuses on *how* Newman's distinctive music makes us feel. It's not a typical score that tells you ""be sad now."" Instead, its weird, repeating patterns (using instruments like marimbas) create a strange, hypnotic, and unsettling mood. This musical atmosphere perfectly matches the characters' lives: they are trapped in repetitive cycles and feel emotionally numb. The music puts the audience in that same headspace, making us feel the characters' sense of being stuck long before they even express it.",Film Music Theory / Musicology,Claudia Gorbman,14,,Sheet music from Thomas Newman's American Beauty score with marimba.,American Beauty soundtrack Thomas Newman Any Other Name,,
14,American Beauty,Sam Mendes,"Lacy, Michael G. ""The New Middle-Class Whiteness and the Old Classed White Trash in the New White American Cinema."" <i>Journal of Communication Inquiry</i> 28, no. 3 (2004): 253-70.",https://doi.org/10.1177/0196859904264287,2004,The film's narrative focus on the spiritual crisis of the white suburban middle class.,American Beauty,1999,Invisibility of Whiteness,"Lacy attempts to interpret the film's narrative using Richard Dyer's concept of the invisibility of whiteness. According to this interpretation, the film presents the anxieties of its white, middle-class characters as a universal human condition, rather than a problem specific to a privileged group. The narrative's intense focus on their ""suffering"" is ultimately revealed to be a cinematic exercise that normalizes whiteness as the default human experience, rendering other perspectives invisible.","Critical race theorist Richard Dyer pointed out that in Western culture, ""whiteness"" is often treated as the normal, default category, while other races are marked as ""different."" Lacy applies this to <i>American Beauty</i>. He argues the film asks us to sympathize with Lester's crisis, presenting it as a universal story. However, Lacy prompts us to ask: is this crisis really universal, or is it a very specific problem of a privileged white man? By not acknowledging the race and class privilege that allows these characters to focus on such problems, the film makes their white, middle-class experience seem like *everyone's* experience, reinforcing the idea that whiteness is the neutral standard for humanity.",Critical Race Theory / Whiteness Studies,Richard Dyer,14,"Lester Burnham, Carolyn Burnham, Jane Burnham",The Burnham family dinner scene in American Beauty with asparagus on the table.,American Beauty family dinner scene pass the asparagus,"Kevin Spacey, Annette Bening, Thora Birch","1979, 4454, 203"
18,The Fifth Element,Luc Besson,"Hayward, Susan. ""Babes and Bitches: The Women in the Films of Luc Besson."" <i>Studies in French Cinema</i> 1, no. 1 (2001): 28-36.",https://doi.org/10.1386/sfci.1.1.28,2001,Leeloo's characterization and visual representation,The Fifth Element,1997,Gaze (Male),"Hayward attempts to interpret Leeloo's characterization using the concept of the Male Gaze. According to this interpretation, Leeloo, despite her divine power, is constructed primarily for scopophilic pleasure. Her initial vulnerability, minimal clothing (the bandage suit), and eventual dependence on a male savior frame her as an object of male fantasy, revealing a tension between her narrative importance and her visual objectification.","This analysis, guided by feminist film theory, examines how the camera presents Leeloo. The scholar, Hayward, argues that even though Leeloo is the most powerful being in the universe, the way she's filmed is designed to appeal to a male viewer. Think about her first appearance: she's almost naked, confused, and needs to be rescued by Korben. This is what theorist Laura Mulvey called the ""Male Gaze""—the camera effectively forces the audience to see her through the eyes of a heterosexual man. This approach, Hayward suggests, undermines Leeloo's power by turning her into a beautiful object to be looked at and saved, rather than treating her as a fully independent hero in her own right.",Feminist Film Theory,Laura Mulvey,18,"Leeloo, Korben Dallas",Leeloo in white bandage outfit looking vulnerable in The Fifth Element,The Fifth Element Leeloo creation escape,"Milla Jovovich, Bruce Willis","6969, 62"
18,The Fifth Element,Luc Besson,"Pisters, Patricia. ""Glamour, Media, and Femininity in Luc Besson's Trans-Global Spectacles: <i>The Fifth Element</i> and <i>Angel-A</i>."" <i>Studies in European Cinema</i> 5, no. 3 (2008): 187-198.",https://doi.org/10.1386/seci.5.3.187_1,2008,Ruby Rhod's on-air persona and gender presentation,The Fifth Element,1997,Performativity,"Pisters attempts to interpret Ruby Rhod's character using the concept of Performativity. According to this interpretation, Rhod's flamboyant identity is not an expression of an inner self but is constructed entirely through his stylized, repetitive public actions—his speech, gestures, and fashion. The character is ultimately revealed to be a commentary on the constructed nature of gender and celebrity in a hyper-mediated future.","This analysis uses queer theory to understand the character of Ruby Rhod. The scholar, Pisters, applies the idea of ""performativity,"" which was developed by theorist Judith Butler. The core concept is that gender isn't something we *are* inside, but something we *do* through our actions, speech, and style. Think about Ruby Rhod: is he just ""acting"" flamboyant for his radio show, or is that who he truly is? Performativity suggests there's no real difference. His gender and his celebrity status are created through his continuous performance—the high-pitched voice, the outrageous outfits, the dramatic movements. He's always ""on."" This makes him a perfect example of how identities are built through repeated actions, not from some deep, hidden essence.",Queer Theory,Judith Butler,18,Ruby Rhod,Chris Tucker as Ruby Rhod in leopard print jumpsuit and blonde cone hair from The Fifth Element,The Fifth Element Ruby Rhod is super green,Chris Tucker,6978
