PART: Culture   (총 159개 이론, 현행 Major 111개)
[1] XCIX. Cultural Studies of Emotions  ::  Emotionology (Cultural)
[1] XCV. Cultural Sociology (Taste)  ::  Cultural Omnivore Theory
[1] XCVI. Cultural Studies of Waste  ::  Waste and Culture Theory
[1] XCVII. Cultural Studies of Food (Globalization)  ::  Global Foodways Theory
[1] XCVIII. Cultural Studies of Animals  ::  Multispecies Ethnography (Cultural)
[1] XI. Digital Culture & Communication  ::  Digital Ethnography
[1] XII. Cultural Economy & Production  ::  Creative Industries Theory
[1] XIV. Media Archaeology (Cultural)  ::  Media Archaeology (Cultural)
[1] XIX. Food Studies (Cultural)  ::  Food and Culture Theory
[1] XL. Cultural Policy Studies  ::  Cultural Policy Theory
[1] XLI. Embodiment in Culture  ::  Embodied Culture Theory
[1] XLII. Critical Discourse Analysis (Cultural)  ::  Critical Discourse Analysis (CDA in Cultural Studies)
[1] XLIII. Cultural Psychology  ::  Cultural Self Theory
[1] XLIV. Cultural Evolution (Advanced)  ::  Cultural Transmission Theory
[1] XLIX. Cultural Anthropology (Meaning)  ::  Culture as Meaning Systems Theory
[1] XLV. Cultural Geography (Advanced)  ::  Sense of Place Theory (Cultural)
[1] XLVI. Cultural Politics  ::  Cultural Politics Theory
[1] XLVII. Global Cultural Flows (Deep Dive)  ::  Deterritorialization (Cultural)
[1] XLVIII. Cultural Trauma Studies  ::  Cultural Trauma Theory
[1] XV. Memory Studies  ::  Public Memory (Cultural)
[1] XV. Memory Studies (Cultural)  ::  Cultural Memory of Trauma (Cultural Studies)
[1] XVI. Heritage Studies (Cultural)  ::  Heritage Studies (Cultural)
[1] XVIII. Sociology of Art  ::  Art as Social System Theory
[1] XX. Fashion Studies (Cultural)  ::  Fashion and Identity Theory
[1] XXI. Sound Studies (Cultural)  ::  Soundscapes Theory (Cultural)
[1] XXII. Visual Culture Studies  ::  Visual Culture Theory
[1] XXIII. Science and Technology Studies (Cultural)  ::  Social Construction of Technology (SCOT in Cultural Studies)
[1] XXIV. Urban Cultural Studies  ::  City as Text Theory
[1] XXIX. Critical Heritage Studies  ::  Dark Heritage (Cultural)
[1] XXV. Popular Culture Studies  ::  Fandom Studies (Cultural)
[1] XXVI. Everyday Life Studies  ::  Everyday Life Theory (Cultural)
[1] XXVII. Anthropology of Culture  ::  Cultural Relativism (Cultural)
[1] XXVIII. Digital Media Theories (Cultural)  ::  Digital Materiality (Cultural)
[1] XXX. Performance Studies (Cultural)  ::  Performativity (Cultural)
[1] XXXI. Cultural Geography  ::  Cultural Landscape Theory
[1] XXXII. Cultural Evolution  ::  Memetics
[1] XXXIII. Transnational Cultural Studies  ::  Diasporic Culture Theory
[1] XXXIV. Cultural Memory Studies (Advanced)  ::  Communicative Memory (Cultural)
[1] XXXIX. Digital Culture (Specific Phenomena)  ::  Digital Folklore Theory
[1] XXXV. Philosophy of Culture  ::  Culture as Praxis Theory
[1] XXXVI. Aesthetics (Cultural Context)  ::  Cultural Aesthetics Theory
[1] XXXVII. Sociology of Science & Culture  ::  Science as Culture Theory
[1] XXXVIII. Posthumanism (Cultural)  ::  Posthuman Culture Theory
