PART: Medicine   (총 177개 이론, 현행 Major 141개)
[1] LXXII. Medical Humanities (Performing Arts)  ::  Performance of Illness Theory
[1] LXXIII. Public Health (Social Movements)  ::  Health Social Movements Theory
[1] LXXIV. Sociology of Health (Globalization)  ::  Globalization of Health Theory
[1] LXXIX. Sociology of Care  ::  Care Ethics (Sociology of Care)
[1] LXXV. Medical Anthropology (Health Inequalities)  ::  Structural Violence (Medical)
[1] LXXVI. Psychiatry (Critical Approaches)  ::  Anti-Psychiatry Movement Theory
[1] LXXVII. Sociology of Mental Health (Social Networks)  ::  Social Networks and Mental Health Theory
[1] LXXVIII. Medical Humanities (Art & Healing)  ::  Arts and Health Theory
[1] LXXX. Medicalization of Childbirth  ::  Medicalization of Childbirth Theory
[1] LXXXI. Public Health (Policy Ethics)  ::  Harm Reduction Theory (Public Health)
[1] LXXXII. Sociology of Organ Transplantation  ::  Organ Donation & Society Theory
[1] LXXXIII. Medical Anthropology (Ethnomedicine)  ::  Ethnomedicine Theory
[1] LXXXIV. Sociology of Genetics (Stigma)  ::  Genetic Stigma Theory
[1] LXXXIX. Medical Humanities (Empathy)  ::  Empathy in Medicine Theory
[1] LXXXV. Medical Humanities (Performance)  ::  Performance Studies in Medicine
[1] LXXXVI. Public Health (Health Promotion Models)  ::  PRECEDE-PROCEED Model (Health Promotion)
[1] LXXXVII. Sociology of the Body (Disability)  ::  Body Norms and Disability Theory
[1] LXXXVIII. Global Health (Social Protection)  ::  Health and Social Protection Theory
[1] V. Psychology of Health & Illness (Socio-Cultural Context)  ::  Illness Behavior Theory
[1] VI. Global Health & Postcolonial Medicine  ::  Postcolonial Health Theory
[1] VII. Psychiatry & Mental Health (Sociocultural Models)  ::  Social Psychiatry
[1] VIII. Narrative Gerontology  ::  Life Review Therapy
[1] VIII. Narrative Gerontology & Aging  ::  Narrative Gerontology
[1] X. Medical Ethics  ::  Narrative Ethics (Medicine)
[1] X. Medical Ethics (Sociocultural Context)  ::  Principlism (Cultural Critique)
[1] XC. Sociology of Risk (Health)  ::  Social Construction of Health Risk Theory
[1] XCI. Medical Anthropology (Global Health Ethics)  ::  Global Health Ethics (Anthropological)
[1] XCII. Public Health (Urban Health)  ::  Urban Health Theory
[1] XCIII. Sociology of Mental Health (Recovery)  ::  Recovery Model (Mental Health)
[1] XCIV. Medical Humanities (History)  ::  History of Disease (Cultural)
[1] XCIX. Medical Humanities (Disability)  ::  Disability as Culture (Medical Humanities)
[1] XCV. Sociology of Patient Advocacy  ::  Patient Advocacy Theory
[1] XCVI. Public Health (Social Marketing)  ::  Social Marketing (Health)
[1] XCVII. Medical Anthropology (Illness Meaning)  ::  Meaning of Illness Theory
[1] XCVIII. Sociology of Health (Life Course)  ::  Life Course Perspective (Health)
[1] XI. Public Health & Behavior Change (Advanced)  ::  Health Communication Theory
[1] XIII. Global Mental Health  ::  Decolonizing Global Mental Health Theory
[1] XIV. Environmental Health  ::  Climate Change and Health Theory (Social Aspects)
[1] XIV. Environmental Health & Society  ::  Environmental Justice (Health)
[1] XIX. Sociology of Profession (Medicine)  ::  Professional Dominance Theory (Medicine)
[1] XL. Sociology of Bioethics (Patient Experience)  ::  Patient Autonomy (Sociological)
[1] XLI. Public Health (Ethics)  ::  Social Justice in Public Health Theory
[1] XLII. Sociology of Pharmaceuticals  ::  Direct-to-Consumer Advertising (DTCA) Theory
[1] XLIII. Medical Anthropology (Body)  ::  Lived Body (Medical Anthropology)
[1] XLIV. Sociology of Mental Health  ::  Deinstitutionalization Theory (Mental Health)
[1] XLIX. Medical Anthropology (Healing Systems)  ::  Healing Systems Theory
[1] XLV. Global Health (Political Economy)  ::  Political Economy of Health Theory
[1] XLVI. Medical Humanities (Literature & Film)  ::  Illness Narratives in Literature Theory
[1] XLVII. Sociology of the Body (Medical)  ::  Body as Capital Theory (Medical)
[1] XLVIII. Public Health (Behavioral Insights)  ::  Nudge Theory in Public Health
[1] XV. Medical Humanities (Broader)  ::  Critical Medical Humanities
[1] XVI. Public Health Ethics  ::  Ethics of Public Health Interventions Theory
[1] XVII. Sociology of Genetics & Genomics  ::  Social Implications of Genomics Theory
[1] XVIII. Medicalization of Deviance  ::  Deviance as Illness Theory
[1] XX. Critical Disability Studies (Medical Context)  ::  Medical Model of Disability (Critical)
[1] XXI. Health Psychology (Social Influences)  ::  Social Support Theory (Health)
[1] XXII. Sociology of Death & Dying  ::  Death in Society Theory
[1] XXIII. Anthropology of the Body  ::  Culturally Shaped Body Theory
[1] XXIV. Medical Anthropology (Illness Experience)  ::  Embodied Suffering Theory
[1] XXIX. Medical Humanities (Narrative & Ethics)  ::  Ethics of Care (Medical)
[1] XXV. Public Health (Inequality)  ::  Health Equity Theory
[1] XXVI. Sociology of Bioethics  ::  Bioethical Debates (Sociological)
[1] XXVII. Medicalization of Risk  ::  Medicalization of Risk Theory
[1] XXVIII. Sociology of the Pharmaceutical Industry  ::  Pharmaceuticalization Theory
[1] XXX. Sociology of Expertise (Medicine)  ::  Lay Expertise (Health)
[1] XXXI. Anthropology of Mental Illness  ::  Culture-Bound Syndromes (Anthropology)
[1] XXXII. Health Behavior Change Theories (Social)  ::  Transtheoretical Model / Stages of Change (Health)
[1] XXXIII. Public Health Communication  ::  Health Risk Communication Theory
[1] XXXIV. Sociology of the Clinical Encounter  ::  Clinical Gaze (Post-Foucault) (Sociology)
[1] XXXIX. Medical Anthropology (Therapeutic Process)  ::  Therapeutic Emplotment Theory
[1] XXXV. Global Health (Social Theory)  ::  Social Suffering Theory (Global Health)
[1] XXXVI. Medical Education (Sociocultural)  ::  Hidden Curriculum (Medical Education)
[1] XXXVII. Sociology of Public Health  ::  Public Health Infrastructure Theory
[1] XXXVIII. Critical Epidemiology  ::  Social Production of Disease Theory
