PART: MANAGEMENT   (총 222개 이론, 현행 Major 132개)
[1] CXII. Finance (Behavioral Asset Pricing)  ::  Representativeness Heuristic (Behavioral Finance)
[1] CXIII. Human Resource Management (Job Crafting)  ::  Job Crafting Theory (HRM)
[1] CXIV. Operations Management (Human Error)  ::  Human Error Theory (Operations)
[1] CXIX. Leadership (Authenticity)  ::  Authentic Followership Theory
[1] CXV. Innovation (Ecosystems)  ::  Ecosystem Approach to Innovation (Business)
[1] CXVI. International Business (Non-Market Strategy)  ::  Non-Market Strategy (International Business)
[1] CXVII. Corporate Social Responsibility (Ethical Leadership)  ::  Ethical Leadership (CSR) Theory
[1] CXVIII. Organizational Behavior (Well-being - Advanced)  ::  Mindfulness in OB Theory
[1] CXX. Strategic Management (Uncertainty)  ::  Real Options Theory (Strategy)
[1] CXXI. Marketing (Service Recovery)  ::  Service Recovery Paradox Theory
[1] CXXII. Finance (Behavioral Corporate Finance)  ::  Myopic Loss Aversion (Finance)
[1] CXXIII. Human Resource Management (Conflict)  ::  Conflict Management Styles (HRM)
[1] CXXIV. Operations Management (Lean)  ::  Lean Management (Human Factors) Theory
[1] CXXIX. Leadership (Followership)  ::  Followership Theory
[1] CXXV. Innovation (Networked)  ::  Network Theory of Innovation
[1] CXXVI. International Business (Born Global)  ::  Born Global Firms Theory
[1] CXXVII. Corporate Social Responsibility (Governance)  ::  Shared Value (CSV) Governance Theory
[1] CXXVIII. Organizational Behavior (Engagement)  ::  Job Demands-Resources (JD-R) Model (Engagement)
[1] CXXX. Strategic Management (Adaptive/Emergent)  ::  Emergent Strategy Theory
[1] IX. Corporate Social Responsibility (CSR)  ::  Ethical Decision-Making Models (Business)
[1] LI. Marketing (Relationship)  ::  Relationship Marketing Theory
[1] LII. Finance (Corporate Governance - Behavioral)  ::  Behavioral Agency Theory
[1] LIV. Operations Management (Quality)  ::  Total Quality Management (TQM)
[1] LV. Innovation (Behavioral)  ::  Behavioral Innovation Theory
[1] LVI. International Business (Cultural Distance)  ::  Psychic Distance Theory
[1] LVII. Corporate Social Responsibility (Theory of the Firm)  ::  Theory of the Firm (CSR Integration)
[1] LVIII. Organizational Behavior (Justice - Advanced)  ::  Fairness Heuristics Theory
[1] LX. Organizational Theory (Ecological)  ::  Resource Dependence Theory
[1] LXI. Marketing (Consumer Culture)  ::  Consumer Resistance Theory
[1] LXII. Finance (Behavioral Investment)  ::  Narrow Framing (Behavioral Finance)
[1] LXIV. Operations Management (Human Factors)  ::  Ergonomics (Operations)
[1] LXIX. Leadership (Ethics)  ::  Ethical Leadership Theory
[1] LXV. Innovation (User-Centric)  ::  User Innovation Theory
[1] LXVI. International Business (Behavioral)  ::  Behavioral International Business Theory
[1] LXVII. Corporate Social Responsibility (Managerial)  ::  CSR as Managerial Discretion Theory
[1] LXVIII. Organizational Behavior (Learning)  ::  Reinforcement Schedule Theory (OB)
[1] LXX. Strategic Management (Learning)  ::  Organizational Learning (Strategic Management)
[1] LXXI. Marketing (Digital Engagement)  ::  Customer Engagement Theory
[1] LXXII. Finance (Behavioral Corporate Finance)  ::  Capital Budgeting (Behavioral Finance)
[1] LXXIII. Human Resource Management (Flexibility)  ::  Flexible Work Arrangements Theory (HRM)
[1] LXXIV. Operations Management (Service Encounter)  ::  Service Encounter Theory
[1] LXXIX. Leadership (Ethics)  ::  Servant Leadership Theory (Advanced)
[1] LXXV. Innovation (Social Networks)  ::  Social Networks in Innovation Theory
[1] LXXVI. International Business (Cultural Competence)  ::  Cross-Cultural Competence Theory (IB)
[1] LXXVII. Corporate Social Responsibility (Ethics)  ::  Business Ethics Theory
[1] LXXVIII. Organizational Behavior (Power)  ::  Political Skill Theory (OB)
[1] LXXX. Strategic Management (Behavioral Economics)  ::  Behavioral Corporate Strategy Theory
[1] LXXXI. Marketing (Consumer Psychology)  ::  Self-Congruity Theory (Marketing)
[1] LXXXII. Finance (Behavioral Households)  ::  Household Finance (Behavioral)
[1] LXXXIII. Human Resource Management (Well-being)  ::  Employee Well-being Theory (HRM)
[1] LXXXIV. Operations Management (Behavioral Supply Chain)  ::  Behavioral Game Theory in Supply Chain
[1] LXXXIX. Leadership (Dark Side)  ::  Abusive Supervision Theory
[1] LXXXV. Innovation (Ambidexterity)  ::  Exploitation vs. Exploration (Innovation)
[1] LXXXVI. International Business (Managerial Cognition)  ::  Managerial Cognition in International Business
[1] LXXXVII. Corporate Social Responsibility (Stakeholder Salience)  ::  Stakeholder Salience Theory
[1] LXXXVIII. Organizational Behavior (Workplace Deviance)  ::  Workplace Deviance Theory
[1] VIII. International Business  ::  Cultural Intelligence Theory
[1] VIII. International Business & Globalization  ::  Cultural Dimensions Theory (Business)
[1] XC. Strategic Management (Cognition)  ::  Strategic Cognition Theory
[1] XCI. Marketing (Consumer Decision-Making)  ::  Heuristics in Consumer Decision-Making Theory
[1] XCII. Finance (Behavioral Asset Pricing)  ::  Limited Attention Theory (Behavioral Finance)
[1] XCIII. Human Resource Management (Job Design)  ::  Job Characteristics Model (JCM)
[1] XCIV. Operations Management (Behavioral Operations)  ::  Behavioral Queuing Theory (Operations)
[1] XCIX. Leadership (Power)  ::  Social Power Theory (Leadership)
[1] XCV. Innovation (Organizational Context)  ::  Innovation Systems Theory (Business)
[1] XCVI. International Business (Liability of Foreignness)  ::  Liability of Foreignness Theory
[1] XCVII. Corporate Social Responsibility (Stakeholder Engagement)  ::  Stakeholder Engagement Theory (CSR)
[1] XCVIII. Organizational Behavior (Culture)  ::  National Culture and OB Theory
[1] XLI. Strategic Management (Behavioral)  ::  Prospect Theory (Strategic Management)
[1] XLIII. Finance (Behavioral Corporate Governance)  ::  Behavioral Corporate Governance Theory
[1] XLVI. Entrepreneurship (Social)  ::  Social Entrepreneurship Theory
[1] XLVIII. Corporate Social Responsibility (Behavioral)  ::  Behavioral CSR Theory
[1] XVI. Human Resource Management (Strategic)  ::  Strategic Human Resource Management (SHRM)
[1] XXI. Strategic Management (Behavioral)  ::  Behavioral Strategy Theory
[1] XXXIII. Marketing (Social Aspects)  ::  Social Marketing Theory
