PART: History   (총 241개 이론, 현행 Major 143개)
[1] LXXXVII. History of Science & Race  ::  History of Scientific Racism
[1] LXXXVIII. History of Memory (Theoretical Nuances)  ::  Contested Memories
[1] V. Cultural History & Microhistory  ::  Thick Description (Historical)
[1] VI. Quantitative History  ::  Quantitative History
[1] VI. Quantitative History & Cliometrics  ::  Cliometrics
[1] VIII. Global & Transnational History  ::  Connected Histories
[1] X. Oral History  ::  Life Narratives (Historical)
[1] X. Oral History & Life Narratives  ::  Oral History
[1] XC. History of Emotions (Methodological)  ::  Emotions and Historical Sources
[1] XCI. History of Global Connections  ::  History of Transnational Networks
[1] XCII. History of the Environment (Specific Aspects)  ::  History of Urban Environments
[1] XCIII. History of Technology (Broader Context)  ::  History of Technology and Society
[1] XCIV. History of Ideas (Reception & Impact)  ::  Reception History (Intellectual)
[1] XCIX. History of Disasters  ::  History of Disasters
[1] XCV. History of Science (Institutions & Practices)  ::  History of Scientific Institutions
[1] XCVI. History of Crime (Specific)  ::  History of Surveillance
[1] XCVII. History of Childhood (Legal/Social)  ::  History of Child Welfare
[1] XCVIII. History of Capitalism (Specific Aspect)  ::  History of Financialization
[1] XI. Digital History & Historiography  ::  Digital History
[1] XII. Gender History & Queer History  ::  Gender History
[1] XIII. History of Science & Technology  ::  Social Construction of Science (Historical)
[1] XIV. Intellectual History & History of Ideas  ::  Conceptual History (Begriffsgeschichte)
[1] XIX. History of Education & Knowledge  ::  History of Education
[1] XL. Post-Holocaust  ::  Testimony (Historical)
[1] XL. Post-Holocaust & Genocide Studies  ::  Witnessing (Historical)
[1] XLI. History of Science  ::  History of Conservation
[1] XLI. History of Science & Environment (Intersections)  ::  Environmental Humanities (History)
[1] XLII. History of Crime  ::  History of Prisons
[1] XLII. History of Crime & Punishment  ::  History of Punishment
[1] XLIII. History of Ideas  ::  History of Postmodernity
[1] XLIII. History of Ideas (Deep Dive)  ::  History of Modernity
[1] XLIV. History of Emotions  ::  Emotional Communities
[1] XLIV. History of Emotions (Advanced)  ::  Affective Regimes (History)
[1] XLIX. History of Media  ::  History of Print Culture
[1] XLIX. History of Media & Communication  ::  History of Communication
[1] XLV. Global History  ::  Entangled History (Verflechtungsgeschichte)
[1] XLV. Global History (Advanced)  ::  Comparative History
[1] XLVI. Digital History  ::  Geospatial History
[1] XLVI. Digital History (Advanced)  ::  Network Analysis (History)
[1] XLVII. History of Race  ::  Postcolonial Critique of History
[1] XLVII. History of Race & Empire  ::  Imperialism (Historical Theory)
[1] XLVIII. History of the Senses  ::  Auditory History
[1] XLVIII. History of the Senses (Advanced)  ::  Olfactory History
[1] XV. Spatial History  ::  History of Cartography
[1] XV. Spatial History & Cartographic History  ::  Spatial History
[1] XVIII. Social History (Advanced)  ::  History of the Family
[1] XX. History of Art & Aesthetics  ::  Iconography (Art History)
[1] XXIX. Memory Studies (Advanced)  ::  Memory Politics
[1] XXVII. Post-Humanist & Environmental Approaches  ::  Animal History
[1] XXVIII. Digital History & Archives  ::  History of Data
[1] XXX. Theory of History (Metahistory)  ::  Philosophy of History (Speculative)
[1] XXXI. Indigenous & Decolonial Historical Approaches  ::  Indigenous History
[1] XXXII. Emotion  ::  History of Melancholy
[1] XXXII. Emotion & Affective History  ::  Shame and Guilt (Historical)
[1] XXXIII. Sensory  ::  History of Dirt / Cleanliness
[1] XXXIII. Sensory & Material History  ::  History of the Senses
[1] XXXIV. Public Health  ::  Social History of Disease
[1] XXXIV. Public Health & Disease History  ::  History of Epidemics
[1] XXXV. History of Consumption  ::  History of Credit & Debt
[1] XXXV. History of Consumption & Credit  ::  History of Consumer Society
[1] XXXVI. History of Violence  ::  History of Torture
[1] XXXVI. History of Violence & Conflict  ::  History of Violence
[1] XXXVII. Global  ::  Trans-imperial History
[1] XXXVII. Global & Transnational Approaches (Deep Dive)  ::  Global Commodity Chains (History)
[1] XXXVIII. History of Race  ::  Whiteness Studies (Historical)
[1] XXXVIII. History of Race & Racism  ::  Racial Formation Theory (Historical)
