PART: LAW   (총 160개 이론, 현행 Major 105개)
[1] XCI. Law and Trauma  ::  Trauma-Informed Legal Practice Theory
[1] XCII. Law and the Anthropocene  ::  Anthropocene Law Theory
[1] XCIII. Law and the Sharing Economy (Regulation)  ::  Platform Regulation (Legal Theory)
[1] XCIV. Law and Human-Animal Studies  ::  Animal Law Theory
[1] XCIX. Law and Global Governance (Human Rights)  ::  Human Rights Governance Theory
[1] XCV. Law and Emotions (Decision-Making)  ::  Judicial Emotion Theory
[1] XCVI. Law and Neuroscience (Criminal Justice)  ::  Criminal Neuroscience Theory
[1] XCVII. Law and Social Media  ::  Social Media Law Theory
[1] XCVIII. Law and Climate Justice  ::  Climate Justice Law Theory
[1] XL. Legal Philosophy (Post-Structuralist)  ::  Deconstruction (Legal)
[1] XLI. Law and Social Justice  ::  Transformative Justice (Legal)
[1] XLII. Legal History (Microhistory)  ::  Legal Microhistory
[1] XLIII. Law and Emotion (Jurisprudence)  ::  Affective Jurisprudence
[1] XLIV. Law and Human Development  ::  Law and Childhood Development Theory
[1] XLIX. Legal Pluralism (Postcolonial)  ::  Pluralistic Legal Orders (Postcolonial) Theory
[1] XLV. Law and the Environment (Rights of Nature)  ::  Rights of Nature Theory (Legal)
[1] XLVI. Law and Genetics  ::  Genoethics (Law)
[1] XLVII. Law and Artificial Intelligence  ::  AI and Law Theory
[1] XLVIII. Law and Global Governance  ::  Global Administrative Law Theory
[1] XVI. Legal History  ::  Legal Exceptionalism Theory
[1] XVI. Legal History (Specific Approaches)  ::  Law and Society in History
[1] XXII. Global Justice Theories (Legal)  ::  Global Distributive Justice (Legal)
[1] XXIX. Legal Geographies  ::  Spatial Justice (Legal)
[1] XXVII. Restorative Justice (Advanced)  ::  Transformative Justice Theory
[1] XXVIII. Law and Emotion  ::  Law and Emotion Theory
[1] XXX. Law and Psychology (Cognitive)  ::  Cognitive Biases in Law Theory
[1] XXXI. Law and Sociology (Social Construction)  ::  Social Construction of Law Theory
[1] XXXII. Legal Storytelling (Advanced)  ::  Counter-Narratives (Legal)
[1] XXXIII. Law and Economics (Behavioral Insights)  ::  Nudge Theory (Legal)
[1] XXXIV. Critical Disability Legal Studies  ::  Anti-Ableism in Law Theory
[1] XXXIX. Legal Geographies (Advanced)  ::  Law and Space Theory
[1] XXXV. Law and Technology (Algorithms)  ::  Algorithmic Governance (Legal)
[1] XXXVI. Legal Consciousness  ::  Legal Consciousness Theory
[1] XXXVII. Law and Literature (Narrative)  ::  Forensic Narrative Theory (Law and Literature)
[1] XXXVIII. Law and Neuroscience  ::  NeuroLaw Theory
