PART: ART   (총 160개 이론, 현행 Major 116개)
[1] XCVII. Music (Cognitive Development)  ::  Musical Development Theory
[1] XCVIII. Sports (Ethics of Fair Play)  ::  Fair Play Theory (Sport)
[1] XI. Feminist  ::  Queer Art Theory
[1] XI. Feminist & Queer Approaches to Art  ::  Feminist Art Criticism
[1] XII. Cultural Production & Institutions  ::  Art Market Theory
[1] XIX. Dance Studies  ::  Embodiment in Dance Theory
[1] XIX. Dance Studies & Embodiment  ::  Sociology of Dance
[1] XL. Conservation Ethics (Art)  ::  Conservation Ethics Theory (Art)
[1] XLI. Dance (Politics)  ::  Dance and Politics Theory
[1] XLII. Visual Culture (Advanced)  ::  Spectatorship Theory (Visual Culture)
[1] XLIII. Music (Therapy)  ::  Music Therapy Theory
[1] XLIV. Sports (Ethics)  ::  Sports Ethics Theory
[1] XLIX. Music (Global)  ::  Ethnomusicology
[1] XLV. Architecture (Behavioral)  ::  Behavioral Architecture Theory
[1] XLVI. Fashion (Sustainability)  ::  Sustainable Fashion Theory
[1] XLVII. Arts and Health  ::  Arts in Health Theory
[1] XLVIII. Digital Arts (Participatory)  ::  Participatory Art Theory (Digital)
[1] XVI. Public Art  ::  Street Art Theory
[1] XVI. Public Art & Urban Space  ::  Public Art Theory
[1] XVII. Photography  ::  Photographic Gaze Theory
[1] XVII. Photography & Society  ::  Theory of Photography
[1] XVIII. Digital Arts  ::  Algorithmic Art Theory
[1] XVIII. Digital Arts & Interactive Media  ::  Interactive Art Theory
[1] XX. Architecture  ::  Genius Loci (Spirit of Place)
[1] XX. Architecture & Society  ::  Architecture as Social Space Theory
[1] XXI. Fashion  ::  Dress & Identity Theory
[1] XXI. Fashion & Culture  ::  Fashion Theory
[1] XXIII. Critical Pedagogy in Arts Education  ::  Critical Arts Education Theory
[1] XXIV. Art and Trauma  ::  Art as Witness Theory
[1] XXV. Philosophy of Music  ::  Music and Emotion Theory
[1] XXVI. Sociology of Music  ::  Music and Social Class Theory
[1] XXVII. History of Performance Art  ::  Performance Art Theory
[1] XXVIII. Art and Human Rights  ::  Art as Human Rights Advocacy Theory
[1] XXX. Aesthetics of the Everyday  ::  Everyday Aesthetics Theory
[1] XXXI. Art and Ecology (Deep Dive)  ::  Eco-Art Theory
[1] XXXII. Digital Art History (Advanced)  ::  Computational Art History Theory
[1] XXXIII. Music and Politics (Advanced)  ::  Music as Propaganda Theory
[1] XXXIX. Museum Studies (Cultural)  ::  Museology Theory
[1] XXXV. Art and Technology (Interaction)  ::  Human-Computer Interaction (HCI) in Art Theory
[1] XXXVI. Architecture (Sociology)  ::  Sociology of Architecture
[1] XXXVII. Fashion (Social Psychology)  ::  Social Psychology of Fashion Theory
[1] XXXVIII. Public Art (Engagement)  ::  Relational Aesthetics Theory
