PART: Economics   (총 199개 이론, 현행 Major 136개)
[1] LI. Behavioral International Economics  ::  Behavioral Trade Theory
[1] LII. Behavioral Macroeconomics (Asset Prices)  ::  Behavioral Asset Pricing Theory
[1] LIII. Behavioral Regulation  ::  Regulatory Nudges (Behavioral)
[1] LIV. Behavioral Environmental Economics (Policy)  ::  Behavioral Policy Design for Environment
[1] LIX. Behavioral Ethics (Economics)  ::  Ethical Decision Making (Behavioral Economics)
[1] LV. Behavioral Health Economics (Adherence)  ::  Behavioral Adherence (Health)
[1] LVI. Behavioral Education Economics (Teacher Incentives)  ::  Behavioral Teacher Incentives
[1] LVII. Behavioral Public Economics (Pensions)  ::  Retirement Savings (Behavioral Economics)
[1] LVIII. Behavioral Finance (Speculative Bubbles)  ::  Greater Fool Theory (Behavioral Finance)
[1] LX. Behavioral Labor Economics (Automation)  ::  Automation and Behavioral Response (Labor)
[1] LXI. Behavioral Development Economics (Risk)  ::  Risk Preferences in Development (Behavioral)
[1] LXII. Behavioral Environmental Economics (Valuation)  ::  Stated Preference Biases (Environmental Economics)
[1] LXIII. Behavioral Health Economics (Prevention)  ::  Prevention Behavior (Behavioral Health Economics)
[1] LXIV. Behavioral Education Economics (Financial Literacy)  ::  Financial Literacy (Behavioral Education)
[1] LXIX. Evolutionary Economics (Behavioral Roots)  ::  Behavioral Roots of Evolutionary Economics
[1] LXV. Behavioral Public Economics (Compliance)  ::  Tax Evasion (Behavioral Economics)
[1] LXVI. Behavioral Finance (Market Microstructure)  ::  Order Flow Imbalance (Behavioral Finance)
[1] LXVII. Behavioral Law and Economics (Contract Enforcement)  ::  Contract Enforcement (Behavioral Law and Economics)
[1] LXVIII. Complexity Economics (Emergence)  ::  Emergence (Complexity Economics)
[1] LXX. Identity Economics (Consumer Behavior)  ::  Identity and Consumption (Economics)
[1] LXXI. Happiness Economics (Policy)  ::  Happiness Policy (Economics)
[1] LXXII. Neuro-Pricing  ::  Neuro-Pricing
[1] LXXIII. Behavioral Development Economics (Social Learning)  ::  Social Learning in Development (Behavioral Economics)
[1] LXXIV. Behavioral Public Economics (Paternalism)  ::  Asymmetric Paternalism
[1] LXXIX. Identity Economics (Workplace)  ::  Identity and Motivation (Work Economics)
[1] LXXV. Behavioral Finance (Market Efficiency)  ::  Behavioral Market Efficiency Theory
[1] LXXVI. Behavioral Law and Economics (Compliance)  ::  Expressive Law (Behavioral Law and Economics)
[1] LXXVII. Complexity Economics (Innovation)  ::  Emergent Innovation (Complexity Economics)
[1] LXXVIII. Evolutionary Economics (Institutions)  ::  Co-evolution of Institutions and Preferences (Economics)
[1] LXXX. Happiness Economics (Social Capital)  ::  Social Capital and Happiness (Economics)
[1] LXXXI. Neuro-Marketing (Decision Process)  ::  Brain and Purchase Decisions (Neuro-Marketing)
[1] LXXXII. Behavioral Development Economics (Gender)  ::  Gender Biases in Development (Behavioral Economics)
[1] LXXXIII. Behavioral Public Economics (Political Behavior)  ::  Rational Ignorance (Behavioral Public Economics)
[1] LXXXIV. Behavioral Finance (Bubbles & Crashes)  ::  Noise Trader Theory (Behavioral Finance)
[1] LXXXIX. Happiness Economics (Relative Deprivation)  ::  Relative Deprivation (Happiness Economics)
[1] LXXXV. Behavioral Law and Economics (Property Rights)  ::  Behavioral Property Rights (Law and Economics)
[1] LXXXVI. Complexity Economics (Learning)  ::  Learning and Adaptation (Complexity Economics)
[1] LXXXVII. Evolutionary Economics (Cooperation)  ::  Indirect Reciprocity (Evolutionary Economics)
[1] LXXXVIII. Identity Economics (Social Policy)  ::  Identity and Social Policy (Economics)
[1] V. Psychology of Consumption & Choice  ::  Consumer Choice Theory (Behavioral)
[1] XC. Neuroeconomics (Market Dynamics)  ::  Neurobiology of Market Behavior
[1] XCI. Behavioral Development Economics (Risk Management)  ::  Risk Preferences & Poverty (Behavioral Development)
[1] XCII. Behavioral Environmental Economics (Valuation)  ::  Moral Licensing (Environmental Economics)
[1] XCIII. Behavioral Health Economics (Information)  ::  Information Overload (Behavioral Health Economics)
[1] XCIV. Behavioral Education Economics (Peer Effects)  ::  Peer Effects in Education (Behavioral Economics)
[1] XCIX. Evolutionary Economics (Innovation Diffusion)  ::  Innovation Diffusion (Evolutionary Economics)
[1] XCV. Behavioral Public Economics (Public Good Provision)  ::  Conditional Cooperation (Behavioral Public Economics)
[1] XCVI. Behavioral Finance (Behavioral Portfolios)  ::  Behavioral Portfolio Theory
[1] XCVII. Behavioral Law and Economics (Cognitive Capacity)  ::  Cognitive Capacity and Law (Behavioral Law and Economics)
[1] XCVIII. Complexity Economics (Adaptive Markets)  ::  Adaptive Markets Hypothesis (Complexity Economics)
[1] XIII. Behavioral Industrial Organization  ::  Behavioral Industrial Organization
[1] XIX. Neuro-Finance  ::  Neuro-Finance
[1] XL. Behavioral Finance (Puzzles)  ::  Equity Premium Puzzle (Behavioral)
[1] XLI. Behavioral Law and Economics (Punishment)  ::  Behavioral Deterrence (Law and Economics)
[1] XLII. Complexity Economics (Adaptive Learning)  ::  Adaptive Learning (Complexity Economics)
[1] XLIII. Evolutionary Economics (Innovation)  ::  Innovation and Evolution (Economics)
[1] XLIV. Identity Economics (Behavioral Applications)  ::  Identity and Labor Supply Theory
[1] XLIX. Behavioral Finance (Household Finance)  ::  Household Behavioral Finance
[1] XLV. Happiness Economics (Social Factors)  ::  Relative Income Hypothesis (Happiness)
[1] XLVI. Neuro-Marketing  ::  Consumer Neuromarketing
[1] XLVII. Behavioral Development Economics (Education)  ::  Behavioral Education Interventions
[1] XLVIII. Behavioral Public Economics (Prosociality)  ::  Prosocial Behavior in Public Goods (Behavioral)
[1] XVII. Identity Economics  ::  Identity Economics
[1] XX. Behavioral Development Economics (Second Wave)  ::  Cultural Behavioral Economics (Development)
[1] XXII. Behavioral Public Choice  ::  Behavioral Public Choice Theory
[1] XXIII. Behavioral Law and Economics  ::  Behavioral Law and Economics
[1] XXIV. Evolutionary Game Theory (Economics)  ::  Evolutionary Game Theory (Economics)
[1] XXIX. Behavioral Marketing  ::  Behavioral Pricing
[1] XXV. Behavioral IO (Industrial Organization)  ::  Consumer Manipulation Theory (Behavioral IO)
[1] XXVI. Behavioral Macroeconomics  ::  Behavioral Macroeconomics
[1] XXVII. Behavioral Urban Economics  ::  Behavioral Urban Economics
[1] XXVIII. Behavioral Real Estate  ::  Behavioral Real Estate Economics
[1] XXX. Behavioral Public Health Economics  ::  Behavioral Public Health Economics
[1] XXXI. Behavioral Environmental Policy  ::  Behavioral Environmental Policy
[1] XXXII. Behavioral Finance (Bubbles & Crashes)  ::  Rational Bubbles (Behavioral Economics)
[1] XXXIV. Behavioral Contracts  ::  Incomplete Contracts (Behavioral Economics)
[1] XXXIX. Behavioral Public Economics (Policy Biases)  ::  Political Biases (Behavioral Public Economics)
[1] XXXV. Behavioral Development Economics (Behavioral Insights)  ::  Behavioral Insights for Development
[1] XXXVI. Behavioral Game Theory (Social Preferences)  ::  Intentions-Based Reciprocity
[1] XXXVII. Behavioral Industrial Organization (Pricing)  ::  Price Stickiness (Behavioral Economics)
[1] XXXVIII. Behavioral Labor Economics (Discrimination)  ::  Behavioral Discrimination (Economics)
