theorist,part,major,sub,existing,n_existing
Saul Rosenzweig,Psychology,Clinical & Psychopathology,B. Psychotherapy,Common Factors Theory (Therapy),1
Bruce Wampold,Psychology,Clinical & Psychopathology,B. Psychotherapy,Common Factors Theory (Therapy),1
C. R. Snyder,Psychology,Positive Psychology,A. Well-being Models,Hope Theory,1
Dan P. McAdams,Psychology,Personality,B. Dynamic & Process Models,Narrative Identity Theory,1
Edward Bordin,Psychology,Clinical & Psychopathology,B. Psychotherapy,Therapeutic Alliance Theory,1
Allen Newell,Psychology,Cognitive,B. Memory & Attention,Means-Ends Analysis,1
Serge Moscovici,Psychology,Social Psychology,C. Social Cognition & Influence,Minority Influence Theory,1
Clifton StrengthsFinder,Psychology,Positive Psychology,C. Resilience & Interventions,Strengths-Based Interventions,1
Robert L. Selman,Psychology,Developmental,A. Cognitive & Moral Development,Social Perspective-Taking,1
Klaus R. Scherer,Psychology,Emotion & Motivation,A. Emotion Theory,Component Process Model of Emotion,1
Stanley Schachter,Psychology,Relationship & Interpersonal,A. Love & Attachment,Proximity Effect (Attraction),1
Kurt Back,Psychology,Relationship & Interpersonal,A. Love & Attachment,Proximity Effect (Attraction),1
Cindy Hazan,Psychology,Relationship & Interpersonal,A. Love & Attachment,Adult Attachment Theory,1
Phillip Shaver,Psychology,Relationship & Interpersonal,A. Love & Attachment,Adult Attachment Theory,1
Howard Leventhal,Psychology,Health Psychology,B. Health Behavior Models,Common Sense Model of Illness Self-Regulation,1
E. Tory Higgins,Psychology,Personality,C. Self & Self-Concept,Self-Discrepancy Theory,1
Edward E. Jones,Psychology,Social Psychology,C. Social Cognition & Influence,Actor-Observer Bias,1
Richard E. Nisbett,Psychology,Social Psychology,C. Social Cognition & Influence,Actor-Observer Bias,1
Kristin Neff,Psychology,Positive Psychology,B. Strengths & Virtues,Self-Compassion Theory,1
Scott Fraser,Psychology,Social Psychology,B. Attitudes & Persuasion,Foot-in-the-Door Technique,1
James Stoner,Psychology,Social Psychology,D. Group Dynamics,Group Polarization,1
Robert Ader,Psychology,Health Psychology,A. Stress & Coping,Psychoneuroimmunology (PNI),1
Les Greenberg,Psychology,Relationship & Interpersonal,A. Love & Attachment,Emotionally Focused Therapy (EFT),1
Claude Steele,Psychology,Social Psychology,C. Social Cognition & Influence,Stereotype Threat Theory,1
Joshua Aronson,Psychology,Social Psychology,C. Social Cognition & Influence,Stereotype Threat Theory,1
John C. DiClemente,Psychology,Counseling & Psychotherapy,A. Cognitive & Behavioral Therapies,Integrative Psychotherapy,1
Shelly Gable,Psychology,Positive Psychology,C. Resilience & Interventions,Active Constructive Responding,1
Alvin Gouldner,Psychology,Social Psychology,A. Identity & Intergroup,Reciprocity Norm (Helping),1
Abram Kardiner,Psychology,Personality,A. Trait Theories,Cultural-Personality Approach,1
Cora Du Bois,Psychology,Personality,A. Trait Theories,Cultural-Personality Approach,1
Adele Diamond,Psychology,Cognitive,B. Memory & Attention,Executive Functions Theory,1
Mary Main,Psychology,Relationship & Interpersonal,A. Love & Attachment,Disorganized Attachment (Adult),1
Baruch Fischhoff,Psychology,Cognitive,C. Decision-Making & Heuristics,Hindsight Bias,1
Marilynn Brewer,Psychology,Social Psychology,A. Identity & Intergroup,Optimal Distinctiveness Theory,1
Roy F. Baumeister,Psychology,Personality,C. Self & Self-Concept,Self-Control Theory,1
Dante Cicchetti,Psychology,Developmental,B. Lifespan Development,Developmental Psychopathology,1
Wolfgang Köhler,Psychology,Cognitive,B. Memory & Attention,Insight,1
Jerome Bruner,Psychology,Cognitive,B. Memory & Attention,Interactionist Theory of Language Acquisition,1
Steven W. Porges,Psychology,Psychoanalytic & Psychodynamic,B. Object Relations & Self,Neurobiology of Attachment,1
Kate Lorig,Psychology,Health Psychology,B. Health Behavior Models,Self-Management Theory (Chronic Illness),1
Judith Rich Harris,Psychology,Developmental,B. Lifespan Development,Peer Influence Theory,1
J.P. Guilford,Psychology,Cognitive,B. Memory & Attention,Divergent Thinking Theory,1
William B. Swann Jr.,Psychology,Personality,C. Self & Self-Concept,Self-Verification Theory,1
Ralf Schwarzer,Psychology,Health Psychology,B. Health Behavior Models,Health Action Process Approach (HAPA),1
Daryl Bem,Psychology,Social Psychology,C. Social Cognition & Influence,Self-Perception Theory,1
Yuichi Shoda,Psychology,Personality,B. Dynamic & Process Models,Cognitive-Affective Personality System (CAPS),1
Carolyn Saarni,Psychology,Developmental,B. Lifespan Development,Emotional Competence Theory,1
Viktor Shklovsky,Critics,Formalist & Text-Centric,A. Formalism & New Criticism,Russian Formalism,1
Boris Eichenbaum,Critics,Formalist & Text-Centric,A. Formalism & New Criticism,Russian Formalism,1
T.S. Eliot,Critics,Formalist & Text-Centric,A. Formalism & New Criticism,New Criticism,1
Cleanth Brooks,Critics,Formalist & Text-Centric,A. Formalism & New Criticism,New Criticism,1
John Crowe Ransom,Critics,Formalist & Text-Centric,A. Formalism & New Criticism,New Criticism,1
Seymour Chatman,Critics,Formalist & Text-Centric,A. Formalism & New Criticism,Narratology,1
Paul de Man,Critics,Post-Structuralist & Deconstructive,A. Deconstruction,Deconstruction,1
J. Hillis Miller,Critics,Post-Structuralist & Deconstructive,A. Deconstruction,Deconstruction,1
Susan Gubar,Critics,Identity-Based & Political,A. Feminist & Gender Criticism,Feminist Criticism,1
Luce Irigaray,Critics,Identity-Based & Political,A. Feminist & Gender Criticism,French Feminism,1
Toni Morrison,Critics,Identity-Based & Political,A. Feminist & Gender Criticism,Critical Race Theory,1
