theorist,part,major,sub,existing,n_existing
Rosalyn Deutsche,ART,Visual Culture & Media Studies,C. Public Art & Spatial Practice,Public Art Theory,1
Miwon Kwon,ART,Visual Culture & Media Studies,C. Public Art & Spatial Practice,Public Art Theory,1
Roy Ascott,ART,"Digital, New Media & AI Arts",B. Interactive & Immersive Media,Interactive Art Theory,1
Joann Kealiinohomoku,ART,Dance & Embodiment Studies,A. Embodiment & Sociology of Dance,Sociology of Dance,1
Christian Norberg-Schulz,ART,Architecture & the Built Environment,A. Theory & Phenomenology of Space,Genius Loci (Spirit of Place),1
Fred Davis,ART,Fashion & Dress Studies,"A. Dress, Identity & Fashion Systems",Fashion Theory,1
Paolo Freire,ART,Anthropology & Sociology of Art,B. Cultural Industries & Production,Critical Arts Education Theory,1
James E. Young,ART,"Arts in Health, Therapy & Wellbeing","C. Art, Memory, Trauma & Witness",Art as Witness Theory,1
Eduard Hanslick,ART,Music & Sound Studies,A. Sociology & Politics of Music,Music and Emotion Theory,1
Susanne Langer,ART,Music & Sound Studies,A. Sociology & Politics of Music,Music and Emotion Theory,1
RoseLee Goldberg,ART,Performance Studies & Theatre,C. Everyday & Restored Behavior,Performance Art Theory,1
Bruce Ogilvie,ART,Sport & Physical Culture,"B. Body, Health & Sport Psychology",Sports Psychology,1
Thomas Tutko,ART,Sport & Physical Culture,"B. Body, Health & Sport Psychology",Sports Psychology,1
Yuriko Saito,ART,Aesthetics & Philosophy of Art,B. Everyday & Environmental Aesthetics,Everyday Aesthetics Theory,1
Lucy R. Lippard,ART,Posthumanism & Environmental Arts,B. Eco-Art & Ecological Aesthetics,Eco-Art Theory,1
Richard Lapchick,ART,Sport & Physical Culture,"C. Gender, Race & Identity in Sport",Race and Sport Theory,1
Bill Verplank,ART,"Digital, New Media & AI Arts",B. Interactive & Immersive Media,Human-Computer Interaction (HCI) in Art Theory,1
Nicolas Bourriaud,ART,Visual Culture & Media Studies,C. Public Art & Spatial Practice,Relational Aesthetics Theory,1
Eilean Hooper-Greenhill,ART,Anthropology & Sociology of Art,C. Art Markets & Institutions,Museology Theory,1
Cesare Brandi,ART,Anthropology & Sociology of Art,C. Art Markets & Institutions,Conservation Ethics Theory,1
André Lepecki,ART,Dance & Embodiment Studies,"B. Dance, Politics & Society",Dance and Politics Theory,1
Christian Metz,ART,Visual Culture & Media Studies,A. Visual Culture & Spectacle,Spectatorship Theory,1
Kenneth Bruscia,ART,Music & Sound Studies,C. Music Therapy & Healing,Music Therapy Theory,1
William J. Morgan,ART,Sport & Physical Culture,A. Sociology & Politics of Sport,Sports Ethics Theory,1
Kate Fletcher,ART,Fashion & Dress Studies,C. Sustainable & Ethical Fashion,Sustainable Fashion Theory,1
Jill Sonke,ART,"Arts in Health, Therapy & Wellbeing",B. Arts in Health & Healthcare,Arts in Health Theory,1
Claire Bishop,ART,"Digital, New Media & AI Arts",B. Interactive & Immersive Media,Participatory Art Theory (Digital),1
Alan Merriam,ART,Music & Sound Studies,B. Ethnomusicology & Globalization,Ethnomusicology,1
John Blacking,ART,Music & Sound Studies,B. Ethnomusicology & Globalization,Ethnomusicology,1
John W. Loy,ART,Sport & Physical Culture,"C. Gender, Race & Identity in Sport",Racial Stacking Theory (Sport),1
Michael Thaut,ART,Music & Sound Studies,C. Music Therapy & Healing,Neurologic Music Therapy (NMT) Theory,1
Raymond Boyle,ART,Sport & Physical Culture,A. Sociology & Politics of Sport,Media and Sport Theory,1
Richard Haynes,ART,Sport & Physical Culture,A. Sociology & Politics of Sport,Media and Sport Theory,1
Ken Yeang,ART,Architecture & the Built Environment,C. Sustainable & Behavioral Architecture,Sustainable Architecture Theory,1
Elinor Ulman,ART,"Arts in Health, Therapy & Wellbeing",A. Art Therapy & Psychology of Art,Psychodynamic Art Therapy Theory,1
Erika Doss,ART,Visual Culture & Media Studies,C. Public Art & Spatial Practice,Public Art Controversy Theory,1
Fred Ritchin,ART,Visual Culture & Media Studies,B. Photography & the Image,Photographic Ethics Theory,1
Marian Chace,ART,Dance & Embodiment Studies,C. Dance/Movement Therapy,Dance/Movement Therapy Theory,1
Juhani Pallasmaa,ART,Architecture & the Built Environment,A. Theory & Phenomenology of Space,Phenomenological Architecture Theory,1
Oliver Grau,ART,"Digital, New Media & AI Arts",B. Interactive & Immersive Media,Immersive Art Theory,1
Daniel Wann,ART,Sport & Physical Culture,"B. Body, Health & Sport Psychology",Psychology of Sport Fans Theory,1
Arnold Berleant,ART,Aesthetics & Philosophy of Art,B. Everyday & Environmental Aesthetics,Environmental Aesthetics Theory,1
Hans Belting,ART,Art History & Historiography,C. Global & Postcolonial Art History,Global Art History Theory,1
James Keating,ART,Sport & Physical Culture,A. Sociology & Politics of Sport,Ethics of Competition Theory (Sport),1
Lisa Hinz,ART,"Arts in Health, Therapy & Wellbeing",A. Art Therapy & Psychology of Art,Trauma-Informed Art Therapy Theory,1
Oliver Sacks,ART,Music & Sound Studies,C. Music Therapy & Healing,Music and Healing Theory,1
Semir Zeki,ART,Aesthetics & Philosophy of Art,C. Cognitive & Neuro Aesthetics,Neuroaesthetics,1
Richard Giulianotti,ART,Sport & Physical Culture,A. Sociology & Politics of Sport,Global Sport Theory,1
Ellen MacArthur Foundation,ART,Fashion & Dress Studies,C. Sustainable & Ethical Fashion,Circular Fashion Theory,1
Judith A. Rubin,ART,"Arts in Health, Therapy & Wellbeing",A. Art Therapy & Psychology of Art,Developmental Art Therapy Theory,1
Brynjulf Stige,ART,Music & Sound Studies,C. Music Therapy & Healing,Community Music Therapy Theory,1
