theorist,part,major,sub,existing,n_existing
Gary Pisano,MANAGEMENT,Strategic Management & Competitive Advantage,A. Competitive Positioning & Resources,Dynamic Capabilities Theory,1
Amy Shuen,MANAGEMENT,Strategic Management & Competitive Advantage,A. Competitive Positioning & Resources,Dynamic Capabilities Theory,1
David Aaker,MANAGEMENT,Marketing & Consumer Behavior,A. Consumer Behavior & Decision Making,Brand Equity Theory,1
J. Bradford DeLong,MANAGEMENT,Behavioral Finance & Decision Making,A. Behavioral Asset Pricing & Markets,Managerial Overconfidence (Finance),1
Behavioral extensions by others,MANAGEMENT,Behavioral Finance & Decision Making,A. Behavioral Asset Pricing & Markets,Agency Theory (Behavioral Finance),1
Frank,MANAGEMENT,"Operations, Quality & Supply Chain",A. Behavioral & Human Factors Operations,Human Factor Theory (Operations),1
Lillian Gilbreth,MANAGEMENT,"Operations, Quality & Supply Chain",A. Behavioral & Human Factors Operations,Human Factor Theory (Operations),1
Robert Baron,MANAGEMENT,Innovation & Entrepreneurship,A. Diffusion & Disruptive Innovation,Entrepreneurial Cognition Theory,1
Christopher Earley,MANAGEMENT,International Business & Cross-Cultural Management,A. Cross-Cultural Management,Cultural Intelligence Theory,1
Soon Ang,MANAGEMENT,International Business & Cross-Cultural Management,A. Cross-Cultural Management,Cultural Intelligence Theory,1
Archie Carroll,MANAGEMENT,"Business Ethics, CSR & Governance",A. CSR Frameworks & Shared Value,Carroll's Pyramid of CSR,1
James Rest,MANAGEMENT,"Business Ethics, CSR & Governance",C. Business Ethics & Behavioral Ethics,Ethical Decision-Making Models (Business),1
Brian Rowan,MANAGEMENT,Organizational Theory & Design,A. Institutional & Agency Theory,Decoupling (Management),1
Hirotaka Takeuchi,MANAGEMENT,Knowledge Management & Organizational Learning,A. Knowledge Creation & Absorptive Capacity,SECI Model of Knowledge Creation,1
Wesley Cohen,MANAGEMENT,Knowledge Management & Organizational Learning,A. Knowledge Creation & Absorptive Capacity,Absorptive Capacity Theory,1
Daniel Levinthal,MANAGEMENT,Knowledge Management & Organizational Learning,A. Knowledge Creation & Absorptive Capacity,Absorptive Capacity Theory,1
W. Timothy Coombs,MANAGEMENT,"Change, Crisis & Organizational Development",B. Crisis Management & Communication,Situational Crisis Communication Theory (SCCT),1
William Benoit,MANAGEMENT,"Change, Crisis & Organizational Development",B. Crisis Management & Communication,Image Repair Theory,1
Saras Sarasvathy,MANAGEMENT,Innovation & Entrepreneurship,D. Entrepreneurial Opportunity & Effectuation,Effectuation Theory,1
Shane,MANAGEMENT,Innovation & Entrepreneurship,D. Entrepreneurial Opportunity & Effectuation,Entrepreneurial Opportunity Recognition,1
Venkataraman,MANAGEMENT,Innovation & Entrepreneurship,D. Entrepreneurial Opportunity & Effectuation,Entrepreneurial Opportunity Recognition,1
George Graen,MANAGEMENT,Leadership,A. Relational & Authentic Leadership,Leader-Member Exchange (LMX) Theory,1
David Ulrich,MANAGEMENT,Human Resource Management,D. Strategic HRM & Fit,Strategic Human Resource Management (SHRM),1
Russell Belk,MANAGEMENT,Marketing & Consumer Behavior,A. Consumer Behavior & Decision Making,Consumer Culture Theory (CCT),1
Albert Muniz Jr.,MANAGEMENT,Marketing & Consumer Behavior,A. Consumer Behavior & Decision Making,Brand Community Theory,1
Thomas O'Guinn,MANAGEMENT,Marketing & Consumer Behavior,A. Consumer Behavior & Decision Making,Brand Community Theory,1
Cadbury Committee,MANAGEMENT,"Business Ethics, CSR & Governance",D. Corporate Governance,Corporate Governance Theory,1
Agency Theory,MANAGEMENT,"Business Ethics, CSR & Governance",D. Corporate Governance,Corporate Governance Theory,1
Jay Forrester,MANAGEMENT,"Operations, Quality & Supply Chain",D. Supply Chain Management,Bullwhip Effect (Supply Chain),1
Laurens van den Berg,MANAGEMENT,Strategic Management & Competitive Advantage,C. Behavioral & Cognitive Strategy,Behavioral Strategy Theory,1
Alasdair MacIntyre,MANAGEMENT,"Business Ethics, CSR & Governance",C. Business Ethics & Behavioral Ethics,Virtue Ethics (Business),1
Etienne Wenger,MANAGEMENT,Knowledge Management & Organizational Learning,B. Communities of Practice & Tacit Knowledge,Communities of Practice Theory,1
Michael Polanyi,MANAGEMENT,Knowledge Management & Organizational Learning,B. Communities of Practice & Tacit Knowledge,Explicit vs. Tacit Knowledge Theory,1
Robert House et al.,MANAGEMENT,International Business & Cross-Cultural Management,A. Cross-Cultural Management,GLOBE Project,1
William Kahn,MANAGEMENT,Human Resource Management,"B. Engagement, Commitment & Psychological Contract",Employee Engagement Theory,1
Gallup,MANAGEMENT,Human Resource Management,"B. Engagement, Commitment & Psychological Contract",Employee Engagement Theory,1
Jeffrey F. Rayport,MANAGEMENT,Marketing & Consumer Behavior,"C. Digital, CRM & Engagement",Viral Marketing Theory,1
Laurens Walker,MANAGEMENT,Organizational Behavior & Work Psychology,"B. Justice, Exchange & Attitudes",Procedural Justice Theory,1
Craig L. Pearce,MANAGEMENT,Leadership,"B. Servant, Shared & Ethical Leadership",Shared Leadership Theory,1
Jay A. Conger,MANAGEMENT,Leadership,"B. Servant, Shared & Ethical Leadership",Shared Leadership Theory,1
Robert K. Greenleaf,MANAGEMENT,Leadership,"B. Servant, Shared & Ethical Leadership",Servant Leadership Theory,1
Robert Shiller,MANAGEMENT,Behavioral Finance & Decision Making,A. Behavioral Asset Pricing & Markets,Herding Behavior (Finance),1
Barry M. Staw,MANAGEMENT,Organizational Behavior & Work Psychology,D. Decision Making & Behavioral Ethics,Escalation of Commitment Theory,1
J. Michael Webb,MANAGEMENT,"Operations, Quality & Supply Chain",D. Supply Chain Management,Behavioral Supply Chain Theory,1
David J. Ketchen Jr.,MANAGEMENT,"Operations, Quality & Supply Chain",D. Supply Chain Management,Behavioral Supply Chain Theory,1
Charles O'Reilly III,MANAGEMENT,Innovation & Entrepreneurship,B. Ambidexterity & Open Innovation,Organizational Ambidexterity Theory,1
Michael L. Tushman,MANAGEMENT,Innovation & Entrepreneurship,B. Ambidexterity & Open Innovation,Organizational Ambidexterity Theory,1
Henry Chesbrough,MANAGEMENT,Innovation & Entrepreneurship,B. Ambidexterity & Open Innovation,Open Innovation Theory,1
Jan-Erik Vahlne,MANAGEMENT,International Business & Cross-Cultural Management,B. Internationalization & Entry Mode,Uppsala Model of Internationalization,1
John Dunning,MANAGEMENT,International Business & Cross-Cultural Management,B. Internationalization & Entry Mode,Eclectic Paradigm (OLI Framework),1
Stevan Hobfoll,MANAGEMENT,Organizational Behavior & Work Psychology,"C. Well-being, Engagement & Deviance",Conservation of Resources (COR) Theory,1
Sanjai Bhagat,MANAGEMENT,"Business Ethics, CSR & Governance",D. Corporate Governance,Behavioral Corporate Governance Theory,1
Brian Bolton,MANAGEMENT,"Business Ethics, CSR & Governance",D. Corporate Governance,Behavioral Corporate Governance Theory,1
R. Roosevelt Thomas Jr.,MANAGEMENT,Human Resource Management,D. Strategic HRM & Fit,Diversity Management Theory,1
Stephen Vargo,MANAGEMENT,"Operations, Quality & Supply Chain",C. Service Operations,Service Dominant Logic (Marketing/Ops),1
Robert Lusch,MANAGEMENT,"Operations, Quality & Supply Chain",C. Service Operations,Service Dominant Logic (Marketing/Ops),1
Valarie Zeithaml,MANAGEMENT,"Operations, Quality & Supply Chain",C. Service Operations,Service Quality Theory (SERVQUAL),1
A. Parasuraman,MANAGEMENT,"Operations, Quality & Supply Chain",C. Service Operations,Service Quality Theory (SERVQUAL),1
Muhammad Yunus,MANAGEMENT,Innovation & Entrepreneurship,D. Entrepreneurial Opportunity & Effectuation,Social Entrepreneurship Theory,1
Bill Drayton,MANAGEMENT,Innovation & Entrepreneurship,D. Entrepreneurial Opportunity & Effectuation,Social Entrepreneurship Theory,1
Richard Cyert,MANAGEMENT,International Business & Cross-Cultural Management,C. MNC Behavior & Cognition,Organizational Slack Theory (IB),1
Hambrick,MANAGEMENT,International Business & Cross-Cultural Management,C. MNC Behavior & Cognition,Managerial Discretion (IB),1
Finkelstein,MANAGEMENT,International Business & Cross-Cultural Management,C. MNC Behavior & Cognition,Managerial Discretion (IB),1
David B. Zoogah,MANAGEMENT,"Business Ethics, CSR & Governance",A. CSR Frameworks & Shared Value,Behavioral CSR Theory,1
Gary Johns,MANAGEMENT,Human Resource Management,"C. Well-being, Work-Life & Job Design",Work-Life Balance Theory,1
Jeffrey H. Greenhaus,MANAGEMENT,Human Resource Management,"C. Well-being, Work-Life & Job Design",Work-Family Conflict Theory (HRM),1
Nicholas J. Beutell,MANAGEMENT,Human Resource Management,"C. Well-being, Work-Life & Job Design",Work-Family Conflict Theory (HRM),1
W. Edwards Deming,MANAGEMENT,"Operations, Quality & Supply Chain",B. Quality Management,Total Quality Management (TQM),1
Joseph M. Juran,MANAGEMENT,"Operations, Quality & Supply Chain",B. Quality Management,Total Quality Management (TQM),1
Finn Wiedersheim-Paul,MANAGEMENT,International Business & Cross-Cultural Management,A. Cross-Cultural Management,Psychic Distance Theory,1
Edward Freeman,MANAGEMENT,"Business Ethics, CSR & Governance",B. Stakeholder Theory & Engagement,Theory of the Firm (CSR Integration),1
Robert House,MANAGEMENT,Leadership,C. Contingency & Followership,Path-Goal Theory of Leadership,1
Philip Yetton,MANAGEMENT,Leadership,C. Contingency & Followership,Vroom-Yetton Contingency Model,1
