theorist,part,major,sub,existing,n_existing
Shinobu Kitayama,Psychology,"Critical, Cultural & Environmental",B. Cross-Cultural,Cultural Self Theory | Independent vs. Interdependent Self-Construal,2
Rachel Kaplan,Psychology,"Critical, Cultural & Environmental",C. Environmental,Attention Restoration Theory | Restoration Theory (Environmental),2
Stephen Kaplan,Psychology,"Critical, Cultural & Environmental",C. Environmental,Attention Restoration Theory | Restoration Theory (Environmental),2
Stephen Porges,Psychology,Health Psychology,C. Addiction & Health Behavior,Polyvagal Theory | Polyvagal Theory (Trauma),2
Shelley E. Taylor,Psychology,Relationship & Interpersonal,B. Interdependence & Commitment,Hormonal Influences on Social Behavior | Social Support Theory (Relationships),2
Anthony Greenwald,Psychology,Social Psychology,C. Social Cognition & Influence,Implicit Association Test (IAT) (Theory) | Implicit Bias Theory,2
Carlo C. DiClemente,Psychology,Health Psychology,B. Health Behavior Models,Transtheoretical Model (Stages of Change) | Transtheoretical Model / Stages of Change (Health),2
Cohen,Psychology,Health Psychology,A. Stress & Coping,Buffering Hypothesis (Social Support) | Stress-Buffering Hypothesis,2
Wills,Psychology,Health Psychology,A. Stress & Coping,Buffering Hypothesis (Social Support) | Stress-Buffering Hypothesis,2
Ann Masten,Psychology,Positive Psychology,C. Resilience & Interventions,Protective Factors (Developmental) | Resilience Theory,2
Sue Johnson,Psychology,Relationship & Interpersonal,A. Love & Attachment,Emotionally Focused Therapy (EFT) | Neurobiology of Attachment,2
Roman Jakobson,Critics,Formalist & Text-Centric,A. Formalism & New Criticism,Foregrounding | Russian Formalism,2
I.A. Richards,Critics,Formalist & Text-Centric,A. Formalism & New Criticism,New Criticism | Practical Criticism,2
Gérard Genette,Critics,Formalist & Text-Centric,A. Formalism & New Criticism,Narratology | Transtextuality,2
Vladimir Propp,Critics,Formalist & Text-Centric,A. Formalism & New Criticism,Narratology | Proppian Functions,2
David T. Mitchell,Critics,Identity-Based & Political,A. Feminist & Gender Criticism,Narrative Prosthesis | Narrative Protheses,2
Sharon L. Snyder,Critics,Identity-Based & Political,A. Feminist & Gender Criticism,Narrative Prosthesis | Narrative Protheses,2
Terry Eagleton,Critics,Historical & Cultural Materialist,A. New Historicism & Cultural Poetics,Ideology | Marxist Criticism,2
Pascale Casanova,Critics,Intertextual & Comparative,A. Intertextuality,Comparative Literature | World Literature,2
Lisa Zunshine,Critics,Cognitive & Evolutionary,A. Cognitive Literary Studies,Cognitive Literary Studies | Theory of Mind,2
Patrick Colm Hogan,Critics,Cognitive & Evolutionary,A. Cognitive Literary Studies,Cognitive Literary Studies | Poetics of Emotion,2
Joseph Carroll,Critics,Cognitive & Evolutionary,A. Cognitive Literary Studies,Evolutionary Literary Theory | Literary Darwinism,2
Graham Harman,Critics,Post-Humanist & Non-Human,A. Posthumanism & Cyborg Theory,Object-Oriented Literary Criticism | Object-Oriented Ontology (OOO),2
Erin Manning,Critics,Affect & Sensory,A. Affect Theory,Aesthetics of Affect | Digital Materiality,2
Glenn Albrecht,Critics,Ecological & Environmental,B. Dark Ecology & Anthropocene,Solastalgia | Solastalgia (Ecocriticism),2
Édouard Glissant,Critics,Identity-Based & Political,C. Postcolonial & Critical Race,Creolization | Cultural Creolization Theory,2
Katherine Hayles,Critics,Digital & Media-Specific,C. Platform & Media Studies,Born-Digital Literature Theory | Electronic Literature Theory,2
W.D. Hamilton,Nature,Evolutionary Theory & Human Origins,A. Selection & Adaptation,Inclusive Fitness Theory | Kin Selection Theory,2
L.L. Cavalli-Sforza,Nature,Evolutionary Theory & Human Origins,B. Gene-Culture Coevolution & Human Origins,Gene-Culture Coevolution Theory | Human Genetic Diversity Theory,2
Sanfey et al.,Nature,Neuroeconomics & Neurophilosophy,A. Neuroeconomics & Behavioral Decision,Neurobiology of Fairness | Social Preference Theory (Neuroeconomics),2
Robert Sapolsky,Nature,Behavioral Endocrinology & Stress Biology,A. Hormones & Social Behavior,Cortisol and Stress Response Theory | Hormonal Influences on Social Behavior,2
Sue Carter,Nature,Behavioral Endocrinology & Stress Biology,A. Hormones & Social Behavior,Oxytocin Theory of Bonding | Pair Bonding Theory (Human),2
Randolph Nesse,Nature,Human Ecology & Evolutionary Medicine,B. Evolutionary Medicine & Pathogen Coevolution,Evolutionary Psychiatry | Mismatch Theory (Evolutionary Medicine),2
Helen Fisher,Nature,Evolutionary Psychology & Adaptive Mind,"B. Mating, Reproduction & Sexual Strategy",Mating Systems (Human Evolutionary Biology) | Pair Bonding Theory (Human),2
Marco Iacoboni,Nature,Neurobiology & Neuroscience,C. Social & Affective Neuroscience,Empathy-Mirroring Systems Theory | Imitation and Learning (Neurobiological),2
Antonio Damasio,Nature,Biological Basis of Mind & Behavior,"B. Consciousness, Self & Decision",Brain and Purchase Decisions (Neuro-Marketing) | Somatic Marker Hypothesis,2
Till Roenneberg,Nature,Chronobiology & Sensory Biology,A. Circadian Rhythms & Sleep,Chronotype and Health Theory | Social Jetlag Theory,2
Amotz Zahavi,Nature,Evolutionary Psychology & Adaptive Mind,"C. Cooperation, Morality & Group Living",Costly Signaling Theory (Biological) | Costly Signaling Theory (Culture),2
Larry Squire,Nature,Neurobiology & Neuroscience,B. Memory & Learning Neuroscience,Consolidation Theory (Memory) | Declarative vs. Non-Declarative Memory Systems,2
Richard Alexander,Nature,Evolutionary Psychology & Adaptive Mind,"C. Cooperation, Morality & Group Living",Indirect Reciprocity (Evolutionary Economics) | Indirect Reciprocity Theory (Evolutionary),2
Abdel R. Omran,Nature,Human Ecology & Evolutionary Medicine,A. Cultural & Disease Ecology,Epidemiological Transition Theory | Epidemiological Transition Theory (Human Ecology),2
Brian Wynne,Culture,"Digital, Media & Algorithmic Culture",D. Technological Culture & STS,Lay Expertise | Lay Expertise (Health),2
George Ainslie,Economics,Behavioral & Cognitive Economics,Foundations & Bounded Rationality,Hyperbolic Discounting | Present Bias,2
Matthew Rabin,Economics,Behavioral & Cognitive Economics,Social Preferences & Fairness,Asymmetric Paternalism | Fairness Theory,2
Klaus Schmidt,Economics,Behavioral & Cognitive Economics,Social Preferences & Fairness,Fairness Theory | Inequality Aversion,2
Armin Falk,Economics,Behavioral & Cognitive Economics,Social Preferences & Fairness,Intentions-Based Reciprocity | Reciprocity,2
James Andreoni,Economics,Behavioral & Cognitive Economics,Social Preferences & Fairness,Altruism | Warm-Glow Giving,2
Paul Zak,Economics,Behavioral & Cognitive Economics,Neuroeconomics & Neuromarketing,Hormonal Influences on Economic Behavior | Neurobiology of Trust,2
Robert Axelrod,Economics,Behavioral Game Theory & Strategic Interaction,Behavioral Game Theory,Evolutionary Game Theory | Social Norms,2
Harvey Leibenstein,Economics,"Marketing, Consumption & Industrial Organization",Psychology of Consumption,Bandwagon Effect | Snob Effect,2
Janet Yellen,Economics,"Labor, Personnel & Inequality Economics",Behavioral Labor Economics,Fairness and Wage Setting | Price Stickiness (Behavioral Economics),2
Edward Deci,Economics,"Labor, Personnel & Inequality Economics",Behavioral Labor Economics,Intrinsic Motivation (Labor) | Intrinsic Motivation in Education,2
