theorist,part,major,sub,existing,n_existing
Barbara Ehrenreich,Medicine,Medical Sociology,A. Core Theories & Medicalization,Medicalization of Childbirth Theory,1
Deirdre English,Medicine,Medical Sociology,A. Core Theories & Medicalization,Medicalization of Childbirth Theory,1
Renée Fox,Medicine,"Body, Embodiment & Disability",C. Body as Capital & Commodity,Organ Donation & Society Theory,1
Robert Gordon,Medicine,Medical Anthropology & Cultural Models,"A. Culture, Healing & Explanatory Models",Ethnomedicine Theory,1
Marshall W. Kreuter,Medicine,Public Health & Social Epidemiology,G. Health Promotion,PRECEDE-PROCEED Model (Health Promotion),1
Jodi Halpern,Medicine,Critical Medical Humanities,E. Empathy & Narrative Ethics,Empathy in Medicine Theory,1
David Vlahov,Medicine,Public Health & Social Epidemiology,B. Social Epidemiology & Ecological Models,Urban Health Theory,1
William Anthony,Medicine,Psychiatry & Mental Health,B. Deinstitutionalization & Recovery,Recovery Model (Mental Health),1
Alan R. Andreasen,Medicine,Public Health & Social Epidemiology,A. Health Behavior Models,Social Marketing (Health),1
H. Wesley Perkins,Medicine,Public Health & Social Epidemiology,A. Health Behavior Models,Social Norms Approach (Health),1
Derek Edwards,Medicine,Public Health & Social Epidemiology,B. Social Epidemiology & Ecological Models,Systems Thinking in Public Health Theory,1
Lisa Cartwright,Medicine,Critical Medical Humanities,B. Graphic & Visual Medicine,Visual Pathology Theory,1
Mark Schlesinger,Medicine,Medical Sociology,"D. Profession, Expertise & Clinical Encounter",Trust in Healthcare Theory,1
Robert J. Landy,Medicine,Critical Medical Humanities,"D. Arts, Performance & Healing",Drama Therapy in Health Theory,1
Alexander J. Rothman,Medicine,Public Health & Social Epidemiology,H. Health Communication,Message Framing (Health Communication),1
Merrill Singer,Medicine,Medical Anthropology & Cultural Models,"D. Pharmaceuticals, Technoscience & Epidemics",Syndemics Theory,1
Patrick W. Corrigan,Medicine,Psychiatry & Mental Health,C. Social Networks & Stigma (Mental Health),Stigma of Mental Illness Theory,1
Margaret Gullette,Medicine,Critical Medical Humanities,G. Disability & Aging in Humanities,Culture of Aging (Medical Humanities),1
Adele E. Clarke,Medicine,Biomedicalization & Pharmaceutical Industry,A. Biomedicalization,Biomedicalization Theory,1
David B. Morris,Medicine,Medical Sociology,"E. Body, Pain & Embodiment (Sociological)",Social Meaning of Pain Theory,1
G. Thomas Couser,Medicine,Critical Medical Humanities,G. Disability & Aging in Humanities,Disability Narratives Theory (Medical Humanities),1
CDC,Medicine,Public Health & Social Epidemiology,H. Health Communication,Crisis and Emergency Risk Communication (CERC) Theory,1
Carolyn Wiener,Medicine,Medical Anthropology & Cultural Models,"B. Illness Experience, Meaning & Suffering",Illness Management Theory (Anthropological),1
Sherwin B. Nuland,Medicine,Medical Sociology,A. Core Theories & Medicalization,Medicalization of Dying Theory,1
Lawrence Gostin,Medicine,Medical Anthropology & Cultural Models,C. Critical & Political Medical Anthropology,Global Health Governance (Anthropological) Theory,1
Cho Hae-joang,Culture,Global & Transnational Culture,E. Indigenous & Decolonial Culture,Colonized Consciousness,1
Dai Jinhua,Critics,Identity-Based & Political,A. Feminist & Gender Criticism,Invisible Writing,1
Kim Soyoung,Critics,Historical & Cultural Materialist,Cultural Studies,Trans-Cinema,1
Kuan-Hsing Chen,Culture,Global & Transnational Culture,Indigenous & Decolonial Culture,Asia as Method,1
Wang Hui,Politics,Radical & Critical Traditions,Marxism & Socialism,Alternative Modernity,1
