theorist,part,major,sub,existing,n_existing
Clarence N. Stone,Politics,"Behavioral, Sociological & Policy Sciences",B. Political Sociology (Advanced),Regime Theory (Political Sociology),1
Frank R. Baumgartner,Politics,"Behavioral, Sociological & Policy Sciences",C. Public Policy & Administration,Punctuated Equilibrium Theory (Policy),1
Bryan D. Jones,Politics,"Behavioral, Sociological & Policy Sciences",C. Public Policy & Administration,Punctuated Equilibrium Theory (Policy),1
Michael D. Cohen,Politics,"Behavioral, Sociological & Policy Sciences",C. Public Policy & Administration,Garbage Can Model (Policy),1
Johan P. Olsen,Politics,"Behavioral, Sociological & Policy Sciences",C. Public Policy & Administration,Garbage Can Model (Policy),1
Arend Lijphart,Politics,Political Economy & Comparative Politics,C. Comparative Politics,Electoral Systems Theory,1
Seymour Martin Lipset,Politics,Political Economy & Comparative Politics,C. Comparative Politics,Modernization Theory (Political),1
Barbara Geddes,Politics,Political Economy & Comparative Politics,C. Comparative Politics,Authoritarian Regimes Theory,1
Alfred Stepan,Politics,Political Economy & Comparative Politics,D. Post-Soviet & Transition Studies,Transitology,1
Francis Fukuyama,Politics,Political Economy & Comparative Politics,D. Post-Soviet & Transition Studies,End of History (Political),1
Joshua Cohen,Politics,Contemporary Political Philosophy,A. Political Philosophy (Contemporary),Deliberative Democracy,1
Charles W. Mills,Politics,Contemporary Political Philosophy,A. Political Philosophy (Contemporary),Critical Theory of Race (Political),1
Cornel West,Politics,Contemporary Political Philosophy,A. Political Philosophy (Contemporary),Critical Theory of Race (Political),1
Iris Marion Young,Politics,Contemporary Political Philosophy,A. Political Philosophy (Contemporary),Politics of Difference,1
John Mearsheimer,Politics,Contemporary Political Philosophy,A. Political Philosophy (Contemporary),Political Realism,1
Anthony D. Smith,Politics,Contemporary Political Philosophy,A. Political Philosophy (Contemporary),Ethnic Nationalism,1
Michael Doyle,Politics,Contemporary Political Philosophy,A. Political Philosophy (Contemporary),Democratic Peace Theory,1
Ibn Khaldun,History,Philosophy of History,A. Speculative & Classical,Cyclical Theory of History,1
Oswald Spengler,History,Philosophy of History,A. Speculative & Classical,Cyclical Theory of History,1
Augustine of Hippo,History,Philosophy of History,A. Speculative & Classical,Providential History,1
Wilhelm Dilthey,History,Philosophy of History,A. Speculative & Classical,Historicism (Historical Theory),1
Christopher Hill,History,Annales & Microhistory,A. Annales & Longue Duree,History from Below,1
Lucien Febvre,History,Annales & Microhistory,A. Annales & Longue Duree,Mentalités,1
Marianne Hirsch,History,Memory & Oral History,A. Collective & Cultural Memory,Postmemory (Historical),1
David Lowenthal,History,Memory & Oral History,A. Collective & Cultural Memory,Heritage Studies,1
Robert Kelley,History,Memory & Oral History,A. Collective & Cultural Memory,Public History,1
Mary Ann Glendon,History,Specialized Social Histories,A. Childhood & Family,History of Children's Rights,1
Frank Trentmann,History,Cultural History,A. Cultural Practices,History of Consumption,1
Jack Goldstone,History,"Political, Legal & Global History",C. Global & Transnational,Global Comparisons,1
Jeffrey Alexander,History,Memory & Oral History,A. Collective & Cultural Memory,Collective Trauma,1
Alexander Cockburn,History,"Environmental, Science & Technology History",A. Environmental History,Political Ecology (Historical),1
Jean Delumeau,History,"Gender, Body & Emotions History",B. History of Emotions,History of Fear,1
Ernst Mayr,History,"Environmental, Science & Technology History",B. History of Science,History of Biology,1
Gabriel Dupuy,History,"Environmental, Science & Technology History",C. History of Technology & Things,History of Infrastructure,1
Katherine Grier,History,"Environmental, Science & Technology History",C. History of Technology & Things,History of Pets,1
John Hedley Brooke,History,"Environmental, Science & Technology History",B. History of Science,History of Science and Religion,1
Gertrude Himmelfarb,History,Marxist & Social History,C. Social Structure & Class,History of Poverty,1
John R. Gillis,History,Specialized Social Histories,A. Childhood & Family,History of Adolescence,1
Tom Lutz,History,"Gender, Body & Emotions History",B. History of Emotions,History of Crying,1
Werner Sombart,History,Specialized Social Histories,"C. Consumption, Food & Material",History of Luxury,1
Peter Hall,History,Specialized Social Histories,"C. Consumption, Food & Material",History of Urban Planning,1
Samuel Moyn,History,"Political, Legal & Global History",B. Legal & Human Rights,Philosophical History of Human Rights,1
Dirk Hoerder,History,"Political, Legal & Global History",C. Global & Transnational,History of Migration,1
Allan Young,History,Memory & Oral History,C. Trauma & Post-Holocaust,History of War Trauma,1
Jane Burbank,History,Postcolonial & Decolonial History,A. Empire & Imperialism,History of Empires,1
Randy Shilts,History,"Gender, Body & Emotions History","C. Body, Senses & Health",History of AIDS Epidemic,1
Stephen Jay Gould,History,Postcolonial & Decolonial History,B. Race & Racism,History of Scientific Racism,1
Alf Lüdtke,History,Annales & Microhistory,B. Microhistory & Everyday Life,History of Everyday Life (Alltagsgeschichte),1
Jan Plamper,History,Annales & Microhistory,B. Microhistory & Everyday Life,History of Emotions,1
Roger Chartier,History,Annales & Microhistory,B. Microhistory & Everyday Life,History of Reading,1
Lee Benson,History,Historiography & Method,C. Quantitative & Cliometrics,Quantitative History,1
Robert Fogel,History,Historiography & Method,C. Quantitative & Cliometrics,Cliometrics,1
Paul Crutzen,History,"Environmental, Science & Technology History",A. Environmental History,Anthropocene (Historical Theory),1
Eugene F. Stoermer,History,"Environmental, Science & Technology History",A. Environmental History,Anthropocene (Historical Theory),1
Christian Pfister,History,"Environmental, Science & Technology History",A. Environmental History,Climate History,1
Ellsworth Huntington,History,"Environmental, Science & Technology History",A. Environmental History,Environmental Determinism (Historical),1
C.A. Bayly,History,"Political, Legal & Global History",C. Global & Transnational,Global History,1
Akira Iriye,History,"Political, Legal & Global History",C. Global & Transnational,Transnational History,1
