theorist,part,major,sub,existing,n_existing
Ariela Gross,LAW,Legal History & Historical Jurisprudence,"C. Microhistory, Memory & Legal Geography",Law and Collective Memory Theory,1
Marie-Andrée Bertrand,LAW,"Law, Psychology, Neuroscience & Emotion",B. NeuroLaw & Free Will,Corporeal Jurisprudence,1
T. Alexander Aleinikoff,LAW,Applied & Public-Welfare Law,"C. Migration, Childhood & Vulnerable Populations",Migration Law Theory,1
Sheila Foster,LAW,"Environmental, Climate & Anthropocene Law",A. Environmental Law & Sustainable Development,Environmental Justice Law Theory,1
Lee Epstein,LAW,"Law, Psychology, Neuroscience & Emotion",A. Legal & Forensic Psychology,Behavioral Political Science (Legal),1
Peter Blanck,LAW,Critical Legal Studies & Critical Race Theory,C. Intersectional & Identity-Based Critique (Disability/Gender),Disability Law Theory,1
Lawrence B. Solum,LAW,"Digital, Technology & AI Law","B. AI, Algorithms & Automated Decision-Making",Rights of AI/Robots (Legal),1
Sally Engle Merry,LAW,Law and Society & Sociology of Law,"B. Social Control, Deviance & Legal Culture",Law as Culture Theory,1
Stephen Morse,LAW,"Law, Psychology, Neuroscience & Emotion",B. NeuroLaw & Free Will,Free Will and Law (Neuroscience) Theory,1
Margaret Hagan,LAW,"Digital, Technology & AI Law",A. Cyberlaw & Technology Regulation,Legal Design Theory,1
Ann Cavoukian,LAW,"Digital, Technology & AI Law","C. Privacy, Data Governance & Platform Regulation",Privacy by Design (Legal Theory),1
Steven Wise,LAW,"Environmental, Climate & Anthropocene Law","C. Rights of Nature, Anthropocene & Animal Law",Animal Law Theory,1
Dan Simon,LAW,"Law, Psychology, Neuroscience & Emotion",C. Law & Emotion / Affective Jurisprudence,Judicial Emotion Theory,1
Eric Goldman,LAW,"Digital, Technology & AI Law","C. Privacy, Data Governance & Platform Regulation",Social Media Law Theory,1
Mary Robinson Foundation,LAW,"Environmental, Climate & Anthropocene Law",B. Climate Change & Climate Justice Law,Climate Justice Law Theory,1
Stephen Hopgood,LAW,International & Human Rights Law,B. Human Rights Theory (Universalism/Indivisibility),Human Rights Governance Theory,1
Tom R. Tyler,LAW,Law and Society & Sociology of Law,"B. Social Control, Deviance & Legal Culture",Trust in Legal Systems Theory,1
W. I. Thomas,Society,Classical Sociological Traditions,,Definition of the Situation,1
George Herbert Mead,Society,Classical Sociological Traditions,,Generalized Other,1
Harrison White,Society,Contemporary Sociological Perspectives,,Social Network Analysis (SNA),1
Gustave Le Bon,Society,Specific Social Phenomena Theories,,Collective Behavior,1
Neil Smelser,Society,Specific Social Phenomena Theories,,Collective Behavior,1
Edwin Sutherland,Society,Specific Social Phenomena Theories,,Differential Association Theory,1
Louis Wirth,Society,Specific Social Phenomena Theories,,Urbanism as a Way of Life,1
Ruth Glass,Society,Specific Social Phenomena Theories,,Gentrification Theory,1
Neil Smith,Society,Specific Social Phenomena Theories,,Gentrification Theory,1
Harvey Molotch,Society,Specific Social Phenomena Theories,,Growth Machine Theory,1
Dorothy Smith,Society,Contemporary Social Theories,Social Constructionism,Standpoint Theory,1
Sandra Harding,Society,Contemporary Social Theories,Social Constructionism,Standpoint Theory,1
Michel Callon,Society,Contemporary Social Theories,Posthumanism & New Materialism,Actor-Network Theory,1
Manuel DeLanda,Society,Contemporary Social Theories,Posthumanism & New Materialism,Assemblage Theory,1
Félix Guattari,Society,Contemporary Social Theories,Posthumanism & New Materialism,Assemblage Theory,1
Robert D. Benford,Society,Contemporary Social Theories,Social Movements,Framing Theory (Social Movements),1
David A. Snow,Society,Contemporary Social Theories,Social Movements,Framing Theory (Social Movements),1
Arthur P. J. Mol,Society,Advanced & Applied Social Theories,Environmental Sociology,Ecological Modernization Theory,1
Gert Spaargaren,Society,Advanced & Applied Social Theories,Environmental Sociology,Ecological Modernization Theory,1
Jean-Claude Passeron,Society,Advanced & Applied Social Theories,Education,Cultural Reproduction Theory (Education),1
Theodore W. Schultz,Society,Advanced & Applied Social Theories,Education,Human Capital Theory (Education),1
Maxwell McCombs,Society,Advanced & Applied Social Theories,Culture & Media,Agenda-Setting Theory,1
Larry Gross,Society,Advanced & Applied Social Theories,Culture & Media,Cultivation Theory,1
Elihu Katz,Society,Advanced & Applied Social Theories,Culture & Media,Uses and Gratifications Theory,1
Jay G. Blumler,Society,Advanced & Applied Social Theories,Culture & Media,Uses and Gratifications Theory,1
Michael Gurevitch,Society,Advanced & Applied Social Theories,Culture & Media,Uses and Gratifications Theory,1
Candace West,Society,Advanced & Applied Social Theories,Gender & Sexuality,Doing Gender,1
Don H. Zimmerman,Society,Advanced & Applied Social Theories,Gender & Sexuality,Doing Gender,1
Michael Warner,Society,Advanced & Applied Social Theories,Gender & Sexuality,Heteronormativity,1
Robert Blauner,Society,Advanced & Applied Social Theories,Race & Ethnicity,Internal Colonialism,1
Alejandro Portes,Society,Advanced & Applied Social Theories,Race & Ethnicity,Segmented Assimilation Theory,1
Min Zhou,Society,Advanced & Applied Social Theories,Race & Ethnicity,Segmented Assimilation Theory,1
Peter Berger,Society,Advanced & Applied Social Theories,Religion,Secularization Theory,1
Rodney Stark,Society,Advanced & Applied Social Theories,Religion,Rational Choice Theory of Religion,1
Roger Finke,Society,Advanced & Applied Social Theories,Religion,Rational Choice Theory of Religion,1
Kwame Nkrumah,Society,Advanced & Applied Social Theories,Globalization & Development,Neocolonialism,1
Walt Whitman Rostow,Society,Advanced & Applied Social Theories,Globalization & Development,Modernization Theory,1
Daniel Lerner,Society,Advanced & Applied Social Theories,Globalization & Development,Modernization Theory,1
Homi Bhabha,Society,Advanced & Applied Social Theories,General Social Theories,Postcolonial Theory,1
Teun A. van Dijk,Society,Advanced & Applied Social Theories,General Social Theories,Critical Discourse Analysis (CDA),1
W. Richard Scott,Society,Advanced & Applied Social Theories,General Social Theories,New Institutionalism,1
Ève Chiapello,Society,Advanced & Applied Social Theories,General Social Theories,"The ""New Spirit of Capitalism""",1
Hartmut Rosa,Society,Advanced & Applied Social Theories,General Social Theories,Social Acceleration,1
James J. Gibson,Society,Advanced & Applied Social Theories,General Social Theories,Affordance Theory,1
extended to sociology,Society,Advanced & Applied Social Theories,General Social Theories,Affordance Theory,1
José van Dijck,Society,Advanced & Applied Social Theories,General Social Theories,Platform Society,1
Thomas Poell,Society,Advanced & Applied Social Theories,General Social Theories,Platform Society,1
Martijn de Waal,Society,Advanced & Applied Social Theories,General Social Theories,Platform Society,1
Miranda Fricker,Society,Advanced & Applied Social Theories,General Social Theories,Epistemic Injustice,1
John Bellamy Foster,Society,Advanced & Applied Social Theories,General Social Theories,The Anthropocene,1
Richard Rosenfeld,Society,Advanced & Applied Social Theories,General Social Theories,Institutional Anomie Theory,1
Steven Messner,Society,Advanced & Applied Social Theories,General Social Theories,Institutional Anomie Theory,1
Albert K. Cohen,Society,Advanced & Applied Social Theories,General Social Theories,Subculture Theory,1
Richard Cloward,Society,Advanced & Applied Social Theories,General Social Theories,Subculture Theory,1
