theorist,part,major,sub,existing,n_existing
Richard L. Doty,Nature,Chronobiology & Sensory Biology,C. Olfaction & Chemical Communication,Olfactory Acuity and Discrimination (Human),1
John Cryan,Nature,Psychoneuroimmunology & Microbiome,B. Gut-Brain-Microbiome Axis,Psychobiotic Theory,1
Daniel L. Everett,Nature,Neuroeconomics & Neurophilosophy,C. Neuroanthropology,Neuroanthropology,1
Craig Joseph,Nature,Evolutionary Psychology & Adaptive Mind,"C. Cooperation, Morality & Group Living",Moral Foundations Theory (Evolutionary),1
Borbély,Nature,Chronobiology & Sensory Biology,A. Circadian Rhythms & Sleep,Sleep Homeostasis Theory,1
Daan,Nature,Chronobiology & Sensory Biology,A. Circadian Rhythms & Sleep,Sleep Homeostasis Theory,1
Barry Bogin,Nature,Evolutionary Theory & Human Origins,C. Life History & Demography,Life History Theory (Developmental),1
Rebecca Saxe,Nature,Neurobiology & Neuroscience,C. Social & Affective Neuroscience,Theory of Mind (Neurobiological),1
Joel Paris,Nature,Biological Basis of Mind & Behavior,A. Personality & Temperament,Neurodevelopmental Models of Personality Disorders,1
Sheldon Cohen,Nature,Psychoneuroimmunology & Microbiome,A. Immune-Behavior Interface,Social Support and Immunity Theory,1
John C. Caldwell,Nature,Evolutionary Psychology & Adaptive Mind,"B. Mating, Reproduction & Sexual Strategy",Caldwell's Wealth Flows Theory (Biological Link),1
Paul Glimcher,Nature,Biological Basis of Mind & Behavior,"B. Consciousness, Self & Decision",Neurobiology of Social Decision Making,1
Jesse Graham,Nature,Evolutionary Psychology & Adaptive Mind,"C. Cooperation, Morality & Group Living",Evolved Morality Theory,1
Larry Young,Nature,Behavioral Endocrinology & Stress Biology,A. Hormones & Social Behavior,Vasopressin and Monogamy (Biological),1
Elizabeth Phelps,Nature,Neurobiology & Neuroscience,C. Social & Affective Neuroscience,Amygdala and Threat in Prejudice Theory,1
Marvin Zuckerman,Nature,Neuro-Evolutionary Affect,C. Aggression & Risk,Sensation Seeking Theory (Biological),1
Paul Andrews,Nature,Biological Basis of Mind & Behavior,C. Mental Health & Psychopathology,Evolutionary Psychiatry,1
Sarah Hrdy,Nature,Evolutionary Psychology & Adaptive Mind,"C. Cooperation, Morality & Group Living",Alloparenting Theory (Evolutionary),1
J. Allan Hobson,Nature,Chronobiology & Sensory Biology,A. Circadian Rhythms & Sleep,Activation-Synthesis Hypothesis (Dreams),1
Robert McCarley,Nature,Chronobiology & Sensory Biology,A. Circadian Rhythms & Sleep,Activation-Synthesis Hypothesis (Dreams),1
Paul W. Ewald,Nature,Human Ecology & Evolutionary Medicine,A. Cultural & Disease Ecology,Disease Ecology (Human),1
Allan Mazur,Nature,Ethology & Human-Animal Studies,A. Human Ethology & Nonverbal Signals,Dominance Hierarchies (Human Biological Basis),1
Terry E. Robinson,Nature,Neuro-Evolutionary Affect,"A. Reward, Addiction & Motivation",Incentive Salience Theory (Addiction),1
Kent Berridge,Nature,Neuro-Evolutionary Affect,"A. Reward, Addiction & Motivation",Incentive Salience Theory (Addiction),1
Sally E. Dickerson,Nature,Behavioral Endocrinology & Stress Biology,B. Stress & HPA Axis,Social Evaluative Threat Theory (Biological),1
Loren Cordain,Nature,Evolutionary Theory & Human Origins,B. Gene-Culture Coevolution & Human Origins,Paleodiet Hypothesis (Human Evolution),1
Rob Knight,Nature,Psychoneuroimmunology & Microbiome,C. Microbiome Development & Health,Early Life Microbiome Theory (Human Development),1
George C. Williams,Nature,Evolutionary Theory & Human Origins,C. Life History & Demography,Senescence (Evolutionary Demography),1
Peter B. Medawar,Nature,Evolutionary Theory & Human Origins,C. Life History & Demography,Senescence (Evolutionary Demography),1
Steven W. Quello,Nature,Neuro-Evolutionary Affect,"A. Reward, Addiction & Motivation",Dual-System Model of Addiction Decision-Making,1
David Geary,Nature,Evolutionary Psychology & Adaptive Mind,"B. Mating, Reproduction & Sexual Strategy",Division of Labor (Evolutionary Psychology),1
Laura W. K. Smalley,Nature,Evolutionary Psychology & Adaptive Mind,"C. Cooperation, Morality & Group Living",Genetics of Prosocial Behavior,1
Robert Stickgold,Nature,Neurobiology & Neuroscience,B. Memory & Learning Neuroscience,Sleep for Memory Consolidation Theory,1
Jeffrey Gordon,Nature,Psychoneuroimmunology & Microbiome,C. Microbiome Development & Health,Microbiome and Immune System Development Theory,1
Klaus Scherer,Nature,Neurobiology & Neuroscience,C. Social & Affective Neuroscience,Appraisal Theory (Neurobiological),1
C. Sue Carter,Nature,Behavioral Endocrinology & Stress Biology,A. Hormones & Social Behavior,Social Bonding Hormones Theory,1
Robert Dantzer,Nature,Psychoneuroimmunology & Microbiome,A. Immune-Behavior Interface,Sickness Behavior as Adaptation Theory,1
Hillard Kaplan,Nature,Evolutionary Psychology & Adaptive Mind,"B. Mating, Reproduction & Sexual Strategy",Optimal Reproductive Strategies (Human),1
Michael Tomasello,Nature,Evolutionary Psychology & Adaptive Mind,"C. Cooperation, Morality & Group Living",Group Cooperation (Evolutionary Anthropology),1
Todd F. Heatherton,Nature,Neurobiology & Neuroscience,C. Social & Affective Neuroscience,Self-Referential Processing (Neurobiological),1
Lisa M. Diamond,Nature,Evolutionary Psychology & Adaptive Mind,"B. Mating, Reproduction & Sexual Strategy",Sexual Plasticity (Biological),1
David F. Bjorklund,Nature,Evolutionary Psychology & Adaptive Mind,A. Adaptive Cognition & Modularity,Evolutionary Developmental Psychology,1
George F. Koob,Nature,Neuro-Evolutionary Affect,"A. Reward, Addiction & Motivation",Reinforcement Learning (Addiction Neurobiology),1
Dennis S. Charney,Nature,Behavioral Endocrinology & Stress Biology,C. Allostasis & Resilience,Resilience Neurobiology (Stress),1
James R. Rilling,Nature,Neurobiology & Neuroscience,C. Social & Affective Neuroscience,Parental Brain Networks Theory,1
Avshalom Caspi,Nature,Behavioral & Molecular Genetics,C. Molecular Genetics of Traits,Genetic Predisposition to Aggression Theory,1
Stephen S. Morse,Nature,Human Ecology & Evolutionary Medicine,B. Evolutionary Medicine & Pathogen Coevolution,Pathogen Evolution and Human Health,1
Kevin Ochsner,Nature,Neuro-Evolutionary Affect,"B. Emotion, Fear & Pain",Prefrontal Cortex and Emotion Regulation Theory,1
Mary Jane West-Eberhard,Nature,Evolutionary Theory & Human Origins,C. Life History & Demography,Developmental Plasticity (Human),1
Kjersti Aagaard,Nature,Psychoneuroimmunology & Microbiome,C. Microbiome Development & Health,Maternal Microbiome and Offspring Health Theory,1
Matthew D. Lieberman,Nature,Neurobiology & Neuroscience,C. Social & Affective Neuroscience,Social Self (Neurobiological),1
Gordon Burghardt,Nature,Ethology & Human-Animal Studies,A. Human Ethology & Nonverbal Signals,Play Behavior (Evolutionary Ethology),1
Henry Harpending,Nature,Evolutionary Theory & Human Origins,B. Gene-Culture Coevolution & Human Origins,Recent Human Evolution Theory,1
Gene Robinson,Nature,Behavioral & Molecular Genetics,B. Gene-Environment Interplay,Gene Expression and Social Behavior,1
Eric R. Kandel,Nature,Neurobiology & Neuroscience,B. Memory & Learning Neuroscience,Long-Term Memory Formation (Neurobiological),1
Paul Ewald,Nature,Human Ecology & Evolutionary Medicine,A. Cultural & Disease Ecology,Co-Evolution of Humans and Pathogens,1
Matthew Arnold,Culture,Foundations & Classical Approaches,A. Culture as a Whole Way of Life,Culture and Civilization (Early),1
John W. Berry,Culture,Identity & Difference,"A. Gender, Race & Sexuality",Acculturation,1
Ted Striphas,Culture,Media & Communication,A. Media Effects & Audiences,Algorithmic Culture,1
Néstor García Canclini,Culture,Global & Transnational Culture,A. Hybridization & World Culture,Cultural Hybridization,1
Herbert Schiller,Culture,Global & Transnational Culture,A. Hybridization & World Culture,Cultural Imperialism,1
Christine Hine,Culture,"Digital, Media & Algorithmic Culture",A. Networked & Participatory Culture,Digital Ethnography,1
Barry Wellman,Culture,"Digital, Media & Algorithmic Culture",A. Networked & Participatory Culture,Networked Individualism,1
John Howkins,Culture,Cultural Economy & Production,A. Creative & Cultural Industries,Creative Industries Theory,1
