theorist,part,major,sub,existing,n_existing
Christine Jolls,LAW,Critical Legal Studies & Critical Race Theory,A. Critical Legal Studies (CLS) & Indeterminacy,Behavioral Law and Economics,1
Roscoe Pound,LAW,Law and Society & Sociology of Law,A. Sociological Jurisprudence & Empirical Legal Studies,Sociological Jurisprudence,1
Sally Falk Moore,LAW,Law and Society & Sociology of Law,A. Sociological Jurisprudence & Empirical Legal Studies,Legal Pluralism,1
Eugen Ehrlich,LAW,Law and Society & Sociology of Law,A. Sociological Jurisprudence & Empirical Legal Studies,Legal Pluralism,1
Charles Howard McIlwain,LAW,Constitutional Theory & Public Law,"A. Constitutionalism, Judicial Review & Rights",Constitutionalism,1
John Marshall,LAW,Constitutional Theory & Public Law,"A. Constitutionalism, Judicial Review & Rights",Judicial Review,1
Robert Nozick,LAW,Constitutional Theory & Public Law,"A. Constitutionalism, Judicial Review & Rights",Rights Theory (Legal),1
Frank I. Michelman,LAW,Constitutional Theory & Public Law,"A. Constitutionalism, Judicial Review & Rights",Deliberative Democracy (Legal Theory),1
Hans Kelsen,LAW,International & Human Rights Law,A. International Law Theory (Positivism/Realism/TWAIL),International Legal Positivism,1
Jean Bodin,LAW,International & Human Rights Law,A. International Law Theory (Positivism/Realism/TWAIL),State Sovereignty (International Law),1
B.S. Chimni,LAW,International & Human Rights Law,A. International Law Theory (Positivism/Realism/TWAIL),Third World Approaches to International Law (TWAIL),1
Friedrich Carl von Savigny,LAW,Legal History & Historical Jurisprudence,A. Historical Jurisprudence & Legal Evolution,Historical School of Law,1
Sir Henry Maine,LAW,Legal History & Historical Jurisprudence,A. Historical Jurisprudence & Legal Evolution,Legal Evolutionism,1
Morton J. Horwitz,LAW,Legal History & Historical Jurisprudence,A. Historical Jurisprudence & Legal Evolution,Critical Legal History,1
Gordon Tullock,LAW,Law and Economics,A. Foundational Law & Economics (Coase/Efficiency),Public Choice Theory (Legal),1
Kai Erikson,LAW,Law and Society & Sociology of Law,"B. Social Control, Deviance & Legal Culture",Deviance and Social Control (Legal),1
John Griffiths,LAW,Law and Society & Sociology of Law,"B. Social Control, Deviance & Legal Culture",Legal Pluralism (Sociological),1
Lawrence M. Friedman,LAW,Law and Society & Sociology of Law,"B. Social Control, Deviance & Legal Culture",Legal Culture Theory,1
Gary L. Wells,LAW,"Law, Psychology, Neuroscience & Emotion",A. Legal & Forensic Psychology,Behavioral Legal Psychology,1
Robert Bork,LAW,Constitutional Theory & Public Law,B. Constitutional Interpretation (Originalism/Textualism/Living),Originalism (Constitutional),1
Kenneth Culp Davis,LAW,Constitutional Theory & Public Law,C. Administrative Law & Public Governance,Agency Discretion Theory (Administrative Law),1
Cesare Beccaria,LAW,"Criminal Law, Punishment & Restorative Justice",A. Punishment Theory (Retribution/Deterrence/Rehabilitation),Deterrence Theory (Criminal Law),1
Ernest Weinrib,LAW,"Private Law (Torts, Contracts, Property)",A. Tort Theory (Corrective/Distributive Justice),Corrective Justice (Tort Law),1
Garrett Hardin,LAW,"Private Law (Torts, Contracts, Property)",C. Property Theory & The Commons,Tragedy of the Commons (Legal),1
Willard Hurst,LAW,Legal History & Historical Jurisprudence,B. Legal Exceptionalism & Law-in-History,Law and Society in History,1
Christopher D. Stone,LAW,"Environmental, Climate & Anthropocene Law",A. Environmental Law & Sustainable Development,Ecocentric Legal Theory,1
Gro Harlem Brundtland,LAW,"Environmental, Climate & Anthropocene Law",A. Environmental Law & Sustainable Development,Sustainable Development Law,1
Jack Donnelly,LAW,International & Human Rights Law,B. Human Rights Theory (Universalism/Indivisibility),Universalism vs. Relativism (Human Rights Law),1
Ruti G. Teitel,LAW,"Criminal Law, Punishment & Restorative Justice",B. Restorative & Transitional Justice,Transitional Justice Theory,1
Peter Brooks,LAW,"Law, Social Movements & Narrative",B. Law & Literature / Legal Storytelling,Law as Narrative Theory,1
Robert Cover,LAW,"Law, Social Movements & Narrative",B. Law & Literature / Legal Storytelling,Law as Narrative Theory,1
Juan F. Perea,LAW,Critical Legal Studies & Critical Race Theory,B. Critical Race Theory & Offshoots (LatCrit/AsianCrit/TribalCrit),LatCrit Theory,1
Robert S. Chang,LAW,Critical Legal Studies & Critical Race Theory,B. Critical Race Theory & Offshoots (LatCrit/AsianCrit/TribalCrit),AsianCrit Theory,1
Robert A. Williams Jr.,LAW,Critical Legal Studies & Critical Race Theory,B. Critical Race Theory & Offshoots (LatCrit/AsianCrit/TribalCrit),TribalCrit Theory,1
Kenneth L. Karst,LAW,"Law, Social Movements & Narrative",A. Law as a Tool/Site of Struggle,Law as a Tool for Change Theory,1
Amy Kapczynski,LAW,Law and Economics,C. Law & Political Economy (LPE) / Neoliberalism,Law and Political Economy (LPE),1
David Singh Grewal,LAW,Law and Economics,C. Law & Political Economy (LPE) / Neoliberalism,Law and Political Economy (LPE),1
Bronislaw Malinowski,LAW,Law and Society & Sociology of Law,"C. Legal Pluralism, Anthropology & Postcolonial Orders",Customary Law Theory,1
Susan Bandes,LAW,"Law, Psychology, Neuroscience & Emotion",C. Law & Emotion / Affective Jurisprudence,Law and Emotion Theory,1
Edward W. Soja,LAW,Legal History & Historical Jurisprudence,"C. Microhistory, Memory & Legal Geography",Spatial Justice (Legal),1
