theorist,part,major,sub,existing,n_existing
Kenneth Thomas,MANAGEMENT,Human Resource Management,"B. Engagement, Commitment & Psychological Contract",Conflict Management Styles (HRM) | Conflict Resolution Styles | Conflict Styles (Relationships),3
Ralph Kilmann,MANAGEMENT,Human Resource Management,"B. Engagement, Commitment & Psychological Contract",Conflict Management Styles (HRM) | Conflict Resolution Styles | Conflict Styles (Relationships),3
H.L.A. Hart,LAW,Jurisprudence & Legal Philosophy,B. Legal Positivism & Analytic Jurisprudence,International Legal Positivism | Legal Positivism | Rule of Recognition,3
Derrick Bell,LAW,Critical Legal Studies & Critical Race Theory,A. Critical Legal Studies (CLS) & Indeterminacy,Critical Race Theory | Critical Race Theory (CRT in Law) | Interest Convergence,3
Elizabeth Loftus,LAW,"Law, Psychology, Neuroscience & Emotion",A. Legal & Forensic Psychology,Behavioral Legal Psychology | Constructive Memory | Eyewitness Memory Theory (Legal),3
Richard Delgado,LAW,"Law, Social Movements & Narrative",B. Law & Literature / Legal Storytelling,Counter-Narratives | Counter-Narratives (Legal) | Legal Storytelling,3
Antoinette Rouvroy,LAW,"Digital, Technology & AI Law","B. AI, Algorithms & Automated Decision-Making",Algorithmic Governance | Algorithmic Governance (Legal) | Algorithmic Governance (Political),3
Peter N. Stearns,LAW,"Law, Psychology, Neuroscience & Emotion",C. Law & Emotion / Affective Jurisprudence,Cross-Cultural History of Emotions | Emotionology | Regulation of Emotion (Legal Theory),3
Robert Cooter,LAW,Law and Economics,A. Foundational Law & Economics (Coase/Efficiency),Contract Enforcement (Behavioral Law and Economics) | Game Theory in Law (Behavioral) | Social Norms and Law Theory,3
Thomas S. Ulen,Economics,Information & Contract Economics,Behavioral Law & Economics,Behavioral Crime and Deterrence Theory | Behavioral Deterrence (Law and Economics) | Game Theory in Law (Behavioral),3
Immanuel Wallerstein,Society,Contemporary Social Theories,Globalization & World-Systems,Capitalism (Historical) | Dependency Theory (IR) | World-Systems Theory,3
Robert Bullard,Society,Advanced & Applied Social Theories,Environmental Sociology,Environmental Justice (Health) | Environmental Justice (Political) | Environmental Justice Theory,3
World Health Organization,Medicine,Advanced & Applied Social Theories,Health & Illness,Health in All Policies (HiAP) Theory | Social Determinants of Health | Social Determinants of Health Theory,3
Norman Fairclough,Society,Advanced & Applied Social Theories,General Social Theories,Critical Discourse Analysis (CDA in Cultural Studies) | Critical Discourse Analysis (CDA) | Discourse Analysis,3
Axel Honneth,Politics,"Justice, Recognition & Community",General Social Theories,Politics of Recognition | Recognition Politics | Recognition Theory,3
Mary Douglas,Society,Advanced & Applied Social Theories,General Social Theories,Culturally Shaped Body Theory | Risk Culture Theory | Risk Perception Theory,3
Jean-François Lyotard,Society,Advanced & Applied Social Theories,General Social Theories,Incredulity toward Metanarratives | Postmodern Criticism | Postmodernity,3
Joan Tronto,Society,Advanced & Applied Social Theories,General Social Theories,Care Ethics | Caring Labor | Ethics of Care (Medical),3
Friedrich Engels,Politics,Radical & Critical Traditions,A. Marxism & Socialism,Base and Superstructure (Culture) | Historical Materialism | Historical Materialism (Historical),3
Vladimir Lenin,Politics,Radical & Critical Traditions,A. Marxism & Socialism,Dictatorship of the Proletariat | Imperialism (Historical Theory) | Imperialism as the Highest Stage of Capitalism,3
Leopold von Ranke,History,Philosophy of History,A. Speculative & Classical,Historicism (Historical Theory) | Rankean History (Historicism) | Source Criticism,3
Linda Hutcheon,Critics,Intertextual & Comparative,A. Intertextuality,Adaptation Studies | Historiographic Metafiction (Historical) | Parody,3
Dominick LaCapra,Critics,Affect & Sensory,C. Trauma & Witnessing,Trauma Theory (Historical) | Unrepresentability (Trauma in Literature) | Unrepresentability (Trauma),3
Charles Rosenberg,History,"Gender, Body & Emotions History","C. Body, Senses & Health",History of Disease | Social History of Disease | Social History of Medicine,3
Jan Assmann,History,Memory & Oral History,A. Collective & Cultural Memory,Communicative Memory | Cultural Memory | Mnemohistory,3
Robert Darnton,History,Annales & Microhistory,B. Microhistory & Everyday Life,History of the Book | New Cultural History | Print Culture Studies,3
Leo Marx,Critics,Ecological & Environmental,A. Ecocriticism,Pastoral and Wilderness Themes | Pastoral and Wilderness Themes (Ecocriticism) | Technological Determinism (Historical),3
Reinhart Koselleck,History,Philosophy of History,B. Analytic & Metahistory,Conceptual History (Begriffsgeschichte) | Geschichtliche Zeit (Historical Time) | Multiple Temporalities,3
Alain Corbin,History,"Gender, Body & Emotions History","C. Body, Senses & Health",History of the Senses | Olfactory History | Sensory Studies,3
Jeffrey Olick,Culture,"Memory, Time, Trauma & Resilience",A. Collective & Cultural Memory,Disaster Narratives | Memory Politics | Memory Wars,3
Sidney Mintz,Culture,"Material, Spatial & Heritage Culture",B. Food & Foodways,Food and Culture Theory | Global Commodity Chains | Global Foodways Theory,3
Don D. Jackson,Family,가족체계·사이버네틱스 이론 (Family Systems & Cybernetics),B. 의사소통·구조적 가족치료 (Communication & Structural Therapy),Communication Theory | Family Rules Theory | Homeostatic Family Theory,3
Virginia Satir,Family,가족체계·사이버네틱스 이론 (Family Systems & Cybernetics),B. 의사소통·구조적 가족치료 (Communication & Structural Therapy),Conjoint Family Therapy | Experiential Family Therapy | Family Systems Therapy (Clinical),3
Patricia Hill Collins,Family,가족사회학·구조 (Family Sociology & Structure),B. 사회구성주의·포스트모던 (Social Construction & Postmodern),Black Feminism | Critical Race Feminism | Race and Family Theory,3
George W. Brown,Family,애착·심리역동 가족이론 (Attachment & Psychodynamic),C. 정서조절·표출정서 (Emotion Regulation & Expressed Emotion),Expressed Emotion (EE) | Expressed Emotion (EE) Theory | Expressed Emotion (EE) Theory (Mental Health),3
Sidney Cobb,Family,"가족 건강·스트레스·회복탄력성 (Family Health, Stress & Resilience)",A. 가족 부담·정신건강 (Family Burden & Mental Health),Social Support Theory | Social Support Theory (Health) | Social Support Theory (Individual),3
Lev Vygotsky,Psychology,Developmental,A. Cognitive & Moral Development,Interactionist Theory of Language Acquisition | Play Theory (Developmental) | Sociocultural Theory (Development),3
Erik Erikson,Psychology,Developmental,A. Cognitive & Moral Development,Ego Psychology | Generativity vs. Stagnation | Psychosocial Development Theory,3
Melanie Klein,Critics,Psychoanalytic & Psychological,B. Object Relations & Post-Freudian,Kleinian Criticism | Object Relations Criticism | Object Relations Theory (Individual),3
George Lakoff,Psychology,Cognitive Science & Neuroscience,A. Cognitive Science,Conceptual Metaphor Theory | Embodied Cognition | Embodied Cognition (Biological),3
Mark Johnson,Psychology,Cognitive Science & Neuroscience,A. Cognitive Science,Conceptual Metaphor Theory | Embodied Cognition | Embodied Cognition (Biological),3
Hazel Rose Markus,Psychology,Emerging & Contemporary,A. Digital & Cyberpsychology,Cultural Psychology | Cultural Self Theory | Independent vs. Interdependent Self-Construal,3
Steve de Shazer,Psychology,Counseling & Psychotherapy,A. Cognitive & Behavioral Therapies,Miracle Question (Therapy) | Solution-Building | Solution-Focused Brief Therapy (SFBT),3
Wolfram Schultz,Psychology,Cognitive Science & Neuroscience,B. Neuroscience,Dopamine and Learning Theory | Reward Prediction Error (Neuroeconomics) | Reward Prediction Error (Neuroscience),3
James J. Gross,Psychology,Cognitive Science & Neuroscience,B. Neuroscience,Cognitive Reappraisal | Emotion Regulation Strategies | Prefrontal Cortex and Emotion Regulation Theory,3
James O. Prochaska,Psychology,Health Psychology,B. Health Behavior Models,Integrative Psychotherapy | Transtheoretical Model (Stages of Change) | Transtheoretical Model / Stages of Change (Health),3
Bruce McEwen,Nature,Health Psychology,A. Stress & Coping,Allostasis and Allostatic Load | Allostasis and Allostatic Load (PNI) | Allostatic Load and Disease Theory,3
Stanley Fish,Critics,Post-Structuralist & Deconstructive,A. Deconstruction,Affective Stylistics | Interpretive Communities | Reception Theory / Reader-Response Criticism,3
Wolfgang Iser,Critics,Phenomenological & Hermeneutic,C. Reader-Response & Reception,Aesthetic of Engagement | Implied Reader | Reception Theory / Reader-Response Criticism,3
Lawrence Buell,Critics,Ecological & Environmental,A. Ecocriticism,Ecocriticism | Post-Pastoral | Urban Ecocriticism,3
Jane Bennett,Critics,Ecological & Environmental,A. Ecocriticism,Distributed Agency | Material Ecocriticism | New Materialism,3
John Fiske,Culture,British Cultural Studies (Birmingham School),C. Popular Culture & Politics,Cultural Politics of Popular Culture | Global Popular Culture Theory | Popular Culture,3
Charles Darwin,Nature,Evolutionary Theory & Human Origins,A. Selection & Adaptation,Nonverbal Communication | Sexual Selection Theory (Human Application) | Theory of Natural Selection (Human Application),3
Robert Boyd,Nature,Evolutionary Theory & Human Origins,B. Gene-Culture Coevolution & Human Origins,Cultural Group Selection Theory | Cultural Transmission Theory | Dual Inheritance Theory (DIT),3
Peter J. Richerson,Nature,Evolutionary Theory & Human Origins,B. Gene-Culture Coevolution & Human Origins,Cultural Group Selection Theory | Cultural Transmission Theory | Dual Inheritance Theory (DIT),3
Robert Plomin,Nature,Behavioral & Molecular Genetics,C. Molecular Genetics of Traits,Gene-Environment Correlation Theory (rGE) | Genetic Basis of Intelligence Theory | Molecular Genetics of Personality,3
Julian Steward,Nature,Human Ecology & Evolutionary Medicine,A. Cultural & Disease Ecology,Cultural Adaptation Theory | Cultural Ecology (Human) | Human Ecological Theory,3
Eric Lenneberg,Nature,"Biological Bases of Language, Cognition & Aesthetics",A. Language & Communication Biology,Critical Period Hypothesis (Language Neurobiology) | Critical Periods in Brain Development (Human) | Language Lateralization Theory,3
Gerd Gigerenzer,Nature,Evolutionary Psychology & Adaptive Mind,A. Adaptive Cognition & Modularity,Adaptive Biases (Evolutionary Psychology) | Bounded Rationality (Evolutionary Psychology) | Ecological Rationality (Evolutionary Economics),3
David Laibson,Economics,Behavioral & Cognitive Economics,Foundations & Bounded Rationality,Hyperbolic Discounting | Present Bias | Present Bias in Health,3
Colin Camerer,Economics,Behavioral & Cognitive Economics,Neuroeconomics & Neuromarketing,Asymmetric Paternalism | Behavioral Game Theory | Neuroeconomics (General),3
Samuel Bowles,Economics,Institutional & Evolutionary Economics,Evolutionary Economics,Co-evolution of Institutions and Preferences | Cultural Evolution in Economics | Endogenous Preferences,3
Abhijit Banerjee,Economics,Development & Environmental Economics,Behavioral Development Economics,Behavioral Interventions for Development | Gender Biases in Development (Behavioral Economics) | Social Learning in Development (Behavioral Economics),3
Bryan Caplan,Economics,Political Economy & Public Choice,Public Choice & Political Behavior,Behavioral Public Choice Theory | Political Biases (Behavioral Public Economics) | Voter Heuristics and Biases,3
Richard Layard,Economics,"Welfare, Happiness & Heterodox Economics",Happiness & Wellbeing,Happiness Economics | Happiness Policy | Relative Income Hypothesis (Happiness),3
Richard H. McAdams,Economics,Information & Contract Economics,Behavioral Law & Economics,Behavioral Crime and Deterrence Theory | Behavioral Deterrence (Law and Economics) | Expressive Law (Behavioral Law and Economics),3
Richard R. Nelson,Economics,Institutional & Evolutionary Economics,Evolutionary Economics,Evolutionary Theory of Technological Change | Innovation Diffusion (Evolutionary Economics) | Innovation and Evolution,3
Sidney G. Winter,Economics,Institutional & Evolutionary Economics,Evolutionary Economics,Evolutionary Theory of Technological Change | Innovation Diffusion (Evolutionary Economics) | Innovation and Evolution,3
Byron Good,Medicine,Medical Anthropology & Cultural Models,"A. Culture, Healing & Explanatory Models",Biomedicine as Culture Theory | Ritual and Healing Theory | Therapeutic Emplotment Theory,3
Plato,ART,Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,Theory of Forms | Theory of Mimesis,2
Edmund Burke,ART,Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,Reflections on the Revolution in France | The Sublime,2
Erwin Panofsky,ART,Art History & Historiography,A. Iconology & Social History of Art,Iconography | Iconology,2
Susan Foster,ART,Performance Studies & Theatre,A. Performance Theory & Ritual,Embodiment Theory (Performance) | Embodiment in Dance Theory,2
Brian Massumi,ART,Performance Studies & Theatre,A. Performance Theory & Ritual,Affect Theory | Affect Theory (Performance),2
Sandra Gilbert,ART,Literature & Literary Theory,A. Critical & Materialist Criticism,Feminist Criticism | Feminist Literary Criticism,2
Franz Boas,ART,Anthropology & Sociology of Art,A. Anthropology of Art & Ritual,Anthropology of Art | Cultural Relativism,2
Linda Nochlin,ART,"Race, Gender & Postcolonial Critique of Art",C. Feminist & Queer Art,Feminist Art Criticism | Gender and Art History Theory,2
Philip Galanter,ART,"Digital, New Media & AI Arts",A. Algorithmic & Generative Art,Algorithmic Art Theory | Generative Art Theory,2
Robert Sommer,ART,Architecture & the Built Environment,C. Sustainable & Behavioral Architecture,Behavioral Architecture Theory | Environmental Psychology in Architecture Theory,2
Constance Classen,ART,Aesthetics & Philosophy of Art,C. Cognitive & Neuro Aesthetics,Sensory Aesthetics | Sensory Studies,2
