theorist,part,major,sub,existing,n_existing
Douglas C. Baynton,History,Specialized Social Histories,A. Childhood & Family,Disability History,1
Paul Thompson,History,Specialized Social Histories,A. Childhood & Family,Oral History,1
Kirk Savage,History,Specialized Social Histories,A. Childhood & Family,Public Memory,1
Spencer Weart,History,Specialized Social Histories,A. Childhood & Family,History of Climate Science,1
Martin Campbell-Kelly,History,Specialized Social Histories,A. Childhood & Family,History of Computing,1
William Aspray,History,Specialized Social Histories,A. Childhood & Family,History of Computing,1
Michael Werner,History,Specialized Social Histories,A. Childhood & Family,Histoire Croisée (Crossed History),1
Bénédicte Zimmermann,History,Specialized Social Histories,A. Childhood & Family,Histoire Croisée (Crossed History),1
Lincoln Paine,History,Specialized Social Histories,A. Childhood & Family,Ocean History / Maritime History,1
Langdon Winner,History,"Environmental, Science & Technology History",C. History of Technology & Things,History of Technology (as Actor),1
Harriet Ritvo,History,"Environmental, Science & Technology History",C. History of Technology & Things,Animal History,1
Erica Fudge,History,"Environmental, Science & Technology History",C. History of Technology & Things,Animal History,1
Geoffrey Bowker,History,Digital History,C. Archives & Data,History of Data,1
G.W.F. Hegel,History,Philosophy of History,B. Analytic & Metahistory,Philosophy of History (Speculative),1
Arnold J. Toynbee,History,Philosophy of History,B. Analytic & Metahistory,Philosophy of History (Speculative),1
Arthur Danto,History,Philosophy of History,B. Analytic & Metahistory,Philosophy of History (Analytic),1
W.H. Walsh,History,Philosophy of History,B. Analytic & Metahistory,Philosophy of History (Analytic),1
Peter Novick,History,Philosophy of History,B. Analytic & Metahistory,Historical Objectivity,1
Jean Starobinski,History,"Gender, Body & Emotions History",B. History of Emotions,History of Melancholy,1
Frank M. Snowden,History,"Gender, Body & Emotions History","C. Body, Senses & Health",History of Epidemics,1
Giovanni Levi,History,Historiography & Method,B. Schools of Historiography,Microhistory vs. Macrohistory,1
Christopher Breward,History,Marxist & Social History,B. Economic History,History of Consumer Society,1
Edward Peters,History,Specialized Social Histories,"B. Crime, Violence & Policing",History of Torture,1
Paul Watzlawick,Family,가족체계·사이버네틱스 이론 (Family Systems & Cybernetics),B. 의사소통·구조적 가족치료 (Communication & Structural Therapy),Communication Theory,1
Gregory Bateson,Family,가족체계·사이버네틱스 이론 (Family Systems & Cybernetics),B. 의사소통·구조적 가족치료 (Communication & Structural Therapy),Double Bind Theory,1
Carl Whitaker,Family,가족체계·사이버네틱스 이론 (Family Systems & Cybernetics),B. 의사소통·구조적 가족치료 (Communication & Structural Therapy),Experiential Family Therapy,1
Sarah Fenstermaker Berk,Family,가족사회학·구조 (Family Sociology & Structure),B. 사회구성주의·포스트모던 (Social Construction & Postmodern),Doing Family,1
Annette Lareau,Family,가족사회학·구조 (Family Sociology & Structure),B. 사회구성주의·포스트모던 (Social Construction & Postmodern),Class and Family Theory,1
Warren S. Thompson,Family,가족사회학·구조 (Family Sociology & Structure),B. 사회구성주의·포스트모던 (Social Construction & Postmodern),Demographic Transition Theory,1
Frank W. Notestein,Family,가족사회학·구조 (Family Sociology & Structure),B. 사회구성주의·포스트모던 (Social Construction & Postmodern),Demographic Transition Theory,1
Rosabeth Moss Kanter,Family,가족사회학·구조 (Family Sociology & Structure),B. 사회구성주의·포스트모던 (Social Construction & Postmodern),Work-Family Conflict Theory,1
Peggy Levitt,Family,"탈식민·초국가·교차성 가족이론 (Decolonial, Transnational & Intersectional)",A. 토착·탈식민 가족연구 (Indigenous & Decolonizing),Transnational Families Theory,1
Parvati Raghuram,Family,"탈식민·초국가·교차성 가족이론 (Decolonial, Transnational & Intersectional)",A. 토착·탈식민 가족연구 (Indigenous & Decolonizing),Transnational Families Theory,1
Rosemary Radford Ruether,Family,"젠더·돌봄노동·페미니즘 가족이론 (Gender, Care Labor & Feminist)",C. 돌봄윤리·에코페미니즘 (Care Ethics & Ecofeminism),Ecofeminist Family Theory,1
Bruce Western,Family,"젠더·돌봄노동·페미니즘 가족이론 (Gender, Care Labor & Feminist)",C. 돌봄윤리·에코페미니즘 (Care Ethics & Ecofeminism),Incarceration and Family Theory,1
