theorist,part,major,sub,existing,n_existing
John Tooby,Nature,Evolutionary Psychology & Adaptive Mind,A. Adaptive Cognition & Modularity,Cheater Detection Module | Cheater Detection Module Theory | Coalitionary Psychology | Environment of Evolutionary Adaptedness (EEA) | Evolutionary Psychology | Evolutionary Psychology (General) | Massive Modularity Hypothesis,7
Paul Farmer,Medicine,Medical Anthropology & Cultural Models,C. Critical & Political Medical Anthropology,Critical Medical Anthropology | Cultural Responses to Epidemics Theory | Global Health Ethics (Anthropological) | Postcolonial Health Theory | Social Justice in Health | Social Suffering Theory (Global Health) | Structural Violence (Medical),7
Andrei Shleifer,MANAGEMENT,Behavioral Finance & Decision Making,A. Behavioral Asset Pricing & Markets,Behavioral Corporate Finance | Behavioral Market Efficiency Theory | Limited Attention Theory (Behavioral Finance) | Managerial Overconfidence (Finance) | Noise Trader Theory (Behavioral Finance) | Order Flow Imbalance (Behavioral Finance),6
David Buss,Psychology,Evolutionary Psychology & Adaptive Mind,A. Adaptive Cognition & Modularity,Evolutionary Psychology | Evolutionary Psychology (General) | Individual Differences (Evolutionary) | Mate Preference Theory (Evolutionary) | Sexual Strategies Theory | Sexual Strategies Theory (Evolutionary),6
George Loewenstein,Economics,Behavioral & Cognitive Economics,Health & Education Economics,Addiction as a Self-Control Problem (Behavioral Economics) | Asymmetric Paternalism | Behavioral Insurance (Health) | Emotional Decision Making | Information Overload (Behavioral Health Economics) | Neuroeconomics (General),6
W. Brian Arthur,Economics,Institutional & Evolutionary Economics,Complexity & Agent-Based Economics,Adaptive Learning (Complexity Economics) | Complexity Economics | Emergence (Complexity Economics) | Emergent Innovation (Complexity Economics) | Learning and Adaptation (Complexity Economics) | Path Dependence (Complexity Economics),6
Aristotle,ART,Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,Catharsis | Politeia (Mixed Constitution) | Politics as the Art of the Possible | Rhetorical Criticism | Theory of Mimesis,5
Jacques Lacan,Critics,Psychoanalytic & Psychological,A. Freudian & Lacanian,Jouissance | Lacanian Criticism | Psychoanalytic Criticism (Freudian) | Psychoanalytic Literary Criticism | The Gaze,5
Rosi Braidotti,Critics,Post-Humanist & Non-Human,A. Posthumanism & Cyborg Theory,Posthuman Art Theory | Posthuman Culture Theory | Posthuman Ethics | Posthuman Feminism | Posthumanism,5
Abraham Maslow,Psychology,Personality,A. Motivation & Job Design,Hierarchy of Needs | Hierarchy of Needs (Management) | Peak Experiences | Self-Actualization | Self-Transcendent Experiences,5
John Turner,MANAGEMENT,Social Psychology,A. Motivation & Job Design,In-Group/Out-Group Bias (Evolutionary) | Social Categorization Theory | Social Categorization Theory (HRM) | Social Identity Theory | Social Identity Theory (Management),5
Meir Statman,Economics,Behavioral Finance & Asset Markets,Investor Psychology & Biases,Behavioral Portfolio Theory | Confirmation Bias (Behavioral Finance) | Disposition Effect | Disposition Effect (Finance) | Investor Biases (Behavioral Finance),5
Geert Hofstede,MANAGEMENT,International Business & Cross-Cultural Management,A. Cross-Cultural Management,Cross-Cultural Management Theory | Cultural Dimensions Theory (Business) | Cultural Dimensions Theory (Hofstede) | Cultural Identity Theory | National Culture and OB Theory,5
John Thibaut,Psychology,Social Psychology,A. Identity & Intergroup,Comparison Level (Relationships) | Interdependence Theory | Outcome Interdependence | Procedural Justice Theory | Social Exchange Theory (Relationships),5
Louis Althusser,Critics,Marxist & Materialist,B. Althusserian & Ideology,Althusserian Marxism | Ideological State Apparatuses | Ideological State Apparatuses (ISAs) | Ideology | Interpellation,5
E.P. Thompson,History,Marxist & Social History,General Social Theories,History from Below | History of Class | History of Time (Concept) | Labor History | Moral Economy,5
Marc Bloch,History,Marxist & Social History,A. Annales & Longue Duree,Comparative History | Feudalism (Historical) | Mentalités | Rural History | Source Criticism,5
Hans-Georg Gadamer,Critics,Phenomenological & Hermeneutic,A. Hermeneutics,Gadamerian Hermeneutics | Hermeneutics | Hermeneutics (Historical) | Historicity | Philosophical Hermeneutics,5
Urie Bronfenbrenner,Family,"생태·정책·사회자본 가족이론 (Ecological, Policy & Social Capital)",A. 생태체계 (Ecological Systems),Chronosystem | Exosystem | Macrosystem | Microsystem (Developmental) | Social Ecological Model of Health,5
Viktor Frankl,Psychology,Psychoanalytic & Psychodynamic,A. Classical Psychoanalysis,Existential Psychology | Existential Therapy | Logotherapy | Meaning-Making Theory | Search for Meaning Theory,5
John Gottman,Psychology,Relationship & Interpersonal,C. Communication & Maintenance,Demand/Withdraw Pattern | Four Horsemen of the Apocalypse (Relationships) | Gottman's Sound Relationship House | Negative Reciprocity (Relationships) | Repair Attempts (Relationships),5
Peter Burke,History,Art History & Historiography,A. Iconology & Social History of Art,Cultural History of Art | History of Laughter | History of Popular Culture | Social History of Knowledge,4
Northrop Frye,Critics,Psychoanalytic & Psychological,A. Freudian & Lacanian,Archetypal Criticism | Archetypal Literary Criticism | Myth Criticism | Ritual and Literature,4
Claude Lévi-Strauss,ART,Anthropology & Sociology of Art,A. Anthropology of Art & Ritual,Anthropology of Art | Food and Culture Theory | Kinship Systems Theory | Structuralism,4
Maurice Halbwachs,History,Memory & Oral History,A. Collective & Cultural Memory,Art and Collective Memory Theory | Collective Memory | Collective Memory (Historical) | Social Frameworks of Memory,4
Geoffrey Miller,Nature,"Biological Bases of Language, Cognition & Aesthetics",C. Evolutionary Aesthetics & Art,Costly Signaling Theory (Culture) | Evolutionary Aesthetics | Evolutionary Theory of Art | Handicap Principle (Aesthetics),4
Irving L. Janis,MANAGEMENT,Organizational Behavior & Work Psychology,A. Motivation & Job Design,Group Polarization (Management) | Groupthink | Groupthink (Management) | Groupthink (Political),4
Henri Tajfel,MANAGEMENT,Organizational Behavior & Work Psychology,A. Motivation & Job Design,In-Group/Out-Group Bias (Evolutionary) | Social Categorization Theory (HRM) | Social Identity Theory | Social Identity Theory (Management),4
Michael Porter,MANAGEMENT,Strategic Management & Competitive Advantage,A. Competitive Positioning & Resources,Creating Shared Value (CSV) Theory | Five Forces Framework | Generic Strategies | Shared Value (CSV) Governance Theory,4
John Cacioppo,Psychology,Marketing & Consumer Behavior,A. Consumer Behavior & Decision Making,Elaboration Likelihood Model (ELM) | Elaboration Likelihood Model (Marketing) | Social Neuroscience | Social Neuroscience (General),4
B.F. Skinner,MANAGEMENT,Human Resource Management,A. Core HRM & Performance,Operant Conditioning | Reinforcement Schedule Theory (OB) | Reinforcement Theory (HRM) | Reinforcement and Punishment,4
R. Edward Freeman,MANAGEMENT,"Business Ethics, CSR & Governance",A. CSR Frameworks & Shared Value,Business Ethics Theory | Stakeholder Engagement Theory (CSR) | Stakeholder Theory | Stakeholder Theory (Corporate Governance),4
Walter Powell,MANAGEMENT,Organizational Theory & Design,A. Institutional & Agency Theory,Institutional Isomorphism | Institutional Isomorphism (Management) | Institutional Theory (Management) | Network Theory of Innovation,4
Jeremy Bentham,LAW,Jurisprudence & Legal Philosophy,B. Legal Positivism & Analytic Jurisprudence,Deterrence Theory (Criminal Law) | Legal Positivism | Utilitarian Theory of Property | Utilitarianism (Political Theory),4
Derald Wing Sue,LAW,Critical Legal Studies & Critical Race Theory,A. Critical Legal Studies (CLS) & Indeterminacy,Family Microaggressions | Microaggressions | Microaggressions (Legal) | Multicultural Counseling Theory,4
John Locke,Politics,Early Modern & Enlightenment Political Thought,A. Social Contract Theory,Consent of the Governed | Labor Theory of Property | Liberalism (Political Theory) | State of Nature,4
Howard S. Becker,Society,Specific Social Phenomena Theories,Cultural Sociology (Bourdieu),Art as Social System Theory | Cultural Production Theory | Labeling Theory | Social Construction of Pain Theory,4
Peter Conrad,Medicine,Medical Sociology,A. Core Theories & Medicalization,Deviance as Illness Theory | Medicalization | Medicalization Theory | Social Construction of Illness Theory,4
Wiebe Bijker,Society,Digital & Network Society,Science & Technology Studies (STS),Social Construction of Technology (SCOT in Cultural Studies) | Social Construction of Technology (SCOT) | Social Shaping of Technology (Historical) | Social Shaping of Technology (SST),4
Trevor Pinch,Society,Digital & Network Society,Science & Technology Studies (STS),Social Construction of Technology (SCOT in Cultural Studies) | Social Construction of Technology (SCOT) | Social Shaping of Technology (Historical) | Social Shaping of Technology (SST),4
Karl Polanyi,Politics,Political Economy & Comparative Politics,B. Political Economy (Advanced),Disembedding (Political Economy) | Fictitious Commodities | History of Markets | The Great Transformation,4
Max Horkheimer,Culture,Critical Theory & Frankfurt School,A. Culture Industry & Instrumental Reason,Culture Industry Theory | Frankfurt School (Political Theory) | Frankfurt School Aesthetics | Instrumental Reason (Culture),4
Paul Ricoeur,History,Phenomenological & Hermeneutic,A. Hermeneutics,Hermeneutics | Hermeneutics of Suspicion | History of Forgetting | Philosophy of Time,4
Hans Robert Jauss,Critics,Phenomenological & Hermeneutic,C. Reader-Response & Reception,Aesthetic of Reception | Horizon of Expectation | Reception History (Intellectual) | Reception Theory / Reader-Response Criticism,4
Hayden White,History,Philosophy of History,B. Analytic & Metahistory,Emplotment (Historical) | Historical Narrative | Metahistory | The Factual and the Fictional,4
Salvador Minuchin,Family,가족체계·사이버네틱스 이론 (Family Systems & Cybernetics),B. 의사소통·구조적 가족치료 (Communication & Structural Therapy),Boundaries | Disengagement | Enmeshment | Structural Family Therapy,4
John Bowlby,Family,애착·심리역동 가족이론 (Attachment & Psychodynamic),A. 애착·내적작동모델 (Attachment & Internal Working Models),Attachment Theory | Attachment Theory (Individual) | Environment of Evolutionary Adaptedness (EEA) | Internal Working Models,4
Hans Selye,Nature,Behavioral Endocrinology & Stress Biology,B. Stress & HPA Axis,Acute vs. Chronic Stress | General Adaptation Syndrome (Biological) | General Adaptation Syndrome (GAS) | HPA Axis Theory (Stress),4
Carl Rogers,Psychology,Personality,A. Classical Psychoanalysis,Ideal Self vs. Real Self | Person-Centered Therapy / Actualizing Tendency | Self-Actualization | Therapeutic Alliance Theory,4
Harold Kelley,Psychology,Social Psychology,A. Identity & Intergroup,Comparison Level (Relationships) | Interdependence Theory | Outcome Interdependence | Social Exchange Theory (Relationships),4
Richard Lazarus,Psychology,Health Psychology,A. Stress & Coping,Emotion-Focused Coping | Problem-Focused Coping | Stress and Coping Theory (Health) | Transactional Model of Stress and Coping,4
Susan Folkman,Psychology,Health Psychology,A. Stress & Coping,Emotion-Focused Coping | Problem-Focused Coping | Stress and Coping Theory (Health) | Transactional Model of Stress and Coping,4
Robert Trivers,Psychology,Evolutionary Psychology,A. Mating & Selection,Parental Investment Theory | Reciprocal Altruism | Reciprocal Altruism (Evolutionary Psychology) | Reciprocal Altruism Theory,4
Robert Cialdini,Psychology,Social Psychology,B. Attitudes & Persuasion,Door-in-the-Face Technique | Reciprocity Principle (Persuasion) | Social Norms and Environmental Behavior | Social Proof Principle (Persuasion),4
Jeffrey Gray,Psychology,Personality,B. Dynamic & Process Models,Behavioral Activation System (BAS) | Behavioral Inhibition System (BIS) | Biological Big Five Personality Theory | Reinforcement Sensitivity Theory (RST),4
Vittorio Gallese,Nature,Neurobiology & Neuroscience,A. Cognitive Science,Embodied Simulation | Embodied Simulation (Neuroscience) | Empathy-Mirroring Systems Theory | Mirror Neuron System Theory,4
Walter Mischel,Psychology,Personality,B. Dynamic & Process Models,Cognitive-Affective Personality System (CAPS) | Interactionism (Personality) | Neurobiology of Self-Control | Person-Situation Debate,4
Kenneth Burke,Critics,Rhetorical & Discourse,A. Rhetorical Criticism & Dramatism,Dramatism | Ideology (Rhetoric in Literary Criticism) | Ideology (Rhetoric) | Rhetorical Criticism,4
Franco Moretti,Critics,Digital & Media-Specific,A. Digital Humanities & Hypertext,Digital Humanities Criticism | Distant Reading | Network Theory | World Literature,4
Wayne C. Booth,Critics,Rhetorical & Discourse,B. Narrative Rhetoric & Ethics,Ethical Criticism | Implied Author Theory | Rhetorical Criticism | Unreliable Narration,4
Frans de Waal,Nature,Evolutionary Psychology & Adaptive Mind,"C. Cooperation, Morality & Group Living",Empathy-Based Morality (Neurobiological) | Evolved Morality Theory | Primate Social Behavior (Human Analogues) | Prosociality,4
Joseph LeDoux,Nature,Neurobiology & Neuroscience,B. Memory & Learning Neuroscience,Amygdala and Emotional Memory Theory | Amygdala and Fear Circuitry Theory | Fear Conditioning (Neurobiological) | Fear Extinction Learning (Neurobiological),4
Herbert Gintis,Economics,Institutional & Evolutionary Economics,Evolutionary Economics,Behavioral Ecology of Consumption | Co-evolution of Institutions and Preferences | Cultural Evolution in Economics | Endogenous Preferences,4
George Akerlof,Economics,Information & Contract Economics,Asymmetric Information,Adverse Selection (Behavioral Economics) | Fairness and Wage Setting | Information Asymmetry (Behavioral Impact) | Price Stickiness (Behavioral Economics),4
Robert J. Shiller,Economics,Behavioral Finance & Asset Markets,Investor Psychology & Biases,Behavioral Asset Pricing Theory | Behavioral Macroeconomics | Herd Behavior (Finance) | Speculative Bubbles (Behavioral),4
Esther Duflo,Economics,Development & Environmental Economics,Behavioral Development Economics,Behavioral Interventions for Development | Gender Biases in Development (Behavioral Economics) | Risk Preferences in Development (Behavioral) | Social Learning in Development (Behavioral Economics),4
Rita Charon,Medicine,Critical Medical Humanities,A. Narrative Medicine & Illness Narratives,Empathy in Medicine Theory | Illness Narratives in Literature Theory | Narrative Ethics | Narrative Medicine Theory,4
J.L. Austin,Critics,Performance Studies & Theatre,A. Performance Theory & Ritual,Performativity | Performativity (Performing Arts) | Speech Act Theory,3
Stephen Greenblatt,Critics,Historical & Cultural Materialist,A. New Historicism & Cultural Poetics,Cultural Poetics | New Historicism | New Historicism (Literature),3
Elaine Showalter,Critics,Identity-Based & Political,A. Feminist & Gender Criticism,Feminist Criticism | Feminist Literary Criticism | Gynocriticism,3
W.J.T. Mitchell,History,Visual Culture & Media Studies,A. Visual Culture & Spectacle,History of Landscape | History of Visual Culture | Visual Culture Theory,3
Linda Tuhiwai Smith,ART,"Race, Gender & Postcolonial Critique of Art",B. Postcolonial & Decolonial Art,Decolonizing Art Theory | Decolonizing Cultural Studies | Indigenous History,3
Henri Lefebvre,Culture,Architecture & the Built Environment,"B. Architecture, Society & Power",Architecture as Social Space Theory | Cultural Space Theory | Everyday Life Theory,3
Denis Dutton,Nature,"Biological Bases of Language, Cognition & Aesthetics",C. Evolutionary Aesthetics & Art,Evolutionary Aesthetics | Evolutionary Aesthetics (Human) | Evolutionary Theory of Art,3
Victor Vroom,MANAGEMENT,Organizational Behavior & Work Psychology,A. Motivation & Job Design,Expectancy Theory (HRM) | Expectancy Theory (Motivation) | Vroom-Yetton Contingency Model,3
J. Stacy Adams,MANAGEMENT,Organizational Behavior & Work Psychology,A. Motivation & Job Design,Equity Theory (HRM) | Equity Theory (Motivation) | Equity Theory (Relationships),3
Fred Fiedler,MANAGEMENT,Organizational Behavior & Work Psychology,A. Motivation & Job Design,Cognitive Resource Theory of Leadership | Contingency Theory of Leadership | Contingency Theory of Leadership (Fiedler),3
