list_slug,edition_year,film_title,film_year,result,rank,note,source
cannes-palme-dor,1982,Yol,1982,won,,shared,wikipedia-enum
cannes-palme-dor,1983,The Ballad of Narayama,1983,won,,,wikipedia-enum
cannes-palme-dor,1984,Paris Texas,1984,won,,,wikipedia-enum
cannes-palme-dor,1985,When Father Was Away on Business,1985,won,,,wikipedia-enum
cannes-palme-dor,1986,The Mission,1986,won,,,wikipedia-enum
cannes-palme-dor,1987,Under the Sun of Satan,1987,won,,,wikipedia-enum
cannes-palme-dor,1988,Pelle the Conqueror,1987,won,,,wikipedia-enum
cannes-palme-dor,1989,Sex Lies and Videotape,1989,won,,,wikipedia-enum
cannes-palme-dor,1990,Wild at Heart,1990,won,,,wikipedia-enum
cannes-palme-dor,1991,Barton Fink,1991,won,,,wikipedia-enum
cannes-palme-dor,1992,The Best Intentions,1992,won,,,wikipedia-enum
cannes-palme-dor,1993,Farewell My Concubine,1993,won,,shared,wikipedia-enum
cannes-palme-dor,1993,The Piano,1993,won,,shared,wikipedia-enum
cannes-palme-dor,1994,Pulp Fiction,1994,won,,,wikipedia-enum
cannes-palme-dor,1995,Underground,1995,won,,,wikipedia-enum
cannes-palme-dor,1996,Secrets & Lies,1996,won,,,wikipedia-enum
cannes-palme-dor,1997,The Eel,1997,won,,shared,wikipedia-enum
cannes-palme-dor,1997,Taste of Cherry,1997,won,,shared,wikipedia-enum
cannes-palme-dor,1998,Eternity and a Day,1998,won,,,wikipedia-enum
cannes-palme-dor,1999,Rosetta,1999,won,,,wikipedia-enum
cannes-palme-dor,2000,Dancer in the Dark,2000,won,,,wikipedia-enum
cannes-palme-dor,2001,The Son's Room,2001,won,,,wikipedia-enum
cannes-palme-dor,2002,The Pianist,2002,won,,,wikipedia-enum
cannes-palme-dor,2003,Elephant,2003,won,,,wikipedia-enum
cannes-palme-dor,2004,Fahrenheit 9/11,2004,won,,,wikipedia-enum
cannes-palme-dor,2005,L'Enfant,2005,won,,,wikipedia-enum
cannes-palme-dor,2006,The Wind That Shakes the Barley,2006,won,,,wikipedia-enum
cannes-palme-dor,2007,4 Months 3 Weeks and 2 Days,2007,won,,,wikipedia-enum
cannes-palme-dor,2008,The Class,2008,won,,,wikipedia-enum
cannes-palme-dor,2009,The White Ribbon,2009,won,,,wikipedia-enum
cannes-palme-dor,2010,Uncle Boonmee Who Can Recall His Past Lives,2010,won,,,wikipedia-enum
cannes-palme-dor,2011,The Tree of Life,2011,won,,,wikipedia-enum
cannes-palme-dor,2012,Amour,2012,won,,,wikipedia-enum
cannes-palme-dor,2013,Blue Is the Warmest Colour,2013,won,,,wikipedia-enum
cannes-palme-dor,2014,Winter Sleep,2014,won,,,wikipedia-enum
cannes-palme-dor,2015,Dheepan,2015,won,,,wikipedia-enum
cannes-palme-dor,2016,I Daniel Blake,2016,won,,,wikipedia-enum
cannes-palme-dor,2017,The Square,2017,won,,,wikipedia-enum
cannes-palme-dor,2018,Shoplifters,2018,won,,,wikipedia-enum
cannes-palme-dor,2019,Parasite,2019,won,,,wikipedia-enum
cannes-palme-dor,2021,Titane,2021,won,,,wikipedia-enum
cannes-palme-dor,2022,Triangle of Sadness,2022,won,,,wikipedia-enum
cannes-palme-dor,2023,Anatomy of a Fall,2023,won,,,wikipedia-enum
cannes-palme-dor,2024,Anora,2024,won,,,wikipedia-enum
cannes-palme-dor,2025,It Was Just an Accident,2025,won,,,wikipedia-enum
venice-golden-lion,1949,Manon,1949,won,,,wikipedia-enum
venice-golden-lion,1950,Justice Is Done,1950,won,,,wikipedia-enum
venice-golden-lion,1951,Rashomon,1950,won,,,wikipedia-enum
venice-golden-lion,1952,Forbidden Games,1952,won,,,wikipedia-enum
venice-golden-lion,1954,Romeo and Juliet,1954,won,,,wikipedia-enum
venice-golden-lion,1955,Ordet,1955,won,,,wikipedia-enum
venice-golden-lion,1957,Aparajito,1956,won,,,wikipedia-enum
venice-golden-lion,1958,The Rickshaw Man,1958,won,,,wikipedia-enum
venice-golden-lion,1959,The Great War,1959,won,,shared,wikipedia-enum
venice-golden-lion,1959,General Della Rovere,1959,won,,shared,wikipedia-enum
venice-golden-lion,1960,Le Passage du Rhin,1960,won,,,wikipedia-enum
venice-golden-lion,1961,Last Year at Marienbad,1961,won,,,wikipedia-enum
venice-golden-lion,1962,Childhood of Ivan,1962,won,,shared,wikipedia-enum
venice-golden-lion,1962,Family Diary,1962,won,,shared,wikipedia-enum
venice-golden-lion,1963,Hands over the City,1963,won,,,wikipedia-enum
venice-golden-lion,1964,Red Desert,1964,won,,,wikipedia-enum
venice-golden-lion,1965,Of a Thousand Delights,1965,won,,,wikipedia-enum
venice-golden-lion,1966,The Battle of Algiers,1966,won,,,wikipedia-enum
venice-golden-lion,1967,Belle de Jour,1967,won,,,wikipedia-enum
venice-golden-lion,1968,Artists Under the Big Top Perplexed,1968,won,,,wikipedia-enum
venice-golden-lion,1980,Atlantic City,1980,won,,shared,wikipedia-enum
venice-golden-lion,1980,Gloria,1980,won,,shared,wikipedia-enum
venice-golden-lion,1981,The German Sisters,1981,won,,,wikipedia-enum
venice-golden-lion,1982,The State of Things,1982,won,,,wikipedia-enum
venice-golden-lion,1983,Prénom Carmen,1983,won,,,wikipedia-enum
venice-golden-lion,1984,A Year of the Quiet Sun,1984,won,,,wikipedia-enum
venice-golden-lion,1985,Vagabond,1985,won,,,wikipedia-enum
venice-golden-lion,1986,The Green Ray,1986,won,,,wikipedia-enum
venice-golden-lion,1987,Au revoir les enfants,1987,won,,,wikipedia-enum
venice-golden-lion,1988,The Legend of the Holy Drinker,1988,won,,,wikipedia-enum
venice-golden-lion,1989,City of Sadness,1989,won,,,wikipedia-enum
venice-golden-lion,1990,Rosencrantz & Guildenstern Are Dead,1990,won,,,wikipedia-enum
venice-golden-lion,1991,Urga,1991,won,,,wikipedia-enum
venice-golden-lion,1992,The Story of Qiu Ju,1992,won,,,wikipedia-enum
venice-golden-lion,1993,Short Cuts,1993,won,,shared,wikipedia-enum
venice-golden-lion,1993,Three Colours Blue,1993,won,,shared,wikipedia-enum
venice-golden-lion,1994,Before the Rain,1994,won,,shared,wikipedia-enum
venice-golden-lion,1994,Vive L'Amour,1994,won,,shared,wikipedia-enum
venice-golden-lion,1995,Cyclo,1995,won,,,wikipedia-enum
venice-golden-lion,1996,Michael Collins,1996,won,,,wikipedia-enum
venice-golden-lion,1997,Hana-bi,1997,won,,,wikipedia-enum
venice-golden-lion,1998,The Way We Laughed,1998,won,,,wikipedia-enum
venice-golden-lion,1999,Not One Less,1999,won,,,wikipedia-enum
venice-golden-lion,2000,The Circle,2000,won,,,wikipedia-enum
venice-golden-lion,2001,Monsoon Wedding,2001,won,,,wikipedia-enum
venice-golden-lion,2002,The Magdalene Sisters,2002,won,,,wikipedia-enum
venice-golden-lion,2003,The Return,2003,won,,,wikipedia-enum
venice-golden-lion,2004,Vera Drake,2004,won,,,wikipedia-enum
venice-golden-lion,2005,Brokeback Mountain,2005,won,,,wikipedia-enum
venice-golden-lion,2006,Still Life,2006,won,,,wikipedia-enum
venice-golden-lion,2007,Lust Caution,2007,won,,,wikipedia-enum
venice-golden-lion,2008,The Wrestler,2008,won,,,wikipedia-enum
venice-golden-lion,2009,Lebanon,2009,won,,,wikipedia-enum
venice-golden-lion,2010,Somewhere,2010,won,,,wikipedia-enum
venice-golden-lion,2011,Faust,2011,won,,,wikipedia-enum
venice-golden-lion,2012,Pietà,2012,won,,,wikipedia-enum
venice-golden-lion,2013,Sacro GRA,2013,won,,,wikipedia-enum
venice-golden-lion,2014,A Pigeon Sat on a Branch Reflecting on Existence,2014,won,,,wikipedia-enum
venice-golden-lion,2015,From Afar,2015,won,,,wikipedia-enum
venice-golden-lion,2016,The Woman Who Left,2016,won,,,wikipedia-enum
venice-golden-lion,2017,The Shape of Water,2017,won,,,wikipedia-enum
venice-golden-lion,2018,Roma,2018,won,,,wikipedia-enum
venice-golden-lion,2019,Joker,2019,won,,,wikipedia-enum
venice-golden-lion,2020,Nomadland,2020,won,,,wikipedia-enum
venice-golden-lion,2021,Happening,2021,won,,,wikipedia-enum
venice-golden-lion,2022,All the Beauty and the Bloodshed,2022,won,,,wikipedia-enum
venice-golden-lion,2023,Poor Things,2023,won,,,wikipedia-enum
venice-golden-lion,2024,The Room Next Door,2024,won,,,wikipedia-enum
venice-golden-lion,2025,Father Mother Sister Brother,2025,won,,,wikipedia-enum
berlin-golden-bear,1951,Four in a Jeep,1951,won,,shared,wikipedia-enum
berlin-golden-bear,1951,Cinderella,1950,won,,shared,wikipedia-enum
berlin-golden-bear,1951,Justice Is Done,1950,won,,shared,wikipedia-enum
berlin-golden-bear,1951,The Wall,1949,won,,shared,wikipedia-enum
berlin-golden-bear,1951,Two Cents Worth of Hope,1952,won,,shared,wikipedia-enum
berlin-golden-bear,1952,She Danced for the Summer,1951,won,,,wikipedia-enum
berlin-golden-bear,1953,The Wages of Fear,1953,won,,,wikipedia-enum
berlin-golden-bear,1954,Hobson's Choice,1954,won,,,wikipedia-enum
berlin-golden-bear,1955,The Rats,1955,won,,,wikipedia-enum
berlin-golden-bear,1956,Invitation to the Dance,1956,won,,,wikipedia-enum
berlin-golden-bear,1957,Twelve Angry Men,1957,won,,,wikipedia-enum
berlin-golden-bear,1958,Wild Strawberries,1957,won,,,wikipedia-enum
berlin-golden-bear,1959,The Cousins,1959,won,,,wikipedia-enum
berlin-golden-bear,1960,El Lazarillo de Tormes,1959,won,,,wikipedia-enum
berlin-golden-bear,1961,La Notte,1961,won,,,wikipedia-enum
berlin-golden-bear,1962,A Kind of Loving,1962,won,,,wikipedia-enum
berlin-golden-bear,1963,The Devil,1963,won,,shared,wikipedia-enum
berlin-golden-bear,1963,Il Diavolo,1963,won,,shared,wikipedia-enum
berlin-golden-bear,1964,Dry Summer,1963,won,,,wikipedia-enum
berlin-golden-bear,1965,Alphaville,1965,won,,,wikipedia-enum
berlin-golden-bear,1966,Cul-de-sac,1966,won,,,wikipedia-enum
berlin-golden-bear,1967,The Departure,1967,won,,,wikipedia-enum
berlin-golden-bear,1968,Ole Dole Doff,1968,won,,,wikipedia-enum
berlin-golden-bear,1969,Early Works,1969,won,,,wikipedia-enum
berlin-golden-bear,1971,The Garden of the Finzi-Continis,1970,won,,,wikipedia-enum
berlin-golden-bear,1972,The Canterbury Tales,1972,won,,,wikipedia-enum
berlin-golden-bear,1973,Distant Thunder,1973,won,,,wikipedia-enum
berlin-golden-bear,1974,The Apprenticeship of Duddy Kravitz,1974,won,,,wikipedia-enum
berlin-golden-bear,1975,Adoption,1975,won,,,wikipedia-enum
berlin-golden-bear,1976,Buffalo Bill and the Indians,1976,won,,,wikipedia-enum
berlin-golden-bear,1977,The Ascent,1977,won,,,wikipedia-enum
berlin-golden-bear,1978,The Words of Max,1978,won,,shared,wikipedia-enum
berlin-golden-bear,1978,Trout,1978,won,,shared,wikipedia-enum
berlin-golden-bear,1979,David,1979,won,,,wikipedia-enum
berlin-golden-bear,1980,Heartland,1979,won,,shared,wikipedia-enum
berlin-golden-bear,1980,Palermo or Wolfsburg,1980,won,,shared,wikipedia-enum
berlin-golden-bear,1981,Fast Fast,1981,won,,,wikipedia-enum
berlin-golden-bear,1982,Veronika Voss,1982,won,,,wikipedia-enum
berlin-golden-bear,1983,Ascendancy,1983,won,,shared,wikipedia-enum
berlin-golden-bear,1983,The Beehive,1982,won,,shared,wikipedia-enum
berlin-golden-bear,1984,Love Streams,1984,won,,,wikipedia-enum
berlin-golden-bear,1985,Wetherby,1985,won,,shared,wikipedia-enum
berlin-golden-bear,1985,The Woman and the Stranger,1985,won,,shared,wikipedia-enum
berlin-golden-bear,1986,Stammheim,1986,won,,,wikipedia-enum
berlin-golden-bear,1987,The Theme,1979,won,,,wikipedia-enum
berlin-golden-bear,1988,Red Sorghum,1987,won,,,wikipedia-enum
berlin-golden-bear,1989,Rain Man,1988,won,,,wikipedia-enum
berlin-golden-bear,1990,Larks on a String,1969,won,,shared,wikipedia-enum
berlin-golden-bear,1990,Music Box,1989,won,,shared,wikipedia-enum
berlin-golden-bear,1991,House of Smiles,1991,won,,,wikipedia-enum
berlin-golden-bear,1992,Grand Canyon,1991,won,,,wikipedia-enum
berlin-golden-bear,1993,The Wedding Banquet,1993,won,,shared,wikipedia-enum
berlin-golden-bear,1993,The Women from the Lake of Scented Souls,1993,won,,shared,wikipedia-enum
berlin-golden-bear,1994,In the Name of the Father,1993,won,,,wikipedia-enum
berlin-golden-bear,1995,The Bait,1995,won,,,wikipedia-enum
berlin-golden-bear,1996,Sense and Sensibility,1995,won,,,wikipedia-enum
berlin-golden-bear,1997,The People vs. Larry Flynt,1996,won,,,wikipedia-enum
berlin-golden-bear,1998,Central Station,1998,won,,,wikipedia-enum
berlin-golden-bear,1999,The Thin Red Line,1998,won,,,wikipedia-enum
berlin-golden-bear,2000,Magnolia,1999,won,,,wikipedia-enum
berlin-golden-bear,2001,Intimacy,2001,won,,,wikipedia-enum
berlin-golden-bear,2002,Spirited Away,2001,won,,shared,wikipedia-enum
berlin-golden-bear,2002,Bloody Sunday,2002,won,,shared,wikipedia-enum
berlin-golden-bear,2003,In This World,2002,won,,,wikipedia-enum
berlin-golden-bear,2004,Head-On,2004,won,,,wikipedia-enum
berlin-golden-bear,2005,U-Carmen eKhayelitsha,2005,won,,,wikipedia-enum
berlin-golden-bear,2006,Grbavica,2006,won,,,wikipedia-enum
berlin-golden-bear,2007,Tuya's Marriage,2006,won,,,wikipedia-enum
berlin-golden-bear,2008,Elite Squad,2007,won,,,wikipedia-enum
berlin-golden-bear,2009,The Milk of Sorrow,2009,won,,,wikipedia-enum
berlin-golden-bear,2010,Honey,2010,won,,,wikipedia-enum
berlin-golden-bear,2011,A Separation,2011,won,,,wikipedia-enum
berlin-golden-bear,2012,Caesar Must Die,2012,won,,,wikipedia-enum
berlin-golden-bear,2013,Child's Pose,2013,won,,,wikipedia-enum
berlin-golden-bear,2014,Black Coal Thin Ice,2014,won,,,wikipedia-enum
berlin-golden-bear,2015,Taxi,2015,won,,,wikipedia-enum
berlin-golden-bear,2016,Fire at Sea,2016,won,,,wikipedia-enum
berlin-golden-bear,2017,On Body and Soul,2017,won,,,wikipedia-enum
berlin-golden-bear,2018,Touch Me Not,2018,won,,,wikipedia-enum
berlin-golden-bear,2019,Synonyms,2019,won,,,wikipedia-enum
berlin-golden-bear,2020,There Is No Evil,2020,won,,,wikipedia-enum
berlin-golden-bear,2021,Bad Luck Banging or Loony Porn,2021,won,,,wikipedia-enum
berlin-golden-bear,2022,Alcarràs,2022,won,,,wikipedia-enum
berlin-golden-bear,2023,On the Adamant,2023,won,,,wikipedia-enum
berlin-golden-bear,2024,Dahomey,2024,won,,,wikipedia-enum
berlin-golden-bear,2025,Dreams,2025,won,,,wikipedia-enum
afi-100,2007,Citizen Kane,1941,listed,1,,wikipedia-enum
afi-100,2007,The Godfather,1972,listed,2,,wikipedia-enum
afi-100,2007,Casablanca,1942,listed,3,,wikipedia-enum
afi-100,2007,Raging Bull,1980,listed,4,,wikipedia-enum
afi-100,2007,Singin' in the Rain,1952,listed,5,,wikipedia-enum
afi-100,2007,Gone with the Wind,1939,listed,6,,wikipedia-enum
afi-100,2007,Lawrence of Arabia,1962,listed,7,,wikipedia-enum
afi-100,2007,Schindler's List,1993,listed,8,,wikipedia-enum
afi-100,2007,Vertigo,1958,listed,9,,wikipedia-enum
afi-100,2007,The Wizard of Oz,1939,listed,10,,wikipedia-enum
afi-100,2007,City Lights,1931,listed,11,,wikipedia-enum
afi-100,2007,The Searchers,1956,listed,12,,wikipedia-enum
afi-100,2007,Star Wars,1977,listed,13,,wikipedia-enum
afi-100,2007,Psycho,1960,listed,14,,wikipedia-enum
afi-100,2007,2001: A Space Odyssey,1968,listed,15,,wikipedia-enum
afi-100,2007,Sunset Boulevard,1950,listed,16,,wikipedia-enum
afi-100,2007,The Graduate,1967,listed,17,,wikipedia-enum
afi-100,2007,The General,1926,listed,18,,wikipedia-enum
afi-100,2007,On the Waterfront,1954,listed,19,,wikipedia-enum
afi-100,2007,It's a Wonderful Life,1946,listed,20,,wikipedia-enum
afi-100,2007,Chinatown,1974,listed,21,,wikipedia-enum
afi-100,2007,Some Like It Hot,1959,listed,22,,wikipedia-enum
afi-100,2007,The Grapes of Wrath,1940,listed,23,,wikipedia-enum
afi-100,2007,E.T. the Extra-Terrestrial,1982,listed,24,,wikipedia-enum
afi-100,2007,To Kill a Mockingbird,1962,listed,25,,wikipedia-enum
afi-100,2007,Mr. Smith Goes to Washington,1939,listed,26,,wikipedia-enum
afi-100,2007,High Noon,1952,listed,27,,wikipedia-enum
afi-100,2007,All About Eve,1950,listed,28,,wikipedia-enum
afi-100,2007,Double Indemnity,1944,listed,29,,wikipedia-enum
afi-100,2007,Apocalypse Now,1979,listed,30,,wikipedia-enum
afi-100,2007,The Maltese Falcon,1941,listed,31,,wikipedia-enum
afi-100,2007,The Godfather Part II,1974,listed,32,,wikipedia-enum
afi-100,2007,One Flew Over the Cuckoo's Nest,1975,listed,33,,wikipedia-enum
afi-100,2007,Snow White and the Seven Dwarfs,1937,listed,34,,wikipedia-enum
afi-100,2007,Annie Hall,1977,listed,35,,wikipedia-enum
afi-100,2007,The Bridge on the River Kwai,1957,listed,36,,wikipedia-enum
afi-100,2007,The Best Years of Our Lives,1946,listed,37,,wikipedia-enum
afi-100,2007,The Treasure of the Sierra Madre,1948,listed,38,,wikipedia-enum
afi-100,2007,Dr. Strangelove,1964,listed,39,,wikipedia-enum
afi-100,2007,The Sound of Music,1965,listed,40,,wikipedia-enum
afi-100,2007,King Kong,1933,listed,41,,wikipedia-enum
afi-100,2007,Bonnie and Clyde,1967,listed,42,,wikipedia-enum
afi-100,2007,Midnight Cowboy,1969,listed,43,,wikipedia-enum
afi-100,2007,The Philadelphia Story,1940,listed,44,,wikipedia-enum
afi-100,2007,Shane,1953,listed,45,,wikipedia-enum
afi-100,2007,It Happened One Night,1934,listed,46,,wikipedia-enum
afi-100,2007,A Streetcar Named Desire,1951,listed,47,,wikipedia-enum
afi-100,2007,Rear Window,1954,listed,48,,wikipedia-enum
afi-100,2007,Intolerance,1916,listed,49,,wikipedia-enum
afi-100,2007,The Lord of the Rings: The Fellowship of the Ring,2001,listed,50,,wikipedia-enum
afi-100,2007,West Side Story,1961,listed,51,,wikipedia-enum
afi-100,2007,Taxi Driver,1976,listed,52,,wikipedia-enum
afi-100,2007,The Deer Hunter,1978,listed,53,,wikipedia-enum
afi-100,2007,M*A*S*H,1970,listed,54,,wikipedia-enum
afi-100,2007,North by Northwest,1959,listed,55,,wikipedia-enum
afi-100,2007,Jaws,1975,listed,56,,wikipedia-enum
afi-100,2007,Rocky,1976,listed,57,,wikipedia-enum
afi-100,2007,The Gold Rush,1925,listed,58,,wikipedia-enum
afi-100,2007,Nashville,1975,listed,59,,wikipedia-enum
afi-100,2007,Duck Soup,1933,listed,60,,wikipedia-enum
afi-100,2007,Sullivan's Travels,1941,listed,61,,wikipedia-enum
afi-100,2007,American Graffiti,1973,listed,62,,wikipedia-enum
afi-100,2007,Cabaret,1972,listed,63,,wikipedia-enum
afi-100,2007,Network,1976,listed,64,,wikipedia-enum
afi-100,2007,The African Queen,1951,listed,65,,wikipedia-enum
afi-100,2007,Raiders of the Lost Ark,1981,listed,66,,wikipedia-enum
afi-100,2007,Who's Afraid of Virginia Woolf?,1966,listed,67,,wikipedia-enum
afi-100,2007,Unforgiven,1992,listed,68,,wikipedia-enum
afi-100,2007,Tootsie,1982,listed,69,,wikipedia-enum
afi-100,2007,A Clockwork Orange,1971,listed,70,,wikipedia-enum
afi-100,2007,Saving Private Ryan,1998,listed,71,,wikipedia-enum
afi-100,2007,The Shawshank Redemption,1994,listed,72,,wikipedia-enum
afi-100,2007,Butch Cassidy and the Sundance Kid,1969,listed,73,,wikipedia-enum
afi-100,2007,The Silence of the Lambs,1991,listed,74,,wikipedia-enum
afi-100,2007,In the Heat of the Night,1967,listed,75,,wikipedia-enum
afi-100,2007,Forrest Gump,1994,listed,76,,wikipedia-enum
afi-100,2007,All the President's Men,1976,listed,77,,wikipedia-enum
afi-100,2007,Modern Times,1936,listed,78,,wikipedia-enum
afi-100,2007,The Wild Bunch,1969,listed,79,,wikipedia-enum
afi-100,2007,The Apartment,1960,listed,80,,wikipedia-enum
afi-100,2007,Spartacus,1960,listed,81,,wikipedia-enum
afi-100,2007,Sunrise: A Song of Two Humans,1927,listed,82,,wikipedia-enum
afi-100,2007,Titanic,1997,listed,83,,wikipedia-enum
afi-100,2007,Easy Rider,1969,listed,84,,wikipedia-enum
afi-100,2007,A Night at the Opera,1935,listed,85,,wikipedia-enum
afi-100,2007,Platoon,1986,listed,86,,wikipedia-enum
afi-100,2007,12 Angry Men,1957,listed,87,,wikipedia-enum
afi-100,2007,Bringing Up Baby,1938,listed,88,,wikipedia-enum
afi-100,2007,The Sixth Sense,1999,listed,89,,wikipedia-enum
afi-100,2007,Swing Time,1936,listed,90,,wikipedia-enum
afi-100,2007,Sophie's Choice,1982,listed,91,,wikipedia-enum
afi-100,2007,Goodfellas,1990,listed,92,,wikipedia-enum
afi-100,2007,The French Connection,1971,listed,93,,wikipedia-enum
afi-100,2007,Pulp Fiction,1994,listed,94,,wikipedia-enum
afi-100,2007,The Last Picture Show,1971,listed,95,,wikipedia-enum
afi-100,2007,Do the Right Thing,1989,listed,96,,wikipedia-enum
afi-100,2007,Blade Runner,1982,listed,97,,wikipedia-enum
afi-100,2007,Yankee Doodle Dandy,1942,listed,98,,wikipedia-enum
afi-100,2007,Toy Story,1995,listed,99,,wikipedia-enum
afi-100,2007,Ben-Hur,1959,listed,100,,wikipedia-enum
oscar-best-picture,1928,Wings,1927,won,,,wikipedia-enum
oscar-best-picture,1930,The Broadway Melody,1929,won,,,wikipedia-enum
oscar-best-picture,1930,All Quiet on the Western Front,1930,won,,,wikipedia-enum
oscar-best-picture,1931,Cimarron,1931,won,,,wikipedia-enum
oscar-best-picture,1932,Grand Hotel,1932,won,,,wikipedia-enum
oscar-best-picture,1933,Cavalcade,1933,won,,,wikipedia-enum
oscar-best-picture,1935,It Happened One Night,1934,won,,,wikipedia-enum
oscar-best-picture,1936,Mutiny on the Bounty,1935,won,,,wikipedia-enum
oscar-best-picture,1937,The Great Ziegfeld,1936,won,,,wikipedia-enum
oscar-best-picture,1938,The Life of Emile Zola,1937,won,,,wikipedia-enum
oscar-best-picture,1939,You Can't Take It with You,1938,won,,,wikipedia-enum
oscar-best-picture,1940,Gone with the Wind,1939,won,,,wikipedia-enum
oscar-best-picture,1941,Rebecca,1940,won,,,wikipedia-enum
oscar-best-picture,1942,How Green Was My Valley,1941,won,,,wikipedia-enum
oscar-best-picture,1943,Mrs. Miniver,1942,won,,,wikipedia-enum
oscar-best-picture,1944,Casablanca,1943,won,,,wikipedia-enum
oscar-best-picture,1945,Going My Way,1944,won,,,wikipedia-enum
oscar-best-picture,1946,The Lost Weekend,1945,won,,,wikipedia-enum
oscar-best-picture,1947,The Best Years of Our Lives,1946,won,,,wikipedia-enum
oscar-best-picture,1948,Gentleman's Agreement,1947,won,,,wikipedia-enum
oscar-best-picture,1949,Hamlet,1948,won,,,wikipedia-enum
oscar-best-picture,1950,All the King's Men,1949,won,,,wikipedia-enum
