Part,RomanHead,TrueMajor,TrueSub,Theory Title,Theorist,Major Category
ART,III,III. Performance Studies,A. Performativity & Identity,Social Performance Theory,Erving Goffman,III. Performance Studies & A. Performativity & Identity
ART,III,III. Performance Studies,B. Ritual & Theater,Ritual Theory (Performing Arts),"Victor Turner, Richard Schechner",III. Performance Studies & B. Ritual & Theater
ART,III,III. Performance Studies,B. Ritual & Theater,Brechtian Alienation Effect (Verfremdungseffekt),Bertolt Brecht,III. Performance Studies & B. Ritual & Theater
ART,III,III. Performance Studies,B. Ritual & Theater,Theatre of the Oppressed,Augusto Boal,III. Performance Studies & B. Ritual & Theater
ART,III,III. Performance Studies,C. Embodiment & Spectatorship,Embodiment Theory (Performance),"Judith Butler, Susan Foster",III. Performance Studies & C. Embodiment & Spectatorship
ART,III,III. Performance Studies,C. Embodiment & Spectatorship,Affect Theory (Performance),Brian Massumi,III. Performance Studies & C. Embodiment & Spectatorship
ART,IV,IV. Music & Society,A. Music & Social Identity,Music and Identity Theory,"Simon Frith, Tia DeNora",IV. Music & Society
ART,IV,IV. Music,A. Music & Social Identity,Subcultural Theory (Music),Dick Hebdige (applied to music),IV. Music & A. Music & Social Identity
ART,IV,IV. Music,B. Music & Politics,Political Economy of Music,David Hesmondhalgh,IV. Music & B. Music & Politics
ART,IV,IV. Music,B. Music & Politics,Music and Power Theory,Jacques Attali,IV. Music & B. Music & Politics
ART,IV,IV. Music,C. Music & Emotion/Cognition,Cognitive Musicology,"Diana Deutsch, Fred Lerdahl",IV. Music & C. Music & Emotion/Cognition
ART,IV,IV. Music,C. Music & Emotion/Cognition,Theory of Musical Affect,"Leonard B. Meyer, Stephen Davies",IV. Music & C. Music & Emotion/Cognition
ART,V,V. Literature & Society (Literary Theory),A. Social & Historical Context,New Historicism (Literature),Stephen Greenblatt,V. Literature & Society (Literary Theory)
ART,V,V. Literature,A. Social & Historical Context,Cultural Materialism (Literature),Raymond Williams,V. Literature & A. Social & Historical Context
ART,V,V. Literature,B. Identity & Representation,Feminist Literary Criticism,"Elaine Showalter, Sandra Gilbert",V. Literature & B. Identity & Representation
ART,V,V. Literature,B. Identity & Representation,Queer Literary Theory,"Judith Butler, Eve Kosofsky Sedgwick",V. Literature & B. Identity & Representation
ART,V,V. Literature,B. Identity & Representation,Postcolonial Literary Theory,"Edward Said, Homi K. Bhabha",V. Literature & B. Identity & Representation
ART,V,V. Literature,C. Narrative & Psychology,Psychoanalytic Literary Criticism,"Sigmund Freud (applied to literature), Jacques Lacan",V. Literature & C. Narrative & Psychology
ART,V,V. Literature,C. Narrative & Psychology,Archetypal Literary Criticism,"Carl Jung (applied to literature), Northrop Frye",V. Literature & C. Narrative & Psychology
ART,VI,VI. Sports & Physical Culture,A. Sport & Society,Sociology of Sport,"Harry Edwards, Jay Coakley",VI. Sports & Physical Culture
ART,VI,VI. Sports,A. Sport & Society,Sport and Nationalism Theory,N/A (Common critical concept),VI. Sports & A. Sport & Society
ART,VI,VI. Sports,A. Sport & Society,Commodification of Sport,Richard Gruneau,VI. Sports & A. Sport & Society
ART,VI,VI. Sports,B. Body & Performance,Sociology of the Body (Sport),Shilling,VI. Sports & B. Body & Performance
ART,VI,VI. Sports,B. Body & Performance,Performance Enhancement (Ethics/Sociology),N/A (Ethical/sociological debate),VI. Sports & B. Body & Performance
ART,VI,VI. Sports,C. Fan Culture,Fan Culture Theory (Sport),Pierre Bourdieu (applied to fans),VI. Sports & C. Fan Culture
ART,VII,VII. Cultural Studies of Art & Media (Applied),A. Visual Culture Studies,Visual Culture Theory (Art),"W.J.T. Mitchell, Nicholas Mirzoeff",VII. Cultural Studies of Art & Media (Applied)
ART,VII,VII. Cultural Studies of Art & Media (Applied),A. Visual Culture Studies,Spectacle (Art/Media),Guy Debord (Situationists),VII. Cultural Studies of Art & Media (Applied)
ART,VII,VII. Cultural Studies of Art & Media (Applied),B. Media Ecology (Art),Media Ecology Theory (Art/Media),Marshall McLuhan,VII. Cultural Studies of Art & Media (Applied)
ART,VII,VII. Cultural Studies of Art & Media (Applied),C. Digital Arts & Culture,Digital Art Theory,Lev Manovich,VII. Cultural Studies of Art & Media (Applied)
ART,VII,VII. Cultural Studies of Art & Media (Applied),C. Digital Arts & Culture,New Media Art Theory,Christiane Paul,VII. Cultural Studies of Art & Media (Applied)
ART,VIII,VIII. Anthropology of Art & Culture,A. Art & Social Function,Anthropology of Art,"Franz Boas, Claude Lévi-Strauss",VIII. Anthropology of Art & Culture
ART,VIII,VIII. Anthropology of Art,A. Art & Social Function,Art and Ritual (Anthropological),Alfred Gell,VIII. Anthropology of Art & A. Art & Social Function
ART,VIII,VIII. Anthropology of Art,B. Cultural Production,Cultural Production Theory (Art),Raymond Williams,VIII. Anthropology of Art & B. Cultural Production
ART,IX,IX. Posthumanism & Environmental Arts,A. Ecocriticism (Arts),Ecocriticism (Arts),N/A (Interdisciplinary field),IX. Posthumanism & Environmental Arts
ART,IX,IX. Posthumanism,A. Ecocriticism (Arts),Art and Anthropocene Theory,Donna Haraway (related to concept),IX. Posthumanism & A. Ecocriticism (Arts)
ART,IX,IX. Posthumanism,B. Posthuman Art,Posthuman Art Theory,Rosi Braidotti,IX. Posthumanism & B. Posthuman Art
ART,IX,IX. Posthumanism,B. Posthuman Art,Bio Art Theory,Eduardo Kac,IX. Posthumanism & B. Posthuman Art
ART,X,X. Critical Race & Postcolonial Approaches to Art,A. Decolonizing Art,Decolonizing Art Theory,Linda Tuhiwai Smith,X. Critical Race & Postcolonial Approaches to Art
ART,X,X. Critical Race,A. Decolonizing Art,Postcolonial Art Theory,N/A (Applied field),X. Critical Race & A. Decolonizing Art
ART,X,X. Critical Race,B. Race & Representation,Race and Representation in Art Theory,Stuart Hall,X. Critical Race & B. Race & Representation
ART,XI,XI. Feminist & Queer Approaches to Art,A. Feminist Art Criticism,Feminist Art Criticism,"Linda Nochlin, Griselda Pollock",XI. Feminist & Queer Approaches to Art
ART,XI,XI. Feminist,B. Queer Art Theory,Queer Art Theory,N/A (Applied field),XI. Feminist & B. Queer Art Theory
ART,XII,XII. Cultural Production & Institutions,A. Art Market Theory,Art Market Theory,Raymonde Moulin,XII. Cultural Production & Institutions
ART,XII,XII. Cultural Production,A. Art Market Theory,Cultural Industries Theory (Arts),David Hesmondhalgh,XII. Cultural Production & A. Art Market Theory
ART,XII,XII. Cultural Production,B. Cultural Policy,Cultural Policy Theory (Arts),N/A (Policy field),XII. Cultural Production & B. Cultural Policy
ART,XIII,XIII. Art & Psychology (Applied),A. Art Therapy Theory,Art Therapy Theory,"Adrian Hill, Margaret Naumburg",XIII. Art & Psychology (Applied)
ART,XIII,XIII. Art & Psychology (Applied),A. Art Therapy Theory,Psychology of Aesthetics,"Gustav Fechner (early), Daniel Berlyne",XIII. Art & Psychology (Applied)
ART,XIV,XIV. Art & Memory,A. Art & Collective Memory,Art and Collective Memory Theory,Maurice Halbwachs (applied to art),XIV. Art & Memory
ART,XIV,XIV. Art & Memory,A. Art & Collective Memory,Trauma and Art Theory,Cathy Caruth (applied to art),XIV. Art & Memory
ART,XV,XV. Performance Art & Body,A. Body Art Theory,Body Art Theory,"N/A (Art movement, theorized)",XV. Performance Art & Body
ART,XV,XV. Performance Art & Body,A. Body Art Theory,Performance as Research,N/A (Methodological concept),XV. Performance Art & Body
ART,XVI,XVI. Public Art & Urban Space,A. Public Art Theory,Public Art Theory,"Rosalyn Deutsche, Miwon Kwon",XVI. Public Art & Urban Space
ART,XVI,XVI. Public Art,A. Public Art Theory,Street Art Theory,"N/A (Art movement, theorized)",XVI. Public Art & A. Public Art Theory
ART,XVII,XVII. Photography & Society,A. Theory of Photography,Theory of Photography,"Roland Barthes (Camera Lucida), Susan Sontag (On Photography)",XVII. Photography & Society
ART,XVII,XVII. Photography,A. Theory of Photography,Photographic Gaze Theory,Laura Mulvey (applied to photography),XVII. Photography & A. Theory of Photography
ART,XVIII,XVIII. Digital Arts & Interactive Media,A. Interactive Art Theory,Interactive Art Theory,Roy Ascott,XVIII. Digital Arts & Interactive Media
ART,XVIII,XVIII. Digital Arts,A. Interactive Art Theory,Algorithmic Art Theory,Philip Galanter,XVIII. Digital Arts & A. Interactive Art Theory
ART,XIX,XIX. Dance Studies & Embodiment,A. Dance & Society,Sociology of Dance,Joann Kealiinohomoku,XIX. Dance Studies & Embodiment
ART,XIX,XIX. Dance Studies,A. Dance & Society,Embodiment in Dance Theory,Susan Foster,XIX. Dance Studies & A. Dance & Society
ART,XX,XX. Architecture & Society,A. Architecture as Social Space,Architecture as Social Space Theory,"Henri Lefebvre, Michel Foucault (heterotopias)",XX. Architecture & Society
ART,XX,XX. Architecture,A. Architecture as Social Space,Genius Loci (Spirit of Place),Christian Norberg-Schulz,XX. Architecture & A. Architecture as Social Space
ART,XXI,XXI. Fashion & Culture,A. Fashion Theory,Fashion Theory,"Georg Simmel, Roland Barthes, Fred Davis",XXI. Fashion & Culture
ART,XXI,XXI. Fashion,A. Fashion Theory,Dress & Identity Theory,Joanne Entwistle,XXI. Fashion & A. Fashion Theory
ART,XXII,XXII. Digital Humanities (Arts Focus),A. Digital Art History,Digital Art History,N/A (Emerging field),XXII. Digital Humanities (Arts Focus)
ART,XXII,XXII. Digital Humanities (Arts Focus),A. Digital Art History,Digital Musicology,N/A (Emerging field),XXII. Digital Humanities (Arts Focus)
ART,XXIII,XXIII. Critical Pedagogy in Arts Education,A. Critical Arts Education,Critical Arts Education Theory,Paolo Freire (applied to arts education),XXIII. Critical Pedagogy in Arts Education
ART,XXIV,XXIV. Art and Trauma,A. Art as Witness,Art as Witness Theory,James E. Young,XXIV. Art and Trauma
ART,XXV,XXV. Philosophy of Music,A. Music and Emotion,Music and Emotion Theory,"Eduard Hanslick, Susanne Langer",XXV. Philosophy of Music
ART,XXVI,XXVI. Sociology of Music,A. Music and Social Class,Music and Social Class Theory,Pierre Bourdieu,XXVI. Sociology of Music
ART,XXVII,XXVII. History of Performance Art,A. Performance Art Theory,Performance Art Theory,RoseLee Goldberg,XXVII. History of Performance Art
ART,XXVIII,XXVIII. Art and Human Rights,A. Art as Human Rights Advocacy,Art as Human Rights Advocacy Theory,N/A (Applied field),XXVIII. Art and Human Rights
ART,XXIX,XXIX. Sports (Body & Health),A. Biomechanics of Sport,Biomechanics of Sport Theory,N/A (Scientific field),XXIX. Sports (Body & Health)
ART,XXIX,XXIX. Sports (Body & Health),A. Biomechanics of Sport,Sports Psychology,"Bruce Ogilvie, Thomas Tutko",XXIX. Sports (Body & Health)
ART,XXX,XXX. Aesthetics of the Everyday,A. Everyday Aesthetics,Everyday Aesthetics Theory,Yuriko Saito,XXX. Aesthetics of the Everyday
ART,XXXI,XXXI. Art and Ecology (Deep Dive),A. Eco-Art Theory,Eco-Art Theory,Lucy R. Lippard,XXXI. Art and Ecology (Deep Dive)
ART,XXXII,XXXII. Digital Art History (Advanced),A. Computational Art History,Computational Art History Theory,N/A (Emerging field),XXXII. Digital Art History (Advanced)
ART,XXXIII,XXXIII. Music and Politics (Advanced),A. Music as Propaganda,Music as Propaganda Theory,N/A (Common critical concept),XXXIII. Music and Politics (Advanced)
ART,XXXIV,XXXIV. Sports (Gender & Race),A. Gender and Sport Theory,Gender and Sport Theory,Nancy Theberge,XXXIV. Sports (Gender & Race)
ART,XXXIV,XXXIV. Sports (Gender & Race),A. Gender and Sport Theory,Race and Sport Theory,Richard Lapchick,XXXIV. Sports (Gender & Race)
ART,XXXV,XXXV. Art and Technology (Interaction),A. Human-Computer Interaction (HCI) in Art,Human-Computer Interaction (HCI) in Art Theory,Bill Verplank,XXXV. Art and Technology (Interaction)
ART,XXXVI,XXXVI. Architecture (Sociology),A. Sociology of Architecture,Sociology of Architecture,Pierre Bourdieu (related to space),XXXVI. Architecture (Sociology)
ART,XXXVII,XXXVII. Fashion (Social Psychology),A. Social Psychology of Fashion,Social Psychology of Fashion Theory,N/A (Applied field),XXXVII. Fashion (Social Psychology)
ART,XXXVIII,XXXVIII. Public Art (Engagement),A. Relational Aesthetics,Relational Aesthetics Theory,Nicolas Bourriaud,XXXVIII. Public Art (Engagement)
ART,XXXIX,XXXIX. Museum Studies (Cultural),A. Museology Theory,Museology Theory,Eilean Hooper-Greenhill,XXXIX. Museum Studies (Cultural)
ART,XL,XL. Conservation Ethics (Art),A. Conservation Ethics Theory,Conservation Ethics Theory (Art),Cesare Brandi,XL. Conservation Ethics (Art)
ART,XLI,XLI. Dance (Politics),A. Dance and Politics Theory,Dance and Politics Theory,André Lepecki,XLI. Dance (Politics)
ART,XLII,XLII. Visual Culture (Advanced),A. Spectatorship Theory (Visual Culture),Spectatorship Theory (Visual Culture),"Laura Mulvey, Christian Metz",XLII. Visual Culture (Advanced)
ART,XLIII,XLIII. Music (Therapy),A. Music Therapy Theory,Music Therapy Theory,Kenneth Bruscia,XLIII. Music (Therapy)
ART,XLIV,XLIV. Sports (Ethics),A. Sports Ethics Theory,Sports Ethics Theory,William J. Morgan,XLIV. Sports (Ethics)
ART,XLV,XLV. Architecture (Behavioral),A. Behavioral Architecture,Behavioral Architecture Theory,Robert Sommer,XLV. Architecture (Behavioral)
ART,XLVI,XLVI. Fashion (Sustainability),A. Sustainable Fashion Theory,Sustainable Fashion Theory,Kate Fletcher,XLVI. Fashion (Sustainability)
ART,XLVII,XLVII. Arts and Health,A. Arts in Health Theory,Arts in Health Theory,Jill Sonke,XLVII. Arts and Health
ART,XLVIII,XLVIII. Digital Arts (Participatory),A. Participatory Art Theory (Digital),Participatory Art Theory (Digital),Claire Bishop,XLVIII. Digital Arts (Participatory)
ART,XLIX,XLIX. Music (Global),A. Ethnomusicology,Ethnomusicology,"Alan Merriam, John Blacking",XLIX. Music (Global)
ART,L,L. Sports (Race & Ethnicity),A. Racial Stacking (Sport),Racial Stacking Theory (Sport),John W. Loy,L. Sports (Race & Ethnicity)
ART,LI,LI. Aesthetics (Evolutionary),A. Evolutionary Aesthetics (Arts),Evolutionary Aesthetics (Arts),"Denis Dutton, Geoffrey Miller",LI. Aesthetics (Evolutionary)
ART,LII,LII. Art History (Postcolonial),A. Postcolonial Curating Theory,Postcolonial Curating Theory,Gayatri Chakravorty Spivak (related to subaltern),LII. Art History (Postcolonial)
ART,LIII,LIII. Performance Studies (Politics),A. Performance and Politics Theory,Performance and Politics Theory,Diana Taylor,LIII. Performance Studies (Politics)
ART,LIV,LIV. Music (Therapy - Advanced),A. Neurologic Music Therapy (NMT),Neurologic Music Therapy (NMT) Theory,Michael Thaut,LIV. Music (Therapy - Advanced)
ART,LV,LV. Sports (Media),A. Media and Sport Theory,Media and Sport Theory,"Raymond Boyle, Richard Haynes",LV. Sports (Media)
ART,LVI,LVI. Architecture (Sustainability),A. Sustainable Architecture Theory,Sustainable Architecture Theory,Ken Yeang,LVI. Architecture (Sustainability)
ART,LVII,LVII. Fashion (Ethical),A. Ethical Fashion Theory,Ethical Fashion Theory,N/A (Applied ethics),LVII. Fashion (Ethical)
ART,LVIII,LVIII. Art Therapy (Specifics),A. Psychodynamic Art Therapy,Psychodynamic Art Therapy Theory,Elinor Ulman,LVIII. Art Therapy (Specifics)
ART,LIX,LIX. Art and Human Ecology,A. Art and Ecology Theory,Art and Ecology Theory,N/A (Interdisciplinary field),LIX. Art and Human Ecology
ART,LX,LX. Music (Digital),A. Digital Musicology,Digital Musicology Theory,N/A (Emerging field),LX. Music (Digital)
ART,LXI,LXI. Sports (Sociology of Race),A. Racialized Bodies in Sport,Racialized Bodies in Sport Theory,Ben Carrington,LXI. Sports (Sociology of Race)
ART,LXII,LXII. Aesthetics (Sensory),A. Sensory Aesthetics (Art),Sensory Aesthetics (Art),Constance Classen,LXII. Aesthetics (Sensory)
ART,LXIII,LXIII. Public Art (Controversy),A. Public Art Controversy Theory,Public Art Controversy Theory,Erika Doss,LXIII. Public Art (Controversy)
ART,LXIV,LXIV. Photography (Ethics),A. Photographic Ethics Theory,Photographic Ethics Theory,Fred Ritchin,LXIV. Photography (Ethics)
ART,LXV,LXV. Dance (Therapy),A. Dance/Movement Therapy Theory,Dance/Movement Therapy Theory,Marian Chace,LXV. Dance (Therapy)
ART,LXVI,LXVI. Architecture (Experience),A. Phenomenological Architecture,Phenomenological Architecture Theory,Juhani Pallasmaa,LXVI. Architecture (Experience)
ART,LXVII,LXVII. Fashion (Performance),A. Fashion as Performance,Fashion as Performance Theory,"Joanne Entwistle, Judith Butler (applied to fashion)",LXVII. Fashion (Performance)
ART,LXVIII,LXVIII. Arts and Healing,A. Arts in Healthcare Environments,Arts in Healthcare Environments Theory,N/A (Applied field),LXVIII. Arts and Healing
ART,LXIX,LXIX. Digital Arts (Immersive),A. Immersive Art Theory,Immersive Art Theory,Oliver Grau,LXIX. Digital Arts (Immersive)
ART,LXX,LXX. Music (Politics of Sound),A. Politics of Sound (Music),Politics of Sound (Music) Theory,"Jacques Attali, Jonathan Sterne",LXX. Music (Politics of Sound)
ART,LXXI,LXXI. Sports (Fan Behavior),A. Psychology of Sport Fans,Psychology of Sport Fans Theory,Daniel Wann,LXXI. Sports (Fan Behavior)
ART,LXXII,LXXII. Aesthetics (Environmental),A. Environmental Aesthetics,Environmental Aesthetics Theory,Arnold Berleant,LXXII. Aesthetics (Environmental)
ART,LXXIII,LXXIII. Art History (Global),A. Global Art History,Global Art History Theory,Hans Belting,LXXIII. Art History (Global)
ART,LXXIV,LXXIV. Performance Studies (Everyday),A. Everyday Performance Theory,Everyday Performance Theory,"Erving Goffman, Richard Schechner",LXXIV. Performance Studies (Everyday)
ART,LXXV,LXXV. Music (Cultural Exchange),A. Music and Globalization,Music and Globalization Theory,Simon Frith,LXXV. Music (Cultural Exchange)
ART,LXXVI,LXXVI. Sports (Ethics of Competition),A. Ethics of Competition,Ethics of Competition Theory (Sport),James Keating,LXXVI. Sports (Ethics of Competition)
ART,LXXVII,LXXVII. Architecture (Behavioral Economics),A. Behavioral Architecture,Behavioral Architecture Theory,N/A (Applied field),LXXVII. Architecture (Behavioral Economics)
ART,LXXVIII,LXXVIII. Fashion (Cultural Production),A. Fashion System Theory,Fashion System Theory,Roland Barthes,LXXVIII. Fashion (Cultural Production)
ART,LXXIX,LXXIX. Art Therapy (Specific Populations),A. Trauma-Informed Art Therapy,Trauma-Informed Art Therapy Theory,Lisa Hinz,LXXIX. Art Therapy (Specific Populations)
ART,LXXX,LXXX. Digital Arts (AI & Creativity),A. AI Art Theory,AI Art Theory,N/A (Emerging field),LXXX. Digital Arts (AI & Creativity)
ART,LXXXI,LXXXI. Music (Therapeutic Use),A. Music and Healing Theory,Music and Healing Theory,Oliver Sacks,LXXXI. Music (Therapeutic Use)
ART,LXXXII,LXXXII. Sports (Identity),A. Sport and Identity Theory,Sport and Identity Theory,N/A (Sociological concept),LXXXII. Sports (Identity)
ART,LXXXIII,LXXXIII. Aesthetics (Neuroscience),A. Neuroaesthetics (Arts),Neuroaesthetics (Arts),Semir Zeki,LXXXIII. Aesthetics (Neuroscience)
ART,LXXXIV,LXXXIV. Art History (Gender),A. Gender and Art History,Gender and Art History Theory,Linda Nochlin,LXXXIV. Art History (Gender)
ART,LXXXV,LXXXV. Performance Studies (Ethics),A. Ethics of Performance,Ethics of Performance Theory,Philip Auslander,LXXXV. Performance Studies (Ethics)
ART,LXXXVI,LXXXVI. Music (Cultural Heritage),A. Music Heritage Theory,Music Heritage Theory,N/A (Applied field),LXXXVI. Music (Cultural Heritage)
ART,LXXXVII,LXXXVII. Sports (Global),A. Global Sport Theory,Global Sport Theory,Richard Giulianotti,LXXXVII. Sports (Global)
ART,LXXXVIII,LXXXVIII. Architecture (Politics),A. Architecture and Power Theory,Architecture and Power Theory,Michel Foucault (Discipline and Punish),LXXXVIII. Architecture (Politics)
ART,LXXXIX,LXXXIX. Fashion (Sustainability),A. Circular Fashion Theory,Circular Fashion Theory,Ellen MacArthur Foundation,LXXXIX. Fashion (Sustainability)
ART,XC,XC. Art Therapy (Developmental),A. Developmental Art Therapy,Developmental Art Therapy Theory,Judith A. Rubin,XC. Art Therapy (Developmental)
ART,XCI,XCI. Digital Arts (Generative),A. Generative Art Theory,Generative Art Theory,Philip Galanter,XCI. Digital Arts (Generative)
ART,XCII,XCII. Music (Therapy - Social),A. Community Music Therapy,Community Music Therapy Theory,Brynjulf Stige,XCII. Music (Therapy - Social)
ART,XCIII,XCIII. Sports (Psychology of Performance),A. Flow Theory (Sport),Flow Theory (Sport),Mihaly Csikszentmihalyi,XCIII. Sports (Psychology of Performance)
ART,XCIV,XCIV. Aesthetics (Everyday - Advanced),A. Micro-Aesthetics,Micro-Aesthetics Theory,N/A (Emerging concept),XCIV. Aesthetics (Everyday - Advanced)
ART,XCV,XCV. Art History (Materiality),A. Materiality of Art Theory,Materiality of Art Theory,Caroline Jones,XCV. Art History (Materiality)
ART,XCVI,XCVI. Performance Studies (Restoration),A. Restored Behavior,Restored Behavior Theory (Performance),Richard Schechner,XCVI. Performance Studies (Restoration)
ART,XCVII,XCVII. Music (Cognitive Development),A. Musical Development Theory,Musical Development Theory,Howard Gardner,XCVII. Music (Cognitive Development)
ART,XCVIII,XCVIII. Sports (Ethics of Fair Play),A. Fair Play Theory,Fair Play Theory (Sport),N/A (Ethical principle),XCVIII. Sports (Ethics of Fair Play)
ART,XCIX,XCIX. Architecture (Human Factors),A. Environmental Psychology in Architecture,Environmental Psychology in Architecture Theory,Robert Sommer,XCIX. Architecture (Human Factors)
ART,C,C. Fashion (Body),A. Fashion and the Body Theory,Fashion and the Body Theory,Joanne Entwistle,C. Fashion (Body)
MANAGEMENT,I,I. Organizational Behavior & Management,A. Motivation Theories,Hierarchy of Needs (Management),Abraham Maslow,I. Organizational Behavior & Management
MANAGEMENT,I,I. Organizational Behavior & Management,A. Motivation Theories,Two-Factor Theory (Motivation-Hygiene Theory),Frederick Herzberg,I. Organizational Behavior & Management
MANAGEMENT,I,I. Organizational Behavior & Management,A. Motivation Theories,Expectancy Theory (Motivation),Victor Vroom,I. Organizational Behavior & Management
MANAGEMENT,I,I. Organizational Behavior & Management,A. Motivation Theories,Equity Theory (Motivation),J. Stacy Adams,I. Organizational Behavior & Management
MANAGEMENT,I,I. Organizational Behavior & Management,A. Motivation Theories,Goal-Setting Theory,"Edwin Locke, Gary Latham",I. Organizational Behavior & Management
MANAGEMENT,I,I. Organizational Behavior & Management,B. Leadership Theories,Trait Theory of Leadership,Ralph Stogdill,I. Organizational Behavior & Management
MANAGEMENT,I,I. Organizational Behavior & Management,B. Leadership Theories,Behavioral Theories of Leadership,"Ohio State Studies, University of Michigan Studies",I. Organizational Behavior & Management
MANAGEMENT,I,I. Organizational Behavior & Management,B. Leadership Theories,Situational Leadership Theory,"Paul Hersey, Ken Blanchard",I. Organizational Behavior & Management
MANAGEMENT,I,I. Organizational Behavior & Management,B. Leadership Theories,Contingency Theory of Leadership (Fiedler),Fred Fiedler,I. Organizational Behavior & Management
MANAGEMENT,I,I. Organizational Behavior & Management,B. Leadership Theories,Transformational Leadership Theory,"James MacGregor Burns, Bernard M. Bass",I. Organizational Behavior & Management
MANAGEMENT,I,I. Organizational Behavior & Management,B. Leadership Theories,Transactional Leadership Theory,Bernard M. Bass,I. Organizational Behavior & Management
MANAGEMENT,I,I. Organizational Behavior & Management,C. Organizational Structure & Design,Bureaucracy Theory (Management),Max Weber,I. Organizational Behavior & Management
MANAGEMENT,I,I. Organizational Behavior & Management,C. Organizational Structure & Design,Contingency Theory of Organization,"Joan Woodward, Paul Lawrence, Jay Lorsch",I. Organizational Behavior & Management
MANAGEMENT,I,I. Organizational Behavior & Management,C. Organizational Structure & Design,Scientific Management Theory,Frederick Winslow Taylor,I. Organizational Behavior & Management
MANAGEMENT,I,I. Organizational Behavior & Management,C. Organizational Structure & Design,Human Relations Movement,Elton Mayo (Hawthorne Studies),I. Organizational Behavior & Management
MANAGEMENT,I,I. Organizational Behavior & Management,D. Group Dynamics & Teams,Social Loafing (Management),Max Ringelmann,I. Organizational Behavior & Management
MANAGEMENT,I,I. Organizational Behavior & Management,D. Group Dynamics & Teams,Groupthink (Management),Irving L. Janis,I. Organizational Behavior & Management
MANAGEMENT,I,I. Organizational Behavior & Management,D. Group Dynamics & Teams,Team Development Stages (Tuckman),Bruce Tuckman,I. Organizational Behavior & Management
MANAGEMENT,I,I. Organizational Behavior & Management,D. Group Dynamics & Teams,Social Identity Theory (Management),"Henri Tajfel, John Turner (applied to OB)",I. Organizational Behavior & Management
MANAGEMENT,I,I. Organizational Behavior & Management,E. Organizational Culture,Organizational Culture Theory (Schein),Edgar Schein,I. Organizational Behavior & Management
MANAGEMENT,I,I. Organizational Behavior & Management,E. Organizational Culture,Competing Values Framework,"Robert Quinn, Kim Cameron",I. Organizational Behavior & Management
MANAGEMENT,II,II. Strategic Management,A. Industry Analysis,Five Forces Framework,Michael Porter,II. Strategic Management
MANAGEMENT,II,II. Strategic Management,A. Industry Analysis,Generic Strategies,Michael Porter,II. Strategic Management
MANAGEMENT,II,II. Strategic Management,B. Firm-Level Advantage,Resource-Based View (RBV),Jay Barney,II. Strategic Management
MANAGEMENT,II,II. Strategic Management,B. Firm-Level Advantage,Dynamic Capabilities Theory,"David Teece, Gary Pisano, Amy Shuen",II. Strategic Management
MANAGEMENT,II,II. Strategic Management,C. Strategic Decision Making,Bounded Rationality (Strategy),Herbert A. Simon,II. Strategic Management
MANAGEMENT,II,II. Strategic Management,C. Strategic Decision Making,Managerial Biases (Strategy),"Daniel Kahneman, Amos Tversky (applied to strategy)",II. Strategic Management
