Theorist,Concepts,New,Review
Rosalind Gill,Postfeminist Sensibility · Confidence Cult · Aesthetic Labour,N,
Rosemarie Garland-Thomson,Staring · Extraordinary Bodies · Freakery,N,
Ruha Benjamin,Race After Technology · Viral Justice · New Jim Code,N,
Rutger Bregman,Humankind · Utopia for Realists · Poverty and IQ,N,
Ruth Benedict,The Chrysanthemum and the Sword · Shame vs Guilt Culture · Patterns of Culture,N,
Ryan Milner,The Ambivalent Internet · The World Made Meme · Polyvocal Internet,N,
Samuel Huntington,Clash of Civilizations · Political Order in Changing Societies · The Third Wave,N,
Sander Gilman,Difference and Pathology · Fat: A Cultural History · Jewish Self-Hatred,N,
Sanjib Baruah,Durable Disorder · Beyond Counter-Insurgency · Assam,N,
Sara Ahmed,Feminist Killjoy · Affective Economies · Cultural Politics of Emotion,N,
Sarah Banet-Weiser,Authentic™ · Empowered · Brand Culture,N,
Sarah Blaffer Hrdy,Mother Nature · Mothers and Others · Infanticide,N,
Saskia Sassen,The Global City · Expulsions · Denationalization,N,
Scott McCloud,Understanding Comics · Making Comics · Blood in the Gutter,N,
Sharon Hays,Cultural Contradictions of Motherhood · Intensive Mothering · Flat Broke with Children,N,
Sharon Kinsella,Cuties in Japan · Adult Manga · Schoolgirls,N,
Sheri Berman,Democracy and Dictatorship · The Primacy of Politics · Social Democracy,N,
Sherry Turkle,Life on the Screen · Alone Together · Reclaiming Conversation,N,
Sherryl Vint,Biopolitics in Science Fiction · Animal Alterity · Science Fiction: A Guide,N,
Sheryl Sandberg,Lean In · Option B · Women and Leadership,N,
Shoshana Zuboff,Surveillance Capitalism · Instrumentarian Power · Behavioral Surplus,N,
Sianne Ngai,Ugly Feelings · Our Aesthetic Categories · The Gimmick,N,
Sigmund Freud,The Unconscious · Psychoanalysis · Oedipus Complex,N,
Silvia Federici,Caliban and the Witch · Wages for Housework · Patriarchy of the Wage,N,
Simon Frith,Performing Rites · Sociology of Rock · Art into Pop,N,
Simon May,The Power of Cute · Love: A History · Nietzsche's Ethics,N,
Simon Reynolds,Retromania · Rip It Up and Start Again · Energy Flash,N,
Simone de Beauvoir,The Second Sex · The Ethics of Ambiguity · The Coming of Age,N,
Slavoj Žižek,The Sublime Object of Ideology · The Pervert's Guide to Ideology · Event,N,
Soraya Chemaly,Rage Becomes Her · Gender and Anger · Digital Harassment,N,
Stanley Cavell,Pursuits of Happiness · The Claim of Reason · Senses of Walden,N,
Stanley Cohen,Folk Devils and Moral Panics · States of Denial · Visions of Social Control,N,
Stefan Helmreich,Alien Ocean · Sounding the Limits of Life · Silicon Second Nature,N,
Stella Young,Inspiration Porn · Disability Activism · Social Model of Disability,N,
Stephen Prince,Digital Visual Effects · Screening Violence · The Horror Film,N,
Steven Pinker,Enlightenment Now · The Better Angels of Our Nature · The Blank Slate,N,
Stuart Hall,Encoding/Decoding · Cultural Identity · Hegemony,N,
