Theorist,Part,MajorNo,Major,Sub,Era,Region,SecondaryPart,Note
Pierre Ostiguy,Politics,7,Democratic Theory & Contemporary Contestation,Populism & Post-Politics,Contemporary,Latin America,,"High-low political appeals, populism theory"
Pierre Rosanvallon,Politics,7,Democratic Theory & Contemporary Contestation,Democratic Theory (Advanced),Contemporary,Western,History,"Counter-democracy, democratic legitimacy, society of equals"
Quassim Cassam,Critics,XIV,Cognitive & Evolutionary,Cognitive Literary Studies,Contemporary,Western,,"Epistemic vice, vices of the mind, conspiracy theories"
R. Murray Schafer,ART,4,Music & Sound Studies,Ethnomusicology & Globalization,Modern,Western,Culture,"Soundscape, acoustic ecology, schizophonia"
Raewyn Connell,Society,V,Advanced & Applied Social Theories,Gender & Sexuality,Contemporary,Global,,"Hegemonic masculinity, gender and power, Southern theory"
Ran Hirschl,Politics,5,"Justice, Recognition & Community",Philosophy of Law & Justice,Contemporary,Western,,"Juristocracy, constitutional theocracy, comparative constitutionalism"
Randall Collins,Society,II,Contemporary Sociological Perspectives,,Contemporary,Western,,"Interaction ritual chains, credential society, microsociology of violence"
Raúl Pérez,Society,V,Advanced & Applied Social Theories,Race & Ethnicity,Contemporary,Western,Culture,"Sociology of racial humor, souls of white jokes"
Ray Kurzweil,Culture,11,"Digital, Media & Algorithmic Culture",Technological Culture & STS,Contemporary,Western,Nature,"The singularity, accelerating returns, transhumanism"
Ray Surette,Society,V,Advanced & Applied Social Theories,Culture & Media,Contemporary,Western,Culture,"Media, crime and criminal justice, copycat crime"
Raymond Williams,Culture,1,Foundations & Classical Approaches,Culture as a Whole Way of Life,Modern,Western,Critics,"Structure of feeling, cultural materialism, flow"
Rebecca Traister,Politics,6,"Postcolonial, Feminist & Environmental Politics",Feminism & Gender in Politics,Contemporary,Western,Culture,"Women in politics, single women, women and anger"
Reece Peck,Culture,7,Media & Communication,Media Effects & Audiences,Contemporary,Western,Politics,"Fox populism, conservative media, stylistic politics"
René Girard,Critics,IV,Psychoanalytic & Psychological,Political & Social Psychoanalysis,Modern,Western,ART,"Mimetic desire, scapegoat mechanism, mimetic rivalry"
Rhonda Garelick,ART,13,Fashion & Dress Studies,Fashion as Performance & Spectacle,Contemporary,Western,Culture,"Fashion and politics, Antigone in Vogue, spectacle of dress"
Richard Dawkins,Nature,1,Evolutionary Theory & Human Origins,Selection & Adaptation,Modern,Western,Culture,"Selfish gene, meme, extended phenotype"
Richard Dyer,Critics,III,Identity-Based & Political,Postcolonial & Critical Race,Contemporary,Western,Culture,"Stars, Heavenly Bodies, whiteness in film representation"
Richard Peterson,Culture,12,Cultural Economy & Production,Creative & Cultural Industries,Modern,Western,Society,"Production of culture, cultural omnivore, fabricating authenticity"
Richard Schechner,ART,3,Performance Studies & Theatre,Performance Theory & Ritual,Modern,Western,Culture,"Performance theory, restored behavior, environmental theater"
Richard Sennett,Society,II,Contemporary Sociological Perspectives,,Contemporary,Western,Culture,"Public man, the craftsman, corrosion of character"
Richard Shusterman,ART,1,Aesthetics & Philosophy of Art,Classical & Philosophical Aesthetics,Contemporary,Western,,"Somaesthetics, pragmatist aesthetics, body consciousness"
Robert Gilpin,Politics,10,International Relations & Security,International Relations,Modern,Western,Economics,"Hegemonic stability theory, global political economy"
Robert K. Merton,Society,I,Classical Sociological Traditions,,Modern,Western,,"Anomie, self-fulfilling prophecy, strain theory"
Robert N. Butler,Medicine,I,Medical Sociology,"Chronic Illness, Aging & Dying",Modern,Western,Psychology,"Ageism, productive aging, life review"
Robert Stebbins,Society,V,Advanced & Applied Social Theories,Culture & Media,Contemporary,Western,,"Serious leisure, casual leisure, leisure studies"
Robert Sternberg,Psychology,14,Relationship & Interpersonal,Love & Attachment,Modern,Western,,"Triangular theory of love, triarchic intelligence"
Robert Whiting,Culture,8,Global & Transnational Culture,Hybridization & World Culture,Contemporary,Western,Society,"Japanese baseball culture, cross-cultural sport ethnography"
Robin James,ART,4,Music & Sound Studies,Sociology & Politics of Music,Contemporary,Western,Culture,"Resilience and melancholy, sonic episteme, sonic feminism"
Robin R. Means Coleman,Critics,III,Identity-Based & Political,Postcolonial & Critical Race,Contemporary,Western,Culture,"Horror Noire, race and genre in film, African American media"
Roger Caillois,ART,3,Performance Studies & Theatre,Performance Theory & Ritual,Modern,Western,Culture,"Paidia and ludus, mimicry, theory of play and games"
Roger Fisher,MANAGEMENT,13,"Change, Crisis & Organizational Development",Crisis Management & Communication,Modern,Western,,"Getting to Yes, principled negotiation, BATNA"
Roland Barthes,Critics,I,Formalist & Text-Centric,Structuralism & Semiotics,Modern,Western,Culture,"Mythologies, death of the author, S/Z semiotics"
Ronald Coase,Economics,VII,Institutional & Evolutionary Economics,Institutional Economics,Modern,Western,LAW,"Transaction costs, Coase theorem, nature of the firm"
Ronald Dworkin,LAW,1,Jurisprudence & Legal Philosophy,Natural Law & Normative Foundations,Modern,Western,Politics,"Law as integrity, justice for hedgehogs, right answer thesis"
Rosalind Gill,Culture,9,Identity & Difference,"Gender, Race & Sexuality",Contemporary,Western,Society,"Postfeminist sensibility, confidence cult, aesthetic labour"
Rosemarie Garland-Thomson,Critics,III,Identity-Based & Political,Disability Studies,Contemporary,Western,ART,"Staring, extraordinary bodies, disability and representation"
Ruha Benjamin,Society,VI,Digital & Network Society,Social Technology & Data,Contemporary,Western,Culture,"Race after technology, New Jim Code, viral justice"
Rutger Bregman,History,VIII,Intellectual History,History of Ideas,Contemporary,Western,Politics,"Humankind, Utopia for Realists, popular intellectual history"
Ruth Benedict,Culture,1,Foundations & Classical Approaches,Anthropology of Culture,Classical,Western,East Asia,"Patterns of culture, Chrysanthemum and the Sword, shame vs guilt"
Ryan Milner,Culture,11,"Digital, Media & Algorithmic Culture",Networked & Participatory Culture,Contemporary,Western,,"Ambivalent internet, meme culture, polyvocal internet"
Samuel Huntington,Politics,10,International Relations & Security,International Relations,Modern,Western,,"Clash of civilizations, political order, the third wave"
Sander Gilman,Medicine,IV,Critical Medical Humanities,Cultural History of Disease,Modern,Western,Culture,"Difference and pathology, cultural history of body and illness"
Sanjib Baruah,Politics,9,Political Economy & Comparative Politics,Comparative Politics,Contemporary,South Asia,,"Durable disorder, Northeast India insurgency and counter-insurgency"
Sara Ahmed,Culture,10,"Affect, Emotion & Embodiment",Affect & Sensory Studies,Contemporary,Western,Critics,"Feminist killjoy, affective economies, cultural politics of emotion"
Sarah Banet-Weiser,Culture,12,Cultural Economy & Production,Experience Economy & Consumption,Contemporary,Western,Society,"Brand culture, authentic, empowered postfeminism"
Sarah Blaffer Hrdy,Nature,2,Evolutionary Psychology & Adaptive Mind,"Mating, Reproduction & Sexual Strategy",Modern,Western,,"Mother Nature, mothers and others, evolution of motherhood"
Saskia Sassen,Society,V,Advanced & Applied Social Theories,Globalization & Development,Contemporary,Western,Politics,"Global city, expulsions, denationalization"
Scott McCloud,ART,7,Visual Culture & Media Studies,Photography & the Image,Contemporary,Western,Culture,"Understanding Comics, theory of comics and the gutter"
Sharon Hays,Family,8,"모성·부성·양육 이론 (Motherhood, Fatherhood & Parenting)",B. 모성·부성 (Motherhood & Fatherhood),Contemporary,Western,Society,"Intensive mothering, cultural contradictions of motherhood"
Sharon Kinsella,Culture,5,British Cultural Studies (Birmingham School),Subculture & Fandom,Contemporary,East Asia,ART,"Japanese cute culture, adult manga, schoolgirls subculture"
Sheri Berman,Politics,9,Political Economy & Comparative Politics,Comparative Politics,Contemporary,Western,,"Democracy and dictatorship, primacy of politics, social democracy"
Sherry Turkle,Society,VI,Digital & Network Society,Science & Technology Studies (STS),Contemporary,Western,Psychology,"Life on the screen, alone together, identity and technology"
Sherryl Vint,Critics,XVI,Post-Humanist & Non-Human,Animal Studies,Contemporary,Western,ART,"Biopolitics in science fiction, animal alterity"
Sheryl Sandberg,MANAGEMENT,6,Leadership,"Servant, Shared & Ethical Leadership",Contemporary,Western,,"Lean In, women and leadership, Option B"
Shoshana Zuboff,Society,VI,Digital & Network Society,Social Technology & Data,Contemporary,Western,Economics,"Surveillance capitalism, instrumentarian power, behavioral surplus"
Sianne Ngai,ART,1,Aesthetics & Philosophy of Art,Classical & Philosophical Aesthetics,Contemporary,Western,Critics,"Ugly feelings, aesthetic categories, the gimmick"
Sigmund Freud,Psychology,1,Psychoanalytic & Psychodynamic,Classical Psychoanalysis,Classical,Western,Critics,"The unconscious, psychoanalysis, Oedipus complex"
Silvia Federici,Politics,3,Radical & Critical Traditions,Marxism & Socialism,Contemporary,Western,Culture,"Caliban and the Witch, wages for housework, patriarchy of the wage"
Simon Frith,ART,4,Music & Sound Studies,Sociology & Politics of Music,Contemporary,Western,Culture,"Performing rites, sociology of rock, art into pop"
Simon May,ART,1,Aesthetics & Philosophy of Art,Classical & Philosophical Aesthetics,Contemporary,Western,Culture,"The power of cute, love a history, aesthetics of cuteness"
Simon Reynolds,Culture,7,Media & Communication,Visual & Sound Culture,Contemporary,Western,ART,"Retromania, music criticism, energy flash"
Simone de Beauvoir,Politics,6,"Postcolonial, Feminist & Environmental Politics",Feminism & Gender in Politics,Modern,Western,Culture,"The Second Sex, ethics of ambiguity, foundational feminism"
Slavoj Žižek,Critics,IV,Psychoanalytic & Psychological,Freudian & Lacanian,Contemporary,Western,Politics,"Sublime object of ideology, Lacanian film/ideology critique"
Soraya Chemaly,Culture,10,"Affect, Emotion & Embodiment",Emotions & Emotionology,Contemporary,Western,Politics,"Rage becomes her, gender and anger, digital harassment"
Stanley Cavell,ART,1,Aesthetics & Philosophy of Art,Classical & Philosophical Aesthetics,Modern,Western,Critics,"Pursuits of happiness, philosophy of film, ordinary language"
Stanley Cohen,Society,V,Advanced & Applied Social Theories,Culture & Media,Modern,Western,Critics,"Folk devils and moral panics, states of denial"
Stefan Helmreich,Society,VI,Digital & Network Society,Science & Technology Studies (STS),Contemporary,Western,Nature,"Alien ocean, anthropology of biology and science"
Stella Young,Critics,III,Identity-Based & Political,Disability Studies,Contemporary,Western,Culture,"Inspiration porn, disability activism, social model"
Stephen Prince,Critics,I,Formalist & Text-Centric,Stylistics & Textual Criticism,Contemporary,Western,ART,"Digital visual effects, screening violence, the horror film"
Steven Pinker,Nature,2,Evolutionary Psychology & Adaptive Mind,Adaptive Cognition & Modularity,Contemporary,Western,Psychology,"The blank slate, better angels, evolutionary psychology of mind"
Stuart Hall,Culture,5,British Cultural Studies (Birmingham School),Hegemony & Encoding/Decoding,Modern,Western,Critics,"Encoding/decoding, cultural identity, hegemony"
