Theorist,Concepts,New,Review
Michel Foucault,Discipline and Punish · Panopticism · The History of Sexuality,N,
Michel Maffesoli,Neo-Tribalism · The Time of the Tribes · Everyday Life,N,
Michel de Certeau,The Practice of Everyday Life · Walking in the City · Strategy and Tactic,N,
Michelle Alexander,The New Jim Crow · Mass Incarceration · Racial Caste System,N,
Mihaly Csikszentmihalyi,Flow · Creativity · Positive Psychology,N,
Mike Featherstone,Images of Aging · Consumer Culture · Postmodernism,N,
Miquela Sousa (Lil Miquela),Synthetic Authenticity · Virtual Influencer · Digital Human,N,Y
Milton Friedman,Shareholder Primacy · Monetarism · Permanent Income Hypothesis,N,
Mireya Solís,Japan's Quiet Leadership · Dilemmas of a Trading Nation · Economic Statecraft,N,
Molara Ogundipe,STIWA · Stiwanism · Re-creating Ourselves,N,
Molly Haskell,From Reverence to Rape · Women and the Movies · Reverence,N,
Monica L. Miller,Slaves to Fashion · Black Dandyism · African American Literature,N,
Murray Edelman,The Symbolic Uses of Politics · Constructing the Political Spectacle · Politics as Ritual,N,
Nancy Baym,Personal Connections in the Digital Age · Participatory Fandom · Online Community,N,
Nancy Chodorow,The Reproduction of Mothering · Psychoanalysis and Sociology · Feminism,N,
Nancy Fraser,Redistribution/Recognition · Social Reproduction · Fortunes of Feminism,N,
Naomi Klein,No Logo · The Shock Doctrine · This Changes Everything,N,
Naomi Wolf,The Beauty Myth · The End of America · Vagina,N,
Nassim Nicholas Taleb,The Black Swan · Antifragile · Fooled by Randomness,N,
Nate Silver,The Signal and the Noise · Data Journalism · Forecasting,N,
Neil Postman,Amusing Ourselves to Death · Technopoly · The Disappearance of Childhood,N,
Niccolò Machiavelli,The Prince · Virtù · Appearance vs Reality,N,
Nicholas Tavuchis,Mea Culpa · Sociology of Apology · Public Apology,N,
Nick Bostrom,Superintelligence · Simulation Hypothesis · Existential Risk,N,
Nick Couldry,Media Rituals · Media Events · The Myth of the Mediated Centre,N,
Nick Dyer-Witheford,Cyber-Proletariat · Cyber-Marx · Cyber-War,N,
Nicole Constable,Romance on a Global Stage · Maid to Order · Cross-Border Marriage,N,
Nicole R. Fleetwood,Troubling Vision · Marking Time · Carceral Aesthetics,N,
Nikhil Pahwa,Internet Freedom · Net Neutrality · MediaNama,N,
Niklas Luhmann,Social Systems · Autopoiesis · Second-Order Observation,N,
Nikolas Rose,Governing the Soul · Neuro: The New Brain Sciences · The Politics of Life Itself,N,
Nils Christie,Conflicts as Property · Limits to Pain · A Suitable Victim,N,
Nira Yuval-Davis,Gender and Nation · The Politics of Belonging · Intersectionality,N,
Noam Chomsky,Manufacturing Consent · Generative Grammar · Flak,N,
Norbert Elias,The Civilizing Process · Quest for Excitement · Figuration,N,
Norman Denzin,Interpretive Interactionism · Cinematic Society · The Alcoholic Society,N,
Olivier Roy,Holy Ignorance · Globalized Islam · The Failure of Political Islam,N,
Orrin Klapp,"Symbolic Leaders · Heroes, Villains, and Fools · Collective Search for Identity",N,
Otto Kirchheimer,Political Justice · Catch-all Party · Punishment and Social Structure,N,
Oyeronke Oyewumi,The Invention of Women · African Gender Studies · Decolonizing the Body,N,
Kara Keeling,The Cinematic · Black Femme · Queer Times of Cinema,Y,
Karen Hao,Empire of AI · AI Colonialism · Data Conditioning Labor,Y,
Karen Redrobe,Cinema and Speed/Stasis · (In)animation · Film and Other Media,Y,
Karl Schoonover,Queer Cinema in the World · Wastefulness/Slowness · Global Art Cinema,Y,
Kate Crawford,Atlas of AI · Extractivism · Affect Recognition Critique,Y,
Kathleen Stewart,Ordinary Affects · Atmospheric Attunement · Affective Resonance,Y,
