Theorist,Concepts,New,Review
Adrian Mackenzie,Machine Learners · Operational Images · Algorithmic Media,Y,
Alison Kafer,"Feminist, Queer, Crip · Crip Futurity · Compulsory Able-bodiedness",Y,
Amanda D. Lotz,Internet-Distributed Television · Portals · Post-Network Era,Y,
Aníbal Quijano,Coloniality of Power · Eurocentrism · Modernity/Coloniality,Y,
Ann Cvetkovich,An Archive of Feelings · Depression: A Public Feeling · Trauma Cultures,Y,
Antonio Casilli,Digital Labor · Click Workers · Platformized Microwork,Y,
Arturo Escobar,Pluriverse · Designs for the Pluriverse · Post-development,Y,
Audra Simpson,Politics of Refusal · Mohawk Interruptus · Nested Sovereignty,Y,
Becca Lewis,Alternative Influence Network · Radicalization Pathways · Reactionary YouTube,Y,
Bill Nichols,Modes of Documentary · Voice of Documentary · Reflexive/Performative Mode,Y,
Britt Paris,Deepfakes vs Cheap Fakes · Politics of Evidence · AV Manipulation,Y,
Brenda LeFrançois,Mad Studies · Sanism · Psychiatrization,Y,
Cathy O'Neil,Weapons of Math Destruction · Algorithmic Opacity · Feedback Loops,Y,
Cho Hae-joang (조한혜정),Colonized Consciousness · Reflexive Modernity in Korea · Gender and Culture,Y,
C. Riley Snorton,Black on Both Sides · Transfiguration · Fungibility of Blackness,Y,
Christina Sharpe,In the Wake · Wake Work · The Weather (Anti-blackness),Y,
Dai Jinhua (戴錦華),Invisible Writing · Gendered Cinema · Post-Socialist China,Y,
Debbie Ging,Manosphere · Alphas/Betas/Incels · Networked Misogyny,Y,
Emily M. Bender,Stochastic Parrots · The Octopus Test · LLM Meaning Critique,Y,
Enrique Dussel,Philosophy of Liberation · Transmodernity · Underside of Modernity,Y,
E. Patrick Johnson,Quare Studies · Black Queer Performance · Sweet Tea,Y,
Eli Clare,Exile and Pride · Brilliant Imperfection · Cure Ideology,Y,
Fabian Holt,Genre in Popular Music · Musical Performance · Cultural Taxonomy,N,
Frances Negrón-Muntaner,Latino/a Media Studies · Boricua Popular Culture · The Latino Media Gap,N,
Francesca Royster,Black Country Music · Sounding Queer · Black Queer Studies,N,
"Franco ""Bifo"" Berardi",Semiocapitalism · The Soul at Work · Futurability,N,
Frank Pasquale,The Black Box Society · Algorithmic Accountability · New Laws of Robotics,N,
Frantz Fanon,"Black Skin, White Masks · The Wretched of the Earth · The Pitfalls of National Consciousness",N,
Fred Moten,Black Performance · In the Break · The Undercommons,N,
Fredric Jameson,Cognitive Mapping · Postmodernism · The Political Unconscious,N,
Friedrich Hayek,Spontaneous Order · The Knowledge Problem · The Road to Serfdom,N,
Friedrich Nietzsche,Will to Power · Dionysian Spirit · Eternal Recurrence,N,
G.N. Devy,Linguistic Diversity · People's Linguistic Survey of India · After Amnesia,N,
Gabriella Coleman,"Hacker, Hoaxer, Whistleblower, Spy · Anonymous · Coding Freedom",N,
Gary Becker,Human Capital · Economics of Discrimination · Rational Choice Theory,N,
Garry Whannel,"Media Sport Stars · Fields in Vision · Culture, Politics and Sport",N,
Gayatri Chakravorty Spivak,Can the Subaltern Speak? · Strategic Essentialism · Epistemic Violence,N,
Geert Lovink,Platform Critique · Sad by Design · Zero Comments,N,
Gene Sharp,From Dictatorship to Democracy · Nonviolent Action · The Politics of Nonviolent Action,N,
Georg Simmel,The Philosophy of Money · The Sociology of Secrecy · The Metropolis and Mental Life,N,
George Gerbner,Cultivation Theory · Mean World Syndrome · Message System Analysis,N,
George Ritzer,The McDonaldization of Society · Enchanting a Disenchanted World · Globalization of Nothing,N,
Georges Bataille,Transgression · The Accursed Share · Eroticism,N,
Gerald Curtis,The Logic of Japanese Politics · Election Campaigning Japanese Style · The Japanese Way of Politics,N,
Gilles Deleuze,Rhizome · Difference and Repetition · Schizoanalysis,N,
Gilles Lipovetsky,The Empire of Fashion · Lightness · Hypermodern Times,N,
Ginette Vincendeau,Star Studies · French Cinema · Stars and Stardom in French Cinema,N,
Giorgio Agamben,State of Exception · Homo Sacer · Bare Life,N,
Gisèle Sapiro,The Responsibility of the Writer · The Sociology of Literature · The French Writers' War,N,
Glauber Rocha,Aesthetics of Hunger · Cinema Novo · Manifesto of the Cinema Novo,N,
Graeme Turner,Understanding Celebrity · Demotic Turn · Ordinary People and the Media,N,
Greg Tate,Flyboy in the Buttermilk · Everything But the Burden · Midnight Lightning,N,
Guy Debord,Society of the Spectacle · Psychogeography · Détournement,N,
Guy Standing,The Precariat · Basic Income · The Corruption of Capitalism,N,
Haiqing Yu,Digital Socialist Governance · Media and Cultural Transformation in China · Internet in China,N,
Hamid Naficy,Accented Cinema · Exilic and Diasporic Filmmaking · Iranian Cinema,N,
Hannah Arendt,The Human Condition · The Banality of Evil · The Origins of Totalitarianism,N,
Hans Ulrich Gumbrecht,Production of Presence · In Praise of Athletic Beauty · After 1945,N,
Hany Farid,Fake Photos · Photo Forensics · Digital Image Tampering,N,
Harry Collins,Gravity's Ghost · Sociology of Scientific Knowledge · Interactional Expertise,N,
Harry Edwards,The Sociology of Sport · The Revolt of the Black Athlete · Sport and Social Change,N,
Henri Bergson,Laughter · Élan Vital · Duration,N,
Herman Gray,Cultural Moves · Watching Race · Post-Soul Aesthetics,N,
