Theorist,Part,MajorNo,Major,Sub,Era,Region,SecondaryPart,Note
Dai Jinhua (戴錦華),Critics,III,Identity-Based & Political,A. Feminist & Gender Criticism,Contemporary,East Asia,Culture,"Gendered Cinema - 중국 페미니즘 영화비평"
Debbie Ging,Culture,11,"Digital, Media & Algorithmic Culture",C. Algorithmic & Platform Culture,Contemporary,Western,,"Manosphere - 네트워크 여성혐오·플랫폼"
Emily M. Bender,Critics,X,Digital & Media-Specific,B. Computational & Cultural Analytics,Contemporary,Western,,"Stochastic Parrots - LLM 의미·AI 비판"
Enrique Dussel,Politics,6,"Postcolonial, Feminist & Environmental Politics",A. Postcolonial & Decolonial Politics,Modern,Latin America,Critics,"Philosophy of Liberation - 해방철학·트랜스모더니티"
E. Patrick Johnson,Critics,III,Identity-Based & Political,B. Queer Theory,Contemporary,Western,ART,"Quare Studies - 흑인 퀴어 퍼포먼스"
Eli Clare,Critics,III,Identity-Based & Political,D. Disability Studies,Contemporary,Western,Culture,"Exile and Pride - 장애·치유 이데올로기 비판"
Fabian Holt,ART,4,Music & Sound Studies,A. Sociology & Politics of Music,Contemporary,Western,Culture,"Genre in Popular Music - 음악 장르·분류"
Frances Negrón-Muntaner,Culture,8,Global & Transnational Culture,B. Diaspora & Deterritorialization,Contemporary,Latin America,Critics,"Latino Media Gap - 라티노 미디어·디아스포라"
Francesca Royster,ART,4,Music & Sound Studies,A. Sociology & Politics of Music,Contemporary,Western,Critics,"Black Country Music - 흑인 퀴어·대중음악"
"Franco ""Bifo"" Berardi",Culture,4,Post-Structuralism & Postmodernism,A. Simulation & Hyperreality,Contemporary,Western,Politics,"Semiocapitalism - 기호자본주의·포스트구조 문화"
Frank Pasquale,LAW,10,"Digital, Technology & AI Law","B. AI, Algorithms & Automated Decision-Making",Contemporary,Western,Critics,"Black Box Society - 알고리즘 책임성·법"
Frantz Fanon,Politics,6,"Postcolonial, Feminist & Environmental Politics",A. Postcolonial & Decolonial Politics,Modern,Africa,Critics,"Wretched of the Earth - 탈식민 정치사상 정전"
Fred Moten,Critics,III,Identity-Based & Political,C. Postcolonial & Critical Race,Contemporary,Western,ART,"In the Break - 흑인 퍼포먼스·비판이론"
Fredric Jameson,Critics,VI,Marxist & Materialist,A. Frankfurt School & Critical Theory,Modern,Western,Culture,"Postmodernism - 마르크스주의 문화비평 정전"
Friedrich Hayek,Economics,VII,Institutional & Evolutionary Economics,Evolutionary Economics,Modern,Western,Politics,"Spontaneous Order - 자유주의 정치경제"
Friedrich Nietzsche,Politics,1,Classical & Pre-Modern Political Thought,A. Ancient Greek Philosophy,Classical,Western,ART,"Will to Power - 철학·미학 정치사상"
G.N. Devy,Culture,8,Global & Transnational Culture,E. Indigenous & Decolonial Culture,Contemporary,South Asia,,"Linguistic Diversity - 인도 토착어·탈식민 문화"
Gabriella Coleman,Culture,11,"Digital, Media & Algorithmic Culture",A. Networked & Participatory Culture,Contemporary,Western,Society,"Anonymous - 해커 문화·디지털 인류학"
Gary Becker,Economics,I,Classical & Neoclassical Economics,Microeconomic Foundations,Modern,Western,Society,"Human Capital - 합리적 선택·시카고 경제학"
Garry Whannel,ART,6,Sport & Physical Culture,A. Sociology & Politics of Sport,Contemporary,Western,Culture,"Media Sport Stars - 미디어·스포츠 사회학"
Gayatri Chakravorty Spivak,Critics,III,Identity-Based & Political,C. Postcolonial & Critical Race,Modern,South Asia,Politics,"Can the Subaltern Speak? - 포스트식민 비평 정전"
Geert Lovink,Culture,11,"Digital, Media & Algorithmic Culture",C. Algorithmic & Platform Culture,Contemporary,Western,Critics,"Sad by Design - 플랫폼 비판·인터넷 문화"
Gene Sharp,Politics,7,Democratic Theory & Contemporary Contestation,A. Deliberative & Participatory Democracy,Modern,Western,,"From Dictatorship to Democracy - 비폭력 저항 정치"
Georg Simmel,Society,I,Classical Sociological Traditions,,Classical,Western,Culture,"Philosophy of Money - 고전 사회학·도시 화폐"
George Gerbner,Culture,7,Media & Communication,A. Media Effects & Audiences,Modern,Western,,"Cultivation Theory - 미디어 배양효과"
George Ritzer,Society,V,Advanced & Applied Social Theories,Globalization & Development,Contemporary,Western,Culture,"McDonaldization - 합리화·세계화 사회학"
Georges Bataille,Critics,II,Post-Structuralist & Deconstructive,B. Discourse & Genealogy,Modern,Western,ART,"Transgression - 위반·에로티시즘 사상"
Gerald Curtis,Politics,9,Political Economy & Comparative Politics,C. Comparative Politics,Modern,East Asia,,"Logic of Japanese Politics - 일본 비교정치"
Gilles Deleuze,Critics,II,Post-Structuralist & Deconstructive,A. Deconstruction,Modern,Western,ART,"Rhizome - 포스트구조주의·영화철학"
Gilles Lipovetsky,ART,13,Fashion & Dress Studies,"A. Dress, Identity & Fashion Systems",Contemporary,Western,Culture,"Empire of Fashion - 패션·하이퍼모던 사상"
Ginette Vincendeau,Critics,V,Historical & Cultural Materialist,B. Cultural Studies,Contemporary,Western,Culture,"Star Studies - 프랑스 영화·스타 연구"
Giorgio Agamben,Politics,3,Radical & Critical Traditions,D. Post-Structuralism & Postmodern Politics,Contemporary,Western,Critics,"State of Exception - 주권·생명정치 사상"
Gisèle Sapiro,ART,5,Literature & Literary Theory,B. Historicism & Society,Contemporary,Western,Society,"Sociology of Literature - 문학 사회학·장"
Glauber Rocha,Critics,V,Historical & Cultural Materialist,B. Cultural Studies,Modern,Latin America,ART,"Aesthetics of Hunger - 시네마 노부·제3영화"
Graeme Turner,Culture,5,British Cultural Studies (Birmingham School),B. Subculture & Fandom,Contemporary,Western,Critics,"Understanding Celebrity - 셀러브리티·문화연구"
Greg Tate,Culture,9,Identity & Difference,"A. Gender, Race & Sexuality",Contemporary,Western,ART,"Flyboy in the Buttermilk - 흑인 문화·음악 비평"
Guy Debord,Culture,4,Post-Structuralism & Postmodernism,A. Simulation & Hyperreality,Modern,Western,Politics,"Society of the Spectacle - 스펙터클 문화비판"
Guy Standing,Economics,XII,"Welfare, Happiness & Heterodox Economics",Marxist & Heterodox Traditions,Contemporary,Western,Politics,"The Precariat - 프레카리아트·기본소득"
Haiqing Yu,Culture,11,"Digital, Media & Algorithmic Culture",C. Algorithmic & Platform Culture,Contemporary,East Asia,Politics,"Digital Socialist Governance - 중국 디지털 미디어"
Hamid Naficy,Critics,III,Identity-Based & Political,C. Postcolonial & Critical Race,Contemporary,MENA,Culture,"Accented Cinema - 망명·디아스포라 영화이론"
Hannah Arendt,Politics,4,"Power, Elites & Classical Democratic Theory",C. Totalitarianism & Authoritarianism,Modern,Western,Critics,"Origins of Totalitarianism - 전체주의·정치철학"
Hans Ulrich Gumbrecht,Critics,VII,Phenomenological & Hermeneutic,B. Aesthetics & Phenomenology of Reading,Contemporary,Western,ART,"Production of Presence - 현존·문학현상학"
Hany Farid,Critics,X,Digital & Media-Specific,B. Computational & Cultural Analytics,Contemporary,Western,,"Photo Forensics - 이미지 조작·디지털 포렌식"
Harry Collins,Society,VI,Digital & Network Society,Science & Technology Studies (STS),Contemporary,Western,,"Sociology of Scientific Knowledge - 과학지식사회학·전문성"
Harry Edwards,ART,6,Sport & Physical Culture,A. Sociology & Politics of Sport,Modern,Western,Society,"Revolt of the Black Athlete - 스포츠 사회학·인종"
Henri Bergson,ART,1,Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,Modern,Western,Critics,"Laughter - 지속·생철학 미학"
Herman Gray,Culture,9,Identity & Difference,"A. Gender, Race & Sexuality",Contemporary,Western,Critics,"Watching Race - 미디어 인종 표상·문화연구"
