Theorist,Concepts,New,Review
John Bale,Landscapes of Modern Sport · Sports Geography · The Global Sports Arena,N,
John J. Mearsheimer,The Tragedy of Great Power Politics · Offensive Realism · The Great Delusion,N,
John Lie,Multiethnic Japan · Zainichi Koreans · K-Pop,N,
John Rawls,Justice as Fairness · Original Position · Veil of Ignorance,N,
John Street,Celebrity Politics · Music and Politics · Politics and Popular Culture,N,
John Urry,The Tourist Gaze · Mobilities · Climate Change and Society,N,
John von Neumann,Game Theory · Von Neumann Architecture · Cellular Automata,N,
Jon Ronson,So You've Been Publicly Shamed · Cancel Culture · Public Shaming,N,
Jonathan Haidt,The Righteous Mind · The Happiness Hypothesis · The Coddling of the American Mind,N,
José Esteban Muñoz,Cruising Utopia · Disidentifications · The Sense of Brown,N,
Joseph Campbell,The Hero's Journey · The Hero with a Thousand Faces · The Masks of God,N,
Joseph Gusfield,The Culture of Public Problems · Drinking and Disorder · Symbolic Crusade,N,
Joseph Nye,Soft Power · Smart Power · The Future of Power,N,
Joseph Schumpeter,Creative Destruction · Entrepreneurship · Business Cycles,N,
Judith Butler,Gender Trouble · Performativity · Precarious Life,N,
Judith Herman,Trauma and Recovery · Father-Daughter Incest · Complex PTSD,N,
Judith Shklar,Legalism · Ordinary Vices · The Faces of Injustice,N,
Julia Kristeva,Powers of Horror · Abjection · Semiotic and Symbolic,N,
Julian McDougall,Media Literacy · Media Studies: The Basics · Fake News,N,
Julian Simon,The Ultimate Resource · Population Growth · Resource Abundance,N,
Jürgen Habermas,Communicative Action · Public Sphere · Colonization of the Lifeworld,N,
Felwine Sarr,Afrotopia · Restitution · Ateliers de la pensée,Y,
Francesco Casetti,Relocation of Cinema · The Lumière Galaxy · Display/Hypertopia,Y,
Frank B. Wilderson III,Afropessimism · Social Death · Cinematic Slavery,Y,
Glen Coulthard,Red Skin White Masks · Critique of Recognition · Grounded Normativity,Y,
Hamid Dabashi,Anticolonial Modernity · Palestinian/Iranian Cinema · Decolonial Imagination,Y,
Hil Malatino,Trans Care · t4t · Trans Negativity,Y,
Hito Steyerl,Poor Image · Circulationism · How Not to Be Seen,Y,
Jasbir K. Puar,Homonationalism · The Right to Maim · Debility/Capacity,Y,
Jennifer M. Barker,The Tactile Eye · Skin/Musculature/Viscera · Cinematic Tactility,Y,
Jennifer DeClue,Visioning Black Women · Carceral/Sexual Violence · Black Feminist Spectatorship,Y,
Jennifer Fay,Cinema in the Anthropocene · Aesthetic World-Making · Inhospitable World,Y,
Joan Donovan,Cheap Fakes · Disinformation · Media Manipulation Lifecycle,Y,
Joanna Zylinska,AI Art · The Perception Machine · Nonhuman Vision,Y,
Joseph Massad,Desiring Arabs · Orientalism in Reverse · The Gay International,Y,
Joy Buolamwini,Coded Gaze · Gender Shades · Algorithmic Justice,Y,
Jules Gill-Peterson,Histories of the Transgender Child · Trans Misogyny · Medical Gatekeeping,Y,
Juana María Rodríguez,Queer Latinidad · Sexual Futures · Gesture/Embodiment,Y,
Mark Fisher (K-Punk),Capitalist Realism · Hauntology · Acid Communism,N,
Kaori Hayashi,Media and Gender in Japan · Gendered Journalism · Mass Media Structure,N,
Karl Mannheim,Generational Consciousness · Sociology of Knowledge · Ideology and Utopia,N,
Karl Marx,Alienation of Labor · Commodity Fetishism · Historical Materialism,N,
Kate Manne,Down Girl · Himpathy · Misogyny,N,
Katherine Angel,Tomorrow Sex Will Be Good Again · Female Desire · Consent,N,
Keith Grint,Wicked Problems · Leadership as Art · Tame Problems,N,
Kim Lane Scheppele,Autocratic Legalism · Constitutional Ethnography · Rule of Law,N,
Kimberlé Crenshaw,Intersectionality · Mapping the Margins · Critical Race Theory,N,
Kishonna Gray,Intersectional Tech · Gaming While Black · Race and Technology,N,
Kobena Mercer,Black Hair/Style Politics · Welcome to the Jungle · Diaspora,N,
Koichi Iwabuchi,Cultural Odor · Recentering Globalization · Transnational Pop Culture,N,
Konrad Lorenz,Baby Schema · Imprinting · Ethology,N,
Krishnendu Ray,The Ethnic Restaurateur · Taste and Power · Migrant Food,N,
Kyle William Bishop,American Zombie Gothic · Dead Man Still Walking · Zombie Narrative,N,
Kyra Gaunt,The Games Black Girls Play · Musicality of Black Girlhood · Race and Rhythms,N,
Laura Clancy,Running the Family Firm · Corporate Monarchy · Wealth Inequality,N,
