Theorist,Part,MajorNo,Major,Sub,Era,Region,SecondaryPart,Note
Marijke de Valck,ART,9,Anthropology & Sociology of Art,C. Art Markets & Institutions,Contemporary,Western,Culture,"Film festivals as global film culture institutions"
Marilyn Strathern,Society,V,Advanced & Applied Social Theories,Gender & Sexuality,Contemporary,Western,Family,"Gender of the gift, kinship, feminist anthropology"
Marina Warner,ART,5,Literature & Literary Theory,B. Historicism & Society,Contemporary,Western,Culture,"Fairy tales, myth and cultural history of figures"
Mark Andrejevic,Culture,11,"Digital, Media & Algorithmic Culture",C. Algorithmic & Platform Culture,Contemporary,Western,Society,"Digital enclosure, automated surveillance"
Mark Banks,Culture,12,Cultural Economy & Production,A. Creative & Cultural Industries,Contemporary,Western,Society,"Politics of creative work and cultural labour"
Mark D. West,LAW,4,Law and Society & Sociology of Law,"B. Social Control, Deviance & Legal Culture",Contemporary,East Asia,Society,"Japanese law, scandal, sex and spectacle"
Mark McLelland,Culture,9,Identity & Difference,"A. Gender, Race & Sexuality",Contemporary,East Asia,Society,"Queer Japan, male homosexuality, digital media"
Mark Seltzer,Critics,XII,Affect & Sensory,C. Trauma & Witnessing,Contemporary,Western,Culture,"Wound culture, serial killers, true crime affect"
Marshall McLuhan,Culture,7,Media & Communication,B. Media Archaeology & Materiality,Modern,Western,Critics,"The medium is the message, global village"
Martha Nussbaum,Politics,5,"Justice, Recognition & Community",A. Liberalism & Justice,Contemporary,Western,Critics,"Capabilities approach, emotions and justice"
Martin Seligman,Psychology,9,Positive Psychology,A. Well-being Models,Contemporary,Western,,"Learned helplessness, positive psychology, flourishing"
Mary Beltrán,Critics,III,Identity-Based & Political,C. Postcolonial & Critical Race,Contemporary,Western,ART,"Latina/o stars and mixed race in media"
Masao Maruyama,Politics,4,"Power, Elites & Classical Democratic Theory",C. Totalitarianism & Authoritarianism,Modern,East Asia,History,"System of irresponsibility, modern Japanese political thought"
Matt Hills,Culture,5,British Cultural Studies (Birmingham School),B. Subculture & Fandom,Contemporary,Western,Critics,"Fan cultures, cult cinema, fan studies"
Matthew Gentzkow,Economics,XIII,"Platform, Digital & Data Economy",Data & Algorithmic Markets,Contemporary,Western,Politics,"Media bias, polarization, economics of digital news"
Matthew Gutmann,Society,V,Advanced & Applied Social Theories,Gender & Sexuality,Contemporary,Latin America,Culture,"Meanings of macho, global masculinities ethnography"
Matt Ridley,Nature,1,Evolutionary Theory & Human Origins,A. Selection & Adaptation,Contemporary,Western,Economics,"Rational optimist, evolutionary popular science"
Maurice Duverger,Politics,9,Political Economy & Comparative Politics,C. Comparative Politics,Modern,Western,,"Duverger's law, political parties, comparative politics"
Max Weber,Society,I,Classical Sociological Traditions,,Classical,Western,Politics,"Bureaucracy, charismatic authority, Protestant ethic"
McKenzie Wark,Critics,X,Digital & Media-Specific,C. Platform & Media Studies,Contemporary,Western,Culture,"Hacker manifesto, gamer theory, general intellect"
Mia Consalvo,Culture,11,"Digital, Media & Algorithmic Culture",A. Networked & Participatory Culture,Contemporary,Western,,"Gaming cultures, cheating in videogames, paratexts"
Michael Billig,Psychology,6,Social Psychology,A. Identity & Intergroup,Contemporary,Western,Politics,"Banal nationalism, discursive psychology"
Michael Kimmel,Society,V,Advanced & Applied Social Theories,Gender & Sexuality,Contemporary,Western,Culture,"Guyland, hegemonic masculinity, manhood in America"
Michael Messner,ART,6,Sport & Physical Culture,"C. Gender, Race & Identity in Sport",Contemporary,Western,Society,"Gender order in sport, men and sport"
Michael Sandel,Politics,5,"Justice, Recognition & Community",B. Communitarianism & Civic Republicanism,Contemporary,Western,,"Tyranny of merit, justice, communitarian critique"
Michael Schudson,Culture,7,Media & Communication,A. Media Effects & Audiences,Contemporary,Western,Society,"Sociology of news, public sphere, journalism"
Michel Foucault,Critics,II,Post-Structuralist & Deconstructive,B. Discourse & Genealogy,Modern,Western,Politics,"Discipline and Punish, panopticism, genealogy of power"
Michel Maffesoli,Society,IV,Contemporary Social Theories,Social Movements,Contemporary,Western,Culture,"Neo-tribalism, time of the tribes, everyday life"
Michel de Certeau,Culture,1,Foundations & Classical Approaches,C. Everyday Life & Praxis,Modern,Western,Critics,"Practice of everyday life, strategy and tactics"
Michelle Alexander,Politics,5,"Justice, Recognition & Community",C. Identity Politics,Contemporary,Western,LAW,"New Jim Crow, mass incarceration, racial caste"
Mihaly Csikszentmihalyi,Psychology,9,Positive Psychology,A. Well-being Models,Contemporary,Western,,"Flow, creativity, positive psychology"
Mike Featherstone,Culture,1,Foundations & Classical Approaches,A. Culture as a Whole Way of Life,Contemporary,Western,Society,"Consumer culture, postmodernism, images of aging"
Miquela Sousa (Lil Miquela),ART,11,"Digital, New Media & AI Arts",C. AI & Computational Creativity,Contemporary,Western,Culture,"Virtual influencer, synthetic authenticity, digital human"
Milton Friedman,Economics,II,Macroeconomics & Monetary Theory,Monetarism & New Classical,Modern,Western,Politics,"Monetarism, permanent income, shareholder primacy"
Mireya Solís,Politics,10,International Relations & Security,A. International Relations,Contemporary,East Asia,Economics,"Japan's economic statecraft and trade diplomacy"
Molara Ogundipe,Critics,III,Identity-Based & Political,A. Feminist & Gender Criticism,Contemporary,Africa,Politics,"Stiwanism, African feminist literary theory"
Molly Haskell,Critics,III,Identity-Based & Political,A. Feminist & Gender Criticism,Modern,Western,ART,"From Reverence to Rape, feminist film criticism"
Monica L. Miller,ART,13,Fashion & Dress Studies,"A. Dress, Identity & Fashion Systems",Contemporary,Western,Critics,"Black dandyism, slaves to fashion, dress and identity"
Murray Edelman,Politics,8,"Behavioral, Sociological & Policy Sciences",A. Political Psychology,Modern,Western,Culture,"Symbolic uses of politics, political spectacle"
Nancy Baym,Culture,11,"Digital, Media & Algorithmic Culture",A. Networked & Participatory Culture,Contemporary,Western,Society,"Personal connections in the digital age, online community"
Nancy Chodorow,Critics,IV,Psychoanalytic & Psychological,B. Object Relations & Post-Freudian,Contemporary,Western,Society,"Reproduction of mothering, psychoanalytic feminism"
Nancy Fraser,Politics,6,"Postcolonial, Feminist & Environmental Politics",B. Feminism & Gender in Politics,Contemporary,Western,Critics,"Redistribution/recognition, social reproduction"
Naomi Klein,Politics,3,Radical & Critical Traditions,A. Marxism & Socialism,Contemporary,Western,Culture,"No Logo, shock doctrine, anti-corporate critique"
Naomi Wolf,Culture,9,Identity & Difference,"A. Gender, Race & Sexuality",Contemporary,Western,,"The Beauty Myth, beauty and feminism"
Nassim Nicholas Taleb,Economics,VII,Institutional & Evolutionary Economics,Complexity & Agent-Based Economics,Contemporary,MENA,,"Black Swan, antifragility, uncertainty and risk"
Nate Silver,Economics,XIII,"Platform, Digital & Data Economy",Data & Algorithmic Markets,Contemporary,Western,,"Forecasting, data journalism, signal and noise"
Neil Postman,Culture,7,Media & Communication,A. Media Effects & Audiences,Modern,Western,Critics,"Amusing ourselves to death, technopoly, media ecology"
Niccolò Machiavelli,Politics,2,Early Modern & Enlightenment Political Thought,C. Republicanism & Civic Humanism,Classical,Western,,"The Prince, virtù, realist political thought"
Nicholas Tavuchis,Society,II,Contemporary Sociological Perspectives,,Modern,Western,,"Mea Culpa, sociology of apology"
Nick Bostrom,Critics,XVI,Post-Humanist & Non-Human,A. Posthumanism & Cyborg Theory,Contemporary,Western,Politics,"Superintelligence, simulation hypothesis, existential risk"
Nick Couldry,Culture,7,Media & Communication,A. Media Effects & Audiences,Contemporary,Western,Society,"Media rituals, media events, mediated centre"
Nick Dyer-Witheford,Critics,VI,Marxist & Materialist,C. Commodity & Political Economy,Contemporary,Western,Politics,"Cyber-Marx, cyber-proletariat, digital labour"
Nicole Constable,Society,V,Advanced & Applied Social Theories,Gender & Sexuality,Contemporary,East Asia,Family,"Cross-border marriage, migrant domestic labor"
Nicole R. Fleetwood,ART,10,"Race, Gender & Postcolonial Critique of Art",A. Critical Race & Representation,Contemporary,Western,Critics,"Carceral aesthetics, troubling vision, marking time"
Nikhil Pahwa,Politics,7,Democratic Theory & Contemporary Contestation,D. Digital Politics & Governance,Contemporary,South Asia,Society,"Net neutrality, internet freedom activism"
Niklas Luhmann,Society,IV,Contemporary Social Theories,Posthumanism & New Materialism,Modern,Western,Critics,"Social systems, autopoiesis, second-order observation"
Nikolas Rose,Society,IV,Contemporary Social Theories,Power and Control,Contemporary,Western,Medicine,"Governing the soul, politics of life itself, neuroscience"
Nils Christie,LAW,7,"Criminal Law, Punishment & Restorative Justice",B. Restorative & Transitional Justice,Modern,Western,Society,"Conflicts as property, limits to pain, restorative justice"
Nira Yuval-Davis,Politics,6,"Postcolonial, Feminist & Environmental Politics",B. Feminism & Gender in Politics,Contemporary,Western,Society,"Gender and nation, politics of belonging, intersectionality"
Noam Chomsky,Critics,VI,Marxist & Materialist,A. Frankfurt School & Critical Theory,Modern,Western,Politics,"Manufacturing consent, propaganda model, media critique"
Norbert Elias,Society,I,Classical Sociological Traditions,,Modern,Western,History,"The Civilizing Process, figuration, sociogenesis"
Norman Denzin,Society,II,Contemporary Sociological Perspectives,,Contemporary,Western,Critics,"Interpretive interactionism, cinematic society"
Olivier Roy,Society,V,Advanced & Applied Social Theories,Religion,Contemporary,Western,Politics,"Globalized Islam, holy ignorance, political Islam"
Orrin Klapp,Society,II,Contemporary Sociological Perspectives,,Modern,Western,Culture,"Symbolic leaders, heroes villains and fools, collective identity"
Otto Kirchheimer,Politics,3,Radical & Critical Traditions,C. Critical Theory & Neo-Marxism,Modern,Western,LAW,"Political justice, catch-all party, Frankfurt School law"
Oyeronke Oyewumi,Politics,6,"Postcolonial, Feminist & Environmental Politics",A. Postcolonial & Decolonial Politics,Contemporary,Africa,Society,"Invention of women, decolonizing gender, African gender studies"
Kara Keeling,Critics,III,Identity-Based & Political,B. Queer Theory,Contemporary,Western,ART,"Black femme, queer times of cinema, the cinematic"
Karen Hao,Critics,X,Digital & Media-Specific,C. Platform & Media Studies,Contemporary,Western,Politics,"Empire of AI, AI colonialism, data labor critique"
Karen Redrobe,Critics,XI,Intertextual & Comparative,B. Comparative & Adaptation,Contemporary,Western,ART,"Cinema and speed/stasis, (in)animation, film and other media"
Karl Schoonover,Critics,III,Identity-Based & Political,B. Queer Theory,Contemporary,Western,ART,"Queer cinema in the world, global art cinema, slowness"
Kate Crawford,Critics,X,Digital & Media-Specific,C. Platform & Media Studies,Contemporary,Western,Politics,"Atlas of AI, extractivism, affect recognition critique"
Kathleen Stewart,Critics,XII,Affect & Sensory,A. Affect Theory,Contemporary,Western,Culture,"Ordinary affects, atmospheric attunement, affective resonance"
