Theorist,Part,MajorNo,Major,Sub,Era,Region,SecondaryPart,Note
Sami Schalk,Critics,III,Identity-Based & Political,Disability Studies,Contemporary,Western,,Bodyminds and Black disability speculative fiction
Sara Roy,Politics,9,Political Economy & Comparative Politics,Political Economy (Advanced),Contemporary,MENA,Society,De-development political economy of Gaza
Shane Denson,Critics,X,Digital & Media-Specific,Platform & Media Studies,Contemporary,Western,ART,Post-cinema discorrelated and computational images
Simone Browne,Critics,III,Identity-Based & Political,Postcolonial & Critical Race,Contemporary,Western,Society,Racializing surveillance and biometric Blackness
Souleymane Bachir Diagne,Politics,6,"Postcolonial, Feminist & Environmental Politics",Postcolonial & Decolonial Politics,Contemporary,Africa,Critics,Philosophy as translation and Islam open society
Steven Shaviro,Critics,XII,Affect & Sensory,Embodied & Sensory Reading,Contemporary,Western,ART,Cinematic body and post-cinematic affect
Susan Stryker,Critics,III,Identity-Based & Political,Queer Theory,Contemporary,Western,Culture,Foundational transgender studies and trans rage
Sylvia Tamale,Politics,6,"Postcolonial, Feminist & Environmental Politics",Feminism & Gender in Politics,Contemporary,Africa,Society,Afro-feminism and African sexualities
Sylvia Wynter,Critics,III,Identity-Based & Political,Postcolonial & Critical Race,Contemporary,Latin America,Politics,Genres of the human and overrepresentation of Man
Syed Hussein Alatas,Society,IV,Contemporary Social Theories,Social Constructionism,Modern,South Asia,Politics,Captive mind and myth of the lazy native
Taina Bucher,Culture,11,"Digital, Media & Algorithmic Culture",Algorithmic & Platform Culture,Contemporary,Western,Critics,Algorithmic imaginary and programmed sociality
Talia Mae Bettcher,Critics,III,Identity-Based & Political,Queer Theory,Contemporary,Western,,Trans philosophy and first-person authority
Tarleton Gillespie,Culture,11,"Digital, Media & Algorithmic Culture",Algorithmic & Platform Culture,Contemporary,Western,Critics,Platform governance and content moderation
Thomas Elsaesser,Critics,X,Digital & Media-Specific,Platform & Media Studies,Contemporary,Western,History,Media archaeology and new film history
Tiago de Luca,Critics,I,Formalist & Text-Centric,Stylistics & Textual Criticism,Contemporary,Latin America,ART,Slow cinema sensory realism and contemplative duration
Timnit Gebru,ART,11,"Digital, New Media & AI Arts",AI & Computational Creativity,Contemporary,Africa,Critics,Stochastic parrots and AI harm audit
Tina Campt,Critics,XII,Affect & Sensory,Embodied & Sensory Reading,Contemporary,Western,ART,Listening to images and Black feminist futurity
Trevor Paglen,ART,11,"Digital, New Media & AI Arts",AI & Computational Creativity,Contemporary,Western,Critics,Invisible images machine vision operational aesthetics
Ulrich Beck,Society,IV,Contemporary Social Theories,Globalization & World-Systems,Modern,Western,Politics,Risk society individualization and cosmopolitanism
Umberto Eco,Critics,I,Formalist & Text-Centric,Structuralism & Semiotics,Modern,Western,Culture,Semiotics hyperreality and the open work
Vandana Shiva,Politics,6,"Postcolonial, Feminist & Environmental Politics",Environmental Politics & Justice,Contemporary,South Asia,Society,Ecofeminism biopiracy and staying alive
Victor Turner,ART,3,Performance Studies & Theatre,Performance Theory & Ritual,Modern,Western,Society,Liminality communitas and social drama
Viktor Mayer-Schönberger,Society,VI,Digital & Network Society,Social Technology & Data,Contemporary,Western,LAW,Big data datafication and the virtue of forgetting
Vilfredo Pareto,Politics,4,"Power, Elites & Classical Democratic Theory",Elitism & Realism,Classical,Western,Economics,Circulation of elites residues and derivations
Viviana Zelizer,Society,V,Advanced & Applied Social Theories,General Social Theories,Contemporary,Western,Economics,Social meaning of money and pricing the child
W. J. T. Mitchell,ART,7,Visual Culture & Media Studies,Visual Culture & Spectacle,Contemporary,Western,Critics,Picture theory and what pictures want
Walter Bagehot,Politics,4,"Power, Elites & Classical Democratic Theory",Early Democratic Theory,Classical,Western,Economics,English constitution dignified and efficient
Walter Benjamin,Critics,VI,Marxist & Materialist,Frankfurt School & Critical Theory,Modern,Western,ART,Aura mechanical reproduction and the flaneur
Wendy Brown,Politics,3,Radical & Critical Traditions,Critical Theory & Neo-Marxism,Contemporary,Western,Society,Undoing the demos and neoliberal critique
Wendy Doniger,Society,V,Advanced & Applied Social Theories,Religion,Contemporary,Western,Culture,Hindu mythology dreams and illusion
Whitney Phillips,Culture,11,"Digital, Media & Algorithmic Culture",Networked & Participatory Culture,Contemporary,Western,,Trolling and the ambivalent internet
Willem de Haan,LAW,7,"Criminal Law, Punishment & Restorative Justice",Restorative & Transitional Justice,Modern,Western,Society,Penal abolitionism and politics of redress
William Ian Miller,LAW,9,Legal History & Historical Jurisprudence,Historical Jurisprudence & Legal Evolution,Contemporary,Western,Culture,Anatomy of disgust humiliation and eye for an eye
William Nordhaus,Economics,IX,Development & Environmental Economics,Environmental & Resource Economics,Contemporary,Western,,Climate economics DICE model and carbon cost
William W. Kelly,ART,6,Sport & Physical Culture,Sociology & Politics of Sport,Contemporary,Western,Culture,Anthropology of Japanese sport and fandom
Wolfgang Streeck,Politics,9,Political Economy & Comparative Politics,Political Economy & Neoliberalism,Contemporary,Western,Society,Crisis of democratic capitalism and buying time
Yanis Varoufakis,Economics,XIII,"Platform, Digital & Data Economy",Platform & Network Economics,Contemporary,Western,Politics,Technofeudalism and the global minotaur
Yasmin Ibrahim,Culture,11,"Digital, Media & Algorithmic Culture",Algorithmic & Platform Culture,Contemporary,MENA,Critics,Digital icons and politics of the technological gaze
Yiannis Gabriel,MANAGEMENT,1,Organizational Behavior & Work Psychology,"Decision Making & Behavioral Ethics",Contemporary,Western,Culture,Organizational storytelling and unmanageable consumer
Yvonne Tasker,Critics,III,Identity-Based & Political,Feminist & Gender Criticism,Contemporary,Western,ART,Spectacular bodies gender and action cinema
Zeke Faux,Economics,XIII,"Platform, Digital & Data Economy",Data & Algorithmic Markets,Contemporary,Western,,Crypto-grift and Tether investigative economics
Zeynep Tufekci,Society,VI,Digital & Network Society,Social Technology & Data,Contemporary,MENA,Culture,Networked publics protest and attention economy
Zygmunt Bauman,Society,IV,Contemporary Social Theories,Globalization & World-Systems,Modern,Western,Culture,Liquid modernity wasted lives and liquid love
Ulises A. Mejias,Culture,11,"Digital, Media & Algorithmic Culture",Algorithmic & Platform Culture,Contemporary,Latin America,Society,Data colonialism and the costs of connection
Veena Dubal,LAW,10,"Digital, Technology & AI Law","AI, Algorithms & Automated Decision-Making",Contemporary,Western,Economics,Algorithmic wage discrimination and gig precarity
Virginia Eubanks,Society,VI,Digital & Network Society,Social Technology & Data,Contemporary,Western,LAW,Automating inequality and the digital poorhouse
Vivian Sobchack,Critics,XII,Affect & Sensory,Embodied & Sensory Reading,Contemporary,Western,ART,Embodied film phenomenology and the cinesthetic subject
Walter Mignolo,Politics,6,"Postcolonial, Feminist & Environmental Politics",Postcolonial & Decolonial Politics,Contemporary,Latin America,Critics,Coloniality of power border thinking and delinking
Wang Hui (汪暉),Politics,3,Radical & Critical Traditions,Marxism & Socialism,Contemporary,East Asia,History,China's New Left and depoliticized politics
Wendy Hui Kyong Chun,Culture,11,"Digital, Media & Algorithmic Culture",Algorithmic & Platform Culture,Contemporary,East Asia,Critics,Discriminating data homophily and habitual new media
