Theorist,Part,MajorNo,Major,Sub,Era,Region,SecondaryPart,Note
Chantal Mouffe,Politics,7,Democratic Theory & Contemporary Contestation,A. Deliberative & Participatory Democracy,Contemporary,Western,Critics,Agonistic pluralism and left populism
Charles Taylor,Politics,5,"Justice, Recognition & Community",B. Communitarianism & Civic Republicanism,Modern,Western,Culture,Secular age and communitarian recognition
Chie Nakane,Society,V,Advanced & Applied Social Theories,General Social Theories,Modern,East Asia,Culture,Vertical structure of Japanese society
Chris Anderson,Economics,XIII,"Platform, Digital & Data Economy",Platform & Network Economics,Contemporary,Western,Management,The Long Tail in digital markets
Chris Rojek,Culture,5,British Cultural Studies (Birmingham School),B. Subculture & Fandom,Contemporary,Western,Society,Celebrity and parasocial interaction
Christian Fuchs,Society,VI,Digital & Network Society,Social Technology & Data,Contemporary,Western,Politics,Marxist critique of digital labour
Christie Davies,Society,V,Advanced & Applied Social Theories,Culture & Media,Modern,Western,Culture,Sociology of humor and the mirth of nations
Christina Klein,Culture,8,Global & Transnational Culture,A. Hybridization & World Culture,Contemporary,Western,Critics,Cold War Orientalism in American culture
Christophe Dejours,Society,V,Advanced & Applied Social Theories,Work & Organizations,Contemporary,Western,Psychology,Psychodynamics of work and suicide
Christophe Jaffrelot,Politics,9,Political Economy & Comparative Politics,C. Comparative Politics,Contemporary,South Asia,Society,Hindu nationalism and Modi's India
Christopher Lasch,Society,I,Classical Sociological Traditions,—,Modern,Western,Psychology,Culture of narcissism and social character
Clayton Christensen,Management,7,Innovation & Entrepreneurship,A. Diffusion & Disruptive Innovation,Contemporary,Western,Economics,Disruptive innovation and the innovator's dilemma
Cihan Tugal,Society,V,Advanced & Applied Social Theories,Religion,Contemporary,MENA,Politics,Passive revolution and Islamic politics in Turkey
Cinzia Arruzza,Politics,6,"Postcolonial, Feminist & Environmental Politics",B. Feminism & Gender in Politics,Contemporary,Western,Society,Feminism for the 99% and social reproduction
Clifford Geertz,Culture,1,Foundations & Classical Approaches,B. Anthropology of Culture,Modern,Western,ART,Thick description and interpretive anthropology
Colin Crouch,Politics,7,Democratic Theory & Contemporary Contestation,C. Populism & Post-Politics,Contemporary,Western,Economics,Post-democracy and neoliberal politics
Colin Dickey,Culture,13,"Material, Spatial & Heritage Culture",E. Cultural Geography & Place,Contemporary,Western,History,Cultural history of the unexplained and place
Corey Robin,Politics,2,Early Modern & Enlightenment Political Thought,D. Conservatism & Counter-Enlightenment,Contemporary,Western,History,The reactionary mind and conservative thought
Crystal Abidin,Culture,11,"Digital, Media & Algorithmic Culture",A. Networked & Participatory Culture,Contemporary,East Asia,Society,Internet celebrity and calibrated amateurism
Cynthia Enloe,Politics,6,"Postcolonial, Feminist & Environmental Politics",B. Feminism & Gender in Politics,Contemporary,Western,Society,Feminist international relations and militarization
Daisuke Miyao,ART,7,Visual Culture & Media Studies,A. Visual Culture & Spectacle,Contemporary,East Asia,Critics,Aesthetics of shadow in Japanese cinema
Dal Yong Jin,Culture,8,Global & Transnational Culture,D. Global Cultural Industries & Diplomacy,Contemporary,East Asia,Society,Transnational Hallyu and platform imperialism
Daron Acemoglu,Economics,VII,Institutional & Evolutionary Economics,Institutional Economics,Contemporary,Western,Politics,Inclusive institutions and why nations fail
Daniel Boorstin,Culture,7,Media & Communication,A. Media Effects & Audiences,Modern,Western,History,Pseudo-event and the image
Daniel J. Solove,LAW,10,"Digital, Technology & AI Law","C. Privacy, Data Governance & Platform Regulation",Contemporary,Western,Society,Privacy and reputation in the digital age
Daniel Kahneman,Psychology,2,Cognitive,C. Decision-Making & Heuristics,Modern,Western,Economics,Prospect theory and dual-process thinking
Daniel Miller,Culture,13,"Material, Spatial & Heritage Culture",A. Material Culture & Objects,Contemporary,Western,Society,Material culture and the comfort of things
Daniel Trottier,Society,VI,Digital & Network Society,Social Technology & Data,Contemporary,Western,Culture,Digital vigilantism and online surveillance
Danielle Keats Citron,LAW,10,"Digital, Technology & AI Law","C. Privacy, Data Governance & Platform Regulation",Contemporary,Western,Politics,Cyber hate crime and sexual privacy law
Daphne A. Brooks,ART,4,Music & Sound Studies,A. Sociology & Politics of Music,Contemporary,Western,Critics,Black women's music and cultural archive
David Bordwell,Critics,I,Formalist & Text-Centric,A. Formalism & New Criticism,Contemporary,Western,ART,Neoformalist film poetics and intensified continuity
David Garland,LAW,7,"Criminal Law, Punishment & Restorative Justice",A. Punishment Theory (Retribution/Deterrence/Rehabilitation),Contemporary,Western,Society,Culture of control and penal sociology
David Graeber,Society,IV,Contemporary Social Theories,Social Movements,Contemporary,Western,Economics,"Bureaucracy, debt and bullshit jobs"
David Harvey,Politics,3,Radical & Critical Traditions,A. Marxism & Socialism,Modern,Western,Society,Accumulation by dispossession and right to the city
David Hesmondhalgh,Culture,12,Cultural Economy & Production,A. Creative & Cultural Industries,Contemporary,Western,Society,Cultural industries and precarious creative labour
David J. Leonard,ART,6,Sport & Physical Culture,"C. Gender, Race & Identity in Sport",Contemporary,Western,Culture,Race and whiteness in sport
David Lyon,Society,VI,Digital & Network Society,Social Technology & Data,Contemporary,Western,Culture,Surveillance studies and culture of surveillance
P. David Marshall,Culture,5,British Cultural Studies (Birmingham School),B. Subculture & Fandom,Contemporary,Western,Society,Celebrity power and persona studies
David Riesman,Society,I,Classical Sociological Traditions,—,Modern,Western,Psychology,Other-directedness and the lonely crowd
