Theorist,Part,MajorNo,Major,Sub,Era,Region,SecondaryPart,Note
Joseph Schumpeter,Economics,VII,Institutional & Evolutionary Economics,Evolutionary Economics,Modern,Western,MANAGEMENT,Creative destruction and entrepreneurship economist
Judith Butler,Critics,III,Identity-Based & Political,B. Queer Theory,Contemporary,Western,Culture,Gender performativity and queer theory founder
Judith Herman,Psychology,7,Clinical & Psychopathology,C. Trauma & Resilience,Modern,Western,,Trauma and recovery clinical psychiatrist
Judith Shklar,Politics,5,"Justice, Recognition & Community",A. Liberalism & Justice,Modern,Western,,Liberal political theorist of injustice and cruelty
Julia Kristeva,Critics,IV,Psychoanalytic & Psychological,A. Freudian & Lacanian,Modern,Western,ART,Abjection and semiotic psychoanalytic critic
Julian McDougall,Critics,X,Digital & Media-Specific,C. Platform & Media Studies,Contemporary,Western,Culture,Media literacy and fake news education scholar
Julian Simon,Economics,IX,Development & Environmental Economics,Environmental & Resource Economics,Modern,Western,,Resource abundance and population optimist economist
Jürgen Habermas,Society,IV,Contemporary Social Theories,Power and Control,Modern,Western,Politics,Public sphere and communicative action theorist
Felwine Sarr,Politics,6,"Postcolonial, Feminist & Environmental Politics",A. Postcolonial & Decolonial Politics,Contemporary,Africa,Culture,Afrotopia decolonial thinker and restitution advocate
Francesco Casetti,Critics,X,Digital & Media-Specific,C. Platform & Media Studies,Contemporary,Western,ART,Film theorist of cinema relocation and the screen
Frank B. Wilderson III,Critics,III,Identity-Based & Political,C. Postcolonial & Critical Race,Contemporary,Western,Culture,Afropessimism and social death film theorist
Glen Coulthard,Politics,6,"Postcolonial, Feminist & Environmental Politics",A. Postcolonial & Decolonial Politics,Contemporary,Global,Society,Indigenous decolonial critic of recognition politics
Hamid Dabashi,Critics,III,Identity-Based & Political,C. Postcolonial & Critical Race,Contemporary,MENA,ART,Anticolonial film theorist of Iranian and world cinema
Hil Malatino,Critics,III,Identity-Based & Political,B. Queer Theory,Contemporary,Western,Culture,Trans care and trans negativity theorist
Hito Steyerl,ART,7,Visual Culture & Media Studies,A. Visual Culture & Spectacle,Contemporary,Western,Critics,Poor image and digital circulation artist-theorist
Jasbir K. Puar,Critics,III,Identity-Based & Political,B. Queer Theory,Contemporary,South Asia,Politics,Homonationalism and debility queer theorist
Jennifer M. Barker,Critics,XII,Affect & Sensory,B. Embodied & Sensory Reading,Contemporary,Western,ART,Phenomenology of cinematic tactility and embodiment
Jennifer DeClue,Critics,III,Identity-Based & Political,C. Postcolonial & Critical Race,Contemporary,Western,ART,Black feminist film spectatorship theorist
Jennifer Fay,Critics,IX,Ecological & Environmental,B. Dark Ecology & Anthropocene,Contemporary,Western,ART,Cinema and the Anthropocene film theorist
Joan Donovan,Culture,11,"Digital, Media & Algorithmic Culture",C. Algorithmic & Platform Culture,Contemporary,Western,Society,Disinformation and media manipulation researcher
Joanna Zylinska,ART,11,"Digital, New Media & AI Arts",C. AI & Computational Creativity,Contemporary,Western,Critics,AI art and nonhuman vision media theorist
Joseph Massad,Critics,III,Identity-Based & Political,C. Postcolonial & Critical Race,Contemporary,MENA,Politics,Postcolonial critic of sexuality and orientalism
Joy Buolamwini,ART,11,"Digital, New Media & AI Arts",C. AI & Computational Creativity,Contemporary,Western,Society,Algorithmic bias and coded gaze researcher
Jules Gill-Peterson,Critics,III,Identity-Based & Political,B. Queer Theory,Contemporary,Western,History,Trans childhood history and trans misogyny theorist
Juana María Rodríguez,Critics,III,Identity-Based & Political,B. Queer Theory,Contemporary,Latin America,Culture,Queer latinidad and gesture embodiment theorist
Mark Fisher (K-Punk),Culture,4,Post-Structuralism & Postmodernism,A. Simulation & Hyperreality,Contemporary,Western,Critics,Capitalist realism and hauntology cultural theorist
Kaori Hayashi,Culture,7,Media & Communication,A. Media Effects & Audiences,Contemporary,East Asia,Society,Scholar of media gender and journalism in Japan
Karl Mannheim,Society,I,Classical Sociological Traditions,—,Classical,Western,Culture,Sociology of knowledge and generational consciousness
Karl Marx,Politics,3,Radical & Critical Traditions,A. Marxism & Socialism,Classical,Western,Economics,Historical materialism and commodity fetishism founder
Kate Manne,Politics,6,"Postcolonial, Feminist & Environmental Politics",B. Feminism & Gender in Politics,Contemporary,Western,Critics,Philosopher of misogyny and himpathy
Katherine Angel,Critics,III,Identity-Based & Political,A. Feminist & Gender Criticism,Contemporary,Western,Culture,Feminist writer on female desire and consent
Keith Grint,MANAGEMENT,6,Leadership,A. Relational & Authentic Leadership,Contemporary,Western,,Leadership theorist of wicked problems
Kim Lane Scheppele,LAW,5,Constitutional Theory & Public Law,"A. Constitutionalism, Judicial Review & Rights",Contemporary,Western,Politics,Scholar of autocratic legalism and rule of law
Kimberlé Crenshaw,Critics,III,Identity-Based & Political,C. Postcolonial & Critical Race,Contemporary,Western,LAW,Intersectionality and critical race theory founder
Kishonna Gray,Culture,11,"Digital, Media & Algorithmic Culture",C. Algorithmic & Platform Culture,Contemporary,Western,Critics,Intersectional tech and race in gaming scholar
Kobena Mercer,ART,10,"Race, Gender & Postcolonial Critique of Art",A. Critical Race & Representation,Contemporary,Western,Culture,Black diaspora visual culture and style critic
Koichi Iwabuchi,Culture,8,Global & Transnational Culture,A. Hybridization & World Culture,Contemporary,East Asia,Society,Theorist of cultural odor and transnational Asian pop
Konrad Lorenz,Nature,10,Ethology & Human-Animal Studies,A. Human Ethology & Nonverbal Signals,Modern,Western,Psychology,Founder of ethology imprinting and baby schema
Krishnendu Ray,Culture,13,"Material, Spatial & Heritage Culture",B. Food & Foodways,Contemporary,South Asia,Society,Scholar of migrant food taste and power
Kyle William Bishop,Critics,XI,Intertextual & Comparative,B. Comparative & Adaptation,Contemporary,Western,Culture,Scholar of zombie film and gothic narrative
Kyra Gaunt,ART,4,Music & Sound Studies,B. Ethnomusicology & Globalization,Contemporary,Western,Culture,Ethnomusicologist of Black girlhood and rhythm
Laura Clancy,Society,V,Advanced & Applied Social Theories,General Social Theories,Contemporary,Western,Culture,Sociologist of monarchy wealth and inequality
