theorist,part,major,sub,era,region,new,existing,n_existing
Katherine Angel,Critics,Identity-Based & Political,A. Feminist & Gender Criticism,Contemporary,Western,N,Consent | Female Desire | Tomorrow Sex Will Be Good Again,3
Keith Grint,MANAGEMENT,Leadership,A. Relational & Authentic Leadership,Contemporary,Western,N,Leadership as Art | Tame Problems | Wicked Problems,3
Kim Lane Scheppele,LAW,Constitutional Theory & Public Law,"A. Constitutionalism, Judicial Review & Rights",Contemporary,Western,N,Autocratic Legalism | Constitutional Ethnography | Rule of Law,3
Kimberlé Crenshaw,Critics,Identity-Based & Political,C. Postcolonial & Critical Race,Contemporary,Western,N,Critical Race Theory | Critical Race Theory (CRT in Law) | Intersectionality | Mapping the Margins,4
Kishonna Gray,Culture,"Digital, Media & Algorithmic Culture",C. Algorithmic & Platform Culture,Contemporary,Western,N,Gaming While Black | Intersectional Tech | Race and Technology,3
Kobena Mercer,ART,"Race, Gender & Postcolonial Critique of Art",A. Critical Race & Representation,Contemporary,Western,N,Black Hair/Style Politics | Diaspora | Welcome to the Jungle,3
Koichi Iwabuchi,Culture,Global & Transnational Culture,A. Hybridization & World Culture,Contemporary,East Asia,N,Cultural Odor | Recentering Globalization | Reverse Cultural Flows Theory | Transnational Pop Culture,4
Konrad Lorenz,Nature,Ethology & Human-Animal Studies,A. Human Ethology & Nonverbal Signals,Modern,Western,N,Baby Schema | Ethology | Imprinting | Innate Releasing Mechanisms (Human),4
Krishnendu Ray,Culture,"Material, Spatial & Heritage Culture",B. Food & Foodways,Contemporary,South Asia,N,Migrant Food | Taste and Power | The Ethnic Restaurateur,3
Kyle William Bishop,Critics,Intertextual & Comparative,B. Comparative & Adaptation,Contemporary,Western,N,American Zombie Gothic | Dead Man Still Walking | Zombie Narrative,3
Kyra Gaunt,ART,Music & Sound Studies,B. Ethnomusicology & Globalization,Contemporary,Western,N,Musicality of Black Girlhood | Race and Rhythms | The Games Black Girls Play,3
