theorist,part,major,sub,era,region,new,existing,n_existing
George Ritzer,Society,Advanced & Applied Social Theories,Globalization & Development,Contemporary,Western,N,Enchanting a Disenchanted World | Globalization of Nothing | McDonaldization | Prosumption | The McDonaldization of Society,5
Georges Bataille,Critics,Post-Structuralist & Deconstructive,B. Discourse & Genealogy,Modern,Western,N,Eroticism | The Accursed Share | Transgression,3
Gerald Curtis,Politics,Political Economy & Comparative Politics,C. Comparative Politics,Modern,East Asia,N,Election Campaigning Japanese Style | The Japanese Way of Politics | The Logic of Japanese Politics,3
Gilles Deleuze,Critics,Post-Structuralist & Deconstructive,A. Deconstruction,Modern,Western,N,Assemblage Theory | Difference and Repetition | Rhizome | Schizoanalysis,4
Gilles Lipovetsky,ART,Fashion & Dress Studies,"A. Dress, Identity & Fashion Systems",Contemporary,Western,N,Hypermodern Times | Lightness | The Empire of Fashion,3
Ginette Vincendeau,Critics,Historical & Cultural Materialist,B. Cultural Studies,Contemporary,Western,N,French Cinema | Star Studies | Stars and Stardom in French Cinema,3
Giorgio Agamben,Politics,Radical & Critical Traditions,D. Post-Structuralism & Postmodern Politics,Contemporary,Western,N,Bare Life | Homo Sacer | Political Theology (Contemporary) | State of Exception | State of Exception (Political Theory),5
Gisèle Sapiro,ART,Literature & Literary Theory,B. Historicism & Society,Contemporary,Western,N,The French Writers' War | The Responsibility of the Writer | The Sociology of Literature,3
Glauber Rocha,Critics,Historical & Cultural Materialist,B. Cultural Studies,Modern,Latin America,N,Aesthetics of Hunger | Cinema Novo | Manifesto of the Cinema Novo,3
Graeme Turner,Culture,British Cultural Studies (Birmingham School),B. Subculture & Fandom,Contemporary,Western,N,Demotic Turn | Ordinary People and the Media | Understanding Celebrity,3
Greg Tate,Culture,Identity & Difference,"A. Gender, Race & Sexuality",Contemporary,Western,N,Everything But the Burden | Flyboy in the Buttermilk | Midnight Lightning,3
Guy Debord,Culture,Post-Structuralism & Postmodernism,A. Simulation & Hyperreality,Modern,Western,N,Détournement | Psychogeography | Society of the Spectacle | Spectacle | The Society of the Spectacle | The Spectacle (Political Theory),6
Guy Standing,Economics,"Welfare, Happiness & Heterodox Economics",Marxist & Heterodox Traditions,Contemporary,Western,N,Basic Income | Precariat | The Corruption of Capitalism | The Precariat,4
Haiqing Yu,Culture,"Digital, Media & Algorithmic Culture",C. Algorithmic & Platform Culture,Contemporary,East Asia,N,Digital Socialist Governance | Internet in China | Media and Cultural Transformation in China,3
Hamid Naficy,Critics,Identity-Based & Political,C. Postcolonial & Critical Race,Contemporary,MENA,N,Accented Cinema | Exilic and Diasporic Filmmaking | Iranian Cinema,3
Hannah Arendt,Politics,"Power, Elites & Classical Democratic Theory",C. Totalitarianism & Authoritarianism,Modern,Western,N,The Banality of Evil | The Human Condition | The Origins of Totalitarianism,3
Hans Ulrich Gumbrecht,Critics,Phenomenological & Hermeneutic,B. Aesthetics & Phenomenology of Reading,Contemporary,Western,N,After 1945 | In Praise of Athletic Beauty | Production of Presence,3
Hany Farid,Critics,Digital & Media-Specific,B. Computational & Cultural Analytics,Contemporary,Western,N,Digital Image Tampering | Fake Photos | Photo Forensics,3
Harry Collins,Society,Digital & Network Society,Science & Technology Studies (STS),Contemporary,Western,N,Gravity's Ghost | Interactional Expertise | Sociology of Scientific Knowledge,3
Harry Edwards,ART,Sport & Physical Culture,A. Sociology & Politics of Sport,Modern,Western,N,Sociology of Sport | Sport and Social Change | The Revolt of the Black Athlete | The Sociology of Sport,4
Henri Bergson,ART,Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,Modern,Western,N,Duration | Laughter | Élan Vital,3
Herman Gray,Culture,Identity & Difference,"A. Gender, Race & Sexuality",Contemporary,Western,N,Cultural Moves | Post-Soul Aesthetics | Watching Race,3
Henry Jenkins,Culture,"Digital, Media & Algorithmic Culture",A. Networked & Participatory Culture,Contemporary,Western,N,Convergence Culture | Fandom Studies | Participatory Culture | Participatory Culture Theory | Spreadable Media | Transmedia Storytelling,6
Hernando de Soto,Economics,Institutional & Evolutionary Economics,Institutional Economics,Contemporary,Latin America,N,Dead Capital | Property Rights | The Mystery of Capital,3
Hilary Mantel,ART,Literature & Literary Theory,B. Historicism & Society,Contemporary,Western,N,Giving Up the Ghost | Royal Bodies | Wolf Hall,3
Hiroshi Aoyagi,Culture,Global & Transnational Culture,D. Global Cultural Industries & Diplomacy,Contemporary,East Asia,N,Idol Performance | Islands of Eight Million Smiles | Public Apology,3
Homi K. Bhabha,Critics,Identity-Based & Political,C. Postcolonial & Critical Race,Contemporary,South Asia,N,Hybridity | Hybridity (Bhabha) | Mimicry (Historical) | Postcolonial Criticism | Postcolonial Literary Theory | The Location of Culture | Third Space,7
Howard Gardner,Psychology,Cognitive,A. Social-Cognitive Theory,Modern,Western,N,Bodily-Kinesthetic Intelligence | Frames of Mind | Multiple Intelligences | Musical Development Theory,4
Hélène Cixous,Critics,Identity-Based & Political,A. Feminist & Gender Criticism,Modern,Western,N,French Feminism | Stigmata | The Laugh of the Medusa | Écriture Féminine,4
Iain Borden,ART,Architecture & the Built Environment,"B. Architecture, Society & Power",Contemporary,Western,N,"Skateboarding as Critique | Skateboarding, Space and the City | The Unknown City",3
Ian Condry,Culture,Global & Transnational Culture,A. Hybridization & World Culture,Contemporary,East Asia,N,Hip-Hop Japan | Media Mix | The Soul of Anime,3
Idelber Avelar,Critics,Identity-Based & Political,C. Postcolonial & Critical Race,Contemporary,Latin America,N,The Letter of Violence | The Untimely Present | Transculturation,3
Ien Ang,Culture,British Cultural Studies (Birmingham School),B. Subculture & Fandom,Contemporary,Global,N,Desperately Seeking the Audience | Melodramatic Imagination | Watching Dallas,3
Imogen Tyler,Society,Contemporary Social Theories,Social Movements,Contemporary,Western,N,Revolting Subjects | Social Abjection | Stigma: The Machinery of Inequality,3
Israel Kirzner,Economics,Institutional & Evolutionary Economics,Evolutionary Economics,Modern,Western,N,Competition and Entrepreneurship | Discovery Process | Entrepreneurial Alertness,3
Jack Halberstam,Critics,Identity-Based & Political,B. Queer Theory,Contemporary,Western,N,Female Masculinity | Queer Temporalities | Queer Time and Place | The Queer Art of Failure,4
Jack Katz,Society,Advanced & Applied Social Theories,General Social Theories,Modern,Western,N,How Emotions Work | Moral Rage | Seductions of Crime,3
Jacques Attali,ART,Music & Sound Studies,A. Sociology & Politics of Music,Modern,Western,N,Millennium | Music and Power Theory | Music as Prophecy | Noise: The Political Economy of Music | Politics of Sound (Music) Theory,5
Jacques Derrida,Critics,Post-Structuralist & Deconstructive,A. Deconstruction,Modern,Western,N,Aporia | Archive Theory | Deconstruction | Différance | Justice vs Law | Logocentrism | Post-Structuralism | Postmodern Criticism | Trace,9
Jacques Rancière,ART,Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,Contemporary,Western,N,Dissensus | Post-Politics | The Ignorant Schoolmaster | The Politics of Aesthetics,4
Jair Bolsonaro,Politics,Democratic Theory & Contemporary Contestation,C. Populism & Post-Politics,Contemporary,Latin America,N,Anti-Globalism | Bolsonarism | Cultural Wars,3
James M. Buchanan,Economics,Political Economy & Public Choice,Public Choice & Political Behavior,Modern,Western,N,Constitutional Economics | Public Choice Theory | The Calculus of Consent,3
James C. Scott,Politics,Radical & Critical Traditions,B. Anarchism & Syndicalism,Contemporary,Western,N,Cultural Resistance Theory | Hidden Transcripts | Moral Economy | Seeing Like a State | Weapons of the Weak,5
James Lovelock,Nature,Evolutionary Theory & Human Origins,B. Gene-Culture Coevolution & Human Origins,Modern,Western,N,Gaia Hypothesis | Novacene | Revenge of Gaia,3
James Naremore,Critics,Intertextual & Comparative,B. Comparative & Adaptation,Contemporary,Western,N,Acting in the Cinema | More Than Night | On Kubrick,3
Jan-Werner Müller,Politics,Democratic Theory & Contemporary Contestation,C. Populism & Post-Politics,Contemporary,Western,N,Constitutional Patriotism | Contesting Democracy | What is Populism?,3
