theorist,part,major,sub,era,region,new,existing,n_existing
William Ian Miller,LAW,Legal History & Historical Jurisprudence,Historical Jurisprudence & Legal Evolution,Contemporary,Western,N,Eye for an Eye | Humiliation | The Anatomy of Disgust,3
William Nordhaus,Economics,Development & Environmental Economics,Environmental & Resource Economics,Contemporary,Western,N,Climate Economics | DICE Model | Social Cost of Carbon,3
William W. Kelly,ART,Sport & Physical Culture,Sociology & Politics of Sport,Contemporary,Western,N,Fanning the Flames | Japanese Sport | The Hanshin Tigers,3
Wolfgang Streeck,Politics,Political Economy & Comparative Politics,Political Economy & Neoliberalism,Contemporary,Western,N,Buying Time | Democratic Capitalism | How Will Capitalism End?,3
Yanis Varoufakis,Economics,"Platform, Digital & Data Economy",Platform & Network Economics,Contemporary,Western,N,Adults in the Room | Technofeudalism | The Global Minotaur,3
Yasmin Ibrahim,Culture,"Digital, Media & Algorithmic Culture",Algorithmic & Platform Culture,Contemporary,MENA,N,Digital Icons | Politics of Gaze | Technological Gaze,3
Yiannis Gabriel,MANAGEMENT,Organizational Behavior & Work Psychology,Decision Making & Behavioral Ethics,Contemporary,Western,N,Organizational Narratives | Storytelling in Organizations | The Unmanageable Consumer,3
Yvonne Tasker,Critics,Identity-Based & Political,Feminist & Gender Criticism,Contemporary,Western,N,Action Cinema | Spectacular Bodies | Working Girls,3
Zeke Faux,Economics,"Platform, Digital & Data Economy",Data & Algorithmic Markets,Contemporary,Western,N,Crypto-Grift | Number Go Up | Tether Mystery,3
Zeynep Tufekci,Society,Digital & Network Society,Social Technology & Data,Contemporary,MENA,N,Attention Economy | Networked Publics | Twitter and Tear Gas,3
Zygmunt Bauman,Society,Contemporary Social Theories,Globalization & World-Systems,Modern,Western,N,Consumer Society | Individualization | Liquid Love | Liquid Modernity | The Consumer Society | Wasted Lives,6
Ulises A. Mejias,Culture,"Digital, Media & Algorithmic Culture",Algorithmic & Platform Culture,Contemporary,Latin America,Y,Data Colonialism | Data Grab | The Costs of Connection,3
Veena Dubal,LAW,"Digital, Technology & AI Law","AI, Algorithms & Automated Decision-Making",Contemporary,Western,Y,Algorithmic Wage Discrimination | Gig Precarity | Variable Pay,3
Virginia Eubanks,Society,Digital & Network Society,Social Technology & Data,Contemporary,Western,Y,Automating Inequality | Digital Poorhouse | Predictive Risk Models,3
Vivian Sobchack,Critics,Affect & Sensory,Embodied & Sensory Reading,Contemporary,Western,Y,Cinesthetic Subject | Embodied Spectatorship | The Address of the Eye,3
Walter Mignolo,Politics,"Postcolonial, Feminist & Environmental Politics",Postcolonial & Decolonial Politics,Contemporary,Latin America,Y,Border Thinking | Coloniality of Power | Decolonizing History | Delinking | Global South Literary Theory,5
Wang Hui (汪暉),Politics,Radical & Critical Traditions,Marxism & Socialism,Contemporary,East Asia,Y,Alternative Modernity | China's New Left | Depoliticized Politics,3
Wendy Hui Kyong Chun,Culture,"Digital, Media & Algorithmic Culture",Algorithmic & Platform Culture,Contemporary,East Asia,Y,Discriminating Data | Habitual New Media | Homophily | Micro-archives,4
