theorist,part,major,sub,era,region,new,existing,n_existing
Marshall McLuhan,Culture,Media & Communication,B. Media Archaeology & Materiality,Modern,Western,N,Global Village | History of Communication | Media Ecology Theory | The Global Village | The Medium is the Message | Understanding Media,6
Martha Nussbaum,Politics,"Justice, Recognition & Community",A. Liberalism & Justice,Contemporary,Western,N,Capabilities Approach | Capability Approach (Political Theory) | Cosmopolitanism | Cosmopolitanism (Political) | Ethical Criticism | Fragility of Goodness | Global Justice Theory | Hiding from Humanity | Law and Literature,9
Martin Seligman,Psychology,Positive Psychology,A. Well-being Models,Contemporary,Western,N,Character Strengths and Virtues | Flourish | Learned Helplessness | Learned Helplessness Theory | PERMA Model of Well-being | Positive Psychology | Strengths-Based Interventions,7
Mary Beltrán,Critics,Identity-Based & Political,C. Postcolonial & Critical Race,Contemporary,Western,N,Latina/o Media Studies | Latina/o Stars in U.S. Eyes | Mixed Race in Media,3
Masao Maruyama,Politics,"Power, Elites & Classical Democratic Theory",C. Totalitarianism & Authoritarianism,Modern,East Asia,N,Modernization | System of Irresponsibility | Thought and Behaviour in Modern Japanese Politics,3
Matt Hills,Culture,British Cultural Studies (Birmingham School),B. Subculture & Fandom,Contemporary,Western,N,Cult Cinema | Fan Cultures | Fan Studies,3
Matthew Gentzkow,Economics,"Platform, Digital & Data Economy",Data & Algorithmic Markets,Contemporary,Western,N,Digital News | Media Bias | Polarization,3
Matthew Gutmann,Society,Advanced & Applied Social Theories,Gender & Sexuality,Contemporary,Latin America,N,Fixin' Men | Global Masculinities | The Meanings of Macho,3
Matt Ridley,Nature,Evolutionary Theory & Human Origins,A. Selection & Adaptation,Contemporary,Western,N,Genome | Ideas Having Sex | The Rational Optimist,3
Maurice Duverger,Politics,Political Economy & Comparative Politics,C. Comparative Politics,Modern,Western,N,Duverger's Law | Electoral Systems Theory | Political Parties | Political Science,4
Max Weber,Society,Classical Sociological Traditions,,Classical,Western,N,Bureaucracy | Bureaucracy Theory (Management) | Charisma | Charismatic Authority | Critique of Modernity | Law as a Social Institution | Power and Authority | Protestant Ethic and the Spirit of Capitalism | Rationalization | Secularization Theory | The Iron Cage | The Protestant Ethic | Verstehen,13
McKenzie Wark,Critics,Digital & Media-Specific,C. Platform & Media Studies,Contemporary,Western,N,A Hacker Manifesto | Gamer Theory | General Intellect,3
Mia Consalvo,Culture,"Digital, Media & Algorithmic Culture",A. Networked & Participatory Culture,Contemporary,Western,N,Cheating in Videogames | Gaming Cultures | Paratexts,3
Michael Billig,Psychology,Social Psychology,A. Identity & Intergroup,Contemporary,Western,N,Arguing and Thinking | Banal Nationalism | Discursive Psychology,3
Michael Kimmel,Society,Advanced & Applied Social Theories,Gender & Sexuality,Contemporary,Western,N,Guyland | Hegemonic Masculinity | Manhood in America,3
Michael Messner,ART,Sport & Physical Culture,"C. Gender, Race & Identity in Sport",Contemporary,Western,N,Men and Sport | Taking the Field | The Gender Order,3
Michael Sandel,Politics,"Justice, Recognition & Community",B. Communitarianism & Civic Republicanism,Contemporary,Western,N,Justice | The Tyranny of Merit | What Money Can't Buy,3
Michael Schudson,Culture,Media & Communication,A. Media Effects & Audiences,Contemporary,Western,N,Discovering the News | Public Sphere | The Sociology of News,3
Michel Foucault,Critics,Post-Structuralist & Deconstructive,B. Discourse & Genealogy,Modern,Western,N,Archaeology of Knowledge (Historical) | Architecture and Power Theory | Architecture as Social Space Theory | Archive Theory | Author Function Theory | Biopolitics (Political Theory) | Biopolitics (Population Management) | Biopolitics of Health Theory | Biopower | Clinical Gaze Theory | Disciplinary Society | Discipline and Punish | Discourse | Discourse (Historical) | Discourse Analysis | Discourse Theory | Episteme (Historical) | Foucaultian Criticism | Genealogical Criticism | Genealogy (Historical) | Governmentality | Governmentality (Broader Application) | Governmentality (Political Theory) | History of Deviance (Sexual) | History of Disciplines | History of Punishment | History of Sexuality | History of Surveillance | History of the Body | Humanitarianism and Health Theory | Legal Genealogy Theory | Normalization (Medical) | Panopticism | Post-Structuralism | Power/Knowledge (Political Theory) | Queer Theory | The History of Sexuality | The Microphysics of Power | The Panopticon (Disciplinary Society),39
Michel Maffesoli,Society,Contemporary Social Theories,Social Movements,Contemporary,Western,N,Everyday Life | Neo-Tribalism | The Time of the Tribes,3
Michel de Certeau,Culture,Foundations & Classical Approaches,C. Everyday Life & Praxis,Modern,Western,N,Everyday Life Theory | Strategy and Tactic | The Practice of Everyday Life | Walking in the City,4
Michelle Alexander,Politics,"Justice, Recognition & Community",C. Identity Politics,Contemporary,Western,N,Mass Incarceration | Racial Caste System | The New Jim Crow,3
Mihaly Csikszentmihalyi,Psychology,Positive Psychology,A. Well-being Models,Contemporary,Western,N,Creativity | Flow | Flow Theory | Flow Theory (Sport) | Positive Psychology,5
Mike Featherstone,Culture,Foundations & Classical Approaches,A. Culture as a Whole Way of Life,Contemporary,Western,N,Consumer Culture | Images of Aging | Postmodernism,3
Miquela Sousa (Lil Miquela),ART,"Digital, New Media & AI Arts",C. AI & Computational Creativity,Contemporary,Western,N,Digital Human | Synthetic Authenticity | Virtual Influencer,3
Milton Friedman,Economics,Macroeconomics & Monetary Theory,Monetarism & New Classical,Modern,Western,N,Monetarism | Neoliberalism (Political Theory) | Permanent Income Hypothesis | Shareholder Primacy | Theory of the Firm (CSR Integration),5
Mireya Solís,Politics,International Relations & Security,A. International Relations,Contemporary,East Asia,N,Dilemmas of a Trading Nation | Economic Statecraft | Japan's Quiet Leadership,3
Molara Ogundipe,Critics,Identity-Based & Political,A. Feminist & Gender Criticism,Contemporary,Africa,N,Re-creating Ourselves | STIWA | Stiwanism,3
Molly Haskell,Critics,Identity-Based & Political,A. Feminist & Gender Criticism,Modern,Western,N,From Reverence to Rape | Reverence | Women and the Movies,3
Monica L. Miller,ART,Fashion & Dress Studies,"A. Dress, Identity & Fashion Systems",Contemporary,Western,N,African American Literature | Black Dandyism | Slaves to Fashion,3
Murray Edelman,Politics,"Behavioral, Sociological & Policy Sciences",A. Political Psychology,Modern,Western,N,Constructing the Political Spectacle | Politics as Ritual | Symbolic Politics | The Symbolic Uses of Politics,4
Nancy Baym,Culture,"Digital, Media & Algorithmic Culture",A. Networked & Participatory Culture,Contemporary,Western,N,Online Community | Participatory Fandom | Personal Connections in the Digital Age,3
Nancy Chodorow,Critics,Psychoanalytic & Psychological,B. Object Relations & Post-Freudian,Contemporary,Western,N,Feminism | Psychoanalysis and Sociology | The Reproduction of Mothering,3
Nancy Fraser,Politics,"Postcolonial, Feminist & Environmental Politics",B. Feminism & Gender in Politics,Contemporary,Western,N,Fortunes of Feminism | Redistribution/Recognition | Social Reproduction,3
Naomi Klein,Politics,Radical & Critical Traditions,A. Marxism & Socialism,Contemporary,Western,N,No Logo | The Shock Doctrine | This Changes Everything,3
Naomi Wolf,Culture,Identity & Difference,"A. Gender, Race & Sexuality",Contemporary,Western,N,The Beauty Myth | The End of America | Vagina,3
Nassim Nicholas Taleb,Economics,Institutional & Evolutionary Economics,Complexity & Agent-Based Economics,Contemporary,MENA,N,Antifragile | Fooled by Randomness | The Black Swan,3
Nate Silver,Economics,"Platform, Digital & Data Economy",Data & Algorithmic Markets,Contemporary,Western,N,Data Journalism | Forecasting | The Signal and the Noise,3
