theorist,part,major,sub,era,region,new,existing,n_existing
Noam Chomsky,Critics,Marxist & Materialist,A. Frankfurt School & Critical Theory,Modern,Western,N,Flak | Generative Grammar | Manufacturing Consent | Universal Grammar Theory | Universal Grammar Theory (Biological),5
Norbert Elias,Society,Classical Sociological Traditions,,Modern,Western,N,Figuration | Quest for Excitement | Shame and Guilt (Historical) | The Civilizing Process,4
Norman Denzin,Society,Contemporary Sociological Perspectives,,Contemporary,Western,N,Cinematic Society | Interpretive Interactionism | The Alcoholic Society,3
Olivier Roy,Society,Advanced & Applied Social Theories,Religion,Contemporary,Western,N,Globalized Islam | Holy Ignorance | The Failure of Political Islam,3
Orrin Klapp,Society,Contemporary Sociological Perspectives,,Modern,Western,N,"Collective Search for Identity | Heroes, Villains, and Fools | Symbolic Leaders",3
Otto Kirchheimer,Politics,Radical & Critical Traditions,C. Critical Theory & Neo-Marxism,Modern,Western,N,Catch-all Party | Political Justice | Punishment and Social Structure,3
Oyeronke Oyewumi,Politics,"Postcolonial, Feminist & Environmental Politics",A. Postcolonial & Decolonial Politics,Contemporary,Africa,N,African Gender Studies | Decolonizing the Body | The Invention of Women,3
Kara Keeling,Critics,Identity-Based & Political,B. Queer Theory,Contemporary,Western,Y,Black Femme | Queer Times of Cinema | The Cinematic,3
Karen Hao,Critics,Digital & Media-Specific,C. Platform & Media Studies,Contemporary,Western,Y,AI Colonialism | Data Conditioning Labor | Empire of AI,3
Karen Redrobe,Critics,Intertextual & Comparative,B. Comparative & Adaptation,Contemporary,Western,Y,(In)animation | Cinema and Speed/Stasis | Film and Other Media,3
Karl Schoonover,Critics,Identity-Based & Political,B. Queer Theory,Contemporary,Western,Y,Global Art Cinema | Queer Cinema in the World | Wastefulness/Slowness,3
Kate Crawford,Critics,Digital & Media-Specific,C. Platform & Media Studies,Contemporary,Western,Y,Affect Recognition Critique | Atlas of AI | Extractivism,3
Kathleen Stewart,Critics,Affect & Sensory,A. Affect Theory,Contemporary,Western,Y,Affective Resonance | Atmospheric Attunement | Ordinary Affects,3
Kim Soyoung (김소영),Critics,Historical & Cultural Materialist,Cultural Studies,Contemporary,East Asia,Y,Postcolonial Phantom | Trans-Asia Screen Culture | Trans-Cinema,3
Kuan-Hsing Chen (陳光興),Culture,Global & Transnational Culture,Indigenous & Decolonial Culture,Contemporary,East Asia,Y,Asia as Method | De-imperialization | Inter-Asia Cultural Studies,3
Kyla Schuller,Critics,Identity-Based & Political,Feminist & Gender Criticism,Contemporary,Western,Y,Counterhistory of Feminism | Impressibility | The Biopolitics of Feeling,3
Laura U. Marks,Critics,Affect & Sensory,Embodied & Sensory Reading,Contemporary,Western,Y,Haptic Visuality | Intercultural Cinema | Sensory Criticism | The Skin of the Film,4
Leah Lakshmi Piepzna-Samarasinha,Critics,Identity-Based & Political,Disability Studies,Contemporary,Western,Y,Care Work | Crip Emotional Intelligence | Disability Justice,3
Leanne Betasamosake Simpson,Culture,Global & Transnational Culture,Indigenous & Decolonial Culture,Contemporary,Global,Y,Grounded Normativity | Land-Based Practice | Resurgence,3
Lisa Parks,Culture,Media & Communication,Media Archaeology & Materiality,Contemporary,Western,Y,Footprints | Orbital Imaginaries | Satellite/Infrastructure Media,3
María Lugones,Politics,"Postcolonial, Feminist & Environmental Politics",Postcolonial & Decolonial Politics,Contemporary,Latin America,Y,Colonial/Modern Gender System | Coloniality of Gender | Decolonial Feminism,3
Marquis Bey,Critics,Identity-Based & Political,Queer Theory,Contemporary,Western,Y,Black Trans Feminism | Fugitivity | Gender Radicality,3
Mary L. Gray,Society,Digital & Network Society,Social Technology & Data,Contemporary,Western,Y,Ghost Work | Invisible Human Computation | On-Demand Labor,3
Meredith Whittaker,Society,Digital & Network Society,Science & Technology Studies (STS),Contemporary,Western,Y,AI Now | Industrial Capture | Surveillance Business Model,3
Michel Chion,Critics,Formalist & Text-Centric,Stylistics & Textual Criticism,Modern,Western,Y,Acousmêtre | Audiovisual Contract | Sound Studies | Synchresis,4
Nadia Bozak,Critics,Ecological & Environmental,Ecocriticism,Contemporary,Western,Y,Energy/Media | Resource Image | The Cinematic Footprint,3
Nelson Maldonado-Torres,Politics,"Postcolonial, Feminist & Environmental Politics",Postcolonial & Decolonial Politics,Contemporary,Latin America,Y,Coloniality of Being | Coloniality of War | The Decolonial Turn,3
Neta Alexander,Culture,"Digital, Media & Algorithmic Culture",Algorithmic & Platform Culture,Contemporary,MENA,Y,Algorithmic Spectatorship | Buffering/Latency | Interface Frictions,3
Paddy Scannell,Culture,Media & Communication,Media Effects & Audiences,Modern,Western,N,"Dailiness | Public Service Broadcasting | Radio, Television and Modern Life",3
Pascal Gielen,ART,Anthropology & Sociology of Art,Cultural Industries & Production,Contemporary,Western,N,Creativity | Institutional Critique | The Murmuring of the Artistic Multitude,3
Patrick W. Galbraith,Culture,British Cultural Studies (Birmingham School),Subculture & Fandom,Contemporary,East Asia,N,Moe | Otaku | The Ethics of Affect,3
Paul Ekman,Psychology,Emotion & Motivation,Emotion Theory,Modern,Western,N,Basic Emotions | Emotion as Adaptation Theory (Evolutionary) | Micro-expressions | Nonverbal Communication | Universal Facial Expressions,5
Paul Gilroy,Culture,Global & Transnational Culture,Diaspora & Deterritorialization,Contemporary,Western,N,Between Camps | Postcolonial Melancholia | The Black Atlantic,3
Paul Romer,Economics,Classical & Neoclassical Economics,Microeconomic Foundations,Contemporary,Western,N,Charter Cities | Endogenous Growth Theory | Ideas as Capital,3
Paul Virilio,Culture,Media & Communication,Media Archaeology & Materiality,Modern,Western,N,Aesthetics of Disappearance | Dromology | The Integral Accident,3
Peter Singer,Politics,"Justice, Recognition & Community",Philosophy of Law & Justice,Contemporary,Western,N,Animal Liberation | Effective Altruism | Preference Utilitarianism,3
Peter Sloterdijk,Culture,Philosophy & Aesthetics of Culture,Symbolic Forms & Praxis,Contemporary,Western,N,Anthropotechnics | Cynical Reason | Spheres,3
Philip Auslander,ART,Performance Studies & Theatre,Performance Theory & Ritual,Contemporary,Western,N,Ethics of Performance Theory | Liveness | Mediatization | Performance as Commodity,4
Philippe Ariès,History,Specialized Social Histories,Childhood & Family,Modern,Western,N,Centuries of Childhood | Death in Society Theory | History of Childhood | History of the Family | Private Life | The Hour of Our Death,6
Pierre Bourdieu,Society,Contemporary Social Theories,Cultural Sociology (Bourdieu),Modern,Western,N,Cultural Aesthetics Theory | Cultural Capital | Cultural Capital Theory | Cultural Production Theory | Cultural Reproduction Theory (Education) | Distinction | Embodied Culture Theory | Fan Culture Theory (Sport) | Field Theory | Habitus | Literary Field Theory | Music and Social Class Theory | Social Capital Theory | Sociology of Architecture | Sociology of Taste Theory | Theory of Practice,16
Pierre Nora,History,Memory & Oral History,Collective & Cultural Memory,Modern,Western,N,Collective Memory | Lieux de mémoire | Sites of Memory | Sites of Memory (Lieux de Mémoire),4
Pierre Ostiguy,Politics,Democratic Theory & Contemporary Contestation,Populism & Post-Politics,Contemporary,Latin America,N,Political Appeals | Populism | The High and the Low,3
Pierre Rosanvallon,Politics,Democratic Theory & Contemporary Contestation,Democratic Theory (Advanced),Contemporary,Western,N,Counter-Democracy | Democratic Legitimacy | Society of Equals,3
Quassim Cassam,Critics,Cognitive & Evolutionary,Cognitive Literary Studies,Contemporary,Western,N,Conspiracy Theories | Epistemic Vice | Vices of the Mind,3
R. Murray Schafer,ART,Music & Sound Studies,Ethnomusicology & Globalization,Modern,Western,N,Acoustic Ecology | Schizophonia | Sound Studies | Soundscape | Soundscapes Theory,5
Raewyn Connell,Society,Advanced & Applied Social Theories,Gender & Sexuality,Contemporary,Global,N,Gender and Power | Hegemonic Masculinity | Southern Theory,3
Ran Hirschl,Politics,"Justice, Recognition & Community",Philosophy of Law & Justice,Contemporary,Western,N,City-State | Constitutional Theocracy | Juristocracy,3
Randall Collins,Society,Contemporary Sociological Perspectives,,Contemporary,Western,N,Credential Society | Interaction Ritual Chains | Violence,3
Raúl Pérez,Society,Advanced & Applied Social Theories,Race & Ethnicity,Contemporary,Western,N,Racial Humor | Sociology of Humor | The Souls of White Jokes,3
Ray Kurzweil,Culture,"Digital, Media & Algorithmic Culture",Technological Culture & STS,Contemporary,Western,N,Law of Accelerating Returns | The Singularity | Transhumanism,3
Ray Surette,Society,Advanced & Applied Social Theories,Culture & Media,Contemporary,Western,N,"Copycat Crime | Media, Crime, and Criminal Justice | Predatory Media",3
Raymond Williams,Culture,Foundations & Classical Approaches,Culture as a Whole Way of Life,Modern,Western,N,"Cultural Materialism | Cultural Materialism (Literature) | Cultural Production Theory | Cultural Studies | Culture as Praxis Theory | Culture as a ""Whole Way of Life"" | Flow | Raymond Williams | Structure of Feeling",9
Rebecca Traister,Politics,"Postcolonial, Feminist & Environmental Politics",Feminism & Gender in Politics,Contemporary,Western,N,All the Single Ladies | Good and Mad | Women in Politics,3
Reece Peck,Culture,Media & Communication,Media Effects & Audiences,Contemporary,Western,N,Conservative Media | Fox Populism | Stylistic Politics,3
René Girard,Critics,Psychoanalytic & Psychological,Political & Social Psychoanalysis,Modern,Western,N,Mimetic Desire | Mimetic Rivalry | Scapegoat Mechanism,3
Rhonda Garelick,ART,Fashion & Dress Studies,Fashion as Performance & Spectacle,Contemporary,Western,N,Antigone in Vogue | Fashion and Politics | Mademoiselle,3
Richard Dawkins,Nature,Evolutionary Theory & Human Origins,Selection & Adaptation,Modern,Western,N,Extended Phenotype | Meme | Memetics | The Selfish Gene,4
Richard Dyer,Critics,Identity-Based & Political,Postcolonial & Critical Race,Contemporary,Western,N,Heavenly Bodies | Stars | White | Whiteness Studies,4
Richard Peterson,Culture,Cultural Economy & Production,Creative & Cultural Industries,Modern,Western,N,Cultural Omnivore | Fabricating Authenticity | Production of Culture,3
Richard Schechner,ART,Performance Studies & Theatre,Performance Theory & Ritual,Modern,Western,N,Environmental Theater | Everyday Performance Theory | Performance Theory | Restored Behavior | Restored Behavior Theory (Performance) | Ritual Theory (Performing Arts),6
Richard Sennett,Society,Contemporary Sociological Perspectives,,Contemporary,Western,N,Corrosion of Character | History of Violence | The Craftsman | The Public Man,4
