theorist,part,major,sub,era,region,new,existing,n_existing
Daniel Miller,Culture,"Material, Spatial & Heritage Culture",A. Material Culture & Objects,Contemporary,Western,N,History of Things / Material Culture | Material Culture Theory | The Comfort of Things,3
Daniel Trottier,Society,Digital & Network Society,Social Technology & Data,Contemporary,Western,N,Digital Vigilantism,1
Danielle Keats Citron,LAW,"Digital, Technology & AI Law","C. Privacy, Data Governance & Platform Regulation",Contemporary,Western,N,Hate Crimes in Cyberspace | Sexual Privacy,2
Daphne A. Brooks,ART,Music & Sound Studies,A. Sociology & Politics of Music,Contemporary,Western,N,Liner Notes for the Revolution,1
David Bordwell,Critics,Formalist & Text-Centric,A. Formalism & New Criticism,Contemporary,Western,N,Intensified Continuity | Planet Hong Kong,2
David Garland,LAW,"Criminal Law, Punishment & Restorative Justice",A. Punishment Theory (Retribution/Deterrence/Rehabilitation),Contemporary,Western,N,History of Policing | The Culture of Control,2
David Graeber,Society,Contemporary Social Theories,Social Movements,Contemporary,Western,N,"Bullshit Jobs | Debt: The First 5,000 Years | History of Credit & Debt | The Utopia of Rules",4
David Harvey,Politics,Radical & Critical Traditions,A. Marxism & Socialism,Modern,Western,N,Accumulation by Dispossession | Flexible Accumulation | Neoliberalism and Law Theory | The Right to the City | Time-Space Compression,5
David Hesmondhalgh,Culture,Cultural Economy & Production,A. Creative & Cultural Industries,Contemporary,Western,N,Creative Industries Theory | Creative Labour | Cultural Industries Theory | Cultural Value Chains Theory | Global Cultural Industries Theory | Political Economy of Music | Precarious Work | The Cultural Industries,8
David J. Leonard,ART,Sport & Physical Culture,"C. Gender, Race & Identity in Sport",Contemporary,Western,N,Playing While White,1
David Lyon,Society,Digital & Network Society,Social Technology & Data,Contemporary,Western,N,Surveillance Culture Theory | The Culture of Surveillance,2
P. David Marshall,Culture,British Cultural Studies (Birmingham School),B. Subculture & Fandom,Contemporary,Western,N,Celebrity Capital | Celebrity and Power | Persona Studies,3
David Riesman,Society,Classical Sociological Traditions,—,Modern,Western,N,Other-directedness | The Lonely Crowd,2
David Runciman,Politics,Democratic Theory & Contemporary Contestation,B. Democratic Theory (Advanced),Contemporary,Western,N,How Democracy Ends | Political Hypocrisy,2
Dean MacCannell,Culture,Philosophy & Aesthetics of Culture,C. Authenticity in Culture,Modern,Western,N,Authenticity in Culture Theory | Staged Authenticity,2
Dean Vuletic,Culture,Global & Transnational Culture,D. Global Cultural Industries & Diplomacy,Contemporary,Western,N,Eurovision Song Contest | Geopolitics,2
Deborah Lupton,Culture,"Digital, Media & Algorithmic Culture",A. Networked & Participatory Culture,Contemporary,Global,N,Digital Food Cultures | Digital Sociology | Health Technology and Society Theory | Medicalization of Risk Theory | Privacy | Quantified Self and Health Theory | Social Construction of Health Risk Theory | The Quantified Self,8
Deena Weinstein,Culture,British Cultural Studies (Birmingham School),B. Subculture & Fandom,Modern,Western,N,Heavy Metal Sociology,1
Diane Negra,Culture,Identity & Difference,"A. Gender, Race & Sexuality",Contemporary,Western,N,Post-Feminist Culture,1
Diane Vaughan,Society,Contemporary Social Theories,Social Constructionism,Contemporary,Western,N,Normalization of Deviance,1
Dick Hebdige,Culture,British Cultural Studies (Birmingham School),B. Subculture & Fandom,Modern,Western,N,Bricolage | Homology | Semiotics of Subculture | Subcultural Theory (Music) | Subculture Theory | Subculture: The Meaning of Style,6
Didier Fassin,Society,Contemporary Social Theories,Power and Control,Contemporary,Western,N,Enforcing Order | Police Power,2
Dipesh Chakrabarty,History,Postcolonial & Decolonial History,A. Empire & Imperialism,Contemporary,South Asia,N,Postcolonial History | Provincializing Europe | The Climate of History,3
Donald Horton & R. Richard Wohl,Culture,Media & Communication,A. Media Effects & Audiences,Modern,Western,N,Para-social Interaction,1
Donna Haraway,Critics,Post-Humanist & Non-Human,A. Posthumanism & Cyborg Theory,Contemporary,Western,N,Companion Species | Cyborg Manifesto | Primate Visions,3
Edgar Morin,Culture,Media & Communication,A. Media Effects & Audiences,Modern,Western,N,Polycrisis | The Stars,2
Edward Luttwak,Politics,International Relations & Security,A. International Relations,Modern,Western,N,Geo-economics,1
Edward Said,Critics,Identity-Based & Political,C. Postcolonial & Critical Race,Modern,MENA,N,Comparative Literature | On Late Style | Orientalism | Orientalism (Political Theory) | Postcolonial Criticism | Postcolonial History | Postcolonial Literary Theory | Postcolonial Theory | The Burden of Representation | The Question of Palestine,10
Elena Gorfinkel,Critics,Identity-Based & Political,A. Feminist & Gender Criticism,Contemporary,Western,N,Lewd Looks,1
Elias Canetti,Society,Contemporary Social Theories,Power and Control,Modern,Western,N,Crowd Madness | Crowds and Power,2
Elijah Anderson,Society,Advanced & Applied Social Theories,Race & Ethnicity,Contemporary,Western,N,Code of the Street,1
Elisabeth Badinter,Family,"모성·부성·양육 이론 (Motherhood, Fatherhood & Parenting)",B. 모성·부성 (Motherhood & Fatherhood),Modern,Western,N,The Conflict,1
Elisabeth Beck-Gernsheim,Family,가족사회학·구조 (Family Sociology & Structure),B. 사회구성주의·포스트모던 (Social Construction & Postmodern),Contemporary,Western,N,Reinventing the Family,1
Elisabeth Noelle-Neumann,Culture,Media & Communication,A. Media Effects & Audiences,Modern,Western,N,Spiral of Silence,1
Elizabeth Wilson,ART,Fashion & Dress Studies,"A. Dress, Identity & Fashion Systems",Modern,Western,N,Adorned in Dreams,1
Ellis Cashmore,ART,Sport & Physical Culture,A. Sociology & Politics of Sport,Contemporary,Western,N,Black Sportsmen | Celebrity Culture | Making Sense of Sports,3
Emile Durkheim,Society,Classical Sociological Traditions,,Classical,Western,N,Collective Effervescence | Mechanical Solidarity | Organic Solidarity,3
Emma Dalton,Politics,"Postcolonial, Feminist & Environmental Politics",B. Feminism & Gender in Politics,Contemporary,East Asia,N,Women in Japanese Politics,1
Ernesto Laclau,Politics,Radical & Critical Traditions,D. Post-Structuralism & Postmodern Politics,Modern,Latin America,N,Discourse Theory | Hegemony and Socialist Strategy | Populism (Political Theory) | Populist Reason | Post-Foundationalism (Political) | Post-Marxist Criticism,6
Erving Goffman,Society,Contemporary Sociological Perspectives,,Modern,Western,N,Asylums | Authenticity in Culture Theory | Backstage | Backstage and Frontstage | Courtesy Stigma | Dramaturgical Theory | Everyday Performance Theory | Frame Analysis | Genetic Stigma Theory | Impression Management | Performance of Illness Theory | Social Performance Theory | Stigma | Stigma Management | Stigma and Health Theory | Stigmatization | The Presentation of Self in Everyday Life | Total Institutions,18
Gøsta Esping-Andersen,Society,Advanced & Applied Social Theories,Work & Organizations,Modern,Western,N,The Three Worlds of Welfare Capitalism | Welfare State and Family Theory,2
Ethan Scheiner,Politics,Political Economy & Comparative Politics,C. Comparative Politics,Contemporary,Western,N,Democracy Without Competition,1
Eugene Fama,Economics,Behavioral Finance & Asset Markets,Market Anomalies & Bubbles,Modern,Western,N,Efficient Market Hypothesis | Efficient Market Hypothesis (Behavioral Critique) | Random Walk | Three-Factor Model,4
Eva Illouz,Culture,"Affect, Emotion & Embodiment",B. Emotions & Emotionology,Contemporary,Western,N,Cold Intimacies | Emotional Capitalism | Why Love Hurts,3
Evan Stark,Family,"젠더·돌봄노동·페미니즘 가족이론 (Gender, Care Labor & Feminist)",A. 가부장제·젠더 역할 (Patriarchy & Gender Roles),Contemporary,Western,N,Coercive Control,1
Eve Kosofsky Sedgwick,Critics,Identity-Based & Political,B. Queer Theory,Modern,Western,N,Between Men | Epistemology of the Closet | Homosocial Desire | Queer Literary Theory | Queer Theory,5
bell hooks,Critics,Identity-Based & Political,C. Postcolonial & Critical Race,Modern,Western,N,Black Female Subjectivity | Black Feminism | Critical Race Theory | Eating the Other | Oppositional Gaze,5
danah boyd,Culture,"Digital, Media & Algorithmic Culture",A. Networked & Participatory Culture,Contemporary,Western,N,Context Collapse | It's Complicated,2
Abeba Birhane,Critics,Digital & Media-Specific,B. Computational & Cultural Analytics,Contemporary,Africa,Y,Algorithmic Injustice | Embodied Cognition | Relational Ethics,3
Adrian Mackenzie,Culture,"Digital, Media & Algorithmic Culture",C. Algorithmic & Platform Culture,Contemporary,Western,Y,Algorithmic Media | Machine Learners | Operational Images,3
Alison Kafer,Critics,Identity-Based & Political,D. Disability Studies,Contemporary,Western,Y,"Compulsory Able-bodiedness | Crip Futurity | Feminist, Queer, Crip",3
Amanda D. Lotz,Culture,Media & Communication,A. Media Effects & Audiences,Contemporary,Western,Y,Internet-Distributed Television | Portals | Post-Network Era,3
Aníbal Quijano,Politics,"Postcolonial, Feminist & Environmental Politics",A. Postcolonial & Decolonial Politics,Modern,Latin America,Y,Coloniality of Power | Eurocentrism | Modernity/Coloniality,3
Ann Cvetkovich,Culture,"Affect, Emotion & Embodiment",A. Affect & Sensory Studies,Contemporary,Western,Y,Affective Queer Theory | An Archive of Feelings | Depression: A Public Feeling | Trauma Cultures,4
Antonio Casilli,Culture,"Digital, Media & Algorithmic Culture",E. Prosumption & Convergence,Contemporary,Western,Y,Click Workers | Digital Labor | Platformized Microwork,3
Arturo Escobar,Politics,"Postcolonial, Feminist & Environmental Politics",A. Postcolonial & Decolonial Politics,Contemporary,Latin America,Y,Designs for the Pluriverse | Pluriverse | Post-development,3
Audra Simpson,Politics,"Postcolonial, Feminist & Environmental Politics",A. Postcolonial & Decolonial Politics,Contemporary,Western,Y,Mohawk Interruptus | Nested Sovereignty | Politics of Refusal,3
Becca Lewis,Culture,"Digital, Media & Algorithmic Culture",C. Algorithmic & Platform Culture,Contemporary,Western,Y,Alternative Influence Network | Radicalization Pathways | Reactionary YouTube,3
Bill Nichols,Critics,Rhetorical & Discourse,A. Rhetorical Criticism & Dramatism,Modern,Western,Y,Modes of Documentary | Reflexive/Performative Mode | Voice of Documentary,3
Britt Paris,Critics,Digital & Media-Specific,C. Platform & Media Studies,Contemporary,Western,Y,AV Manipulation | Deepfakes vs Cheap Fakes | Politics of Evidence,3
Brenda LeFrançois,Medicine,Psychiatry & Mental Health,A. Sociocultural & Critical Psychiatry,Contemporary,Western,Y,Mad Studies | Psychiatrization | Sanism,3
Cathy O'Neil,Critics,Digital & Media-Specific,B. Computational & Cultural Analytics,Contemporary,Western,Y,Algorithmic Opacity | Feedback Loops | Weapons of Math Destruction,3
