theorist,part,major,sub,era,region,new,existing,n_existing
Sherryl Vint,Critics,Post-Humanist & Non-Human,Animal Studies,Contemporary,Western,N,Animal Alterity | Biopolitics in Science Fiction | Science Fiction: A Guide,3
Sheryl Sandberg,MANAGEMENT,Leadership,"Servant, Shared & Ethical Leadership",Contemporary,Western,N,Lean In | Option B | Women and Leadership,3
Shoshana Zuboff,Society,Digital & Network Society,Social Technology & Data,Contemporary,Western,N,Behavioral Surplus | Instrumentarian Power | Surveillance Capitalism,3
Sianne Ngai,ART,Aesthetics & Philosophy of Art,Classical & Philosophical Aesthetics,Contemporary,Western,N,Affect Theory | Our Aesthetic Categories | The Gimmick | Ugly Feelings,4
Sigmund Freud,Psychology,Psychoanalytic & Psychodynamic,Classical Psychoanalysis,Classical,Western,N,"Id, Ego, Superego | Oedipus Complex | Psychoanalysis | Psychoanalytic Criticism (Freudian Literary) | Psychoanalytic Criticism (Freudian) | Psychoanalytic Literary Criticism | Psychosexual Development Theory | The Uncanny | The Unconscious | Transference and Countertransference",10
Silvia Federici,Politics,Radical & Critical Traditions,Marxism & Socialism,Contemporary,Western,N,Caliban and the Witch | Patriarchy of the Wage | Wages for Housework,3
Simon Frith,ART,Music & Sound Studies,Sociology & Politics of Music,Contemporary,Western,N,Art into Pop | Music and Globalization Theory | Music and Identity Theory | Performing Rites | Sociology of Rock,5
Simon May,ART,Aesthetics & Philosophy of Art,Classical & Philosophical Aesthetics,Contemporary,Western,N,Love: A History | Nietzsche's Ethics | The Power of Cute,3
Simon Reynolds,Culture,Media & Communication,Visual & Sound Culture,Contemporary,Western,N,Energy Flash | Retromania | Rip It Up and Start Again,3
Simone de Beauvoir,Politics,"Postcolonial, Feminist & Environmental Politics",Feminism & Gender in Politics,Modern,Western,N,The Coming of Age | The Ethics of Ambiguity | The Second Sex | The Second Sex (Political Theory),4
Slavoj Žižek,Critics,Psychoanalytic & Psychological,Freudian & Lacanian,Contemporary,Western,N,Event | Ideological Fantasy | Lacanian Criticism | Post-Politics | The Pervert's Guide to Ideology | The Sublime Object of Ideology,6
Soraya Chemaly,Culture,"Affect, Emotion & Embodiment",Emotions & Emotionology,Contemporary,Western,N,Digital Harassment | Gender and Anger | Rage Becomes Her,3
Stanley Cavell,ART,Aesthetics & Philosophy of Art,Classical & Philosophical Aesthetics,Modern,Western,N,Pursuits of Happiness | Senses of Walden | The Claim of Reason,3
Stanley Cohen,Society,Advanced & Applied Social Theories,Culture & Media,Modern,Western,N,Folk Devils and Moral Panics | Moral Panic Theory | States of Denial | Visions of Social Control,4
Stefan Helmreich,Society,Digital & Network Society,Science & Technology Studies (STS),Contemporary,Western,N,Alien Ocean | Silicon Second Nature | Sounding the Limits of Life,3
Stella Young,Critics,Identity-Based & Political,Disability Studies,Contemporary,Western,N,Disability Activism | Inspiration Porn | Social Model of Disability,3
Stephen Prince,Critics,Formalist & Text-Centric,Stylistics & Textual Criticism,Contemporary,Western,N,Digital Visual Effects | Screening Violence | The Horror Film,3
Steven Pinker,Nature,Evolutionary Psychology & Adaptive Mind,Adaptive Cognition & Modularity,Contemporary,Western,N,Enlightenment Now | Evolutionary Aesthetics (Human) | Problem-Solving Theory of Cognition (Evolutionary) | The Better Angels of Our Nature | The Blank Slate,5
Stuart Hall,Culture,British Cultural Studies (Birmingham School),Hegemony & Encoding/Decoding,Modern,Western,N,Active Audience Theory | Cultural Identity | Cultural Production Theory | Cultural Studies | Diasporic Culture Theory | Encoding/Decoding | Encoding/Decoding Model | Hegemony | Race and Representation in Art Theory | Subculture Theory,10
Sudhir Venkatesh,Society,Advanced & Applied Social Theories,Work & Organizations,Contemporary,Western,N,Floating City | Gang Leader for a Day | Off the Books,3
Suk-Young Kim,Culture,Global & Transnational Culture,Global Cultural Industries & Diplomacy,Contemporary,East Asia,N,DMZ Crossing | Illusive Utopia | K-pop Live,3
Susan Bordo,Culture,Identity & Difference,Embodiment & Performativity,Contemporary,Western,N,The Flight to Objectivity | Twilight Zones | Unbearable Weight,3
Susan Brownell,ART,Sport & Physical Culture,Gender Race & Identity in Sport,Contemporary,Western,N,Beijing's Games | Chinese Body Culture | Training the Body,3
Susan Sontag,Critics,Affect & Sensory,Embodied & Sensory Reading,Modern,Western,N,Camp | Disease Narratives | History of Disease | Illness as Metaphor | Notes on 'Camp' | On Photography | Theory of Photography,7
Susan Strange,Politics,Political Economy & Comparative Politics,Political Economy (Advanced),Modern,Western,N,Casino Capitalism | States and Markets | The Retreat of the State,3
Svetlana Boym,Culture,"Memory, Time, Trauma & Resilience",Cultural & Public Memory,Contemporary,Western,N,Off-Modern | Restorative vs Reflective Nostalgia | The Future of Nostalgia,3
Sylvia Walby,Society,Advanced & Applied Social Theories,Gender & Sexuality,Modern,Western,N,Gender Segregation | Patriarchy and Public Sphere | Theorizing Patriarchy,3
T.L. Taylor,Culture,"Digital, Media & Algorithmic Culture",Networked & Participatory Culture,Contemporary,Western,N,Esports | Game Live Streaming | Watch Me Play,3
Ta-Nehisi Coates,Critics,Identity-Based & Political,Postcolonial & Critical Race,Contemporary,Western,N,Between the World and Me | The Case for Reparations | We Were Eight Years in Power,3
Talal Asad,Society,Advanced & Applied Social Theories,Religion,Contemporary,MENA,N,Formations of the Secular | Genealogies of Religion | On Suicide Bombing,3
Tamar Jeffers McDonald,Critics,Intertextual & Comparative,Comparative & Adaptation,Contemporary,Western,N,Hollywood Catwalk | Movie Star Costume Studies | Romantic Comedy: Boy Meets Girl Meets Genre,3
Teddi Fishman,LAW,Critical Legal Studies & Critical Race Theory,Critical Legal Studies (CLS) & Indeterminacy,Contemporary,Western,N,Academic Ethics | Educational Integrity | Plagiarism and Truth,3
Tejaswini Ganti,Culture,Global & Transnational Culture,Global Cultural Industries & Diplomacy,Contemporary,South Asia,N,Bollywood: A Guidebook | Producing Bollywood | Token of Bollywood,3
Teresa Caldeira,Society,Advanced & Applied Social Theories,General Social Theories,Contemporary,Latin America,N,Brazil's Urban Order | City of Segregation | City of Walls,3
Theodor Adorno,Critics,Marxist & Materialist,Frankfurt School & Critical Theory,Modern,Western,N,Culture Industry | Culture Industry Theory | Frankfurt School (Political Theory) | Frankfurt School Aesthetics | Instrumental Reason (Culture) | Negative Dialectics | Pseudo-Individualization | The Authoritarian Personality,8
Thomas Carter,ART,Sport & Physical Culture,Sociology & Politics of Sport,Contemporary,Western,N,In Foreign Fields | Sport Migration | The Quality of Home Runs,3
Thomas Mann & Norman Ornstein,Politics,Democratic Theory & Contemporary Contestation,Democratic Theory (Advanced),Contemporary,Western,N,It's Even Worse Than It Looks | One Nation After Trump | The Broken Branch,3
Thomas Piketty,Economics,"Welfare, Happiness & Heterodox Economics",Marxist & Heterodox Traditions,Contemporary,Western,N,Brief History of Equality | Capital and Ideology | Capital in the Twenty-First Century,3
Thomas Sowell,Economics,Classical & Neoclassical Economics,Classical Political Economy,Modern,Western,N,A Conflict of Visions | Disparities and Discrimination | Knowledge and Decisions,3
Thorstein Veblen,Economics,Institutional & Evolutionary Economics,Institutional Economics,Modern,Western,N,Conspicuous Consumption | Conspicuous Leisure | Institutional Evolution | Theory of the Leisure Class | Veblen Effect,5
Tia DeNora,ART,Music & Sound Studies,Sociology & Politics of Music,Contemporary,Western,N,After Adorno | Music and Identity Theory | Music as Technology of Self | Music in Everyday Life,4
Tim Edensor,Culture,"Material, Spatial & Heritage Culture",Cultural Geography & Place,Contemporary,Western,N,Geographies of Rhythm | Industrial Ruins | National Identity and Popular Culture,3
