keyword,theorist,concept_purpose,paper_title,paper_authors,journal,volume_issue,year,paper_url,paper_argument,access
"phenomenology of perception / embodiment","Maurice Merleau-Ponty","Grounds perception in the lived, embodied body rather than a disembodied eye, holding that spatial representation is never neutral but produced through an embodied perceptual apparatus.","Getting 'up close…at a safe distance': Transparency and opacity in the weaves of VR","Jenny Andrine Madsen Evang","NECSUS: European Journal of Media Studies","Spring 2026",2026,"https://necsus-ejms.org/getting-up-close-at-a-safe-distance-transparency-and-opacity-in-the-weaves-of-vr/","Argues VR's hyperreal 3D spheres are not neutral spaces but are produced through the phenomenological apparatus of Western Man and colonial cartographic techniques; weaves of transparency and opacity in VR works are read as critiques of that spatial regime.","OA"
"visuality / the right to look","Nicholas Mirzoeff","A history and theory of 'visuality' as the authority of the visual field used to police and naturalise power, against which Mirzoeff posits a counter-'right to look'.","Notes on visuality and the Policing Complex","Heath Schultz","Jump Cut: A Review of Contemporary Media","No. 62, Winter 2023-2024",2024,"https://www.ejumpcut.org/archive/JC62.2024/","Theorises post-Ferguson policing technologies as a 'Policing Complex,' a concept derived from Mirzoeff's history and theory of visuality, to show how surveillance imagery sustains the authority of the police state.","OA"
"Third Cinema / popular memory","Teshome Gabriel (extending Fernando Solanas and Octavio Getino)","Third Cinema theorises a militant, anti-colonial cinema aligned with popular memory against 'official history,' opposed to both Hollywood (First) and auteurist art (Second) cinema.","Notes on 'Third Cinema as guardian of popular memory'—an Indian context","Manas K Ghosh","Jump Cut: A Review of Contemporary Media","No. 62, Winter 2023-2024",2024,"https://www.ejumpcut.org/archive/JC62.2024/","Analyses how Teshome Gabriel extends Third Cinema's potential as guardian of popular memory in the conflict between official history and popular memory, applying it to Indian film, literature, and culture.","OA"
"interpassivity","Robert Pfaller / Slavoj Žižek","Names the delegation of one's own passive enjoyment or belief to another agent or object, where the medium consumes or believes in the subject's place.","Disco Elysium and the intersection of interactivity and interpassivity","Seunghyun Shin","Jump Cut: A Review of Contemporary Media","No. 62, Winter 2023-2024",2024,"https://www.ejumpcut.org/archive/JC62.2024/","Argues the 2019 RPG Disco Elysium suggests a new model of interactivity precisely by incorporating interpassivity into the gaming experience, complicating the assumed agency of the player.","OA"
"panopticon / synopticon","Michel Foucault (panopticon) and Thomas Mathiesen (synopticon)","The panopticon models disciplinary surveillance where the few watch the many; Mathiesen's synopticon names the inverse mass-media condition where the many watch the few.","Between panopticon and synopticon in the late period films of Stéphane Brizé","Abraham Walker","Jump Cut: A Review of Contemporary Media","No. 62, Winter 2023-2024",2024,"https://www.ejumpcut.org/archive/JC62.2024/","Through close readings of Brizé's workplace dramas La Loi du Marché and En Guerre, contributes to debates on surveillance under late capitalism by reading the films between the poles of panoptic and synoptic visibility.","OA"
"melodrama / postmodern capitalism","Peter Brooks (melodramatic mode) / Fredric Jameson (postmodernism)","Melodrama theory explains the moral legibility and excess of popular narrative; Jameson's postmodernism names the cultural logic of late capitalism marked by fragmentation and depthlessness.","Everything just goes black: time, melodrama, and narrative incompleteness in The Sopranos","Daniel Fraser","Jump Cut: A Review of Contemporary Media","No. 62, Winter 2023-2024",2024,"https://www.ejumpcut.org/archive/JC62.2024/","Argues The Sopranos reconfigures the melodrama for the era of postmodern capitalism through its network of symbols, codes, and fractured temporalities, culminating in narrative incompleteness.","OA"
"settler colonialism / logic of elimination","Patrick Wolfe","Theorises settler colonialism as a structure not an event, driven by a 'logic of elimination' of the native to make claims on stolen land.","Beyond an Asian settler cinema: Asian American media, PBS, and the settler colonial state","Carson Wang","Jump Cut: A Review of Contemporary Media","No. 63, Summer 2025",2025,"https://www.ejumpcut.org/currentissue/CarsonWang/index.html","Conceptualises Asian American media on PBS as a settler colonial media movement complicit with the settler state's claims to stolen land and citizenship, reframing Asian American media history beyond a purely anti-racist narrative.","OA"
"parametric / deformative criticism (deformance)","Christian Keathley & Jason Mittell (parametric); Lisa Samuels & Jerome McGann (deformance)","Constraint-driven, procedural modes of videographic criticism that generate insight by manipulating and remixing image and sound according to predetermined rules rather than explanatory voiceover.","Men Shouting: A History in 7 Episodes","Alan O'Leary","[in]Transition: Journal of Videographic Film & Moving Image Studies","2023",2023,"https://intransition.openlibhums.org/article/id/11389/","Deploys parametric and deformative techniques on three American films about the 2008 financial crisis, arguing that parametric criticism need not be recuperated into conventional argument but can access an affective, poetic dimension of cinema on its own terms.","OA"
"autofiction","literary autofiction concept (Serge Doubrovsky lineage), applied to screen media","A hybrid mode blending autobiography and fiction in which an author stages a version of the self oscillating between authentic confession and fictional construction.","Autofictional Authenticity: Bo Burnham's Inside, Netflix Comedy and YouTube Aesthetics","[in]Transition videographic essay (2023)","[in]Transition: Journal of Videographic Film & Moving Image Studies","2023",2023,"https://intransition.openlibhums.org/article/16444/galley/33743/download/","Frames Bo Burnham's Inside as autofiction that continually oscillates between puncturing and indulging authentic confessional modes, situating it among proto-mockumentary, confessional stand-up, and the manufactured authenticity of YouTubers.","OA"
"metamodernism (metamodern sensibility)","Timotheus Vermeulen & Robin van den Akker","A structure of feeling defined by oscillation between modernist sincerity and postmodern irony, theorised to characterise post-postmodern cultural production.","Autofictional Authenticity: Bo Burnham's Inside, Netflix Comedy and YouTube Aesthetics","[in]Transition videographic essay (2023)","[in]Transition: Journal of Videographic Film & Moving Image Studies","2023",2023,"https://intransition.openlibhums.org/article/16444/galley/33743/download/","Argues a metamodern sensibility explains Inside's constant oscillation between sincere confession and ironic self-reflexivity, distinguishing its manufactured authenticity from straightforward documentary.","OA"
"modular affectivity","Louisa Stein","Names how discrete, beloved image-moments function as transferable affective modules that accrue and shift emotional resonance as they are repeated and recontextualised across remix and fan culture.","On the Art of Affective Repetition: Fan Video & The Untamed","Louisa Stein","[in]Transition: Journal of Videographic Film & Moving Image Studies","12.1",2025,"https://intransition.openlibhums.org/article/18012/galley/41317/download/","Uses The Untamed and its transcultural fanworks to argue that logics of modular affectivity sit at the heart of remix and fan culture, as official and fan authors repeat and recontextualise image-moments that gather new emotional resonance.","OA"
"vidding / remix","Francesca Coppa","Theorises vidding as a fan remix practice of music videos that reedit source footage to produce critical and affective interpretation, central to remix culture.","On the Art of Affective Repetition: Fan Video & The Untamed","Louisa Stein","[in]Transition: Journal of Videographic Film & Moving Image Studies","12.1",2025,"https://intransition.openlibhums.org/article/18012/galley/41317/download/","Positions the analytic fan video within the vidding/remix tradition, arguing transcultural fans rework the Chinese source by combining it with referents from their own cultural contexts, demonstrating remix as transcultural interpretive practice.","OA"
"the grid (containment and rupture)","Barbara Zecchi (resonant with Rosalind Krauss on the grid)","The grid as a visual structure that both disciplines/contains and, by fracturing, releases—used to figure the social discipline of women's rage and its transformation into solidarity.","The Rhythms of Rage: From Solitude to Solidarity","Barbara Zecchi","[in]Transition: Journal of Videographic Film & Moving Image Studies","11.2",2024,"https://intransition.openlibhums.org/article/id/20293/","Assembles 500+ clips into a shifting multiscreen grid, arguing the grid operates as both structure and rupture: social constraints discipline women's rage while rhythmic montage can fracture those constraints into feminist solidarity, mapping a trajectory from solitude to solidarity.","OA"
"counterforensics","Allan Sekula (counterforensics), extended via Thomas Keenan","Inverts the state's forensic gaze: turning forensic and evidentiary methods against the violence committed by the very institutions (police, military, courts) that normally wield them.","Striking Evidence: A Counterforensics of Courtroom Assemblies","Kelli Moore","World Records","Volume 9: Just Evidence",2025,"https://worldrecordsjournal.org/striking-evidence/","Examines courtwatchers' drawing, writing, and marking ('scrivening' or 'Common Paper') by Court Watch NYC and NYU students as a counterforensic record of resistant courtroom assemblies that is obscured from Anglo-American jurisprudence.","OA"
"forensis / forensic aesthetics","Eyal Weizman / Forensic Architecture","Recovers the classical sense of 'forensis' as the practice of making objects and environments speak in a public forum, developing forensic aesthetics as a means of investigating state and corporate violence.","They Are Shooting at Our Shadows","Al-Haq Forensic Architecture Investigation Unit and Rachel Nelson in conversation with Laliv Melamed and Pooja Rangan","World Records","Volume 9: Just Evidence",2025,"https://worldrecordsjournal.org/they-are-shooting-at-our-shadows/","Through the Al-Haq Forensic Architecture investigation, interrogates how forensic aesthetics can be reoriented toward abolitionist and decolonial aims in documenting violence against Palestinians, and the limits of evidence under occupation.","OA"
"aesthetic counterforensics / Black memory","Yasmina Price (building on Saidiya Hartman's critical fabulation)","Names how Black memory, conjured in tongueless whispers and recited choreographies, forms a link between living and dead that no forensics can capture, intervening in how the past is encoded and inherited.","Tongueless Whispers and Recited Choreographies","Yasmina Price","World Records","Volume 9: Just Evidence",2025,"https://worldrecordsjournal.org/tongueless-whispers/","Argues contemporary Afro-diasporic artists model an 'aesthetic counterforensics' in their audiovisual work to combat the colonialist and imperialist foundation of traditional evidence-based depictions of Black life.","OA"
"forensic violence / the forensic gaze","Başak Ertür & Alisa Lebow (extending Allen Feldman)","Names how state agencies survey and reconstruct bodies and events to produce control, and how the forensic gaze can itself perpetrate violence against the dead and the marginalised.","Countering Forensic Violence: Philip Scheffner's Revision","Başak Ertür and Alisa Lebow","World Records","Volume 9: Just Evidence",2025,"https://worldrecordsjournal.org/countering-forensic-violence/","Reads Philip Scheffner's film Revision—revisiting the 1992 killing of undocumented Roma workers on the German-Polish border—as a documentary practice that counters forensic violence by refusing the state's reconstructive gaze and restoring agency to the dead.","OA"
"precarity / gig labour","Guy Standing (the precariat), applied to platform creative work","Theorises a class-in-the-making defined by insecure, casualised labour without stable income or benefits, generalised by the platform/gig economy.","Game Design for a Fiverr: Precarity, Platform Labor, and the Creative Class","Media Industries 11.1 author","Media Industries","11.1",2024,"https://journals.publishing.umich.edu/mij/article/3870/galley/4308/download/","Examines how platforms such as Fiverr casualise creative game-design labour, forcing workers into increasingly precarious arrangements, situating freelance game work within wider debates on platform labour and the gig economy.","OA"
"political economy of streaming / competition","Ramon Lobato (extending media political economy)","Reframes how scholars conceptualise competition among video services, moving beyond the 'streaming wars' framing to analyse the structural economics of the platform video market.","Beyond Streaming Wars: Rethinking Competition in Video Services","Ramon Lobato","Media Industries","12.1",2025,"https://journals.publishing.umich.edu/mij/article/id/1338/","Argues the 'streaming wars' metaphor obscures the actual dynamics of the video-services market and proposes rethinking competition through a more structural political-economic account of platform rivalry and market position.","OA"
"infrastructural / catalogue analysis (critical data studies)","Karin van Es & Ramon Lobato (VoD catalogue and interface analysis methods)","Develops methods to study streaming catalogues and interfaces as infrastructures of cultural visibility, treating discoverability and catalogue composition as objects of critical data analysis.","Exploring VoD Services through Data Donations: A View from Netflix","Karin van Es and co-authors","Media Industries","12.1",2025,"https://journals.publishing.umich.edu/mij/article/id/7629/print/","Uses data-donation methods to investigate Netflix's catalogue and interface, arguing that critical analysis of VoD infrastructures reveals how platforms shape discoverability and cultural visibility beyond what corporate metrics disclose.","OA"
