keyword,theorist,concept_purpose,paper_title,paper_authors,journal,volume_issue,year,paper_url,paper_argument,access
reproductive futurity,Lee Edelman,"Edelman's anti-social thesis that politics is organised around 'the Child' and reproductive futurity, against which queerness names the death drive","Straight Time and Queer Utopia: Anthony Bridgerton and Kate Sharma's Disorientating Desire in the Regency",Emily M. Baker,Journal of Popular Film and Television,vol 54 no 1,2025,https://doi.org/10.1080/01956051.2025.2554924,"Reads Anthony's marriage imperative through Edelman's reproductive futurity, framing his desire for Kate as a swerve away from the heteronormative dynastic mandate",abstract-only
queer orientation,Sara Ahmed,"Ahmed's queer phenomenology of orientation, lines and the figure of the 'unhappy queer' that is disoriented by and from heteronormative paths","Straight Time and Queer Utopia: Anthony Bridgerton and Kate Sharma's Disorientating Desire in the Regency",Emily M. Baker,Journal of Popular Film and Television,vol 54 no 1,2025,https://doi.org/10.1080/01956051.2025.2554924,"Uses Ahmed's queer orientation and 'unhappy queers' to read the couple's disorientating desire and same-sex coding before their reorientation into the heteronormative resolution",abstract-only
competing masculinities,Stevie K. Seibert Desjarlais,"Generational model of masculinities as performances that must be flexible to meet new situational demands rather than fixed 'winner-takes-all' norms","Measures of Success: Competing Masculinities in Cobra Kai",Stevie K. Seibert Desjarlais,Journal of Popular Film and Television,vol 51 no 2,2023,https://doi.org/10.1080/01956051.2023.2190075,"Argues Cobra Kai stages an intergenerational negotiation in which rigid Reagan-era masculine norms fail Gen Z challenges, valorising flexible over static performances of manhood",abstract-only
queer cuts / disidentification,Ethan Calof,"A theory of 'queer cuts' in editing through which diasporic, secular subjects splice fractured identities into a queer cultural genealogy against white heteropatriarchal hegemony","'Fractured Moments, Contradiction, and Confusion': Identifying Queer Cuts in Diasporic Speculative Media via Everything Everywhere All at Once and Russian Doll",Ethan Calof,Journal of Popular Film and Television,vol 54 (online first),2026,https://doi.org/10.1080/01956051.2026.2668729,"Argues that the fractured, contradictory editing ('queer cuts') of these speculative texts lets diasporic North American subjects situate themselves within a queer genealogy and renegotiate normative whiteness",abstract-only
serial narrative / nonlinear turn,Tina-Louise Smith,"Framework for the structural and narrative politics of serial TV fiction and its turn toward nonlinear, complex storytelling","The Politics of Serial television Fiction: Structural Developments, Narrative Themes, and the Nonlinear Turn",Tina-Louise Smith,"Historical Journal of Film, Radio and Television",vol 46 (online first),2026,https://doi.org/10.1080/01439685.2026.2672273,"Maps structural developments and the 'nonlinear turn' in serial television to argue that narrative form itself carries political meaning across contemporary serial drama",abstract-only
racialized desire,Maxim Morel,"Critical-race reading of desire and othering across species/racial coding in popular franchise media","I'd just as soon kiss a wookiee: Uncovering racialized desire in the Star Wars galaxy",Maxim Morel,"Historical Journal of Film, Radio and Television",vol 46 no 2,2026,https://doi.org/10.1080/01439685.2026.2632402,"Uncovers how the Star Wars galaxy encodes racialized desire and othering, reading interspecies attraction and alien coding as displaced expressions of racial fantasy",abstract-only
necropolitics,Achille Mbembe,"Mbembe's power over life and death applied to authoritarian fatherhood and patriarchal violence in Latin American cinema","Fathers, Masculinity, and Authoritarianism in Latin American Cinema",Oliver Wilson-Nunn,"Historical Journal of Film, Radio and Television",vol 46 no 2,2026,https://doi.org/10.1080/01439685.2026.2632403,"Examines how Latin American films link paternal authority, masculinity and political authoritarianism, reading the father as a figure of sovereign and patriarchal power",abstract-only
colonial co-production / transnationalism,Hannah Holtzman,"Framework of transnational co-production politics analysing how Franco-Japanese collaboration negotiates cultural particularity and postwar geopolitics","A risky venture: Typhoon Over Nagasaki and the particularity of Franco-Japanese cinematic co-production",Hannah Holtzman,"Historical Journal of Film, Radio and Television",vol 46 (online first),2026,https://doi.org/10.1080/01439685.2026.2630846,"Uses the case of a Franco-Japanese co-production to theorise the cultural and industrial particularity of transnational collaboration in the postwar period",abstract-only
spectatorship / moral pleasure,Diana W. Anselmo,"Historical reception framework theorising female spectatorial pleasure, morality and faith as structuring early cinema audiences","'I want to be good:' morality, faith, and female spectatorial pleasure during World War I",Diana W. Anselmo,New Review of Film and Television Studies,vol 22 no 1,2024,https://doi.org/10.1080/17400309.2023.2298645,"Reconstructs how WWI-era female spectators derived moral and devotional pleasure from cinema, theorising spectatorship as a gendered, faith-inflected mode of engagement",abstract-only
popular feminism,Sarah Banet-Weiser,"Banet-Weiser's concept of popular feminism as highly visible, market-friendly feminism that circulates in media economies","Reese Witherspoon's popular feminism: adaptation and authorship in Big Little Lies",Sarah Louise Smyth,New Review of Film and Television Studies,vol 22 no 1,2024,https://doi.org/10.1080/17400309.2023.2263690,"Analyses Witherspoon's authorship and adaptation strategy in Big Little Lies as an instance of popular feminism, where female-led production reconciles feminist visibility with commercial branding",abstract-only
true crime / postfeminist adaptation,Tanya Horeck,"Framework theorising true-crime adaptation and feminist authorship in the #MeToo conjuncture of gendered violence and survivor testimony","I'll Be Gone in the Dark: feminism and the adaptation of true crime in the #MeToo era",Tanya Horeck,New Review of Film and Television Studies,vol 22 no 1,2024,https://doi.org/10.1080/17400309.2023.2264713,"Argues the adaptation reframes true crime through a #MeToo-era feminist lens, centring survivor knowledge and women's investigative labour against the genre's voyeurism",abstract-only
care and precarity,Adin Walker,"Affect/queer framework linking ecological precarity and intimate care to read slow, attentive tending of bodies and environments","Flowers, concrete, water: care and precarity in Tsai Ming-liang's I Don't Want to Sleep Alone (2006)",Adin Walker,New Review of Film and Television Studies,vol 22 no 2,2024,https://doi.org/10.1080/17400309.2024.2360379,"Reads Tsai's film through care and precarity, arguing its attention to flowers, concrete and water stages an ethics of tending amid migrant and ecological vulnerability",abstract-only
disidentification,Jose Esteban Munoz,"Munoz's disidentification: how minoritarian subjects work on and against dominant ideology, neither assimilating nor opposing but transforming it","Girls gone wild: animality, female teenagers, and disidentification in contemporary European cinema",Cristina Ruiz-Poveda Vera,New Review of Film and Television Studies,vol 22 no 1,2024,https://doi.org/10.1080/17400309.2024.2304604,"Uses Munoz's disidentification to read animal imagery and female adolescence in European cinema as a strategy by which teenage girls rework gendered and species norms",abstract-only
radicalization / gender,Eve Bennett,"Gendered framework of radicalization theorising how popular drama figures female recruits as 'lost souls, victims and deviants'","Lost souls, victims and deviants: radicalization and gender in Agents of S.H.I.E.L.D.",Eve Bennett,New Review of Film and Television Studies,vol 22 no 1,2024,https://doi.org/10.1080/17400309.2023.2257857,"Analyses how the series genders narratives of radicalization, casting women drawn into extremism as victims or deviants and thereby reproducing anxieties about female political agency",abstract-only
film-philosophy / transformational ethics,Daniel Smith,"A film-philosophy framework theorising the 'cinemakeover' as a transformational ethics through which films reshape the spectator's mode of being","Transformational ethics of film: thinking the cinemakeover in the film-philosophy debate",Daniel Smith,New Review of Film and Television Studies,vol 22 no 2,2024,https://doi.org/10.1080/17400309.2024.2362592,"Intervenes in the film-philosophy debate to argue that film enacts a transformational ('cinemakeover') ethics, reshaping how spectators perceive and live rather than merely illustrating arguments",abstract-only
dystopia / architecture,Jonathan Stubbs; Marko Kiessel,"Framework linking architectural dystopia and historicity to read built environments as carriers of political-temporal meaning in speculative film","Futures past and present: history, architecture and dystopia in Brazil (1985) and the Hunger Games series (2012-15)",Jonathan Stubbs and Marko Kiessel,New Review of Film and Television Studies,vol 22 no 2,2024,https://doi.org/10.1080/17400309.2023.2287973,"Reads dystopian architecture in Brazil and The Hunger Games as a historicising device, arguing built space encodes anxieties about authoritarian futures rooted in the past",abstract-only
