theorist,source,harvested_concepts
Pascal Gielen,Ours,3
Patrick W. Galbraith,Ours,3
Paul Gilroy,Ours,3
Paul Romer,Ours,3
Paul Virilio,Ours,3
Peter Singer,Ours,3
Peter Sloterdijk,Ours,3
Pierre Ostiguy,Ours,3
Pierre Rosanvallon,Ours,3
Quassim Cassam,Ours,3
Raewyn Connell,Ours,3
Ran Hirschl,Ours,3
Raúl Pérez,Ours,3
Ray Kurzweil,Ours,3
Ray Surette,Ours,3
Rebecca Traister,Ours,3
Reece Peck,Ours,3
René Girard,Ours,3
Rhonda Garelick,Ours,3
Richard Peterson,Ours,3
Richard Shusterman,Ours,3
Robert Gilpin,Ours,3
Robert N. Butler,Ours,3
Robert Stebbins,Ours,3
Robert Whiting,Ours,3
Robin James,Ours,3
Robin R. Means Coleman,Ours,3
Roger Caillois,Ours,3
Roger Fisher,Ours,3
Ronald Coase,Ours,3
Ronald Dworkin,Ours,3
Rosalind Gill,Ours,3
Ruha Benjamin,Ours,3
Rutger Bregman,Ours,3
Ryan Milner,Ours,3
Samuel Huntington,Ours,3
Sander Gilman,Ours,3
Sanjib Baruah,Ours,3
Sarah Banet-Weiser,Ours,3
Sarah Blaffer Hrdy,Ours,3
Scott McCloud,Ours,3
Sharon Hays,Ours,3
Sharon Kinsella,Ours,3
Sheri Berman,Ours,3
Sherry Turkle,Ours,3
Sherryl Vint,Ours,3
Sheryl Sandberg,Ours,3
Shoshana Zuboff,Ours,3
Silvia Federici,Ours,3
Simon May,Ours,3
Simon Reynolds,Ours,3
Soraya Chemaly,Ours,3
Stanley Cavell,Ours,3
Stefan Helmreich,Ours,3
Stella Young,Ours,3
Stephen Prince,Ours,3
Sudhir Venkatesh,Ours,3
Suk-Young Kim,Ours,3
Susan Bordo,Ours,3
Susan Brownell,Ours,3
Susan Strange,Ours,3
Svetlana Boym,Ours,3
Sylvia Walby,Ours,3
T.L. Taylor,Ours,3
Ta-Nehisi Coates,Ours,3
Talal Asad,Ours,3
Tamar Jeffers McDonald,Ours,3
Teddi Fishman,Ours,3
Tejaswini Ganti,Ours,3
Teresa Caldeira,Ours,3
Thomas Carter,Ours,3
Thomas Mann & Norman Ornstein,Ours,3
Thomas Piketty,Ours,3
Thomas Sowell,Ours,3
Tim Edensor,Ours,3
Tim Ingold,Ours,3
Tim Wu,Ours,3
Timothy Mitchell,Ours,3
Timothy Snyder,Ours,3
Tiziana Terranova,Ours,3
Toby Slade,Ours,3
Tom Ginsburg,Ours,3
Tom Nichols,Ours,3
Tomomi Yamaguchi,Ours,3
Tricia Rose,Ours,3
Taina Bucher,Ours,3
Tina Campt,Ours,3
Vandana Shiva,Ours,3
Viviana Zelizer,Ours,3
W. J. T. Mitchell,Ours,3
Walter Bagehot,Ours,3
Wendy Brown,Ours,3
Wendy Doniger,Ours,3
Whitney Phillips,Ours,3
Willem de Haan,Ours,3
William Ian Miller,Ours,3
William Nordhaus,Ours,3
William W. Kelly,Ours,3
Wolfgang Streeck,Ours,3
Yanis Varoufakis,Ours,3
Yasmin Ibrahim,Ours,3
Yiannis Gabriel,Ours,3
Yvonne Tasker,Ours,3
Zeke Faux,Ours,3
Zeynep Tufekci,Ours,3
Veena Dubal,Ours,3
Wang Hui (汪暉),Ours,3
Plato,DB,2
Edmund Burke,DB,2
Erwin Panofsky,DB,2
Susan Foster,DB,2
Brian Massumi,DB,2
Sandra Gilbert,DB,2
Franz Boas,DB,2
Linda Nochlin,DB,2
Philip Galanter,DB,2
Robert Sommer,DB,2
Ben Carrington,Both,2
Constance Classen,DB,2
Edwin Locke,DB,2
Gary Latham,DB,2
Max Ringelmann,DB,2
Edgar Schein,DB,2
John Dewey,DB,2
Richard E. Petty,DB,2
Michael Jensen,DB,2
William Meckling,DB,2
Michael Spence,DB,2
Jerald Greenberg,DB,2
Everett Rogers,DB,2
Lawrence Kohlberg,DB,2
Oliver Williamson,DB,2
Chris Argyris,DB,2
John Kotter,DB,2
Bill George,DB,2
George Homans,DB,2
David Cooperrider,DB,2
Robert Bies,DB,2
Patrick Wright,DB,2
Gary McMahan,DB,2
Philip Kotler,DB,2
Jan Johanson,DB,2
Mark Kramer,DB,2
Arnold Bakker,DB,2
Evangelia Demerouti,DB,2
applied to IB,DB,2
John French,DB,2
Bertram Raven,DB,2
Richard Emerson,DB,2
John Freeman,DB,2
Christian Grönroos,DB,2
Linda Treviño,DB,2
Michael E. Brown,DB,2
Richard Chase,DB,2
Bennett,DB,2
Robinson,DB,2
Henry Mintzberg,DB,2
Ann E. Tenbrunsel,DB,2
David P. Baron,DB,2
Werner F.M. De Bondt,DB,2
Lon L. Fuller,DB,2
Antony Anghie,DB,2
Hans Morgenthau,DB,2
David Held,DB,2
Richard Posner,DB,2
Guido Calabresi,DB,2
Antonin Scalia,DB,2
Howard Zehr,DB,2
Thomas Pogge,DB,2
Peter L. Berger,DB,2
Thomas Luckmann,DB,2
Joshua Greene,DB,2
Nicholas Blomley,DB,2
Carlo Ginzburg,DB,2
Daniel Farber,DB,2
Lawrence O. Gostin,DB,2
Laurence Steinberg,DB,2
Elinor Ostrom,DB,2
Talcott Parsons,DB,2
John D. McCarthy,DB,2
Mayer N. Zald,DB,2
Roland Robertson,DB,2
Doug McAdam,DB,2
Sidney Tarrow,DB,2
Alain Touraine,DB,2
Alberto Melucci,DB,2
Michael Marmot,DB,2
Ivan Illich,DB,2
Michael Omi,DB,2
André Gunder Frank,DB,2
Gayatri Spivak,DB,2
James G. March,DB,2
Daniel Bell,DB,2
Georg Lukács,DB,2
Erik Olin Wright,DB,2
Paul Slovic,DB,2
Harold Garfinkel,DB,2
Thomas Hobbes,DB,2
John Stuart Mill,DB,2
James Madison,DB,2
Polybius,DB,2
Herbert Marcuse,DB,2
Amartya Sen,DB,2
Michael Walzer,DB,2
Alexander Wendt,Both,2
Theda Skocpol,DB,2
John W. Kingdon,DB,2
Juan J. Linz,DB,2
Philip Pettit,DB,2
Quentin Skinner,DB,2
Hugh Cunningham,DB,2
Simon Schaffer,DB,2
Steven Shapin,DB,2
David Garland,Both,2
Frederick Cooper,DB,2
Georges Vigarello,DB,2
Lynn Hunt,DB,2
Douglass North,DB,2
Alfred Crosby,DB,2
Sebastian Conrad,DB,2
Mike Davis,DB,2
Thomas Kuhn,DB,2
Elizabeth Eisenstein,DB,2
E.A. Wrigley,DB,2
Roy Porter,DB,2
David R. Roediger,DB,2
Mary Ainsworth,DB,2
Judith Stacey,DB,2
Rhacel Salazar Parreñas,DB,2
David H. Olson,DB,2
Glen Elder Jr.,DB,2
Gøsta Esping-Andersen,Both,2
Froma Walsh,DB,2
Mara Selvini Palazzoli,DB,2
Rollo May,DB,2
Frederic Bartlett,DB,2
Aaron Beck,DB,2
Fritz Heider,DB,2
Jean Piaget,DB,2
Irwin Altman,DB,2
Bibb Latané,DB,2
Gordon Allport,DB,2
D.W. Winnicott,DB,2
Albert Ellis,DB,2
Marsha M. Linehan,DB,2
Simon Baron-Cohen,DB,2
Godfrey Hochbaum,DB,2
Stephen Kegels,DB,2
Gary Berntson,DB,2
Edward L. Deci,DB,2
Richard M. Ryan,DB,2
Insoo Kim Berg,DB,2
Shinobu Kitayama,DB,2
Rachel Kaplan,DB,2
Stephen Kaplan,DB,2
Stephen Porges,DB,2
Shelley E. Taylor,DB,2
Anthony Greenwald,DB,2
Carlo C. DiClemente,DB,2
K. Anders Ericsson,Both,2
Cohen,DB,2
Wills,DB,2
Ann Masten,DB,2
Sue Johnson,DB,2
Roman Jakobson,DB,2
I.A. Richards,DB,2
Gérard Genette,DB,2
Vladimir Propp,DB,2
David T. Mitchell,DB,2
Sharon L. Snyder,DB,2
Terry Eagleton,DB,2
Pascale Casanova,DB,2
Lisa Zunshine,DB,2
Patrick Colm Hogan,DB,2
Joseph Carroll,DB,2
Graham Harman,DB,2
Erin Manning,DB,2
Glenn Albrecht,DB,2
Édouard Glissant,DB,2
Katherine Hayles,DB,2
W.D. Hamilton,DB,2
L.L. Cavalli-Sforza,DB,2
Sanfey et al.,DB,2
Robert Sapolsky,DB,2
Sue Carter,DB,2
Randolph Nesse,DB,2
Helen Fisher,DB,2
Marco Iacoboni,DB,2
Antonio Damasio,DB,2
Till Roenneberg,DB,2
Amotz Zahavi,DB,2
Larry Squire,DB,2
Richard Alexander,DB,2
Abdel R. Omran,DB,2
David Lyon,Both,2
Dean MacCannell,Both,2
Brian Wynne,DB,2
George Ainslie,DB,2
Matthew Rabin,DB,2
Klaus Schmidt,DB,2
Armin Falk,DB,2
James Andreoni,DB,2
Paul Zak,DB,2
Robert Axelrod,DB,2
Harvey Leibenstein,DB,2
Janet Yellen,DB,2
Edward Deci,DB,2
Richard Ryan,DB,2
James Alm,DB,2
Raj Chetty,DB,2
Dean Karlan,DB,2
Angela Duckworth,Both,2
Andrew W. Lo,DB,2
Oliver Hart,DB,2
Roland Fryer Jr.,DB,2
Thomas Scheff,DB,2
João Biehl,DB,2
Drew Leder,DB,2
Thomas Szasz,DB,2
Anselm Strauss,DB,2
Lawrence W. Green,DB,2
George Foster,DB,2
Anne Helen Petersen,Ours,2
Arthur Koestler,Ours,2
Beverley Skeggs,Ours,2
Brooke Erin Duffy,Ours,2
Bryan Stevenson,Ours,2
C. Wright Mills,Ours,2
Carol J. Clover,Ours,2
Cas Mudde,Ours,2
Chris Rojek,Ours,2
Daniel Boorstin,Ours,2
Daniel J. Solove,Ours,2
Danielle Keats Citron,Ours,2
David Bordwell,Ours,2
David Riesman,Ours,2
David Runciman,Ours,2
Dean Vuletic,Ours,2
Didier Fassin,Ours,2
Edgar Morin,Ours,2
Elias Canetti,Ours,2
danah boyd,Ours,2
Théophile Gautier,DB,1
Oscar Wilde,DB,1
Clive Bell,DB,1
Clement Greenberg,DB,1
Leo Tolstoy,DB,1
Benedetto Croce,DB,1
Arnold Hauser,DB,1
T.J. Clark,DB,1
John Burke,DB,1
Jules Prown,DB,1
Bertolt Brecht,DB,1
Augusto Boal,DB,1
Fred Lerdahl,DB,1
Stephen Davies,DB,1
Jay Coakley,DB,1
Richard Gruneau,DB,1
Shilling,DB,1
Nicholas Mirzoeff,DB,1
Christiane Paul,DB,1
Alfred Gell,DB,1
Eduardo Kac,DB,1
Griselda Pollock,DB,1
Raymonde Moulin,DB,1
Adrian Hill,DB,1
Gustav Fechner,DB,1
Daniel Berlyne,DB,1
Rosalyn Deutsche,DB,1
Miwon Kwon,DB,1
Roy Ascott,DB,1
Joann Kealiinohomoku,DB,1
Christian Norberg-Schulz,DB,1
Fred Davis,DB,1
Paolo Freire,DB,1
James E. Young,DB,1
Eduard Hanslick,DB,1
Susanne Langer,DB,1
RoseLee Goldberg,DB,1
Bruce Ogilvie,DB,1
Thomas Tutko,DB,1
Yuriko Saito,DB,1
Lucy R. Lippard,DB,1
Richard Lapchick,DB,1
Bill Verplank,DB,1
Nicolas Bourriaud,DB,1
Eilean Hooper-Greenhill,DB,1
Cesare Brandi,DB,1
André Lepecki,DB,1
Christian Metz,DB,1
Kenneth Bruscia,DB,1
William J. Morgan,DB,1
Kate Fletcher,DB,1
Jill Sonke,DB,1
Claire Bishop,DB,1
Alan Merriam,DB,1
John Blacking,DB,1
John W. Loy,DB,1
Michael Thaut,DB,1
Raymond Boyle,DB,1
Richard Haynes,DB,1
Ken Yeang,DB,1
