theorist,concept,part,major,sub,source_title
Jules Prown,Material Culture,ART,Art History & Historiography,A. Iconology & Social History of Art,CSV
Judith Butler,Performativity (Performing Arts),ART,Performance Studies & Theatre,A. Performance Theory & Ritual,CSV
Judith Butler,Embodiment Theory (Performance),ART,Performance Studies & Theatre,A. Performance Theory & Ritual,CSV
Judith Butler,Queer Literary Theory,ART,Literature & Literary Theory,A. Critical & Materialist Criticism,CSV
Judith Butler,Fashion as Performance Theory,ART,Fashion & Dress Studies,B. Fashion as Performance & Spectacle,CSV
Judith Butler,Queer Theory,Society,Contemporary Social Theories,Social Constructionism,CSV
Judith Butler,Gender as Performance,Politics,"Postcolonial, Feminist & Environmental Politics",B. Feminism & Gender in Politics,CSV
Judith Butler,Feminist Criticism,Critics,Identity-Based & Political,A. Feminist & Gender Criticism,CSV
Judith Butler,Performativity,Critics,Intertextual & Comparative,C. Adaptation & Performance,CSV
Judith Butler,Performativity of Text,Critics,Identity-Based & Political,B. Queer Theory,CSV
Judith Butler,Gender Trouble,Critics,Identity-Based & Political,B. Queer Theory,OurList
Judith Butler,Precarious Life,Critics,Identity-Based & Political,B. Queer Theory,OurList
J.L. Austin,Performativity (Performing Arts),ART,Performance Studies & Theatre,A. Performance Theory & Ritual,CSV
J.L. Austin,Performativity,Critics,Intertextual & Comparative,C. Adaptation & Performance,CSV
J.L. Austin,Speech Act Theory,Critics,Formalist & Text-Centric,C. Stylistics & Textual Criticism,CSV
Erving Goffman,Social Performance Theory,ART,Performance Studies & Theatre,A. Performance Theory & Ritual,CSV
Erving Goffman,Everyday Performance Theory,ART,Performance Studies & Theatre,C. Everyday & Restored Behavior,CSV
Erving Goffman,Dramaturgical Theory,Society,Advanced & Applied Social Theories,General Social Theories,CSV
Erving Goffman,Impression Management,Society,Advanced & Applied Social Theories,General Social Theories,CSV
Erving Goffman,Backstage and Frontstage,Society,Advanced & Applied Social Theories,General Social Theories,CSV
Erving Goffman,Total Institutions,Society,Advanced & Applied Social Theories,General Social Theories,CSV
Erving Goffman,Stigma,Society,Advanced & Applied Social Theories,General Social Theories,CSV
Erving Goffman,The Presentation of Self in Everyday Life,Society,Advanced & Applied Social Theories,General Social Theories,CSV
Erving Goffman,Frame Analysis,Society,Advanced & Applied Social Theories,General Social Theories,CSV
Erving Goffman,Asylums,Society,Advanced & Applied Social Theories,General Social Theories,CSV
Erving Goffman,Stigmatization,Society,Advanced & Applied Social Theories,General Social Theories,CSV
Erving Goffman,Authenticity in Culture Theory,Culture,Philosophy & Aesthetics of Culture,C. Authenticity in Culture,CSV
Erving Goffman,Stigma and Health Theory,Medicine,Critical Medical Humanities,B. Graphic & Visual Medicine,CSV
Erving Goffman,Courtesy Stigma,Medicine,Critical Medical Humanities,B. Graphic & Visual Medicine,CSV
Erving Goffman,Performance of Illness Theory,Medicine,Critical Medical Humanities,"D. Arts, Performance & Healing",CSV
Erving Goffman,Genetic Stigma Theory,Medicine,History of Medicine & Science Studies,"B. Genetics, Genomics & Society",CSV
Erving Goffman,Backstage,Society,Contemporary Sociological Perspectives,,OurList
Erving Goffman,Stigma Management,Society,Contemporary Sociological Perspectives,,OurList
Victor Turner,Ritual Theory (Performing Arts),ART,Performance Studies & Theatre,A. Performance Theory & Ritual,CSV
Victor Turner,Ritual and Literature,Critics,Ecological & Environmental,C. Ecofeminism & Environmental Justice,CSV
Victor Turner,Ritual and Healing Theory,Medicine,Medical Anthropology & Cultural Models,"A. Culture, Healing & Explanatory Models",CSV
Victor Turner,Liminality,ART,Performance Studies & Theatre,Performance Theory & Ritual,OurList
Victor Turner,Communitas,ART,Performance Studies & Theatre,Performance Theory & Ritual,OurList
Victor Turner,Social Drama,ART,Performance Studies & Theatre,Performance Theory & Ritual,OurList
Richard Schechner,Ritual Theory (Performing Arts),ART,Performance Studies & Theatre,A. Performance Theory & Ritual,CSV
Richard Schechner,Everyday Performance Theory,ART,Performance Studies & Theatre,C. Everyday & Restored Behavior,CSV
Richard Schechner,Restored Behavior Theory (Performance),ART,Performance Studies & Theatre,C. Everyday & Restored Behavior,CSV
Richard Schechner,Performance Theory,ART,Performance Studies & Theatre,Performance Theory & Ritual,OurList
Richard Schechner,Restored Behavior,ART,Performance Studies & Theatre,Performance Theory & Ritual,OurList
Richard Schechner,Environmental Theater,ART,Performance Studies & Theatre,Performance Theory & Ritual,OurList
Bertolt Brecht,Brechtian Alienation Effect (Verfremdungseffekt),ART,Performance Studies & Theatre,A. Performance Theory & Ritual,CSV
Augusto Boal,Theatre of the Oppressed,ART,Performance Studies & Theatre,A. Performance Theory & Ritual,CSV
Susan Foster,Embodiment Theory (Performance),ART,Performance Studies & Theatre,A. Performance Theory & Ritual,CSV
Susan Foster,Embodiment in Dance Theory,ART,Dance & Embodiment Studies,A. Embodiment & Sociology of Dance,CSV
Brian Massumi,Affect Theory (Performance),ART,Performance Studies & Theatre,A. Performance Theory & Ritual,CSV
Brian Massumi,Affect Theory,Society,Contemporary Social Theories,Emotion & Affect,CSV
Simon Frith,Music and Identity Theory,ART,Music & Sound Studies,A. Sociology & Politics of Music,CSV
Simon Frith,Music and Globalization Theory,ART,Music & Sound Studies,B. Ethnomusicology & Globalization,CSV
Simon Frith,Performing Rites,ART,Music & Sound Studies,Sociology & Politics of Music,OurList
Simon Frith,Sociology of Rock,ART,Music & Sound Studies,Sociology & Politics of Music,OurList
Simon Frith,Art into Pop,ART,Music & Sound Studies,Sociology & Politics of Music,OurList
Tia DeNora,Music and Identity Theory,ART,Music & Sound Studies,A. Sociology & Politics of Music,CSV
Tia DeNora,Music in Everyday Life,ART,Music & Sound Studies,Sociology & Politics of Music,OurList
Tia DeNora,Music as Technology of Self,ART,Music & Sound Studies,Sociology & Politics of Music,OurList
Tia DeNora,After Adorno,ART,Music & Sound Studies,Sociology & Politics of Music,OurList
Dick Hebdige,Subcultural Theory (Music),ART,Music & Sound Studies,A. Sociology & Politics of Music,CSV
Dick Hebdige,Subculture Theory,Critics,Historical & Cultural Materialist,B. Cultural Studies,CSV
Dick Hebdige,Semiotics of Subculture,Culture,British Cultural Studies (Birmingham School),A. Hegemony & Encoding/Decoding,CSV
Dick Hebdige,Bricolage,Culture,British Cultural Studies (Birmingham School),B. Subculture & Fandom,OurList
Dick Hebdige,Subculture: The Meaning of Style,Culture,British Cultural Studies (Birmingham School),B. Subculture & Fandom,OurList
Dick Hebdige,Homology,Culture,British Cultural Studies (Birmingham School),B. Subculture & Fandom,OurList
David Hesmondhalgh,Political Economy of Music,ART,Music & Sound Studies,A. Sociology & Politics of Music,CSV
David Hesmondhalgh,Cultural Industries Theory,ART,Anthropology & Sociology of Art,B. Cultural Industries & Production,CSV
David Hesmondhalgh,Creative Industries Theory,Culture,Cultural Economy & Production,A. Creative & Cultural Industries,CSV
David Hesmondhalgh,Cultural Value Chains Theory,Culture,Cultural Economy & Production,B. Cultural Value & Economics,CSV
David Hesmondhalgh,Global Cultural Industries Theory,Culture,Global & Transnational Culture,D. Global Cultural Industries & Diplomacy,CSV
David Hesmondhalgh,The Cultural Industries,Culture,Cultural Economy & Production,A. Creative & Cultural Industries,OurList
David Hesmondhalgh,Precarious Work,Culture,Cultural Economy & Production,A. Creative & Cultural Industries,OurList
David Hesmondhalgh,Creative Labour,Culture,Cultural Economy & Production,A. Creative & Cultural Industries,OurList
Jacques Attali,Music and Power Theory,ART,Music & Sound Studies,A. Sociology & Politics of Music,CSV
Jacques Attali,Politics of Sound (Music) Theory,ART,Music & Sound Studies,A. Sociology & Politics of Music,CSV
Jacques Attali,Noise: The Political Economy of Music,ART,Music & Sound Studies,A. Sociology & Politics of Music,OurList
Jacques Attali,Music as Prophecy,ART,Music & Sound Studies,A. Sociology & Politics of Music,OurList
Jacques Attali,Millennium,ART,Music & Sound Studies,A. Sociology & Politics of Music,OurList
Fred Lerdahl,Cognitive Musicology,ART,Music & Sound Studies,A. Sociology & Politics of Music,CSV
Stephen Davies,Theory of Musical Affect,ART,Music & Sound Studies,A. Sociology & Politics of Music,CSV
Stephen Greenblatt,New Historicism (Literature),ART,Literature & Literary Theory,B. Historicism & Society,CSV
Stephen Greenblatt,New Historicism,Critics,Historical & Cultural Materialist,A. New Historicism & Cultural Poetics,CSV
Stephen Greenblatt,Cultural Poetics,Critics,Historical & Cultural Materialist,A. New Historicism & Cultural Poetics,CSV
Raymond Williams,Cultural Materialism (Literature),ART,Literature & Literary Theory,A. Critical & Materialist Criticism,CSV
Raymond Williams,Cultural Production Theory,ART,Anthropology & Sociology of Art,A. Anthropology of Art & Ritual,CSV
Raymond Williams,Cultural Materialism,Critics,Historical & Cultural Materialist,A. New Historicism & Cultural Poetics,CSV
Raymond Williams,Cultural Studies,Critics,Historical & Cultural Materialist,A. New Historicism & Cultural Poetics,CSV
Raymond Williams,Raymond Williams,Critics,Historical & Cultural Materialist,B. Cultural Studies,CSV
Raymond Williams,"Culture as a ""Whole Way of Life""",Culture,Foundations & Classical Approaches,A. Culture as a Whole Way of Life,CSV
Raymond Williams,Culture as Praxis Theory,Culture,Philosophy & Aesthetics of Culture,A. Symbolic Forms & Praxis,CSV
Raymond Williams,Structure of Feeling,Culture,Foundations & Classical Approaches,Culture as a Whole Way of Life,OurList
Raymond Williams,Flow,Culture,Foundations & Classical Approaches,Culture as a Whole Way of Life,OurList
Elaine Showalter,Feminist Literary Criticism,ART,Literature & Literary Theory,A. Critical & Materialist Criticism,CSV
Elaine Showalter,Feminist Criticism,Critics,Identity-Based & Political,A. Feminist & Gender Criticism,CSV
Elaine Showalter,Gynocriticism,Critics,Identity-Based & Political,A. Feminist & Gender Criticism,CSV
Sandra Gilbert,Feminist Literary Criticism,ART,Literature & Literary Theory,A. Critical & Materialist Criticism,CSV
Sandra Gilbert,Feminist Criticism,Critics,Identity-Based & Political,A. Feminist & Gender Criticism,CSV
Eve Kosofsky Sedgwick,Queer Literary Theory,ART,Literature & Literary Theory,A. Critical & Materialist Criticism,CSV
Eve Kosofsky Sedgwick,Queer Theory,Society,Contemporary Social Theories,Social Constructionism,CSV
Eve Kosofsky Sedgwick,Homosocial Desire,Critics,Identity-Based & Political,A. Feminist & Gender Criticism,CSV
Eve Kosofsky Sedgwick,Epistemology of the Closet,Critics,Identity-Based & Political,B. Queer Theory,OurList
Eve Kosofsky Sedgwick,Between Men,Critics,Identity-Based & Political,B. Queer Theory,OurList
Edward Said,Postcolonial Literary Theory,ART,Literature & Literary Theory,A. Critical & Materialist Criticism,CSV
Edward Said,Postcolonial Theory,Society,Advanced & Applied Social Theories,General Social Theories,CSV
Edward Said,Orientalism (Political Theory),Politics,"Postcolonial, Feminist & Environmental Politics",A. Postcolonial & Decolonial Politics,CSV
Edward Said,The Burden of Representation,History,Post-Structuralist & Genealogical History,A. Genealogy & Archaeology,CSV
Edward Said,Postcolonial History,History,Post-Structuralist & Genealogical History,A. Genealogy & Archaeology,CSV
Edward Said,Postcolonial Criticism,Critics,Identity-Based & Political,A. Feminist & Gender Criticism,CSV
Edward Said,Orientalism,Critics,Identity-Based & Political,A. Feminist & Gender Criticism,CSV
Edward Said,Comparative Literature,Critics,Intertextual & Comparative,A. Intertextuality,CSV
Edward Said,The Question of Palestine,Critics,Identity-Based & Political,C. Postcolonial & Critical Race,OurList
Edward Said,On Late Style,Critics,Identity-Based & Political,C. Postcolonial & Critical Race,OurList
Homi K. Bhabha,Postcolonial Literary Theory,ART,Literature & Literary Theory,A. Critical & Materialist Criticism,CSV
Homi K. Bhabha,Mimicry (Historical),History,Post-Structuralist & Genealogical History,A. Genealogy & Archaeology,CSV
Homi K. Bhabha,Postcolonial Criticism,Critics,Identity-Based & Political,A. Feminist & Gender Criticism,CSV
Homi K. Bhabha,Hybridity,Critics,Identity-Based & Political,C. Postcolonial & Critical Race,CSV
Homi K. Bhabha,Hybridity (Bhabha),Critics,Identity-Based & Political,C. Postcolonial & Critical Race,CSV
Homi K. Bhabha,The Location of Culture,Critics,Identity-Based & Political,C. Postcolonial & Critical Race,OurList
Homi K. Bhabha,Third Space,Critics,Identity-Based & Political,C. Postcolonial & Critical Race,OurList
Sigmund Freud,Psychoanalytic Literary Criticism,ART,Literature & Literary Theory,A. Critical & Materialist Criticism,CSV
Sigmund Freud,Transference and Countertransference,Family,애착·심리역동 가족이론 (Attachment & Psychodynamic),A. 애착·내적작동모델 (Attachment & Internal Working Models),CSV
Sigmund Freud,Psychosexual Development Theory,Psychology,Psychoanalytic & Psychodynamic,A. Classical Psychoanalysis,CSV
Sigmund Freud,"Id, Ego, Superego",Psychology,Psychoanalytic & Psychodynamic,A. Classical Psychoanalysis,CSV
Sigmund Freud,Psychoanalytic Criticism (Freudian),Critics,Psychoanalytic & Psychological,A. Freudian & Lacanian,CSV
Sigmund Freud,The Uncanny,Critics,Psychoanalytic & Psychological,A. Freudian & Lacanian,CSV
Sigmund Freud,Psychoanalytic Criticism (Freudian Literary),Critics,Psychoanalytic & Psychological,A. Freudian & Lacanian,CSV
Sigmund Freud,The Unconscious,Psychology,Psychoanalytic & Psychodynamic,Classical Psychoanalysis,OurList
Sigmund Freud,Psychoanalysis,Psychology,Psychoanalytic & Psychodynamic,Classical Psychoanalysis,OurList
Sigmund Freud,Oedipus Complex,Psychology,Psychoanalytic & Psychodynamic,Classical Psychoanalysis,OurList
Jacques Lacan,Psychoanalytic Literary Criticism,ART,Literature & Literary Theory,A. Critical & Materialist Criticism,CSV
Jacques Lacan,Psychoanalytic Criticism (Freudian),Critics,Psychoanalytic & Psychological,A. Freudian & Lacanian,CSV
Jacques Lacan,Lacanian Criticism,Critics,Psychoanalytic & Psychological,A. Freudian & Lacanian,CSV
Jacques Lacan,The Gaze,Critics,Psychoanalytic & Psychological,A. Freudian & Lacanian,CSV
Jacques Lacan,Jouissance,Critics,Psychoanalytic & Psychological,A. Freudian & Lacanian,CSV
Carl Jung,Archetypal Literary Criticism,ART,Literature & Literary Theory,A. Critical & Materialist Criticism,CSV
Carl Jung,Analytical Psychology (Individual),Psychology,Psychoanalytic & Psychodynamic,A. Classical Psychoanalysis,CSV
Carl Jung,Archetypal Criticism,Critics,Psychoanalytic & Psychological,A. Freudian & Lacanian,CSV
Carl Jung,Shadow,Psychology,Psychoanalytic & Psychodynamic,A. Classical Psychoanalysis,OurList
Carl Jung,Collective Unconscious,Psychology,Psychoanalytic & Psychodynamic,A. Classical Psychoanalysis,OurList
Carl Jung,Archetypes,Psychology,Psychoanalytic & Psychodynamic,A. Classical Psychoanalysis,OurList
Northrop Frye,Archetypal Literary Criticism,ART,Literature & Literary Theory,A. Critical & Materialist Criticism,CSV
Northrop Frye,Archetypal Criticism,Critics,Psychoanalytic & Psychological,A. Freudian & Lacanian,CSV
Northrop Frye,Myth Criticism,Critics,Psychoanalytic & Psychological,A. Freudian & Lacanian,CSV
Northrop Frye,Ritual and Literature,Critics,Ecological & Environmental,C. Ecofeminism & Environmental Justice,CSV
Harry Edwards,Sociology of Sport,ART,Sport & Physical Culture,A. Sociology & Politics of Sport,CSV
Harry Edwards,The Sociology of Sport,ART,Sport & Physical Culture,A. Sociology & Politics of Sport,OurList
Harry Edwards,The Revolt of the Black Athlete,ART,Sport & Physical Culture,A. Sociology & Politics of Sport,OurList
Harry Edwards,Sport and Social Change,ART,Sport & Physical Culture,A. Sociology & Politics of Sport,OurList
Jay Coakley,Sociology of Sport,ART,Sport & Physical Culture,A. Sociology & Politics of Sport,CSV
Richard Gruneau,Commodification of Sport,ART,Sport & Physical Culture,A. Sociology & Politics of Sport,CSV
Shilling,Sociology of the Body (Sport),ART,Sport & Physical Culture,A. Sociology & Politics of Sport,CSV
Pierre Bourdieu,Fan Culture Theory (Sport),ART,Sport & Physical Culture,A. Sociology & Politics of Sport,CSV
Pierre Bourdieu,Music and Social Class Theory,ART,Music & Sound Studies,A. Sociology & Politics of Music,CSV
Pierre Bourdieu,Sociology of Architecture,ART,Architecture & the Built Environment,"B. Architecture, Society & Power",CSV
Pierre Bourdieu,Theory of Practice,Society,Contemporary Sociological Perspectives,,CSV
Pierre Bourdieu,Social Capital Theory,Society,Specific Social Phenomena Theories,,CSV
Pierre Bourdieu,Cultural Capital Theory,Society,Specific Social Phenomena Theories,,CSV
Pierre Bourdieu,Cultural Production Theory,Society,Contemporary Social Theories,Cultural Sociology (Bourdieu),CSV
Pierre Bourdieu,Field Theory,Society,Contemporary Social Theories,Cultural Sociology (Bourdieu),CSV
Pierre Bourdieu,Habitus,Society,Contemporary Social Theories,Cultural Sociology (Bourdieu),CSV
Pierre Bourdieu,Cultural Reproduction Theory (Education),Society,Advanced & Applied Social Theories,Education,CSV
Pierre Bourdieu,Literary Field Theory,Critics,Historical & Cultural Materialist,B. Cultural Studies,CSV
Pierre Bourdieu,Cultural Aesthetics Theory,Culture,Philosophy & Aesthetics of Culture,B. Cultural Aesthetics,CSV
Pierre Bourdieu,Embodied Culture Theory,Culture,Identity & Difference,B. Embodiment & Performativity,CSV
Pierre Bourdieu,Sociology of Taste Theory,Culture,Cultural Sociology,B. Taste & Distinction,CSV
Pierre Bourdieu,Cultural Capital,Society,Contemporary Social Theories,Cultural Sociology (Bourdieu),OurList
Pierre Bourdieu,Distinction,Society,Contemporary Social Theories,Cultural Sociology (Bourdieu),OurList
W.J.T. Mitchell,Visual Culture Theory,ART,Visual Culture & Media Studies,A. Visual Culture & Spectacle,CSV
W.J.T. Mitchell,History of Landscape,History,Digital History,B. Spatial & Network Analysis,CSV
W.J.T. Mitchell,History of Visual Culture,History,Cultural History,C. Art & Visual Culture,CSV
Nicholas Mirzoeff,Visual Culture Theory,ART,Visual Culture & Media Studies,A. Visual Culture & Spectacle,CSV
Guy Debord,Spectacle,ART,Visual Culture & Media Studies,A. Visual Culture & Spectacle,CSV
Guy Debord,The Society of the Spectacle,Society,Advanced & Applied Social Theories,General Social Theories,CSV
Guy Debord,The Spectacle (Political Theory),Politics,Radical & Critical Traditions,D. Post-Structuralism & Postmodern Politics,CSV
Guy Debord,Society of the Spectacle,Culture,Post-Structuralism & Postmodernism,A. Simulation & Hyperreality,OurList
Guy Debord,Psychogeography,Culture,Post-Structuralism & Postmodernism,A. Simulation & Hyperreality,OurList
Guy Debord,Détournement,Culture,Post-Structuralism & Postmodernism,A. Simulation & Hyperreality,OurList
Marshall McLuhan,Media Ecology Theory,ART,Visual Culture & Media Studies,A. Visual Culture & Spectacle,CSV
Marshall McLuhan,The Global Village,Society,Advanced & Applied Social Theories,General Social Theories,CSV
Marshall McLuhan,History of Communication,History,Cultural History,C. Art & Visual Culture,CSV
Marshall McLuhan,Global Village,Culture,Media & Communication,B. Media Archaeology & Materiality,OurList
Marshall McLuhan,The Medium is the Message,Culture,Media & Communication,B. Media Archaeology & Materiality,OurList
Marshall McLuhan,Understanding Media,Culture,Media & Communication,B. Media Archaeology & Materiality,OurList
Lev Manovich,Digital Art Theory,ART,Visual Culture & Media Studies,A. Visual Culture & Spectacle,CSV
Lev Manovich,Digital Humanities Criticism,Critics,Digital & Media-Specific,A. Digital Humanities & Hypertext,CSV
Lev Manovich,Cultural Analytics,Critics,Digital & Media-Specific,B. Computational & Cultural Analytics,CSV
Lev Manovich,The Language of New Media,Critics,Digital & Media-Specific,B. Computational & Cultural Analytics,OurList
Lev Manovich,Software Studies,Critics,Digital & Media-Specific,B. Computational & Cultural Analytics,OurList
Lev Manovich,Database,Critics,Digital & Media-Specific,B. Computational & Cultural Analytics,OurList
Christiane Paul,New Media Art Theory,ART,Visual Culture & Media Studies,A. Visual Culture & Spectacle,CSV
Franz Boas,Anthropology of Art,ART,Anthropology & Sociology of Art,A. Anthropology of Art & Ritual,CSV
Franz Boas,Cultural Relativism,Culture,Foundations & Classical Approaches,B. Anthropology of Culture,CSV
Claude Lévi-Strauss,Anthropology of Art,ART,Anthropology & Sociology of Art,A. Anthropology of Art & Ritual,CSV
Claude Lévi-Strauss,Kinship Systems Theory,Family,친족·인류학 (Kinship & Anthropology),A. 친족체계 (Kinship Systems),CSV
Claude Lévi-Strauss,Structuralism,Critics,Formalist & Text-Centric,A. Formalism & New Criticism,CSV
Claude Lévi-Strauss,Food and Culture Theory,Culture,"Material, Spatial & Heritage Culture",B. Food & Foodways,CSV
Alfred Gell,Art and Ritual (Anthropological),ART,Anthropology & Sociology of Art,A. Anthropology of Art & Ritual,CSV
Rosi Braidotti,Posthuman Art Theory,ART,Posthumanism & Environmental Arts,A. Posthuman & Bio Art,CSV
Rosi Braidotti,Posthumanism,Critics,Post-Humanist & Non-Human,A. Posthumanism & Cyborg Theory,CSV
Rosi Braidotti,Posthuman Ethics,Critics,Post-Humanist & Non-Human,A. Posthumanism & Cyborg Theory,CSV
Rosi Braidotti,Posthuman Feminism,Critics,Identity-Based & Political,A. Feminist & Gender Criticism,CSV
Rosi Braidotti,Posthuman Culture Theory,Culture,Philosophy & Aesthetics of Culture,D. Posthuman & Material Philosophy,CSV
Eduardo Kac,Bio Art Theory,ART,Posthumanism & Environmental Arts,A. Posthuman & Bio Art,CSV
Linda Tuhiwai Smith,Decolonizing Art Theory,ART,"Race, Gender & Postcolonial Critique of Art",B. Postcolonial & Decolonial Art,CSV
Linda Tuhiwai Smith,Indigenous History,History,Postcolonial & Decolonial History,C. Indigenous & Decolonial,CSV
Linda Tuhiwai Smith,Decolonizing Cultural Studies,Culture,Global & Transnational Culture,E. Indigenous & Decolonial Culture,CSV
Stuart Hall,Race and Representation in Art Theory,ART,"Race, Gender & Postcolonial Critique of Art",A. Critical Race & Representation,CSV
Stuart Hall,Cultural Studies,Critics,Historical & Cultural Materialist,A. New Historicism & Cultural Poetics,CSV
Stuart Hall,Subculture Theory,Critics,Historical & Cultural Materialist,B. Cultural Studies,CSV
Stuart Hall,Encoding/Decoding Model,Critics,Historical & Cultural Materialist,B. Cultural Studies,CSV
Stuart Hall,Hegemony,Culture,British Cultural Studies (Birmingham School),A. Hegemony & Encoding/Decoding,CSV
Stuart Hall,Cultural Production Theory,Culture,British Cultural Studies (Birmingham School),A. Hegemony & Encoding/Decoding,CSV
Stuart Hall,Active Audience Theory,Culture,British Cultural Studies (Birmingham School),A. Hegemony & Encoding/Decoding,CSV
Stuart Hall,Diasporic Culture Theory,Culture,Global & Transnational Culture,B. Diaspora & Deterritorialization,CSV
Stuart Hall,Encoding/Decoding,Culture,British Cultural Studies (Birmingham School),Hegemony & Encoding/Decoding,OurList
Stuart Hall,Cultural Identity,Culture,British Cultural Studies (Birmingham School),Hegemony & Encoding/Decoding,OurList
Linda Nochlin,Feminist Art Criticism,ART,"Race, Gender & Postcolonial Critique of Art",C. Feminist & Queer Art,CSV
Linda Nochlin,Gender and Art History Theory,ART,Art History & Historiography,B. Critical & Feminist Art Historiography,CSV
Griselda Pollock,Feminist Art Criticism,ART,"Race, Gender & Postcolonial Critique of Art",C. Feminist & Queer Art,CSV
Raymonde Moulin,Art Market Theory,ART,Anthropology & Sociology of Art,C. Art Markets & Institutions,CSV
Adrian Hill,Art Therapy Theory,ART,"Arts in Health, Therapy & Wellbeing",A. Art Therapy & Psychology of Art,CSV
Gustav Fechner,Psychology of Aesthetics,ART,"Arts in Health, Therapy & Wellbeing",A. Art Therapy & Psychology of Art,CSV
Daniel Berlyne,Psychology of Aesthetics,ART,"Arts in Health, Therapy & Wellbeing",A. Art Therapy & Psychology of Art,CSV
Maurice Halbwachs,Art and Collective Memory Theory,ART,"Arts in Health, Therapy & Wellbeing","C. Art, Memory, Trauma & Witness",CSV
Maurice Halbwachs,Collective Memory,Society,Advanced & Applied Social Theories,General Social Theories,CSV
Maurice Halbwachs,Social Frameworks of Memory,History,Memory & Oral History,A. Collective & Cultural Memory,CSV
